   W         M1+(eta_p)
 (MeV)      Re      Im
 1487.0    0.050  -0.006
 1488.0    0.073  -0.008
 1489.0    0.090  -0.010
 1490.0    0.105  -0.012
 1491.0    0.118  -0.014
 1492.0    0.129  -0.016
 1493.0    0.140  -0.017
 1494.0    0.150  -0.018
 1495.0    0.159  -0.020
 1496.0    0.167  -0.021
 1497.0    0.176  -0.022
 1498.0    0.183  -0.024
 1499.0    0.191  -0.025
 1500.0    0.198  -0.026
 1501.0    0.205  -0.028
 1502.0    0.212  -0.029
 1503.0    0.218  -0.030
 1504.0    0.225  -0.031
 1505.0    0.231  -0.033
 1506.0    0.237  -0.034
 1507.0    0.242  -0.035
 1508.0    0.248  -0.036
 1509.0    0.254  -0.038
 1510.0    0.259  -0.039
 1511.0    0.264  -0.040
 1512.0    0.270  -0.042
 1513.0    0.275  -0.043
 1514.0    0.280  -0.044
 1515.0    0.285  -0.046
 1516.0    0.290  -0.047
 1517.0    0.294  -0.048
 1518.0    0.299  -0.050
 1519.0    0.304  -0.051
 1520.0    0.308  -0.052
 1521.0    0.313  -0.054
 1522.0    0.317  -0.055
 1523.0    0.322  -0.056
 1524.0    0.326  -0.058
 1525.0    0.330  -0.059
 1526.0    0.335  -0.061
 1527.0    0.339  -0.062
 1528.0    0.343  -0.064
 1529.0    0.347  -0.065
 1530.0    0.351  -0.067
 1531.0    0.356  -0.068
 1532.0    0.360  -0.070
 1533.0    0.364  -0.071
 1534.0    0.368  -0.073
 1535.0    0.372  -0.074
 1536.0    0.375  -0.076
 1537.0    0.379  -0.077
 1538.0    0.383  -0.079
 1539.0    0.387  -0.080
 1540.0    0.391  -0.082
 1541.0    0.395  -0.084
 1542.0    0.399  -0.085
 1543.0    0.402  -0.087
 1544.0    0.406  -0.089
 1545.0    0.410  -0.090
 1546.0    0.414  -0.092
 1547.0    0.418  -0.094
 1548.0    0.421  -0.095
 1549.0    0.425  -0.097
 1550.0    0.429  -0.099
 1551.0    0.433  -0.100
 1552.0    0.436  -0.102
 1553.0    0.440  -0.104
 1554.0    0.444  -0.106
 1555.0    0.448  -0.108
 1556.0    0.451  -0.109
 1557.0    0.455  -0.111
 1558.0    0.459  -0.113
 1559.0    0.462  -0.115
 1560.0    0.466  -0.117
 1561.0    0.470  -0.119
 1562.0    0.474  -0.120
 1563.0    0.478  -0.122
 1564.0    0.481  -0.124
 1565.0    0.485  -0.126
 1566.0    0.489  -0.128
 1567.0    0.493  -0.130
 1568.0    0.497  -0.132
 1569.0    0.500  -0.134
 1570.0    0.504  -0.135
 1571.0    0.508  -0.137
 1572.0    0.512  -0.139
 1573.0    0.516  -0.141
 1574.0    0.520  -0.143
 1575.0    0.524  -0.145
 1576.0    0.528  -0.147
 1577.0    0.532  -0.149
 1578.0    0.536  -0.151
 1579.0    0.540  -0.153
 1580.0    0.544  -0.155
 1581.0    0.548  -0.157
 1582.0    0.552  -0.159
 1583.0    0.556  -0.160
 1584.0    0.560  -0.162
 1585.0    0.564  -0.164
 1586.0    0.568  -0.166
 1587.0    0.573  -0.168
 1588.0    0.577  -0.170
 1589.0    0.581  -0.172
 1590.0    0.585  -0.174
 1591.0    0.590  -0.176
 1592.0    0.594  -0.178
 1593.0    0.599  -0.179
 1594.0    0.603  -0.181
 1595.0    0.607  -0.183
 1596.0    0.612  -0.185
 1597.0    0.616  -0.187
