   W         E2-(eta_p)
 (MeV)      Re      Im
 1701.0   -0.220   0.445
 1702.0   -0.218   0.445
 1703.0   -0.217   0.445
 1704.0   -0.215   0.445
 1705.0   -0.213   0.445
 1706.0   -0.211   0.445
 1707.0   -0.210   0.445
 1708.0   -0.208   0.446
 1709.0   -0.206   0.446
 1710.0   -0.205   0.446
 1711.0   -0.203   0.446
 1712.0   -0.201   0.447
 1713.0   -0.199   0.447
 1714.0   -0.198   0.447
 1715.0   -0.196   0.448
 1716.0   -0.194   0.448
 1717.0   -0.192   0.448
 1718.0   -0.191   0.449
 1719.0   -0.189   0.449
 1720.0   -0.187   0.450
 1721.0   -0.185   0.450
 1722.0   -0.184   0.451
 1723.0   -0.182   0.452
 1724.0   -0.180   0.452
 1725.0   -0.178   0.453
 1726.0   -0.177   0.453
 1727.0   -0.175   0.454
 1728.0   -0.173   0.455
 1729.0   -0.172   0.456
 1730.0   -0.170   0.456
 1731.0   -0.168   0.457
 1732.0   -0.166   0.458
 1733.0   -0.165   0.459
 1734.0   -0.163   0.460
 1735.0   -0.161   0.461
 1736.0   -0.160   0.462
 1737.0   -0.158   0.463
 1738.0   -0.156   0.464
 1739.0   -0.155   0.465
 1740.0   -0.153   0.466
 1741.0   -0.152   0.467
 1742.0   -0.150   0.468
 1743.0   -0.148   0.470
 1744.0   -0.147   0.471
 1745.0   -0.145   0.472
 1746.0   -0.144   0.473
 1747.0   -0.142   0.475
 1748.0   -0.141   0.476
 1749.0   -0.139   0.477
 1750.0   -0.138   0.479
 1751.0   -0.136   0.480
 1752.0   -0.135   0.482
 1753.0   -0.133   0.483
 1754.0   -0.132   0.485
 1755.0   -0.130   0.486
 1756.0   -0.129   0.488
 1757.0   -0.128   0.490
 1758.0   -0.126   0.492
 1759.0   -0.125   0.493
 1760.0   -0.124   0.495
 1761.0   -0.123   0.497
 1762.0   -0.122   0.499
 1763.0   -0.120   0.501
 1764.0   -0.119   0.502
 1765.0   -0.118   0.504
 1766.0   -0.117   0.506
 1767.0   -0.116   0.508
 1768.0   -0.115   0.510
 1769.0   -0.114   0.512
 1770.0   -0.113   0.514
 1771.0   -0.112   0.517
 1772.0   -0.111   0.519
 1773.0   -0.111   0.521
 1774.0   -0.110   0.523
 1775.0   -0.109   0.525
 1776.0   -0.108   0.528
 1777.0   -0.108   0.530
 1778.0   -0.107   0.532
 1779.0   -0.107   0.535
 1780.0   -0.106   0.537
 1781.0   -0.106   0.539
 1782.0   -0.105   0.542
 1783.0   -0.105   0.544
 1784.0   -0.105   0.547
 1785.0   -0.104   0.549
 1786.0   -0.104   0.552
 1787.0   -0.104   0.554
 1788.0   -0.104   0.557
 1789.0   -0.104   0.559
 1790.0   -0.104   0.562
 1791.0   -0.104   0.564
 1792.0   -0.104   0.567
 1793.0   -0.104   0.570
 1794.0   -0.105   0.572
 1795.0   -0.105   0.575
 1796.0   -0.105   0.577
 1797.0   -0.106   0.580
 1798.0   -0.106   0.583
 1799.0   -0.107   0.585
 1800.0   -0.108   0.588
 1801.0   -0.108   0.591
 1802.0   -0.109   0.593
 1803.0   -0.110   0.596
 1804.0   -0.111   0.598
 1805.0   -0.112   0.601
 1806.0   -0.113   0.604
 1807.0   -0.114   0.606
 1808.0   -0.115   0.609
 1809.0   -0.117   0.611
 1810.0   -0.118   0.614
 1811.0   -0.119   0.616
 1812.0   -0.121   0.619
 1813.0   -0.122   0.621
 1814.0   -0.124   0.624
 1815.0   -0.125   0.626
 1816.0   -0.127   0.629
 1817.0   -0.129   0.631
 1818.0   -0.131   0.633
 1819.0   -0.133   0.636
 1820.0   -0.135   0.638
 1821.0   -0.137   0.640
 1822.0   -0.139   0.642
 1823.0   -0.141   0.644
 1824.0   -0.143   0.647
 1825.0   -0.146   0.649
 1826.0   -0.148   0.651
 1827.0   -0.150   0.653
 1828.0   -0.153   0.654
 1829.0   -0.155   0.656
 1830.0   -0.158   0.658
 1831.0   -0.161   0.660
 1832.0   -0.163   0.661
 1833.0   -0.166   0.663
 1834.0   -0.169   0.665
 1835.0   -0.171   0.666
 1836.0   -0.174   0.668
 1837.0   -0.177   0.669
 1838.0   -0.180   0.670
 1839.0   -0.183   0.671
 1840.0   -0.186   0.673
 1841.0   -0.189   0.674
 1842.0   -0.192   0.675
 1843.0   -0.195   0.676
 1844.0   -0.198   0.677
 1845.0   -0.202   0.677
 1846.0   -0.205   0.678
 1847.0   -0.208   0.679
 1848.0   -0.211   0.679
 1849.0   -0.214   0.680
 1850.0   -0.218   0.680
 1851.0   -0.221   0.681
 1852.0   -0.224   0.681
 1853.0   -0.227   0.681
 1854.0   -0.231   0.681
 1855.0   -0.234   0.681
 1856.0   -0.237   0.681
 1857.0   -0.241   0.681
 1858.0   -0.244   0.681
 1859.0   -0.247   0.681
 1860.0   -0.250   0.680
 1861.0   -0.254   0.680
 1862.0   -0.257   0.680
 1863.0   -0.260   0.679
 1864.0   -0.263   0.678
 1865.0   -0.266   0.678
 1866.0   -0.270   0.677
 1867.0   -0.273   0.676
 1868.0   -0.276   0.675
 1869.0   -0.279   0.675
 1870.0   -0.282   0.674
 1871.0   -0.285   0.673
 1872.0   -0.288   0.671
 1873.0   -0.291   0.670
 1874.0   -0.294   0.669
 1875.0   -0.297   0.668
 1876.0   -0.300   0.666
 1877.0   -0.303   0.665
 1878.0   -0.306   0.664
 1879.0   -0.309   0.662
 1880.0   -0.311   0.660
 1881.0   -0.314   0.659
 1882.0   -0.317   0.657
 1883.0   -0.319   0.656
 1884.0   -0.322   0.654
 1885.0   -0.325   0.652
 1886.0   -0.327   0.650
 1887.0   -0.330   0.648
 1888.0   -0.332   0.646
 1889.0   -0.335   0.645
 1890.0   -0.337   0.643
 1891.0   -0.339   0.641
 1892.0   -0.341   0.639
 1893.0   -0.344   0.636
 1894.0   -0.346   0.634
 1895.0   -0.348   0.632
 1896.0   -0.350   0.630
 1897.0   -0.352   0.628
 1898.0   -0.354   0.626
 1899.0   -0.356   0.623
 1900.0   -0.358   0.621
 1901.0   -0.360   0.619
 1902.0   -0.362   0.617
 1903.0   -0.363   0.614
 1904.0   -0.365   0.612
 1905.0   -0.367   0.610
 1906.0   -0.369   0.607
 1907.0   -0.370   0.605
 1908.0   -0.372   0.603
 1909.0   -0.373   0.600
 1910.0   -0.375   0.598
 1911.0   -0.376   0.595
 1912.0   -0.377   0.593
 1913.0   -0.379   0.590
 1914.0   -0.380   0.588
 1915.0   -0.381   0.586
 1916.0   -0.383   0.583
 1917.0   -0.384   0.581
 1918.0   -0.385   0.578
 1919.0   -0.386   0.576
 1920.0   -0.387   0.573
 1921.0   -0.388   0.571
 1922.0   -0.389   0.568
 1923.0   -0.390   0.566
 1924.0   -0.391   0.563
 1925.0   -0.392   0.561
 1926.0   -0.393   0.559
 1927.0   -0.393   0.556
 1928.0   -0.394   0.554
 1929.0   -0.395   0.551
 1930.0   -0.396   0.549
 1931.0   -0.396   0.546
 1932.0   -0.397   0.544
 1933.0   -0.397   0.541
 1934.0   -0.398   0.539
 1935.0   -0.399   0.537
 1936.0   -0.399   0.534
 1937.0   -0.400   0.532
 1938.0   -0.400   0.529
 1939.0   -0.400   0.527
 1940.0   -0.401   0.525
 1941.0   -0.401   0.522
 1942.0   -0.402   0.520
 1943.0   -0.402   0.518
 1944.0   -0.402   0.515
 1945.0   -0.402   0.513
 1946.0   -0.403   0.511
 1947.0   -0.403   0.508
 1948.0   -0.403   0.506
 1949.0   -0.403   0.504
 1950.0   -0.403   0.502
 1951.0   -0.403   0.499
 1952.0   -0.403   0.497
 1953.0   -0.404   0.495
 1954.0   -0.404   0.493
 1955.0   -0.404   0.490
 1956.0   -0.404   0.488
 1957.0   -0.404   0.486
 1958.0   -0.404   0.484
 1959.0   -0.404   0.482
 1960.0   -0.403   0.480
 1961.0   -0.403   0.477
 1962.0   -0.403   0.475
 1963.0   -0.403   0.473
 1964.0   -0.403   0.471
 1965.0   -0.403   0.469
 1966.0   -0.403   0.467
 1967.0   -0.402   0.465
 1968.0   -0.402   0.463
 1969.0   -0.402   0.461
 1970.0   -0.402   0.459
 1971.0   -0.402   0.457
 1972.0   -0.401   0.455
 1973.0   -0.401   0.453
 1974.0   -0.401   0.451
 1975.0   -0.400   0.449
 1976.0   -0.400   0.447
 1977.0   -0.400   0.445
 1978.0   -0.399   0.443
 1979.0   -0.399   0.441
 1980.0   -0.399   0.439
 1981.0   -0.398   0.438
 1982.0   -0.398   0.436
 1983.0   -0.398   0.434
 1984.0   -0.397   0.432
 1985.0   -0.397   0.430
 1986.0   -0.396   0.428
 1987.0   -0.396   0.427
 1988.0   -0.395   0.425
 1989.0   -0.395   0.423
 1990.0   -0.394   0.421
 1991.0   -0.394   0.420
 1992.0   -0.393   0.418
 1993.0   -0.393   0.416
 1994.0   -0.393   0.414
 1995.0   -0.392   0.413
 1996.0   -0.391   0.411
 1997.0   -0.391   0.409
 1998.0   -0.390   0.408
 1999.0   -0.390   0.406
 2000.0   -0.389   0.404
 2001.0   -0.389   0.403
 2002.0   -0.388   0.401
 2003.0   -0.388   0.400
 2004.0   -0.387   0.398
 2005.0   -0.387   0.397
 2006.0   -0.386   0.395
 2007.0   -0.385   0.393
 2008.0   -0.385   0.392
 2009.0   -0.384   0.390
 2010.0   -0.384   0.389
 2011.0   -0.383   0.387
 2012.0   -0.382   0.386
 2013.0   -0.382   0.384
 2014.0   -0.381   0.383
 2015.0   -0.380   0.381
 2016.0   -0.380   0.380
 2017.0   -0.379   0.378
 2018.0   -0.379   0.377
 2019.0   -0.378   0.376
 2020.0   -0.377   0.374
 2021.0   -0.377   0.373
 2022.0   -0.376   0.371
 2023.0   -0.375   0.370
 2024.0   -0.375   0.369
 2025.0   -0.374   0.367
 2026.0   -0.373   0.366
 2027.0   -0.373   0.365
 2028.0   -0.372   0.363
 2029.0   -0.371   0.362
 2030.0   -0.371   0.361
 2031.0   -0.370   0.359
 2032.0   -0.369   0.358
 2033.0   -0.369   0.357
 2034.0   -0.368   0.355
 2035.0   -0.367   0.354
 2036.0   -0.367   0.353
 2037.0   -0.366   0.352
 2038.0   -0.365   0.350
 2039.0   -0.365   0.349
 2040.0   -0.364   0.348
 2041.0   -0.363   0.347
 2042.0   -0.362   0.346
 2043.0   -0.362   0.344
 2044.0   -0.361   0.343
 2045.0   -0.360   0.342
 2046.0   -0.360   0.341
 2047.0   -0.359   0.340
 2048.0   -0.358   0.338
 2049.0   -0.358   0.337
 2050.0   -0.357   0.336
 2051.0   -0.356   0.335
 2052.0   -0.355   0.334
 2053.0   -0.355   0.333
 2054.0   -0.354   0.332
 2055.0   -0.353   0.331
 2056.0   -0.353   0.329
 2057.0   -0.352   0.328
 2058.0   -0.351   0.327
 2059.0   -0.350   0.326
 2060.0   -0.350   0.325
 2061.0   -0.349   0.324
 2062.0   -0.348   0.323
 2063.0   -0.348   0.322
 2064.0   -0.347   0.321
 2065.0   -0.346   0.320
 2066.0   -0.345   0.319
 2067.0   -0.345   0.318
 2068.0   -0.344   0.317
 2069.0   -0.343   0.316
 2070.0   -0.343   0.315
 2071.0   -0.342   0.314
 2072.0   -0.341   0.313
 2073.0   -0.340   0.312
 2074.0   -0.340   0.311
 2075.0   -0.339   0.310
 2076.0   -0.338   0.309
 2077.0   -0.338   0.308
 2078.0   -0.337   0.307
 2079.0   -0.336   0.306
 2080.0   -0.335   0.305
 2081.0   -0.335   0.304
 2082.0   -0.334   0.303
 2083.0   -0.333   0.302
 2084.0   -0.333   0.301
 2085.0   -0.332   0.300
 2086.0   -0.331   0.300
