   W         M1-(eta_p)
 (MeV)      Re      Im
 1487.0    0.034  -0.002
 1488.0    0.050  -0.002
 1489.0    0.062  -0.003
 1490.0    0.071  -0.004
 1491.0    0.080  -0.004
 1492.0    0.087  -0.005
 1493.0    0.093  -0.005
 1494.0    0.099  -0.006
 1495.0    0.104  -0.006
 1496.0    0.109  -0.007
 1497.0    0.114  -0.007
 1498.0    0.118  -0.007
 1499.0    0.122  -0.008
 1500.0    0.126  -0.008
 1501.0    0.129  -0.009
 1502.0    0.132  -0.009
 1503.0    0.135  -0.010
 1504.0    0.138  -0.010
 1505.0    0.141  -0.011
 1506.0    0.143  -0.011
 1507.0    0.145  -0.012
 1508.0    0.148  -0.012
 1509.0    0.150  -0.013
 1510.0    0.152  -0.014
 1511.0    0.153  -0.014
 1512.0    0.155  -0.015
 1513.0    0.156  -0.015
 1514.0    0.158  -0.016
 1515.0    0.159  -0.017
 1516.0    0.160  -0.017
 1517.0    0.161  -0.018
 1518.0    0.162  -0.019
 1519.0    0.163  -0.019
 1520.0    0.164  -0.020
 1521.0    0.165  -0.021
 1522.0    0.165  -0.021
 1523.0    0.166  -0.022
 1524.0    0.166  -0.023
 1525.0    0.166  -0.024
 1526.0    0.166  -0.025
 1527.0    0.167  -0.025
 1528.0    0.167  -0.026
 1529.0    0.167  -0.027
 1530.0    0.167  -0.028
 1531.0    0.166  -0.029
 1532.0    0.166  -0.030
 1533.0    0.166  -0.031
 1534.0    0.165  -0.032
 1535.0    0.165  -0.033
 1536.0    0.164  -0.034
 1537.0    0.163  -0.035
 1538.0    0.163  -0.036
 1539.0    0.162  -0.037
 1540.0    0.161  -0.038
 1541.0    0.160  -0.039
 1542.0    0.159  -0.040
 1543.0    0.158  -0.042
 1544.0    0.157  -0.043
 1545.0    0.155  -0.044
 1546.0    0.154  -0.045
 1547.0    0.153  -0.047
 1548.0    0.151  -0.048
 1549.0    0.150  -0.049
 1550.0    0.148  -0.051
 1551.0    0.146  -0.052
 1552.0    0.145  -0.054
 1553.0    0.143  -0.055
 1554.0    0.141  -0.057
 1555.0    0.139  -0.059
 1556.0    0.137  -0.060
 1557.0    0.135  -0.062
 1558.0    0.133  -0.064
 1559.0    0.130  -0.065
 1560.0    0.128  -0.067
 1561.0    0.126  -0.069
 1562.0    0.123  -0.071
 1563.0    0.121  -0.073
 1564.0    0.118  -0.075
 1565.0    0.115  -0.077
 1566.0    0.113  -0.079
 1567.0    0.110  -0.081
 1568.0    0.107  -0.083
 1569.0    0.104  -0.086
 1570.0    0.101  -0.088
 1571.0    0.098  -0.090
 1572.0    0.095  -0.093
 1573.0    0.091  -0.095
 1574.0    0.088  -0.098
 1575.0    0.085  -0.100
 1576.0    0.081  -0.103
 1577.0    0.078  -0.106
 1578.0    0.074  -0.108
 1579.0    0.070  -0.111
 1580.0    0.067  -0.114
 1581.0    0.063  -0.117
 1582.0    0.059  -0.120
 1583.0    0.055  -0.124
 1584.0    0.051  -0.127
 1585.0    0.047  -0.130
 1586.0    0.043  -0.134
 1587.0    0.038  -0.137
 1588.0    0.034  -0.141
 1589.0    0.029  -0.144
 1590.0    0.025  -0.148
 1591.0    0.020  -0.152
 1592.0    0.016  -0.156
 1593.0    0.011  -0.160
 1594.0    0.006  -0.164
 1595.0    0.001  -0.169
 1596.0   -0.004  -0.173
 1597.0   -0.009  -0.178
 1598.0   -0.014  -0.182
 1599.0   -0.019  -0.187
