   W         E0+(eta_p)
 (MeV)      Re      Im
 1701.0   -2.603   2.101
 1702.0   -2.594   2.096
 1703.0   -2.586   2.090
 1704.0   -2.578   2.085
 1705.0   -2.570   2.079
 1706.0   -2.562   2.073
 1707.0   -2.554   2.067
 1708.0   -2.547   2.061
 1709.0   -2.539   2.054
 1710.0   -2.532   2.048
 1711.0   -2.525   2.041
 1712.0   -2.519   2.035
 1713.0   -2.512   2.028
 1714.0   -2.505   2.021
 1715.0   -2.499   2.014
 1716.0   -2.493   2.007
 1717.0   -2.487   2.000
 1718.0   -2.481   1.992
 1719.0   -2.475   1.985
 1720.0   -2.469   1.977
 1721.0   -2.463   1.970
 1722.0   -2.457   1.962
 1723.0   -2.452   1.955
 1724.0   -2.446   1.947
 1725.0   -2.441   1.939
 1726.0   -2.435   1.931
 1727.0   -2.430   1.923
 1728.0   -2.425   1.915
 1729.0   -2.419   1.907
 1730.0   -2.414   1.899
 1731.0   -2.409   1.891
 1732.0   -2.404   1.882
 1733.0   -2.399   1.874
 1734.0   -2.394   1.866
 1735.0   -2.389   1.857
 1736.0   -2.384   1.849
 1737.0   -2.379   1.841
 1738.0   -2.374   1.832
 1739.0   -2.369   1.824
 1740.0   -2.364   1.815
 1741.0   -2.359   1.807
 1742.0   -2.354   1.798
 1743.0   -2.350   1.790
 1744.0   -2.345   1.781
 1745.0   -2.340   1.773
 1746.0   -2.335   1.764
 1747.0   -2.331   1.756
 1748.0   -2.326   1.747
 1749.0   -2.321   1.738
 1750.0   -2.317   1.730
 1751.0   -2.312   1.721
 1752.0   -2.308   1.713
 1753.0   -2.303   1.704
 1754.0   -2.298   1.695
 1755.0   -2.294   1.687
 1756.0   -2.289   1.678
 1757.0   -2.285   1.669
 1758.0   -2.280   1.661
 1759.0   -2.276   1.652
 1760.0   -2.271   1.644
 1761.0   -2.267   1.635
 1762.0   -2.262   1.627
 1763.0   -2.258   1.618
 1764.0   -2.253   1.609
 1765.0   -2.249   1.601
 1766.0   -2.245   1.592
 1767.0   -2.240   1.584
 1768.0   -2.236   1.575
 1769.0   -2.232   1.567
 1770.0   -2.227   1.558
 1771.0   -2.223   1.550
 1772.0   -2.219   1.541
 1773.0   -2.214   1.533
 1774.0   -2.210   1.524
 1775.0   -2.206   1.516
 1776.0   -2.202   1.507
 1777.0   -2.197   1.499
 1778.0   -2.193   1.490
 1779.0   -2.189   1.482
 1780.0   -2.185   1.473
 1781.0   -2.181   1.465
 1782.0   -2.177   1.457
 1783.0   -2.172   1.448
 1784.0   -2.168   1.440
 1785.0   -2.164   1.431
 1786.0   -2.160   1.423
 1787.0   -2.156   1.415
 1788.0   -2.152   1.406
 1789.0   -2.148   1.398
 1790.0   -2.144   1.390
 1791.0   -2.140   1.381
 1792.0   -2.136   1.373
 1793.0   -2.132   1.365
 1794.0   -2.128   1.356
 1795.0   -2.125   1.348
 1796.0   -2.121   1.340
 1797.0   -2.117   1.331
 1798.0   -2.113   1.323
 1799.0   -2.109   1.315
 1800.0   -2.105   1.306
 1801.0   -2.102   1.298
 1802.0   -2.098   1.289
 1803.0   -2.094   1.281
 1804.0   -2.090   1.273
 1805.0   -2.087   1.264
 1806.0   -2.083   1.256
 1807.0   -2.079   1.247
 1808.0   -2.076   1.239
 1809.0   -2.072   1.231
 1810.0   -2.068   1.222
 1811.0   -2.065   1.214
 1812.0   -2.061   1.205
 1813.0   -2.058   1.197
 1814.0   -2.054   1.188
 1815.0   -2.051   1.179
 1816.0   -2.047   1.171
 1817.0   -2.044   1.162
 1818.0   -2.040   1.153
 1819.0   -2.037   1.145
 1820.0   -2.033   1.136
 1821.0   -2.030   1.127
 1822.0   -2.026   1.118
 1823.0   -2.023   1.109
 1824.0   -2.019   1.101
 1825.0   -2.016   1.092
 1826.0   -2.012   1.083
 1827.0   -2.009   1.073
 1828.0   -2.005   1.064
 1829.0   -2.002   1.055
 1830.0   -1.998   1.046
 1831.0   -1.995   1.037
 1832.0   -1.991   1.027
 1833.0   -1.988   1.018
 1834.0   -1.984   1.008
 1835.0   -1.981   0.998
 1836.0   -1.977   0.989
 1837.0   -1.973   0.979
 1838.0   -1.970   0.969
 1839.0   -1.966   0.959
 1840.0   -1.962   0.949
 1841.0   -1.958   0.939
 1842.0   -1.954   0.929
 1843.0   -1.950   0.918
 1844.0   -1.946   0.908
 1845.0   -1.942   0.898
 1846.0   -1.938   0.887
 1847.0   -1.934   0.876
 1848.0   -1.929   0.865
 1849.0   -1.925   0.854
 1850.0   -1.920   0.843
 1851.0   -1.915   0.832
 1852.0   -1.910   0.821
 1853.0   -1.905   0.810
 1854.0   -1.900   0.798
 1855.0   -1.895   0.787
 1856.0   -1.889   0.775
 1857.0   -1.883   0.763
 1858.0   -1.877   0.752
 1859.0   -1.871   0.740
 1860.0   -1.865   0.728
 1861.0   -1.858   0.716
 1862.0   -1.851   0.703
 1863.0   -1.844   0.691
 1864.0   -1.836   0.679
 1865.0   -1.829   0.667
 1866.0   -1.821   0.655
 1867.0   -1.812   0.642
 1868.0   -1.804   0.630
 1869.0   -1.795   0.618
 1870.0   -1.785   0.606
 1871.0   -1.775   0.594
 1872.0   -1.765   0.582
 1873.0   -1.755   0.570
 1874.0   -1.744   0.558
 1875.0   -1.733   0.546
 1876.0   -1.721   0.535
 1877.0   -1.709   0.524
 1878.0   -1.697   0.513
 1879.0   -1.684   0.502
 1880.0   -1.671   0.492
 1881.0   -1.658   0.482
 1882.0   -1.644   0.472
 1883.0   -1.630   0.463
 1884.0   -1.616   0.454
 1885.0   -1.601   0.445
 1886.0   -1.586   0.437
 1887.0   -1.571   0.430
 1888.0   -1.556   0.423
 1889.0   -1.541   0.416
 1890.0   -1.525   0.410
 1891.0   -1.509   0.405
 1892.0   -1.494   0.400
 1893.0   -1.478   0.395
 1894.0   -1.462   0.391
 1895.0   -1.446   0.388
 1896.0   -1.431   0.385
 1897.0   -1.415   0.383
 1898.0   -1.400   0.381
 1899.0   -1.385   0.380
 1900.0   -1.369   0.379
 1901.0   -1.355   0.379
 1902.0   -1.340   0.379
 1903.0   -1.326   0.380
 1904.0   -1.312   0.381
 1905.0   -1.298   0.382
 1906.0   -1.285   0.384
 1907.0   -1.272   0.386
 1908.0   -1.260   0.389
 1909.0   -1.247   0.392
 1910.0   -1.236   0.394
 1911.0   -1.224   0.398
 1912.0   -1.213   0.401
 1913.0   -1.203   0.405
 1914.0   -1.192   0.408
 1915.0   -1.182   0.412
 1916.0   -1.173   0.416
 1917.0   -1.164   0.420
 1918.0   -1.155   0.424
 1919.0   -1.147   0.428
 1920.0   -1.139   0.432
 1921.0   -1.131   0.437
 1922.0   -1.124   0.441
 1923.0   -1.117   0.445
 1924.0   -1.110   0.449
 1925.0   -1.104   0.453
 1926.0   -1.098   0.457
 1927.0   -1.092   0.461
 1928.0   -1.086   0.465
 1929.0   -1.081   0.468
 1930.0   -1.076   0.472
 1931.0   -1.071   0.475
 1932.0   -1.066   0.479
 1933.0   -1.062   0.482
 1934.0   -1.057   0.485
 1935.0   -1.053   0.489
 1936.0   -1.049   0.492
 1937.0   -1.045   0.494
 1938.0   -1.042   0.497
 1939.0   -1.038   0.500
 1940.0   -1.035   0.503
 1941.0   -1.032   0.505
 1942.0   -1.028   0.507
 1943.0   -1.025   0.510
 1944.0   -1.022   0.512
 1945.0   -1.020   0.514
 1946.0   -1.017   0.516
 1947.0   -1.014   0.517
 1948.0   -1.012   0.519
 1949.0   -1.009   0.521
 1950.0   -1.007   0.522
 1951.0   -1.004   0.524
 1952.0   -1.002   0.525
 1953.0   -1.000   0.526
 1954.0   -0.998   0.527
 1955.0   -0.996   0.528
 1956.0   -0.993   0.529
 1957.0   -0.991   0.530
 1958.0   -0.989   0.531
 1959.0   -0.987   0.532
 1960.0   -0.985   0.533
 1961.0   -0.983   0.533
 1962.0   -0.982   0.534
 1963.0   -0.980   0.534
 1964.0   -0.978   0.535
 1965.0   -0.976   0.535
 1966.0   -0.974   0.535
 1967.0   -0.972   0.535
 1968.0   -0.971   0.536
 1969.0   -0.969   0.536
 1970.0   -0.967   0.536
 1971.0   -0.965   0.536
 1972.0   -0.964   0.536
 1973.0   -0.962   0.535
 1974.0   -0.960   0.535
 1975.0   -0.958   0.535
 1976.0   -0.957   0.535
 1977.0   -0.955   0.535
 1978.0   -0.953   0.534
 1979.0   -0.952   0.534
 1980.0   -0.950   0.533
 1981.0   -0.948   0.533
 1982.0   -0.947   0.532
 1983.0   -0.945   0.532
 1984.0   -0.943   0.531
 1985.0   -0.942   0.531
 1986.0   -0.940   0.530
 1987.0   -0.938   0.530
 1988.0   -0.937   0.529
 1989.0   -0.935   0.528
 1990.0   -0.933   0.528
 1991.0   -0.932   0.527
 1992.0   -0.930   0.526
 1993.0   -0.929   0.525
 1994.0   -0.927   0.524
 1995.0   -0.925   0.524
 1996.0   -0.924   0.523
 1997.0   -0.922   0.522
 1998.0   -0.920   0.521
 1999.0   -0.919   0.520
 2000.0   -0.917   0.519
 2001.0   -0.915   0.518
 2002.0   -0.914   0.517
 2003.0   -0.912   0.516
 2004.0   -0.910   0.515
 2005.0   -0.909   0.514
 2006.0   -0.907   0.513
 2007.0   -0.905   0.512
 2008.0   -0.904   0.511
 2009.0   -0.902   0.510
 2010.0   -0.900   0.509
 2011.0   -0.899   0.508
 2012.0   -0.897   0.507
 2013.0   -0.895   0.506
 2014.0   -0.894   0.505
 2015.0   -0.892   0.503
 2016.0   -0.890   0.502
 2017.0   -0.889   0.501
 2018.0   -0.887   0.500
 2019.0   -0.885   0.499
 2020.0   -0.884   0.498
 2021.0   -0.882   0.497
 2022.0   -0.880   0.495
 2023.0   -0.879   0.494
 2024.0   -0.877   0.493
 2025.0   -0.875   0.492
 2026.0   -0.874   0.491
 2027.0   -0.872   0.489
 2028.0   -0.870   0.488
 2029.0   -0.869   0.487
 2030.0   -0.867   0.486
 2031.0   -0.865   0.485
 2032.0   -0.864   0.483
 2033.0   -0.862   0.482
 2034.0   -0.860   0.481
 2035.0   -0.859   0.480
 2036.0   -0.857   0.479
 2037.0   -0.855   0.477
 2038.0   -0.854   0.476
 2039.0   -0.852   0.475
 2040.0   -0.850   0.474
 2041.0   -0.849   0.472
 2042.0   -0.847   0.471
 2043.0   -0.845   0.470
 2044.0   -0.844   0.469
 2045.0   -0.842   0.467
 2046.0   -0.840   0.466
 2047.0   -0.839   0.465
 2048.0   -0.837   0.464
 2049.0   -0.835   0.462
 2050.0   -0.834   0.461
 2051.0   -0.832   0.460
 2052.0   -0.830   0.459
 2053.0   -0.829   0.458
 2054.0   -0.827   0.456
 2055.0   -0.825   0.455
 2056.0   -0.824   0.454
 2057.0   -0.822   0.453
 2058.0   -0.820   0.451
 2059.0   -0.819   0.450
 2060.0   -0.817   0.449
 2061.0   -0.815   0.448
 2062.0   -0.814   0.446
 2063.0   -0.812   0.445
 2064.0   -0.810   0.444
 2065.0   -0.809   0.443
 2066.0   -0.807   0.441
 2067.0   -0.806   0.440
 2068.0   -0.804   0.439
 2069.0   -0.802   0.438
 2070.0   -0.801   0.437
 2071.0   -0.799   0.435
 2072.0   -0.797   0.434
 2073.0   -0.796   0.433
 2074.0   -0.794   0.432
 2075.0   -0.793   0.431
 2076.0   -0.791   0.429
 2077.0   -0.789   0.428
 2078.0   -0.788   0.427
 2079.0   -0.786   0.426
 2080.0   -0.784   0.424
 2081.0   -0.783   0.423
 2082.0   -0.781   0.422
 2083.0   -0.780   0.421
 2084.0   -0.778   0.420
 2085.0   -0.776   0.419
 2086.0   -0.775   0.417
