   W         E1+(eta_p)
 (MeV)      Re      Im
 1487.0   -0.005  -0.003
 1488.0   -0.007  -0.005
 1489.0   -0.009  -0.006
 1490.0   -0.010  -0.007
 1491.0   -0.012  -0.008
 1492.0   -0.013  -0.008
 1493.0   -0.014  -0.009
 1494.0   -0.015  -0.010
 1495.0   -0.016  -0.011
 1496.0   -0.016  -0.012
 1497.0   -0.017  -0.012
 1498.0   -0.018  -0.013
 1499.0   -0.019  -0.014
 1500.0   -0.019  -0.014
 1501.0   -0.020  -0.015
 1502.0   -0.020  -0.016
 1503.0   -0.021  -0.016
 1504.0   -0.022  -0.017
 1505.0   -0.022  -0.018
 1506.0   -0.023  -0.019
 1507.0   -0.023  -0.019
 1508.0   -0.024  -0.020
 1509.0   -0.024  -0.021
 1510.0   -0.025  -0.021
 1511.0   -0.025  -0.022
 1512.0   -0.025  -0.023
 1513.0   -0.026  -0.023
 1514.0   -0.026  -0.024
 1515.0   -0.027  -0.025
 1516.0   -0.027  -0.026
 1517.0   -0.027  -0.026
 1518.0   -0.028  -0.027
 1519.0   -0.028  -0.028
 1520.0   -0.028  -0.029
 1521.0   -0.029  -0.029
 1522.0   -0.029  -0.030
 1523.0   -0.029  -0.031
 1524.0   -0.029  -0.032
 1525.0   -0.030  -0.032
 1526.0   -0.030  -0.033
 1527.0   -0.030  -0.034
 1528.0   -0.030  -0.035
 1529.0   -0.031  -0.036
 1530.0   -0.031  -0.036
 1531.0   -0.031  -0.037
 1532.0   -0.031  -0.038
 1533.0   -0.031  -0.039
 1534.0   -0.031  -0.040
 1535.0   -0.032  -0.041
 1536.0   -0.032  -0.041
 1537.0   -0.032  -0.042
 1538.0   -0.032  -0.043
 1539.0   -0.032  -0.044
 1540.0   -0.032  -0.045
 1541.0   -0.032  -0.046
 1542.0   -0.032  -0.047
 1543.0   -0.032  -0.048
 1544.0   -0.032  -0.049
 1545.0   -0.032  -0.050
 1546.0   -0.032  -0.051
 1547.0   -0.032  -0.051
 1548.0   -0.032  -0.052
 1549.0   -0.032  -0.053
 1550.0   -0.032  -0.054
