   W         M2+(eta_p)
 (MeV)      Re      Im
 1687.0    0.115  -0.248
 1688.0    0.118  -0.247
 1689.0    0.121  -0.245
 1690.0    0.124  -0.244
 1691.0    0.127  -0.243
 1692.0    0.130  -0.241
 1693.0    0.133  -0.240
 1694.0    0.136  -0.238
 1695.0    0.139  -0.236
 1696.0    0.142  -0.235
 1697.0    0.145  -0.233
 1698.0    0.147  -0.231
 1699.0    0.150  -0.230
 1700.0    0.152  -0.228
 1701.0    0.155  -0.226
 1702.0    0.157  -0.224
 1703.0    0.159  -0.222
 1704.0    0.162  -0.220
 1705.0    0.164  -0.219
 1706.0    0.166  -0.217
 1707.0    0.168  -0.215
 1708.0    0.170  -0.213
 1709.0    0.172  -0.211
 1710.0    0.174  -0.209
 1711.0    0.176  -0.207
 1712.0    0.178  -0.205
 1713.0    0.179  -0.203
 1714.0    0.181  -0.201
 1715.0    0.183  -0.200
 1716.0    0.184  -0.198
 1717.0    0.186  -0.196
 1718.0    0.187  -0.194
 1719.0    0.189  -0.192
 1720.0    0.190  -0.190
 1721.0    0.192  -0.188
 1722.0    0.193  -0.186
 1723.0    0.194  -0.184
 1724.0    0.196  -0.183
 1725.0    0.197  -0.181
 1726.0    0.198  -0.179
 1727.0    0.199  -0.177
 1728.0    0.200  -0.175
 1729.0    0.201  -0.173
 1730.0    0.202  -0.172
 1731.0    0.203  -0.170
 1732.0    0.204  -0.168
 1733.0    0.205  -0.166
 1734.0    0.206  -0.165
 1735.0    0.207  -0.163
 1736.0    0.208  -0.161
 1737.0    0.209  -0.159
 1738.0    0.210  -0.158
 1739.0    0.211  -0.156
 1740.0    0.211  -0.154
 1741.0    0.212  -0.153
 1742.0    0.213  -0.151
 1743.0    0.214  -0.150
 1744.0    0.214  -0.148
 1745.0    0.215  -0.146
 1746.0    0.216  -0.145
 1747.0    0.216  -0.143
 1748.0    0.217  -0.142
 1749.0    0.217  -0.140
 1750.0    0.218  -0.139
 1751.0    0.218  -0.137
 1752.0    0.219  -0.136
 1753.0    0.220  -0.134
 1754.0    0.220  -0.133
 1755.0    0.221  -0.131
 1756.0    0.221  -0.130
 1757.0    0.221  -0.128
 1758.0    0.222  -0.127
 1759.0    0.222  -0.126
 1760.0    0.223  -0.124
 1761.0    0.223  -0.123
 1762.0    0.224  -0.121
 1763.0    0.224  -0.120
 1764.0    0.224  -0.119
 1765.0    0.225  -0.117
 1766.0    0.225  -0.116
 1767.0    0.225  -0.115
 1768.0    0.226  -0.113
 1769.0    0.226  -0.112
 1770.0    0.226  -0.111
 1771.0    0.227  -0.110
 1772.0    0.227  -0.108
 1773.0    0.227  -0.107
 1774.0    0.228  -0.106
 1775.0    0.228  -0.105
 1776.0    0.228  -0.103
 1777.0    0.228  -0.102
 1778.0    0.229  -0.101
 1779.0    0.229  -0.100
 1780.0    0.229  -0.099
 1781.0    0.229  -0.097
 1782.0    0.230  -0.096
 1783.0    0.230  -0.095
 1784.0    0.230  -0.094
 1785.0    0.230  -0.093
 1786.0    0.230  -0.092
 1787.0    0.231  -0.091
 1788.0    0.231  -0.090
 1789.0    0.231  -0.088
 1790.0    0.231  -0.087
 1791.0    0.231  -0.086
 1792.0    0.232  -0.085
 1793.0    0.232  -0.084
 1794.0    0.232  -0.083
 1795.0    0.232  -0.082
 1796.0    0.232  -0.081
 1797.0    0.232  -0.080
 1798.0    0.232  -0.079
 1799.0    0.233  -0.078
 1800.0    0.233  -0.077
 1801.0    0.233  -0.076
 1802.0    0.233  -0.075
 1803.0    0.233  -0.074
 1804.0    0.233  -0.073
 1805.0    0.233  -0.072
 1806.0    0.233  -0.071
 1807.0    0.234  -0.070
 1808.0    0.234  -0.069
 1809.0    0.234  -0.068
 1810.0    0.234  -0.067
 1811.0    0.234  -0.066
 1812.0    0.234  -0.065
 1813.0    0.234  -0.064
 1814.0    0.234  -0.063
 1815.0    0.234  -0.062
 1816.0    0.234  -0.061
 1817.0    0.234  -0.060
 1818.0    0.235  -0.059
 1819.0    0.235  -0.058
 1820.0    0.235  -0.057
 1821.0    0.235  -0.057
 1822.0    0.235  -0.056
 1823.0    0.235  -0.055
 1824.0    0.235  -0.054
 1825.0    0.235  -0.053
 1826.0    0.235  -0.052
 1827.0    0.235  -0.051
 1828.0    0.235  -0.050
 1829.0    0.235  -0.049
 1830.0    0.235  -0.049
 1831.0    0.235  -0.048
 1832.0    0.235  -0.047
 1833.0    0.235  -0.046
 1834.0    0.235  -0.045
 1835.0    0.235  -0.044
 1836.0    0.235  -0.043
 1837.0    0.235  -0.042
 1838.0    0.235  -0.042
 1839.0    0.235  -0.041
 1840.0    0.235  -0.040
 1841.0    0.235  -0.039
 1842.0    0.235  -0.038
 1843.0    0.235  -0.037
 1844.0    0.235  -0.037
 1845.0    0.235  -0.036
 1846.0    0.235  -0.035
 1847.0    0.235  -0.034
 1848.0    0.235  -0.033
 1849.0    0.235  -0.032
 1850.0    0.235  -0.032
 1851.0    0.235  -0.031
 1852.0    0.235  -0.030
 1853.0    0.235  -0.029
 1854.0    0.235  -0.028
 1855.0    0.235  -0.028
 1856.0    0.235  -0.027
 1857.0    0.235  -0.026
 1858.0    0.235  -0.025
 1859.0    0.235  -0.024
 1860.0    0.235  -0.024
 1861.0    0.235  -0.023
 1862.0    0.235  -0.022
 1863.0    0.235  -0.021
 1864.0    0.234  -0.020
 1865.0    0.234  -0.020
 1866.0    0.234  -0.019
 1867.0    0.234  -0.018
 1868.0    0.234  -0.017
 1869.0    0.234  -0.016
 1870.0    0.234  -0.016
 1871.0    0.234  -0.015
 1872.0    0.234  -0.014
 1873.0    0.234  -0.013
 1874.0    0.233  -0.013
 1875.0    0.233  -0.012
 1876.0    0.233  -0.011
 1877.0    0.233  -0.010
 1878.0    0.233  -0.010
 1879.0    0.233  -0.009
 1880.0    0.233  -0.008
 1881.0    0.233  -0.007
 1882.0    0.232  -0.007
 1883.0    0.232  -0.006
 1884.0    0.232  -0.005
 1885.0    0.232  -0.004
 1886.0    0.232  -0.004
 1887.0    0.232  -0.003
 1888.0    0.231  -0.002
 1889.0    0.231  -0.002
