   W         E2+(eta_p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0    0.001   0.000
 1489.0    0.001   0.000
 1490.0    0.001   0.000
 1491.0    0.002   0.000
 1492.0    0.002   0.000
 1493.0    0.002   0.000
 1494.0    0.003   0.000
 1495.0    0.003   0.000
 1496.0    0.003   0.000
 1497.0    0.004   0.000
 1498.0    0.004   0.000
 1499.0    0.004   0.000
 1500.0    0.005   0.000
 1501.0    0.005   0.000
 1502.0    0.005   0.001
 1503.0    0.006   0.001
 1504.0    0.006   0.001
 1505.0    0.006   0.001
 1506.0    0.007   0.001
 1507.0    0.007   0.001
 1508.0    0.007   0.001
 1509.0    0.008   0.001
 1510.0    0.008   0.001
 1511.0    0.008   0.001
 1512.0    0.009   0.001
 1513.0    0.009   0.001
 1514.0    0.009   0.001
 1515.0    0.010   0.001
 1516.0    0.010   0.001
 1517.0    0.010   0.001
 1518.0    0.011   0.001
 1519.0    0.011   0.001
 1520.0    0.012   0.001
 1521.0    0.012   0.001
 1522.0    0.012   0.001
 1523.0    0.013   0.002
 1524.0    0.013   0.002
 1525.0    0.013   0.002
 1526.0    0.014   0.002
 1527.0    0.014   0.002
 1528.0    0.014   0.002
 1529.0    0.015   0.002
 1530.0    0.015   0.002
 1531.0    0.015   0.002
 1532.0    0.016   0.002
 1533.0    0.016   0.002
 1534.0    0.017   0.002
 1535.0    0.017   0.002
 1536.0    0.017   0.002
 1537.0    0.018   0.002
 1538.0    0.018   0.003
 1539.0    0.018   0.003
 1540.0    0.019   0.003
 1541.0    0.019   0.003
 1542.0    0.019   0.003
 1543.0    0.020   0.003
 1544.0    0.020   0.003
 1545.0    0.021   0.003
 1546.0    0.021   0.003
 1547.0    0.021   0.003
 1548.0    0.022   0.003
 1549.0    0.022   0.004
 1550.0    0.022   0.004
 1551.0    0.023   0.004
 1552.0    0.023   0.004
 1553.0    0.024   0.004
 1554.0    0.024   0.004
 1555.0    0.024   0.004
 1556.0    0.025   0.004
 1557.0    0.025   0.004
 1558.0    0.026   0.004
 1559.0    0.026   0.005
 1560.0    0.026   0.005
 1561.0    0.027   0.005
 1562.0    0.027   0.005
 1563.0    0.027   0.005
 1564.0    0.028   0.005
 1565.0    0.028   0.005
 1566.0    0.029   0.005
 1567.0    0.029   0.006
 1568.0    0.029   0.006
 1569.0    0.030   0.006
 1570.0    0.030   0.006
 1571.0    0.031   0.006
 1572.0    0.031   0.006
 1573.0    0.031   0.006
 1574.0    0.032   0.007
 1575.0    0.032   0.007
 1576.0    0.033   0.007
 1577.0    0.033   0.007
 1578.0    0.033   0.007
 1579.0    0.034   0.007
 1580.0    0.034   0.008
 1581.0    0.035   0.008
 1582.0    0.035   0.008
 1583.0    0.035   0.008
 1584.0    0.036   0.008
 1585.0    0.036   0.008
 1586.0    0.037   0.009
 1587.0    0.037   0.009
 1588.0    0.037   0.009
 1589.0    0.038   0.009
 1590.0    0.038   0.010
 1591.0    0.039   0.010
 1592.0    0.039   0.010
 1593.0    0.039   0.010
 1594.0    0.040   0.010
 1595.0    0.040   0.011
 1596.0    0.041   0.011
 1597.0    0.041   0.011
 1598.0    0.041   0.011
 1599.0    0.042   0.012
 1600.0    0.042   0.012
 1601.0    0.043   0.012
 1602.0    0.043   0.012
 1603.0    0.043   0.013
 1604.0    0.044   0.013
 1605.0    0.044   0.013
 1606.0    0.044   0.013
 1607.0    0.045   0.014
 1608.0    0.045   0.014
 1609.0    0.046   0.014
 1610.0    0.046   0.015
 1611.0    0.046   0.015
 1612.0    0.047   0.015
 1613.0    0.047   0.016
 1614.0    0.047   0.016
 1615.0    0.048   0.016
 1616.0    0.048   0.017
 1617.0    0.048   0.017
 1618.0    0.049   0.017
 1619.0    0.049   0.018
 1620.0    0.049   0.018
 1621.0    0.050   0.018
 1622.0    0.050   0.019
 1623.0    0.050   0.019
 1624.0    0.051   0.019
 1625.0    0.051   0.020
 1626.0    0.051   0.020
 1627.0    0.052   0.020
 1628.0    0.052   0.021
 1629.0    0.052   0.021
 1630.0    0.052   0.021
 1631.0    0.053   0.022
 1632.0    0.053   0.022
 1633.0    0.053   0.023
 1634.0    0.053   0.023
 1635.0    0.054   0.023
 1636.0    0.054   0.024
 1637.0    0.054   0.024
 1638.0    0.054   0.024
 1639.0    0.054   0.025
 1640.0    0.055   0.025
 1641.0    0.055   0.025
 1642.0    0.055   0.026
 1643.0    0.055   0.026
 1644.0    0.055   0.027
 1645.0    0.056   0.027
 1646.0    0.056   0.027
 1647.0    0.056   0.028
 1648.0    0.056   0.028
 1649.0    0.056   0.028
 1650.0    0.056   0.029
 1651.0    0.056   0.029
 1652.0    0.057   0.029
 1653.0    0.057   0.030
 1654.0    0.057   0.030
 1655.0    0.057   0.030
 1656.0    0.057   0.031
 1657.0    0.057   0.031
 1658.0    0.057   0.031
 1659.0    0.057   0.031
 1660.0    0.057   0.032
 1661.0    0.057   0.032
 1662.0    0.058   0.032
 1663.0    0.058   0.032
 1664.0    0.058   0.033
 1665.0    0.058   0.033
 1666.0    0.058   0.033
 1667.0    0.058   0.033
 1668.0    0.058   0.034
 1669.0    0.058   0.034
 1670.0    0.058   0.034
 1671.0    0.058   0.034
 1672.0    0.058   0.034
 1673.0    0.059   0.035
 1674.0    0.059   0.035
 1675.0    0.059   0.035
 1676.0    0.059   0.035
 1677.0    0.059   0.035
 1678.0    0.059   0.036
 1679.0    0.059   0.036
 1680.0    0.059   0.036
 1681.0    0.059   0.036
 1682.0    0.060   0.036
 1683.0    0.060   0.036
 1684.0    0.060   0.037
 1685.0    0.060   0.037
