   W         M2-(eta_p)
 (MeV)      Re      Im
 1699.0   -0.062  -0.009
 1700.0   -0.059  -0.010
 1701.0   -0.055  -0.010
 1702.0   -0.052  -0.010
 1703.0   -0.048  -0.010
 1704.0   -0.045  -0.010
 1705.0   -0.042  -0.010
 1706.0   -0.038  -0.010
 1707.0   -0.035  -0.010
 1708.0   -0.032  -0.010
 1709.0   -0.029  -0.010
 1710.0   -0.025  -0.010
 1711.0   -0.022  -0.009
 1712.0   -0.019  -0.009
 1713.0   -0.016  -0.009
 1714.0   -0.013  -0.009
 1715.0   -0.010  -0.008
 1716.0   -0.007  -0.008
 1717.0   -0.003  -0.008
 1718.0    0.000  -0.007
 1719.0    0.002  -0.007
 1720.0    0.005  -0.006
 1721.0    0.008  -0.006
 1722.0    0.011  -0.005
 1723.0    0.014  -0.005
 1724.0    0.017  -0.004
 1725.0    0.020  -0.004
 1726.0    0.022  -0.003
 1727.0    0.025  -0.003
 1728.0    0.028  -0.002
 1729.0    0.031  -0.001
 1730.0    0.033  -0.001
 1731.0    0.036   0.000
 1732.0    0.039   0.001
 1733.0    0.041   0.001
 1734.0    0.044   0.002
 1735.0    0.046   0.003
 1736.0    0.049   0.003
 1737.0    0.051   0.004
 1738.0    0.054   0.005
 1739.0    0.056   0.006
 1740.0    0.058   0.006
 1741.0    0.061   0.007
 1742.0    0.063   0.008
 1743.0    0.065   0.009
 1744.0    0.068   0.010
 1745.0    0.070   0.011
 1746.0    0.072   0.011
 1747.0    0.074   0.012
 1748.0    0.076   0.013
 1749.0    0.079   0.014
 1750.0    0.081   0.015
 1751.0    0.083   0.016
 1752.0    0.085   0.017
 1753.0    0.087   0.018
 1754.0    0.089   0.019
 1755.0    0.091   0.019
 1756.0    0.093   0.020
 1757.0    0.095   0.021
 1758.0    0.097   0.022
 1759.0    0.099   0.023
 1760.0    0.101   0.024
 1761.0    0.103   0.025
 1762.0    0.104   0.026
 1763.0    0.106   0.027
 1764.0    0.108   0.028
 1765.0    0.110   0.029
 1766.0    0.111   0.030
 1767.0    0.113   0.031
 1768.0    0.115   0.032
 1769.0    0.117   0.033
 1770.0    0.118   0.034
 1771.0    0.120   0.035
 1772.0    0.121   0.036
 1773.0    0.123   0.037
 1774.0    0.125   0.038
 1775.0    0.126   0.039
 1776.0    0.128   0.040
 1777.0    0.129   0.041
 1778.0    0.131   0.042
 1779.0    0.132   0.043
 1780.0    0.134   0.044
 1781.0    0.135   0.045
 1782.0    0.136   0.046
 1783.0    0.138   0.047
 1784.0    0.139   0.048
 1785.0    0.140   0.049
 1786.0    0.142   0.050
 1787.0    0.143   0.051
 1788.0    0.144   0.052
 1789.0    0.146   0.053
 1790.0    0.147   0.054
 1791.0    0.148   0.055
 1792.0    0.149   0.056
 1793.0    0.150   0.057
 1794.0    0.151   0.058
 1795.0    0.152   0.059
 1796.0    0.154   0.060
 1797.0    0.155   0.061
 1798.0    0.156   0.062
 1799.0    0.157   0.063
 1800.0    0.158   0.064
 1801.0    0.159   0.065
 1802.0    0.160   0.066
 1803.0    0.161   0.067
 1804.0    0.161   0.068
 1805.0    0.162   0.069
 1806.0    0.163   0.070
 1807.0    0.164   0.071
 1808.0    0.165   0.072
 1809.0    0.166   0.073
 1810.0    0.167   0.074
 1811.0    0.167   0.074
 1812.0    0.168   0.075
 1813.0    0.169   0.076
 1814.0    0.170   0.077
 1815.0    0.170   0.078
 1816.0    0.171   0.079
 1817.0    0.172   0.080
 1818.0    0.172   0.081
 1819.0    0.173   0.082
 1820.0    0.173   0.082
 1821.0    0.174   0.083
 1822.0    0.175   0.084
 1823.0    0.175   0.085
 1824.0    0.176   0.086
 1825.0    0.176   0.086
 1826.0    0.177   0.087
 1827.0    0.177   0.088
 1828.0    0.178   0.089
 1829.0    0.178   0.089
 1830.0    0.178   0.090
 1831.0    0.179   0.091
 1832.0    0.179   0.091
 1833.0    0.180   0.092
 1834.0    0.180   0.093
 1835.0    0.180   0.093
 1836.0    0.181   0.094
 1837.0    0.181   0.095
 1838.0    0.181   0.095
 1839.0    0.182   0.096
 1840.0    0.182   0.096
