   W          M1+(pi0_p)
 (MeV)       Re        Im
 1093.1     3.86635   0.00000
 1093.2     3.87925   0.00000
 1093.3     3.89214   0.00000
 1093.4     3.90501   0.00000
 1093.5     3.91789   0.00000
 1093.6     3.93075   0.00000
 1093.7     3.94361   0.00000
 1093.8     3.95646   0.00000
 1093.9     3.96930   0.00000
 1094.0     3.98214   0.00000
 1094.1     3.99497   0.00000
 1094.2     4.00779   0.00000
 1094.3     4.02061   0.00000
 1094.4     4.03342   0.00000
 1094.5     4.04623   0.00000
 1094.6     4.05902   0.00000
 1094.7     4.07182   0.00000
 1094.8     4.08460   0.00000
 1094.9     4.09738   0.00000
 1095.0     4.11016   0.00000
 1095.1     4.12293   0.00000
 1095.2     4.13569   0.00000
 1095.3     4.14845   0.00000
 1095.4     4.16120   0.00000
 1095.5     4.17395   0.00000
 1095.6     4.18669   0.00000
 1095.7     4.19943   0.00000
 1095.8     4.21216   0.00000
 1095.9     4.22489   0.00000
 1096.0     4.23761   0.00000
 1096.1     4.25033   0.00000
 1096.2     4.26305   0.00000
 1096.3     4.27576   0.00000
 1096.4     4.28846   0.00000
 1096.5     4.30116   0.00000
 1096.6     4.31386   0.00000
 1096.7     4.32655   0.00000
 1096.8     4.33924   0.00000
 1096.9     4.35192   0.00000
 1097.0     4.36461   0.00000
 1097.1     4.37728   0.00000
 1097.2     4.38996   0.00000
 1097.3     4.40263   0.00000
 1097.4     4.41529   0.00000
 1097.5     4.42795   0.00000
 1097.6     4.44061   0.00000
 1097.7     4.45327   0.00000
 1097.8     4.46592   0.00000
 1097.9     4.47857   0.00000
 1098.0     4.49122   0.00000
 1098.1     4.50386   0.00000
 1098.2     4.51650   0.00000
 1098.3     4.52914   0.00000
 1098.4     4.54177   0.00000
 1098.5     4.55441   0.00000
 1098.6     4.56704   0.00000
 1098.7     4.57966   0.00000
 1098.8     4.59229   0.00000
 1098.9     4.60491   0.00000
 1099.0     4.61753   0.00000
 1099.1     4.63015   0.00000
 1099.2     4.64276   0.00000
 1099.3     4.65537   0.00000
 1099.4     4.66798   0.00000
 1099.5     4.68059   0.00000
 1099.6     4.69320   0.00000
 1099.7     4.70580   0.00000
 1099.8     4.71841   0.00000
 1099.9     4.73101   0.00000
 1100.0     4.74361   0.00000
 1100.1     4.75620   0.00000
 1100.2     4.76880   0.00000
 1100.3     4.78139   0.00000
 1100.4     4.79399   0.00000
 1100.5     4.80658   0.00000
 1100.6     4.81917   0.00000
 1100.7     4.83175   0.00000
 1100.8     4.84434   0.00000
 1100.9     4.85693   0.00000
 1101.0     4.86951   0.00000
 1101.1     4.88210   0.00000
 1101.2     4.89468   0.00000
 1101.3     4.90726   0.00000
 1101.4     4.91984   0.00000
 1101.5     4.93242   0.00000
 1101.6     4.94500   0.00000
 1101.7     4.95757   0.00000
 1101.8     4.97015   0.00000
 1101.9     4.98273   0.00000
 1102.0     4.99530   0.00000
 1102.1     5.00788   0.00000
 1102.2     5.02045   0.00000
 1102.3     5.03303   0.00000
 1102.4     5.04560   0.00000
 1102.5     5.05817   0.00000
 1102.6     5.07074   0.00000
 1102.7     5.08332   0.00000
 1102.8     5.09589   0.00000
 1102.9     5.10846   0.00000
 1103.0     5.12103   0.00000
 1103.1     5.13360   0.00000
 1103.2     5.14617   0.00000
 1103.3     5.15874   0.00000
 1103.4     5.17131   0.00000
 1103.5     5.18388   0.00000
 1103.6     5.19645   0.00000
 1103.7     5.20902   0.00000
 1103.8     5.22160   0.00000
 1103.9     5.23417   0.00000
 1104.0     5.24674   0.00000
 1104.1     5.25931   0.00000
 1104.2     5.27188   0.00000
 1104.3     5.28445   0.00000
 1104.4     5.29703   0.00000
 1104.5     5.30960   0.00000
 1104.6     5.32217   0.00000
 1104.7     5.33475   0.00000
 1104.8     5.34732   0.00000
 1104.9     5.35989   0.00000
 1105.0     5.37247   0.00000
 1105.1     5.38505   0.00000
 1105.2     5.39762   0.00000
 1105.3     5.41020   0.00000
 1105.4     5.42278   0.00000
 1105.5     5.43536   0.00000
 1105.6     5.44794   0.00000
 1105.7     5.46052   0.00000
 1105.8     5.47310   0.00000
 1105.9     5.48568   0.00000
