   W          E0+(pi0_p)
 (MeV)       Re        Im
 1073.3    -1.28768   0.00000
 1073.4    -1.28111   0.00000
 1073.5    -1.27447   0.00000
 1073.6    -1.26776   0.00000
 1073.7    -1.26097   0.00000
 1073.8    -1.25410   0.00000
 1073.9    -1.24716   0.00000
 1074.0    -1.24013   0.00000
 1074.1    -1.23302   0.00000
 1074.2    -1.22582   0.00000
 1074.3    -1.21854   0.00000
 1074.4    -1.21116   0.00000
 1074.5    -1.20369   0.00000
 1074.6    -1.19612   0.00000
 1074.7    -1.18844   0.00000
 1074.8    -1.18067   0.00000
 1074.9    -1.17279   0.00000
 1075.0    -1.16479   0.00000
 1075.1    -1.15668   0.00000
 1075.2    -1.14845   0.00000
 1075.3    -1.14009   0.00000
 1075.4    -1.13161   0.00000
 1075.5    -1.12299   0.00000
 1075.6    -1.11423   0.00000
 1075.7    -1.10532   0.00000
 1075.8    -1.09626   0.00000
 1075.9    -1.08704   0.00000
 1076.0    -1.07766   0.00000
 1076.1    -1.06810   0.00000
 1076.2    -1.05835   0.00000
 1076.3    -1.04842   0.00000
 1076.4    -1.03828   0.00000
 1076.5    -1.02792   0.00000
 1076.6    -1.01734   0.00000
 1076.7    -1.00653   0.00000
 1076.8    -0.99545   0.00000
 1076.9    -0.98411   0.00000
 1077.0    -0.97247   0.00000
 1077.1    -0.96053   0.00000
 1077.2    -0.94825   0.00000
 1077.3    -0.93562   0.00000
 1077.4    -0.92259   0.00000
 1077.5    -0.90914   0.00000
 1077.6    -0.89524   0.00000
 1077.7    -0.88082   0.00000
 1077.8    -0.86584   0.00000
 1077.9    -0.85024   0.00000
 1078.0    -0.83394   0.00000
 1078.1    -0.81684   0.00000
 1078.2    -0.79882   0.00000
 1078.3    -0.77973   0.00000
 1078.4    -0.75939   0.00000
 1078.5    -0.73750   0.00000
 1078.6    -0.71371   0.00000
 1078.7    -0.68744   0.00000
 1078.8    -0.65777   0.00000
 1078.9    -0.62301   0.00000
 1079.0    -0.57932   0.00000
 1079.1    -0.51156   0.00000
 1079.2    -0.44090   0.09754
 1079.3    -0.44211   0.15557
 1079.4    -0.44332   0.19722
 1079.5    -0.44453   0.23152
 1079.6    -0.44574   0.26136
 1079.7    -0.44696   0.28815
 1079.8    -0.44817   0.31266
 1079.9    -0.44938   0.33540
 1080.0    -0.45059   0.35670
 1080.1    -0.45181   0.37681
 1080.2    -0.45302   0.39591
 1080.3    -0.45423   0.41414
 1080.4    -0.45544   0.43161
 1080.5    -0.45666   0.44841
 1080.6    -0.45787   0.46461
 1080.7    -0.45908   0.48028
 1080.8    -0.46030   0.49545
 1080.9    -0.46151   0.51018
 1081.0    -0.46272   0.52451
 1081.1    -0.46394   0.53846
 1081.2    -0.46515   0.55207
 1081.3    -0.46636   0.56536
 1081.4    -0.46758   0.57834
 1081.5    -0.46879   0.59105
 1081.6    -0.47000   0.60350
 1081.7    -0.47122   0.61571
 1081.8    -0.47243   0.62768
 1081.9    -0.47365   0.63943
 1082.0    -0.47486   0.65098
 1082.1    -0.47608   0.66234
 1082.2    -0.47729   0.67350
 1082.3    -0.47851   0.68450
 1082.4    -0.47972   0.69532
 1082.5    -0.48094   0.70598
 1082.6    -0.48215   0.71649
 1082.7    -0.48337   0.72686
 1082.8    -0.48458   0.73708
 1082.9    -0.48580   0.74717
 1083.0    -0.48701   0.75713
 1083.1    -0.48823   0.76696
 1083.2    -0.48945   0.77668
 1083.3    -0.49066   0.78628
 1083.4    -0.49188   0.79577
 1083.5    -0.49309   0.80515
 1083.6    -0.49431   0.81443
 1083.7    -0.49553   0.82361
 1083.8    -0.49674   0.83270
 1083.9    -0.49796   0.84169
 1084.0    -0.49918   0.85059
 1084.1    -0.50039   0.85940
 1084.2    -0.50161   0.86813
 1084.3    -0.50283   0.87677
 1084.4    -0.50404   0.88534
 1084.5    -0.50526   0.89383
 1084.6    -0.50648   0.90224
 1084.7    -0.50770   0.91058
