   W          E1+(pi0_p)
 (MeV)       Re        Im
 1091.9    -0.10667   0.00000
 1092.0    -0.10717   0.00000
 1092.1    -0.10767   0.00000
 1092.2    -0.10816   0.00000
 1092.3    -0.10866   0.00000
 1092.4    -0.10916   0.00000
 1092.5    -0.10966   0.00000
 1092.6    -0.11015   0.00000
 1092.7    -0.11065   0.00000
 1092.8    -0.11115   0.00000
 1092.9    -0.11165   0.00000
 1093.0    -0.11215   0.00000
 1093.1    -0.11265   0.00000
 1093.2    -0.11315   0.00000
 1093.3    -0.11366   0.00000
 1093.4    -0.11416   0.00000
 1093.5    -0.11466   0.00000
 1093.6    -0.11516   0.00000
 1093.7    -0.11567   0.00000
 1093.8    -0.11617   0.00000
 1093.9    -0.11668   0.00000
 1094.0    -0.11718   0.00000
 1094.1    -0.11769   0.00000
 1094.2    -0.11819   0.00000
 1094.3    -0.11870   0.00000
 1094.4    -0.11920   0.00000
 1094.5    -0.11971   0.00000
 1094.6    -0.12022   0.00000
 1094.7    -0.12073   0.00000
 1094.8    -0.12124   0.00000
 1094.9    -0.12175   0.00000
 1095.0    -0.12226   0.00000
 1095.1    -0.12277   0.00000
 1095.2    -0.12328   0.00000
 1095.3    -0.12379   0.00000
 1095.4    -0.12430   0.00000
 1095.5    -0.12481   0.00000
 1095.6    -0.12532   0.00000
 1095.7    -0.12584   0.00000
 1095.8    -0.12635   0.00000
 1095.9    -0.12686   0.00000
 1096.0    -0.12738   0.00000
 1096.1    -0.12789   0.00000
 1096.2    -0.12841   0.00000
 1096.3    -0.12892   0.00000
 1096.4    -0.12944   0.00000
 1096.5    -0.12996   0.00000
 1096.6    -0.13047   0.00000
 1096.7    -0.13099   0.00000
 1096.8    -0.13151   0.00000
 1096.9    -0.13203   0.00000
 1097.0    -0.13255   0.00000
 1097.1    -0.13307   0.00000
 1097.2    -0.13359   0.00000
 1097.3    -0.13411   0.00000
 1097.4    -0.13463   0.00000
 1097.5    -0.13515   0.00000
 1097.6    -0.13567   0.00000
 1097.7    -0.13620   0.00000
 1097.8    -0.13672   0.00000
 1097.9    -0.13724   0.00000
 1098.0    -0.13777   0.00000
 1098.1    -0.13829   0.00000
 1098.2    -0.13882   0.00000
 1098.3    -0.13934   0.00000
 1098.4    -0.13987   0.00000
 1098.5    -0.14040   0.00000
 1098.6    -0.14093   0.00000
 1098.7    -0.14145   0.00000
 1098.8    -0.14198   0.00000
 1098.9    -0.14251   0.00000
 1099.0    -0.14304   0.00000
 1099.1    -0.14357   0.00000
 1099.2    -0.14410   0.00000
 1099.3    -0.14463   0.00000
 1099.4    -0.14516   0.00000
 1099.5    -0.14569   0.00000
 1099.6    -0.14623   0.00000
 1099.7    -0.14676   0.00000
 1099.8    -0.14729   0.00000
 1099.9    -0.14783   0.00000
 1100.0    -0.14836   0.00000
 1100.1    -0.14890   0.00000
 1100.2    -0.14943   0.00000
