   W                 M2-(pip_n)
 (MeV)      Re       DRe      Im       DIm
1128.906    0.778    0.345    0.001    0.001
1131.397    0.751    0.462    0.003    0.002
1137.187    0.581    0.123    0.002    0.000
1145.408    0.810    0.824    0.004    0.004
1153.571    0.747    0.291    0.004    0.002
1154.384    0.418    0.408    0.002    0.002
1159.250    1.481    0.320    0.010    0.002
1161.676    0.671    0.159    0.005    0.001
1169.725    0.900    0.153    0.008    0.001
1170.527    1.010    0.322    0.009    0.003
1177.719    0.895    0.165    0.010    0.002
1185.659    0.711    0.192    0.009    0.002
1187.240    0.754    0.241    0.010    0.003
1193.546    0.465    0.206    0.007    0.003
1199.819    0.679    0.156    0.012    0.003
1201.382    0.822    0.104    0.014    0.002
1203.722    1.157    0.200    0.022    0.004
1209.166    0.945    0.121    0.020    0.003
1216.901    1.340    0.122    0.033    0.003
1220.750    1.070    0.162    0.028    0.004
1224.587    1.071    0.158    0.030    0.004
1232.225    0.938    0.159    0.030    0.005
1236.027    1.196    0.278    0.041    0.010
1239.816    1.145    0.166    0.042    0.006
1240.573    1.322    0.270    0.050    0.010
1247.361    0.658    0.100    0.027    0.004
1251.866    0.547    0.404    0.025    0.018
1254.861    0.859    0.163    0.041    0.008
1258.594    1.221    0.146    0.062    0.007
1262.316    1.281    0.096    0.067    0.005
1268.248    0.698    0.355    0.040    0.021
1269.727    0.876    0.133    0.053    0.008
1276.360    1.135    0.185    0.075    0.012
1277.095    1.160    0.073    0.077    0.005
1283.690    0.851    0.360    0.063    0.027
1284.421    0.908    0.122    0.067    0.009
1291.705    1.040    0.071    0.086    0.006
1295.332    1.149    0.099    0.100    0.009
1298.949    1.345    0.160    0.125    0.015
1306.152    1.238    0.263    0.126    0.027
1313.316    1.485    0.104    0.166    0.012
1314.744    1.451    0.228    0.167    0.026
1320.441    1.746    0.269    0.217    0.033
1322.571    1.307    0.192    0.169    0.025
1327.528    1.310    0.277    0.181    0.038
1331.057    1.136    0.127    0.163    0.018
1336.684    1.167    0.176    0.182    0.028
1341.589    1.459    0.212    0.243    0.035
1348.565    1.371    0.114    0.251    0.021
1349.260    1.862    0.232    0.341    0.043
1350.650    1.902    0.265    0.357    0.050
1358.961    1.836    0.267    0.383    0.056
