   W          E2-(pi0_p)
 (MeV)       Re        Im
 1260.00   -1.05402   0.00000
 1261.00   -1.05606   0.00000
 1262.00   -1.05808   0.00000
 1263.00   -1.06008   0.00000
 1264.00   -1.06206   0.00000
 1265.00   -1.06402   0.00000
 1266.00   -1.06596   0.00000
 1267.00   -1.06788   0.00000
 1268.00   -1.06979   0.00000
 1269.00   -1.07167   0.00000
 1270.00   -1.07354   0.00000
 1271.00   -1.07539   0.00000
 1272.00   -1.07722   0.00000
 1273.00   -1.07903   0.00000
 1274.00   -1.08083   0.00000
 1275.00   -1.08261   0.00000
 1276.00   -1.08437   0.00000
 1277.00   -1.08611   0.00000
 1278.00   -1.08783   0.00000
 1279.00   -1.08954   0.00000
 1280.00   -1.09123   0.00000
 1281.00   -1.09291   0.00000
 1282.00   -1.09457   0.00000
 1283.00   -1.09621   0.00000
 1284.00   -1.09783   0.00000
 1285.00   -1.09944   0.00000
 1286.00   -1.10103   0.00000
 1287.00   -1.10261   0.00000
 1288.00   -1.10417   0.00000
 1289.00   -1.10571   0.00000
 1290.00   -1.10724   0.00000
 1291.00   -1.10876   0.00000
 1292.00   -1.11025   0.00000
 1293.00   -1.11174   0.00000
 1294.00   -1.11321   0.00000
 1295.00   -1.11466   0.00000
 1296.00   -1.11610   0.00000
 1297.00   -1.11752   0.00000
 1298.00   -1.11893   0.00000
 1299.00   -1.12032   0.00000
 1300.00   -1.12170   0.00000
 1301.00   -1.12306   0.00000
 1302.00   -1.12441   0.00000
 1303.00   -1.12575   0.00000
 1304.00   -1.12707   0.00000
 1305.00   -1.12838   0.00000
 1306.00   -1.12967   0.00000
 1307.00   -1.13095   0.00000
 1308.00   -1.13222   0.00000
 1309.00   -1.13348   0.00000
 1310.00   -1.13472   0.00000
 1311.00   -1.13594   0.00000
 1312.00   -1.13716   0.00000
 1313.00   -1.13836   0.00000
 1314.00   -1.13954   0.00000
 1315.00   -1.14072   0.00000
 1316.00   -1.14188   0.00000
 1317.00   -1.14303   0.00000
 1318.00   -1.14417   0.00000
 1319.00   -1.14529   0.00000
 1320.00   -1.14640   0.00000
 1321.00   -1.14750   0.00000
 1322.00   -1.14859   0.00000
 1323.00   -1.14966   0.00000
 1324.00   -1.15073   0.00000
 1325.00   -1.15178   0.00000
 1326.00   -1.15282   0.00000
 1327.00   -1.15384   0.00000
 1328.00   -1.15486   0.00000
 1329.00   -1.15586   0.00000
 1330.00   -1.15685   0.00000
 1331.00   -1.15784   0.00000
 1332.00   -1.15880   0.00000
 1333.00   -1.15976   0.00000
 1334.00   -1.16071   0.00000
 1335.00   -1.16165   0.00000
 1336.00   -1.16257   0.00000
 1337.00   -1.16349   0.00000
 1338.00   -1.16439   0.00000
 1339.00   -1.16528   0.00000
 1340.00   -1.16616   0.00000
 1341.00   -1.16704   0.00000
 1342.00   -1.16790   0.00000
 1343.00   -1.16875   0.00000
 1344.00   -1.16959   0.00000
 1345.00   -1.17042   0.00000
 1346.00   -1.17124   0.00000
 1347.00   -1.17205   0.00000
 1348.00   -1.17284   0.00000
 1349.00   -1.17363   0.00000
 1350.00   -1.17441   0.00000
 1351.00   -1.17518   0.00000
 1352.00   -1.17594   0.00000
 1353.00   -1.17669   0.00000
 1354.00   -1.17743   0.00000
 1355.00   -1.17816   0.00000
 1356.00   -1.17889   0.00000
 1357.00   -1.17960   0.00000
 1358.00   -1.18030   0.00000
 1359.00   -1.18099   0.00000
 1360.00   -1.18168   0.00000
 1361.00   -1.18235   0.00000
 1362.00   -1.18302   0.00000
 1363.00   -1.18368   0.00000
 1364.00   -1.18433   0.00000
 1365.00   -1.18496   0.00000
 1366.00   -1.18559   0.00000
 1367.00   -1.18622   0.00000
 1368.00   -1.18683   0.00000
 1369.00   -1.18743   0.00000
 1370.00   -1.18803   0.00000
 1371.00   -1.18862   0.00000
 1372.00   -1.18920   0.00000
 1373.00   -1.18977   0.00000
 1374.00   -1.19033   0.00000
 1375.00   -1.19088   0.00000
 1376.00   -1.19143   0.00000
 1377.00   -1.19197   0.00000
 1378.00   -1.19250   0.00000
 1379.00   -1.19302   0.00000
