   W          M2-(pi0_p)
 (MeV)       Re        Im
 1272.00    0.06644   0.00000
 1273.00    0.06681   0.00000
 1274.00    0.06719   0.00000
 1275.00    0.06756   0.00000
 1276.00    0.06794   0.00000
 1277.00    0.06831   0.00000
 1278.00    0.06869   0.00000
 1279.00    0.06906   0.00000
 1280.00    0.06944   0.00000
 1281.00    0.06982   0.00000
 1282.00    0.07019   0.00000
 1283.00    0.07057   0.00000
 1284.00    0.07095   0.00000
 1285.00    0.07133   0.00000
 1286.00    0.07170   0.00000
 1287.00    0.07208   0.00000
 1288.00    0.07246   0.00000
 1289.00    0.07284   0.00000
 1290.00    0.07321   0.00000
 1291.00    0.07359   0.00000
 1292.00    0.07397   0.00000
 1293.00    0.07435   0.00000
 1294.00    0.07473   0.00000
 1295.00    0.07511   0.00000
 1296.00    0.07549   0.00000
 1297.00    0.07586   0.00000
 1298.00    0.07624   0.00000
 1299.00    0.07662   0.00000
 1300.00    0.07700   0.00000
 1301.00    0.07738   0.00000
 1302.00    0.07776   0.00000
 1303.00    0.07814   0.00000
 1304.00    0.07852   0.00000
 1305.00    0.07890   0.00000
 1306.00    0.07928   0.00000
 1307.00    0.07966   0.00000
 1308.00    0.08004   0.00000
 1309.00    0.08043   0.00000
 1310.00    0.08081   0.00000
 1311.00    0.08119   0.00000
 1312.00    0.08157   0.00000
 1313.00    0.08195   0.00000
 1314.00    0.08233   0.00000
 1315.00    0.08271   0.00000
 1316.00    0.08309   0.00000
 1317.00    0.08348   0.00000
 1318.00    0.08386   0.00000
 1319.00    0.08424   0.00000
 1320.00    0.08462   0.00000
 1321.00    0.08500   0.00000
 1322.00    0.08539   0.00000
 1323.00    0.08577   0.00000
 1324.00    0.08615   0.00000
 1325.00    0.08653   0.00000
 1326.00    0.08692   0.00000
 1327.00    0.08730   0.00000
 1328.00    0.08768   0.00000
 1329.00    0.08807   0.00000
 1330.00    0.08845   0.00000
 1331.00    0.08883   0.00000
 1332.00    0.08922   0.00000
 1333.00    0.08960   0.00000
 1334.00    0.08998   0.00000
 1335.00    0.09037   0.00000
 1336.00    0.09075   0.00000
 1337.00    0.09113   0.00000
