   W          E3-(pi0_p)
 (MeV)       Re        Im
 1272.00    0.11357   0.00458
 1273.00    0.11451   0.00466
 1274.00    0.11545   0.00474
 1275.00    0.11640   0.00482
 1276.00    0.11735   0.00490
 1277.00    0.11831   0.00499
 1278.00    0.11927   0.00507
 1279.00    0.12024   0.00516
 1280.00    0.12121   0.00525
 1281.00    0.12219   0.00534
 1282.00    0.12317   0.00544
 1283.00    0.12416   0.00554
 1284.00    0.12515   0.00563
 1285.00    0.12614   0.00574
 1286.00    0.12715   0.00584
 1287.00    0.12815   0.00594
 1288.00    0.12916   0.00605
 1289.00    0.13018   0.00616
 1290.00    0.13120   0.00627
 1291.00    0.13222   0.00638
 1292.00    0.13325   0.00649
 1293.00    0.13429   0.00660
 1294.00    0.13533   0.00672
 1295.00    0.13637   0.00683
 1296.00    0.13742   0.00695
 1297.00    0.13848   0.00707
 1298.00    0.13955   0.00718
 1299.00    0.14062   0.00730
 1300.00    0.14170   0.00742
 1301.00    0.14279   0.00753
 1302.00    0.14388   0.00765
 1303.00    0.14499   0.00777
 1304.00    0.14609   0.00789
 1305.00    0.14721   0.00801
 1306.00    0.14833   0.00813
 1307.00    0.14946   0.00825
 1308.00    0.15059   0.00838
 1309.00    0.15172   0.00851
 1310.00    0.15286   0.00864
 1311.00    0.15400   0.00878
 1312.00    0.15515   0.00892
 1313.00    0.15630   0.00906
 1314.00    0.15746   0.00921
 1315.00    0.15862   0.00936
 1316.00    0.15978   0.00951
 1317.00    0.16095   0.00966
 1318.00    0.16213   0.00981
 1319.00    0.16331   0.00996
 1320.00    0.16450   0.01012
 1321.00    0.16570   0.01027
 1322.00    0.16690   0.01042
 1323.00    0.16811   0.01058
 1324.00    0.16933   0.01073
 1325.00    0.17055   0.01089
 1326.00    0.17178   0.01105
 1327.00    0.17302   0.01121
 1328.00    0.17426   0.01137
 1329.00    0.17551   0.01154
 1330.00    0.17677   0.01171
 1331.00    0.17803   0.01188
 1332.00    0.17930   0.01206
 1333.00    0.18058   0.01224
 1334.00    0.18187   0.01242
 1335.00    0.18316   0.01261
 1336.00    0.18445   0.01280
 1337.00    0.18576   0.01299
 1338.00    0.18707   0.01319
 1339.00    0.18839   0.01339
 1340.00    0.18971   0.01359
 1341.00    0.19104   0.01379
 1342.00    0.19238   0.01400
 1343.00    0.19373   0.01421
 1344.00    0.19508   0.01442
 1345.00    0.19644   0.01463
 1346.00    0.19781   0.01485
 1347.00    0.19919   0.01506
 1348.00    0.20058   0.01528
 1349.00    0.20198   0.01550
 1350.00    0.20338   0.01572
 1351.00    0.20480   0.01594
 1352.00    0.20623   0.01616
 1353.00    0.20767   0.01639
 1354.00    0.20911   0.01662
 1355.00    0.21057   0.01685
 1356.00    0.21203   0.01708
 1357.00    0.21350   0.01732
 1358.00    0.21498   0.01756
 1359.00    0.21646   0.01780
 1360.00    0.21795   0.01805
 1361.00    0.21944   0.01831
 1362.00    0.22094   0.01856
 1363.00    0.22245   0.01883
 1364.00    0.22397   0.01909
 1365.00    0.22549   0.01937
 1366.00    0.22702   0.01964
 1367.00    0.22856   0.01992
 1368.00    0.23011   0.02020
 1369.00    0.23168   0.02049
 1370.00    0.23325   0.02078
 1371.00    0.23484   0.02107
 1372.00    0.23644   0.02137
 1373.00    0.23805   0.02167
 1374.00    0.23967   0.02197
 1375.00    0.24130   0.02228
 1376.00    0.24294   0.02259
 1377.00    0.24459   0.02291
 1378.00    0.24624   0.02322
 1379.00    0.24791   0.02355
 1380.00    0.24958   0.02388
 1381.00    0.25126   0.02421
 1382.00    0.25295   0.02455
 1383.00    0.25465   0.02489
 1384.00    0.25635   0.02524
 1385.00    0.25807   0.02559
 1386.00    0.25979   0.02594
 1387.00    0.26153   0.02630
 1388.00    0.26327   0.02666
 1389.00    0.26503   0.02703
 1390.00    0.26680   0.02740
 1391.00    0.26859   0.02777
 1392.00    0.27039   0.02814
 1393.00    0.27220   0.02852
 1394.00    0.27402   0.02891
 1395.00    0.27586   0.02930
 1396.00    0.27771   0.02969
 1397.00    0.27957   0.03009
 1398.00    0.28144   0.03050
 1399.00    0.28333   0.03091
 1400.00    0.28522   0.03133
 1401.00    0.28713   0.03176
 1402.00    0.28905   0.03219
 1403.00    0.29098   0.03263
 1404.00    0.29292   0.03308
 1405.00    0.29488   0.03354
 1406.00    0.29684   0.03400
 1407.00    0.29882   0.03447
 1408.00    0.30081   0.03494
 1409.00    0.30282   0.03543
 1410.00    0.30483   0.03591
 1411.00    0.30686   0.03641
 1412.00    0.30891   0.03691
 1413.00    0.31096   0.03741
 1414.00    0.31303   0.03793
 1415.00    0.31512   0.03845
 1416.00    0.31721   0.03898
 1417.00    0.31932   0.03951
 1418.00    0.32145   0.04005
 1419.00    0.32359   0.04060
 1420.00    0.32574   0.04116
 1421.00    0.32791   0.04173
 1422.00    0.33009   0.04231
 1423.00    0.33229   0.04289
 1424.00    0.33450   0.04348
 1425.00    0.33673   0.04408
 1426.00    0.33897   0.04469
 1427.00    0.34123   0.04530
 1428.00    0.34350   0.04593
 1429.00    0.34578   0.04656
 1430.00    0.34808   0.04720
 1431.00    0.35040   0.04785
 1432.00    0.35273   0.04850
 1433.00    0.35508   0.04916
 1434.00    0.35744   0.04984
 1435.00    0.35982   0.05052
 1436.00    0.36222   0.05121
 1437.00    0.36464   0.05191
 1438.00    0.36707   0.05263
 1439.00    0.36952   0.05335
 1440.00    0.37200   0.05409
 1441.00    0.37449   0.05484
 1442.00    0.37700   0.05560
 1443.00    0.37953   0.05638
 1444.00    0.38208   0.05717
 1445.00    0.38465   0.05797
 1446.00    0.38723   0.05878
 1447.00    0.38983   0.05961
 1448.00    0.39246   0.06044
 1449.00    0.39509   0.06130
 1450.00    0.39775   0.06216
 1451.00    0.40042   0.06304
 1452.00    0.40311   0.06393
 1453.00    0.40581   0.06484
 1454.00    0.40854   0.06576
 1455.00    0.41128   0.06669
 1456.00    0.41404   0.06763
 1457.00    0.41683   0.06859
 1458.00    0.41963   0.06957
 1459.00    0.42246   0.07055
 1460.00    0.42531   0.07156
 1461.00    0.42818   0.07257
 1462.00    0.43108   0.07360
 1463.00    0.43400   0.07465
 1464.00    0.43694   0.07571
 1465.00    0.43991   0.07679
 1466.00    0.44290   0.07789
 1467.00    0.44591   0.07901
 1468.00    0.44895   0.08014
 1469.00    0.45201   0.08130
 1470.00    0.45509   0.08247
 1471.00    0.45820   0.08367
 1472.00    0.46132   0.08488
 1473.00    0.46448   0.08612
 1474.00    0.46765   0.08738
 1475.00    0.47085   0.08866
 1476.00    0.47407   0.08996
 1477.00    0.47732   0.09129
 1478.00    0.48059   0.09263
 1479.00    0.48389   0.09400
 1480.00    0.48721   0.09539
 1481.00    0.49056   0.09680
 1482.00    0.49394   0.09823
 1483.00    0.49734   0.09969
 1484.00    0.50076   0.10117
 1485.00    0.50422   0.10267
 1486.00    0.50770   0.10420
 1487.00    0.51121   0.10576
 1488.00    0.51475   0.10734
 1489.00    0.51832   0.10895
 1490.00    0.52192   0.11058
 1491.00    0.52555   0.11225
 1492.00    0.52921   0.11395
 1493.00    0.53290   0.11567
 1494.00    0.53662   0.11743
 1495.00    0.54037   0.11922
 1496.00    0.54415   0.12104
 1497.00    0.54796   0.12289
 1498.00    0.55181   0.12478
 1499.00    0.55568   0.12671
 1500.00    0.55958   0.12867
 1501.00    0.56352   0.13067
 1502.00    0.56748   0.13270
 1503.00    0.57148   0.13477
 1504.00    0.57551   0.13688
 1505.00    0.57957   0.13903
 1506.00    0.58366   0.14122
 1507.00    0.58779   0.14345
 1508.00    0.59195   0.14572
 1509.00    0.59614   0.14803
 1510.00    0.60037   0.15039
 1511.00    0.60463   0.15278
 1512.00    0.60892   0.15522
 1513.00    0.61325   0.15771
 1514.00    0.61762   0.16024
 1515.00    0.62202   0.16282
 1516.00    0.62645   0.16544
 1517.00    0.63092   0.16812
 1518.00    0.63543   0.17085
 1519.00    0.63997   0.17363
 1520.00    0.64455   0.17647
 1521.00    0.64916   0.17936
 1522.00    0.65381   0.18231
 1523.00    0.65850   0.18531
 1524.00    0.66322   0.18838
 1525.00    0.66798   0.19150
 1526.00    0.67278   0.19469
 1527.00    0.67762   0.19794
 1528.00    0.68249   0.20126
 1529.00    0.68741   0.20464
 1530.00    0.69236   0.20810
 1531.00    0.69736   0.21162
 1532.00    0.70239   0.21521
 1533.00    0.70746   0.21888
 1534.00    0.71257   0.22262
 1535.00    0.71773   0.22643
 1536.00    0.72292   0.23033
 1537.00    0.72815   0.23430
 1538.00    0.73341   0.23835
 1539.00    0.73872   0.24249
 1540.00    0.74406   0.24671
 1541.00    0.74944   0.25102
 1542.00    0.75486   0.25541
 1543.00    0.76032   0.25990
 1544.00    0.76581   0.26448
 1545.00    0.77134   0.26916
 1546.00    0.77691   0.27394
 1547.00    0.78251   0.27881
 1548.00    0.78815   0.28380
 1549.00    0.79382   0.28889
 1550.00    0.79953   0.29409
 1551.00    0.80528   0.29941
 1552.00    0.81105   0.30484
 1553.00    0.81686   0.31038
 1554.00    0.82271   0.31605
 1555.00    0.82859   0.32185
 1556.00    0.83449   0.32776
 1557.00    0.84043   0.33381
 1558.00    0.84640   0.33999
 1559.00    0.85240   0.34630
 1560.00    0.85843   0.35275
 1561.00    0.86449   0.35934
 1562.00    0.87057   0.36607
 1563.00    0.87668   0.37296
 1564.00    0.88281   0.37999
 1565.00    0.88896   0.38717
 1566.00    0.89512   0.39452
 1567.00    0.90131   0.40203
 1568.00    0.90751   0.40971
 1569.00    0.91372   0.41755
 1570.00    0.91994   0.42558
 1571.00    0.92616   0.43378
 1572.00    0.93239   0.44216
 1573.00    0.93863   0.45074
 1574.00    0.94486   0.45950
 1575.00    0.95108   0.46846
 1576.00    0.95731   0.47763
 1577.00    0.96352   0.48699
 1578.00    0.96971   0.49657
 1579.00    0.97589   0.50636
 1580.00    0.98205   0.51637
 1581.00    0.98818   0.52661
 1582.00    0.99429   0.53707
 1583.00    1.00036   0.54776
 1584.00    1.00638   0.55870
 1585.00    1.01236   0.56987
 1586.00    1.01829   0.58130
 1587.00    1.02416   0.59297
 1588.00    1.02996   0.60490
 1589.00    1.03569   0.61710
 1590.00    1.04135   0.62956
 1591.00    1.04691   0.64229
 1592.00    1.05238   0.65530
 1593.00    1.05774   0.66859
 1594.00    1.06300   0.68216
 1595.00    1.06813   0.69603
 1596.00    1.07314   0.71019
 1597.00    1.07800   0.72465
 1598.00    1.08272   0.73941
 1599.00    1.08727   0.75447
 1600.00    1.09166   0.76985
 1601.00    1.09587   0.78554
 1602.00    1.09988   0.80154
 1603.00    1.10368   0.81786
 1604.00    1.10726   0.83451
 1605.00    1.11061   0.85148
 1606.00    1.11371   0.86877
 1607.00    1.11655   0.88638
 1608.00    1.11911   0.90432
 1609.00    1.12138   0.92259
 1610.00    1.12333   0.94119
 1611.00    1.12496   0.96010
 1612.00    1.12625   0.97934
 1613.00    1.12717   0.99890
 1614.00    1.12771   1.01877
 1615.00    1.12786   1.03896
 1616.00    1.12758   1.05946
 1617.00    1.12688   1.08025
 1618.00    1.12571   1.10134
 1619.00    1.12407   1.12272
 1620.00    1.12193   1.14438
 1621.00    1.11928   1.16630
 1622.00    1.11609   1.18849
 1623.00    1.11235   1.21091
 1624.00    1.10802   1.23356
 1625.00    1.10310   1.25643
 1626.00    1.09755   1.27949
 1627.00    1.09137   1.30273
 1628.00    1.08452   1.32613
 1629.00    1.07700   1.34967
 1630.00    1.06877   1.37332
 1631.00    1.05983   1.39706
 1632.00    1.05016   1.42086
 1633.00    1.03974   1.44470
 1634.00    1.02855   1.46854
 1635.00    1.01658   1.49236
 1636.00    1.00382   1.51612
 1637.00    0.99026   1.53979
 1638.00    0.97589   1.56334
 1639.00    0.96070   1.58673
 1640.00    0.94469   1.60991
 1641.00    0.92784   1.63286
 1642.00    0.91017   1.65553
 1643.00    0.89166   1.67789
 1644.00    0.87233   1.69989
 1645.00    0.85218   1.72148
 1646.00    0.83121   1.74264
 1647.00    0.80944   1.76331
 1648.00    0.78688   1.78345
 1649.00    0.76355   1.80302
 1650.00    0.73947   1.82199
 1651.00    0.71465   1.84031
 1652.00    0.68912   1.85793
 1653.00    0.66291   1.87483
 1654.00    0.63605   1.89097
 1655.00    0.60858   1.90630
 1656.00    0.58052   1.92080
 1657.00    0.55191   1.93443
 1658.00    0.52280   1.94717
 1659.00    0.49322   1.95899
 1660.00    0.46323   1.96986
 1661.00    0.43286   1.97976
 1662.00    0.40215   1.98868
 1663.00    0.37117   1.99660
 1664.00    0.33996   2.00350
 1665.00    0.30856   2.00938
 1666.00    0.27702   2.01422
 1667.00    0.24541   2.01803
 1668.00    0.21376   2.02081
 1669.00    0.18213   2.02256
 1670.00    0.15056   2.02327
 1671.00    0.11910   2.02298
 1672.00    0.08781   2.02168
 1673.00    0.05672   2.01939
 1674.00    0.02588   2.01614
 1675.00   -0.00466   2.01193
 1676.00   -0.03487   2.00680
 1677.00   -0.06470   2.00077
 1678.00   -0.09412   1.99387
 1679.00   -0.12310   1.98612
 1680.00   -0.15160   1.97757
 1681.00   -0.17958   1.96823
 1682.00   -0.20704   1.95814
 1683.00   -0.23393   1.94734
 1684.00   -0.26024   1.93586
 1685.00   -0.28594   1.92374
 1686.00   -0.31103   1.91101
 1687.00   -0.33548   1.89770
 1688.00   -0.35928   1.88386
 1689.00   -0.38242   1.86952
