   W          M2+(pi0_p)
 (MeV)       Re        Im
 1260.00   -0.02723   0.00000
 1261.00   -0.02651   0.00000
 1262.00   -0.02578   0.00000
 1263.00   -0.02505   0.00000
 1264.00   -0.02431   0.00000
 1265.00   -0.02355   0.00000
 1266.00   -0.02279   0.00000
 1267.00   -0.02202   0.00000
 1268.00   -0.02124   0.00000
 1269.00   -0.02045   0.00000
 1270.00   -0.01965   0.00000
 1271.00   -0.01885   0.00000
 1272.00   -0.01803   0.00000
 1273.00   -0.01720   0.00000
 1274.00   -0.01637   0.00000
 1275.00   -0.01553   0.00000
 1276.00   -0.01467   0.00000
 1277.00   -0.01381   0.00000
 1278.00   -0.01294   0.00000
 1279.00   -0.01207   0.00000
 1280.00   -0.01118   0.00000
 1281.00   -0.01028   0.00000
 1282.00   -0.00938   0.00000
 1283.00   -0.00846   0.00000
 1284.00   -0.00754   0.00000
 1285.00   -0.00661   0.00000
 1286.00   -0.00567   0.00000
 1287.00   -0.00472   0.00000
 1288.00   -0.00377   0.00000
 1289.00   -0.00280   0.00000
 1290.00   -0.00183   0.00000
 1291.00   -0.00084   0.00000
 1292.00    0.00015   0.00000
 1293.00    0.00115   0.00000
 1294.00    0.00216   0.00000
 1295.00    0.00317   0.00000
 1296.00    0.00420   0.00000
 1297.00    0.00523   0.00000
 1298.00    0.00627   0.00000
 1299.00    0.00732   0.00000
 1300.00    0.00838   0.00000
 1301.00    0.00945   0.00000
 1302.00    0.01052   0.00000
 1303.00    0.01160   0.00000
 1304.00    0.01269   0.00000
 1305.00    0.01379   0.00000
 1306.00    0.01490   0.00000
 1307.00    0.01602   0.00000
 1308.00    0.01714   0.00000
 1309.00    0.01827   0.00000
 1310.00    0.01941   0.00000
 1311.00    0.02056   0.00000
 1312.00    0.02171   0.00000
 1313.00    0.02288   0.00000
 1314.00    0.02405   0.00000
 1315.00    0.02523   0.00000
 1316.00    0.02641   0.00000
 1317.00    0.02761   0.00000
 1318.00    0.02881   0.00000
 1319.00    0.03002   0.00000
 1320.00    0.03124   0.00000
 1321.00    0.03246   0.00000
 1322.00    0.03370   0.00000
 1323.00    0.03494   0.00000
 1324.00    0.03619   0.00000
 1325.00    0.03744   0.00000
 1326.00    0.03871   0.00000
 1327.00    0.03998   0.00000
 1328.00    0.04125   0.00000
 1329.00    0.04254   0.00000
 1330.00    0.04383   0.00000
 1331.00    0.04513   0.00000
 1332.00    0.04644   0.00000
 1333.00    0.04776   0.00000
 1334.00    0.04908   0.00000
 1335.00    0.05041   0.00000
 1336.00    0.05175   0.00000
 1337.00    0.05309   0.00000
 1338.00    0.05444   0.00000
 1339.00    0.05580   0.00000
 1340.00    0.05717   0.00000
 1341.00    0.05854   0.00000
 1342.00    0.05992   0.00000
 1343.00    0.06131   0.00000
 1344.00    0.06270   0.00000
 1345.00    0.06410   0.00000
 1346.00    0.06551   0.00000
 1347.00    0.06692   0.00000
 1348.00    0.06835   0.00000
 1349.00    0.06977   0.00000
 1350.00    0.07121   0.00000
 1351.00    0.07265   0.00000
 1352.00    0.07410   0.00000
 1353.00    0.07555   0.00000
 1354.00    0.07702   0.00000
 1355.00    0.07848   0.00000
 1356.00    0.07996   0.00000
 1357.00    0.08144   0.00000
 1358.00    0.08293   0.00000
 1359.00    0.08442   0.00000
 1360.00    0.08593   0.00000
 1361.00    0.08743   0.00000
 1362.00    0.08895   0.00000
 1363.00    0.09047   0.00000
 1364.00    0.09199   0.00000
 1365.00    0.09353   0.00000
 1366.00    0.09507   0.00000
 1367.00    0.09661   0.00000
 1368.00    0.09816   0.00000
 1369.00    0.09972   0.00000
 1370.00    0.10129   0.00000
 1371.00    0.10286   0.00000
 1372.00    0.10443   0.00000
 1373.00    0.10601   0.00000
 1374.00    0.10760   0.00000
 1375.00    0.10920   0.00000
 1376.00    0.11080   0.00000
 1377.00    0.11240   0.00000
 1378.00    0.11402   0.00000
 1379.00    0.11563   0.00000
 1380.00    0.11726   0.00000
 1381.00    0.11889   0.00000
 1382.00    0.12052   0.00000
 1383.00    0.12216   0.00000
 1384.00    0.12381   0.00000
 1385.00    0.12546   0.00000
 1386.00    0.12712   0.00000
 1387.00    0.12879   0.00000
 1388.00    0.13045   0.00000
 1389.00    0.13213   0.00000
 1390.00    0.13381   0.00000
 1391.00    0.13550   0.00000
 1392.00    0.13719   0.00000
 1393.00    0.13888   0.00000
 1394.00    0.14059   0.00000
 1395.00    0.14229   0.00000
 1396.00    0.14401   0.00000
 1397.00    0.14573   0.00000
 1398.00    0.14745   0.00000
 1399.00    0.14918   0.00000
 1400.00    0.15091   0.00000
 1401.00    0.15265   0.00000
 1402.00    0.15440   0.00000
 1403.00    0.15615   0.00000
 1404.00    0.15790   0.00000
 1405.00    0.15966   0.00000
 1406.00    0.16142   0.00000
 1407.00    0.16319   0.00000
 1408.00    0.16497   0.00000
 1409.00    0.16675   0.00000
 1410.00    0.16853   0.00000
 1411.00    0.17032   0.00000
 1412.00    0.17212   0.00000
 1413.00    0.17391   0.00000
 1414.00    0.17572   0.00000
 1415.00    0.17753   0.00000
 1416.00    0.17934   0.00000
 1417.00    0.18116   0.00000
 1418.00    0.18298   0.00000
 1419.00    0.18481   0.00000
 1420.00    0.18664   0.00000
 1421.00    0.18847   0.00000
 1422.00    0.19032   0.00000
 1423.00    0.19216   0.00000
 1424.00    0.19401   0.00000
 1425.00    0.19587   0.00000
 1426.00    0.19772   0.00000
 1427.00    0.19959   0.00000
 1428.00    0.20145   0.00000
 1429.00    0.20333   0.00000
 1430.00    0.20520   0.00000
 1431.00    0.20708   0.00000
 1432.00    0.20897   0.00000
 1433.00    0.21086   0.00000
 1434.00    0.21275   0.00000
 1435.00    0.21465   0.00000
 1436.00    0.21655   0.00000
 1437.00    0.21845   0.00000
 1438.00    0.22036   0.00000
 1439.00    0.22227   0.00000
 1440.00    0.22419   0.00000
 1441.00    0.22611   0.00000
 1442.00    0.22804   0.00000
 1443.00    0.22997   0.00000
 1444.00    0.23190   0.00000
 1445.00    0.23384   0.00000
 1446.00    0.23578   0.00000
 1447.00    0.23772   0.00000
 1448.00    0.23967   0.00000
 1449.00    0.24162   0.00000
 1450.00    0.24358   0.00000
 1451.00    0.24554   0.00000
 1452.00    0.24750   0.00000
 1453.00    0.24947   0.00000
 1454.00    0.25144   0.00000
 1455.00    0.25341   0.00000
 1456.00    0.25539   0.00000
 1457.00    0.25737   0.00000
 1458.00    0.25936   0.00000
 1459.00    0.26135   0.00000
 1460.00    0.26334   0.00000
 1461.00    0.26533   0.00000
 1462.00    0.26733   0.00000
 1463.00    0.26933   0.00000
 1464.00    0.27134   0.00000
 1465.00    0.27335   0.00000
 1466.00    0.27536   0.00000
 1467.00    0.27737   0.00000
 1468.00    0.27939   0.00000
 1469.00    0.28141   0.00000
 1470.00    0.28344   0.00000
 1471.00    0.28546   0.00000
 1472.00    0.28749   0.00000
 1473.00    0.28953   0.00000
 1474.00    0.29156   0.00000
 1475.00    0.29360   0.00000
 1476.00    0.29565   0.00000
 1477.00    0.29769   0.00000
 1478.00    0.29974   0.00000
 1479.00    0.30179   0.00000
 1480.00    0.30385   0.00000
 1481.00    0.30591   0.00000
 1482.00    0.30797   0.00000
 1483.00    0.31003   0.00000
 1484.00    0.31209   0.00000
 1485.00    0.31416   0.00000
 1486.00    0.31624   0.00000
 1487.00    0.31831   0.00000
 1488.00    0.32039   0.00000
 1489.00    0.32247   0.00000
 1490.00    0.32455   0.00000
 1491.00    0.32663   0.00000
 1492.00    0.32872   0.00000
 1493.00    0.33081   0.00000
 1494.00    0.33290   0.00000
 1495.00    0.33500   0.00000
 1496.00    0.33710   0.00000
 1497.00    0.33920   0.00000
 1498.00    0.34130   0.00000
 1499.00    0.34340   0.00000
 1500.00    0.34551   0.00000
 1501.00    0.34762   0.00000
 1502.00    0.34973   0.00000
 1503.00    0.35185   0.00000
 1504.00    0.35396   0.00000
 1505.00    0.35608   0.00000
 1506.00    0.35820   0.00000
 1507.00    0.36033   0.00000
 1508.00    0.36245   0.00000
 1509.00    0.36458   0.00000
 1510.00    0.36671   0.00000
 1511.00    0.36884   0.00000
 1512.00    0.37098   0.00000
 1513.00    0.37311   0.00000
 1514.00    0.37525   0.00000
 1515.00    0.37739   0.00000
 1516.00    0.37954   0.00000
 1517.00    0.38168   0.00000
 1518.00    0.38383   0.00000
 1519.00    0.38598   0.00000
 1520.00    0.38813   0.00000
 1521.00    0.39028   0.00000
 1522.00    0.39243   0.00000
 1523.00    0.39459   0.00000
 1524.00    0.39675   0.00000
 1525.00    0.39891   0.00000
 1526.00    0.40107   0.00000
 1527.00    0.40323   0.00000
 1528.00    0.40540   0.00000
 1529.00    0.40756   0.00000
 1530.00    0.40973   0.00000
 1531.00    0.41190   0.00000
 1532.00    0.41407   0.00000
 1533.00    0.41625   0.00000
 1534.00    0.41842   0.00000
 1535.00    0.42060   0.00000
 1536.00    0.42278   0.00000
 1537.00    0.42496   0.00000
 1538.00    0.42714   0.00000
 1539.00    0.42932   0.00000
 1540.00    0.43150   0.00000
 1541.00    0.43369   0.00000
 1542.00    0.43588   0.00000
 1543.00    0.43807   0.00000
 1544.00    0.44026   0.00000
 1545.00    0.44245   0.00000
 1546.00    0.44464   0.00000
 1547.00    0.44683   0.00000
 1548.00    0.44903   0.00000
 1549.00    0.45123   0.00000
 1550.00    0.45343   0.00000
 1551.00    0.45562   0.00000
 1552.00    0.45783   0.00000
 1553.00    0.46003   0.00000
 1554.00    0.46223   0.00000
