   W          M2+(pi0_p)
 (MeV)       Re        Im
 1251.00   -0.03320  -0.00522
 1252.00   -0.03256  -0.00527
 1253.00   -0.03192  -0.00533
 1254.00   -0.03127  -0.00538
 1255.00   -0.03060  -0.00544
 1256.00   -0.02993  -0.00549
 1257.00   -0.02925  -0.00555
 1258.00   -0.02856  -0.00561
 1259.00   -0.02786  -0.00567
 1260.00   -0.02716  -0.00572
 1261.00   -0.02644  -0.00578
 1262.00   -0.02571  -0.00585
 1263.00   -0.02498  -0.00591
 1264.00   -0.02423  -0.00597
 1265.00   -0.02348  -0.00603
 1266.00   -0.02271  -0.00609
 1267.00   -0.02194  -0.00616
 1268.00   -0.02116  -0.00622
 1269.00   -0.02037  -0.00628
 1270.00   -0.01957  -0.00634
 1271.00   -0.01876  -0.00640
 1272.00   -0.01794  -0.00646
 1273.00   -0.01711  -0.00652
 1274.00   -0.01628  -0.00657
 1275.00   -0.01543  -0.00663
 1276.00   -0.01458  -0.00669
 1277.00   -0.01372  -0.00674
 1278.00   -0.01285  -0.00680
 1279.00   -0.01196  -0.00685
 1280.00   -0.01108  -0.00691
 1281.00   -0.01018  -0.00696
 1282.00   -0.00927  -0.00702
 1283.00   -0.00835  -0.00707
 1284.00   -0.00743  -0.00713
 1285.00   -0.00650  -0.00719
 1286.00   -0.00556  -0.00724
 1287.00   -0.00461  -0.00730
 1288.00   -0.00365  -0.00736
 1289.00   -0.00268  -0.00741
 1290.00   -0.00171  -0.00747
 1291.00   -0.00072  -0.00753
 1292.00    0.00027  -0.00759
 1293.00    0.00127  -0.00764
 1294.00    0.00228  -0.00770
 1295.00    0.00330  -0.00776
 1296.00    0.00432  -0.00782
 1297.00    0.00536  -0.00788
 1298.00    0.00640  -0.00793
 1299.00    0.00746  -0.00799
 1300.00    0.00852  -0.00805
 1301.00    0.00959  -0.00810
 1302.00    0.01068  -0.00816
 1303.00    0.01177  -0.00821
 1304.00    0.01287  -0.00826
 1305.00    0.01397  -0.00832
 1306.00    0.01509  -0.00837
 1307.00    0.01622  -0.00842
 1308.00    0.01735  -0.00848
 1309.00    0.01849  -0.00853
 1310.00    0.01963  -0.00858
 1311.00    0.02079  -0.00864
 1312.00    0.02195  -0.00869
 1313.00    0.02311  -0.00875
 1314.00    0.02429  -0.00880
 1315.00    0.02547  -0.00886
 1316.00    0.02666  -0.00891
 1317.00    0.02785  -0.00897
 1318.00    0.02906  -0.00902
 1319.00    0.03027  -0.00908
 1320.00    0.03149  -0.00913
 1321.00    0.03271  -0.00918
 1322.00    0.03395  -0.00923
 1323.00    0.03519  -0.00928
 1324.00    0.03644  -0.00933
 1325.00    0.03769  -0.00938
 1326.00    0.03896  -0.00943
 1327.00    0.04023  -0.00948
 1328.00    0.04152  -0.00953
 1329.00    0.04281  -0.00958
 1330.00    0.04411  -0.00963
 1331.00    0.04541  -0.00968
 1332.00    0.04673  -0.00974
 1333.00    0.04805  -0.00979
 1334.00    0.04939  -0.00984
 1335.00    0.05073  -0.00989
 1336.00    0.05207  -0.00994
 1337.00    0.05343  -0.01000
 1338.00    0.05479  -0.01005
 1339.00    0.05615  -0.01010
 1340.00    0.05752  -0.01015
 1341.00    0.05890  -0.01020
 1342.00    0.06029  -0.01026
 1343.00    0.06168  -0.01031
 1344.00    0.06307  -0.01036
 1345.00    0.06447  -0.01041
 1346.00    0.06588  -0.01046
 1347.00    0.06730  -0.01051
 1348.00    0.06872  -0.01055
 1349.00    0.07016  -0.01060
 1350.00    0.07160  -0.01064
 1351.00    0.07304  -0.01069
 1352.00    0.07450  -0.01073
 1353.00    0.07596  -0.01078
 1354.00    0.07743  -0.01082
 1355.00    0.07891  -0.01086
 1356.00    0.08039  -0.01090
 1357.00    0.08188  -0.01095
 1358.00    0.08338  -0.01099
 1359.00    0.08488  -0.01104
 1360.00    0.08640  -0.01108
 1361.00    0.08791  -0.01113
 1362.00    0.08944  -0.01118
 1363.00    0.09097  -0.01123
 1364.00    0.09250  -0.01127
 1365.00    0.09404  -0.01132
 1366.00    0.09559  -0.01137
 1367.00    0.09715  -0.01142
 1368.00    0.09871  -0.01147
 1369.00    0.10027  -0.01151
 1370.00    0.10184  -0.01156
 1371.00    0.10342  -0.01160
 1372.00    0.10500  -0.01164
 1373.00    0.10659  -0.01169
 1374.00    0.10819  -0.01172
 1375.00    0.10979  -0.01176
 1376.00    0.11140  -0.01180
 1377.00    0.11301  -0.01184
 1378.00    0.11464  -0.01188
 1379.00    0.11626  -0.01192
 1380.00    0.11790  -0.01196
 1381.00    0.11954  -0.01200
 1382.00    0.12119  -0.01204
 1383.00    0.12285  -0.01208
 1384.00    0.12451  -0.01212
 1385.00    0.12618  -0.01216
 1386.00    0.12785  -0.01221
 1387.00    0.12953  -0.01225
 1388.00    0.13121  -0.01229
 1389.00    0.13290  -0.01234
 1390.00    0.13459  -0.01238
 1391.00    0.13628  -0.01242
 1392.00    0.13798  -0.01246
 1393.00    0.13969  -0.01250
 1394.00    0.14140  -0.01254
 1395.00    0.14311  -0.01258
 1396.00    0.14483  -0.01262
 1397.00    0.14656  -0.01266
 1398.00    0.14829  -0.01270
 1399.00    0.15003  -0.01273
 1400.00    0.15177  -0.01277
 1401.00    0.15353  -0.01280
 1402.00    0.15529  -0.01284
 1403.00    0.15705  -0.01287
 1404.00    0.15883  -0.01290
 1405.00    0.16060  -0.01293
 1406.00    0.16239  -0.01296
 1407.00    0.16418  -0.01299
 1408.00    0.16597  -0.01303
 1409.00    0.16777  -0.01306
 1410.00    0.16957  -0.01309
 1411.00    0.17137  -0.01312
 1412.00    0.17318  -0.01316
 1413.00    0.17499  -0.01319
 1414.00    0.17681  -0.01323
 1415.00    0.17863  -0.01326
 1416.00    0.18045  -0.01329
 1417.00    0.18228  -0.01333
 1418.00    0.18412  -0.01336
 1419.00    0.18596  -0.01339
 1420.00    0.18780  -0.01342
 1421.00    0.18965  -0.01345
