   W          M2+(pi0_p)
 (MeV)       Re        Im
 1260.00   -0.26598   0.00000
 1261.00   -0.26761   0.00000
 1262.00   -0.26924   0.00000
 1263.00   -0.27087   0.00000
 1264.00   -0.27250   0.00000
 1265.00   -0.27413   0.00000
 1266.00   -0.27577   0.00000
 1267.00   -0.27740   0.00000
 1268.00   -0.27904   0.00000
 1269.00   -0.28068   0.00000
 1270.00   -0.28232   0.00000
 1271.00   -0.28396   0.00000
 1272.00   -0.28560   0.00000
 1273.00   -0.28724   0.00000
 1274.00   -0.28888   0.00000
 1275.00   -0.29053   0.00000
 1276.00   -0.29217   0.00000
 1277.00   -0.29382   0.00000
 1278.00   -0.29547   0.00000
 1279.00   -0.29712   0.00000
 1280.00   -0.29877   0.00000
 1281.00   -0.30042   0.00000
 1282.00   -0.30207   0.00000
 1283.00   -0.30372   0.00000
 1284.00   -0.30537   0.00000
 1285.00   -0.30703   0.00000
 1286.00   -0.30868   0.00000
 1287.00   -0.31034   0.00000
 1288.00   -0.31200   0.00000
 1289.00   -0.31366   0.00000
 1290.00   -0.31531   0.00000
 1291.00   -0.31697   0.00000
 1292.00   -0.31864   0.00000
 1293.00   -0.32030   0.00000
 1294.00   -0.32196   0.00000
 1295.00   -0.32362   0.00000
 1296.00   -0.32529   0.00000
 1297.00   -0.32695   0.00000
 1298.00   -0.32862   0.00000
 1299.00   -0.33029   0.00000
 1300.00   -0.33195   0.00000
 1301.00   -0.33362   0.00000
 1302.00   -0.33529   0.00000
 1303.00   -0.33696   0.00000
 1304.00   -0.33863   0.00000
 1305.00   -0.34030   0.00000
 1306.00   -0.34197   0.00000
 1307.00   -0.34365   0.00000
 1308.00   -0.34532   0.00000
 1309.00   -0.34699   0.00000
 1310.00   -0.34867   0.00000
 1311.00   -0.35035   0.00000
 1312.00   -0.35202   0.00000
 1313.00   -0.35370   0.00000
 1314.00   -0.35538   0.00000
 1315.00   -0.35705   0.00000
 1316.00   -0.35873   0.00000
 1317.00   -0.36041   0.00000
 1318.00   -0.36209   0.00000
 1319.00   -0.36377   0.00000
 1320.00   -0.36546   0.00000
 1321.00   -0.36714   0.00000
 1322.00   -0.36882   0.00000
 1323.00   -0.37050   0.00000
 1324.00   -0.37219   0.00000
 1325.00   -0.37387   0.00000
 1326.00   -0.37556   0.00000
 1327.00   -0.37724   0.00000
 1328.00   -0.37893   0.00000
 1329.00   -0.38062   0.00000
 1330.00   -0.38230   0.00000
 1331.00   -0.38399   0.00000
 1332.00   -0.38568   0.00000
 1333.00   -0.38737   0.00000
 1334.00   -0.38905   0.00000
 1335.00   -0.39074   0.00000
 1336.00   -0.39243   0.00000
 1337.00   -0.39412   0.00000
 1338.00   -0.39582   0.00000
 1339.00   -0.39751   0.00000
 1340.00   -0.39920   0.00000
 1341.00   -0.40089   0.00000
 1342.00   -0.40258   0.00000
 1343.00   -0.40428   0.00000
 1344.00   -0.40597   0.00000
 1345.00   -0.40766   0.00000
 1346.00   -0.40936   0.00000
 1347.00   -0.41105   0.00000
 1348.00   -0.41275   0.00000
 1349.00   -0.41444   0.00000
 1350.00   -0.41614   0.00000
 1351.00   -0.41783   0.00000
 1352.00   -0.41953   0.00000
 1353.00   -0.42122   0.00000
 1354.00   -0.42292   0.00000
 1355.00   -0.42462   0.00000
 1356.00   -0.42632   0.00000
 1357.00   -0.42801   0.00000
 1358.00   -0.42971   0.00000
 1359.00   -0.43141   0.00000
 1360.00   -0.43311   0.00000
 1361.00   -0.43481   0.00000
 1362.00   -0.43651   0.00000
 1363.00   -0.43821   0.00000
 1364.00   -0.43990   0.00000
 1365.00   -0.44160   0.00000
 1366.00   -0.44330   0.00000
 1367.00   -0.44500   0.00000
 1368.00   -0.44670   0.00000
 1369.00   -0.44841   0.00000
 1370.00   -0.45011   0.00000
 1371.00   -0.45181   0.00000
 1372.00   -0.45351   0.00000
 1373.00   -0.45521   0.00000
 1374.00   -0.45691   0.00000
 1375.00   -0.45861   0.00000
 1376.00   -0.46031   0.00000
 1377.00   -0.46202   0.00000
 1378.00   -0.46372   0.00000
 1379.00   -0.46542   0.00000
 1380.00   -0.46712   0.00000
 1381.00   -0.46882   0.00000
 1382.00   -0.47053   0.00000
 1383.00   -0.47223   0.00000
 1384.00   -0.47393   0.00000
 1385.00   -0.47563   0.00000
 1386.00   -0.47734   0.00000
 1387.00   -0.47904   0.00000
 1388.00   -0.48074   0.00000
 1389.00   -0.48245   0.00000
 1390.00   -0.48415   0.00000
 1391.00   -0.48585   0.00000
 1392.00   -0.48755   0.00000
 1393.00   -0.48926   0.00000
 1394.00   -0.49096   0.00000
 1395.00   -0.49266   0.00000
 1396.00   -0.49437   0.00000
 1397.00   -0.49607   0.00000
 1398.00   -0.49777   0.00000
 1399.00   -0.49948   0.00000
 1400.00   -0.50118   0.00000
 1401.00   -0.50288   0.00000
 1402.00   -0.50459   0.00000
 1403.00   -0.50629   0.00000
 1404.00   -0.50799   0.00000
 1405.00   -0.50969   0.00000
 1406.00   -0.51140   0.00000
 1407.00   -0.51310   0.00000
 1408.00   -0.51480   0.00000
 1409.00   -0.51651   0.00000
 1410.00   -0.51821   0.00000
 1411.00   -0.51991   0.00000
 1412.00   -0.52161   0.00000
 1413.00   -0.52332   0.00000
 1414.00   -0.52502   0.00000
 1415.00   -0.52672   0.00000
 1416.00   -0.52842   0.00000
 1417.00   -0.53012   0.00000
 1418.00   -0.53183   0.00000
 1419.00   -0.53353   0.00000
 1420.00   -0.53523   0.00000
 1421.00   -0.53693   0.00000
 1422.00   -0.53863   0.00000
 1423.00   -0.54033   0.00000
 1424.00   -0.54203   0.00000
 1425.00   -0.54373   0.00000
 1426.00   -0.54543   0.00000
 1427.00   -0.54713   0.00000
 1428.00   -0.54883   0.00000
 1429.00   -0.55053   0.00000
 1430.00   -0.55223   0.00000
 1431.00   -0.55393   0.00000
 1432.00   -0.55563   0.00000
 1433.00   -0.55733   0.00000
 1434.00   -0.55903   0.00000
 1435.00   -0.56073   0.00000
 1436.00   -0.56243   0.00000
 1437.00   -0.56413   0.00000
 1438.00   -0.56582   0.00000
 1439.00   -0.56752   0.00000
 1440.00   -0.56922   0.00000
 1441.00   -0.57092   0.00000
 1442.00   -0.57261   0.00000
 1443.00   -0.57431   0.00000
 1444.00   -0.57601   0.00000
 1445.00   -0.57770   0.00000
 1446.00   -0.57940   0.00000
 1447.00   -0.58109   0.00000
 1448.00   -0.58279   0.00000
 1449.00   -0.58448   0.00000
 1450.00   -0.58618   0.00000
 1451.00   -0.58787   0.00000
 1452.00   -0.58957   0.00000
 1453.00   -0.59126   0.00000
 1454.00   -0.59296   0.00000
 1455.00   -0.59465   0.00000
 1456.00   -0.59634   0.00000
 1457.00   -0.59803   0.00000
 1458.00   -0.59973   0.00000
 1459.00   -0.60142   0.00000
 1460.00   -0.60311   0.00000
 1461.00   -0.60480   0.00000
 1462.00   -0.60649   0.00000
 1463.00   -0.60818   0.00000
 1464.00   -0.60987   0.00000
 1465.00   -0.61156   0.00000
 1466.00   -0.61325   0.00000
 1467.00   -0.61494   0.00000
 1468.00   -0.61663   0.00000
 1469.00   -0.61832   0.00000
 1470.00   -0.62000   0.00000
 1471.00   -0.62169   0.00000
 1472.00   -0.62338   0.00000
 1473.00   -0.62506   0.00000
 1474.00   -0.62675   0.00000
 1475.00   -0.62843   0.00000
 1476.00   -0.63012   0.00000
 1477.00   -0.63180   0.00000
 1478.00   -0.63349   0.00000
 1479.00   -0.63517   0.00000
 1480.00   -0.63686   0.00000
 1481.00   -0.63854   0.00000
 1482.00   -0.64022   0.00000
 1483.00   -0.64190   0.00000
 1484.00   -0.64359   0.00000
 1485.00   -0.64527   0.00000
 1486.00   -0.64695   0.00000
 1487.00   -0.64863   0.00000
 1488.00   -0.65031   0.00000
 1489.00   -0.65199   0.00000
 1490.00   -0.65367   0.00000
 1491.00   -0.65534   0.00000
 1492.00   -0.65702   0.00000
 1493.00   -0.65870   0.00000
 1494.00   -0.66038   0.00000
 1495.00   -0.66205   0.00000
 1496.00   -0.66373   0.00000
 1497.00   -0.66540   0.00000
 1498.00   -0.66708   0.00000
 1499.00   -0.66875   0.00000
 1500.00   -0.67043   0.00000
 1501.00   -0.67210   0.00000
 1502.00   -0.67377   0.00000
 1503.00   -0.67544   0.00000
 1504.00   -0.67712   0.00000
 1505.00   -0.67879   0.00000
 1506.00   -0.68046   0.00000
 1507.00   -0.68213   0.00000
 1508.00   -0.68380   0.00000
 1509.00   -0.68547   0.00000
 1510.00   -0.68713   0.00000
 1511.00   -0.68880   0.00000
 1512.00   -0.69047   0.00000
 1513.00   -0.69214   0.00000
 1514.00   -0.69380   0.00000
 1515.00   -0.69547   0.00000
 1516.00   -0.69713   0.00000
 1517.00   -0.69880   0.00000
 1518.00   -0.70046   0.00000
 1519.00   -0.70212   0.00000
 1520.00   -0.70379   0.00000
 1521.00   -0.70545   0.00000
 1522.00   -0.70711   0.00000
 1523.00   -0.70877   0.00000
 1524.00   -0.71043   0.00000
 1525.00   -0.71209   0.00000
 1526.00   -0.71375   0.00000
 1527.00   -0.71541   0.00000
 1528.00   -0.71706   0.00000
 1529.00   -0.71872   0.00000
 1530.00   -0.72038   0.00000
 1531.00   -0.72203   0.00000
 1532.00   -0.72369   0.00000
 1533.00   -0.72534   0.00000
 1534.00   -0.72700   0.00000
 1535.00   -0.72865   0.00000
 1536.00   -0.73030   0.00000
 1537.00   -0.73195   0.00000
 1538.00   -0.73361   0.00000
 1539.00   -0.73526   0.00000
 1540.00   -0.73691   0.00000
 1541.00   -0.73856   0.00000
 1542.00   -0.74020   0.00000
 1543.00   -0.74185   0.00000
 1544.00   -0.74350   0.00000
 1545.00   -0.74515   0.00000
 1546.00   -0.74679   0.00000
 1547.00   -0.74844   0.00000
 1548.00   -0.75008   0.00000
 1549.00   -0.75172   0.00000
 1550.00   -0.75337   0.00000
 1551.00   -0.75501   0.00000
 1552.00   -0.75665   0.00000
 1553.00   -0.75829   0.00000
 1554.00   -0.75993   0.00000
 1555.00   -0.76157   0.00000
 1556.00   -0.76321   0.00000
 1557.00   -0.76485   0.00000
 1558.00   -0.76649   0.00000
 1559.00   -0.76812   0.00000
 1560.00   -0.76976   0.00000
 1561.00   -0.77140   0.00000
 1562.00   -0.77303   0.00000
 1563.00   -0.77466   0.00000
 1564.00   -0.77630   0.00000
 1565.00   -0.77793   0.00000
 1566.00   -0.77956   0.00000
 1567.00   -0.78119   0.00000
 1568.00   -0.78282   0.00000
 1569.00   -0.78445   0.00000
 1570.00   -0.78608   0.00000
 1571.00   -0.78771   0.00000
 1572.00   -0.78933   0.00000
 1573.00   -0.79096   0.00000
 1574.00   -0.79259   0.00000
 1575.00   -0.79421   0.00000
 1576.00   -0.79584   0.00000
 1577.00   -0.79746   0.00000
 1578.00   -0.79908   0.00000
 1579.00   -0.80070   0.00000
 1580.00   -0.80232   0.00000
 1581.00   -0.80394   0.00000
 1582.00   -0.80556   0.00000
 1583.00   -0.80718   0.00000
 1584.00   -0.80880   0.00000
 1585.00   -0.81042   0.00000
 1586.00   -0.81203   0.00000
 1587.00   -0.81365   0.00000
 1588.00   -0.81526   0.00000
 1589.00   -0.81688   0.00000
 1590.00   -0.81849   0.00000
 1591.00   -0.82010   0.00000
 1592.00   -0.82171   0.00000
 1593.00   -0.82332   0.00000
 1594.00   -0.82493   0.00000
 1595.00   -0.82654   0.00000
 1596.00   -0.82815   0.00000
 1597.00   -0.82976   0.00000
 1598.00   -0.83137   0.00000
 1599.00   -0.83297   0.00000
 1600.00   -0.83458   0.00000
 1601.00   -0.83618   0.00000
 1602.00   -0.83778   0.00000
 1603.00   -0.83939   0.00000
 1604.00   -0.84099   0.00000
 1605.00   -0.84259   0.00000
 1606.00   -0.84419   0.00000
 1607.00   -0.84579   0.00000
 1608.00   -0.84739   0.00000
 1609.00   -0.84898   0.00000
 1610.00   -0.85058   0.00000
 1611.00   -0.85218   0.00000
 1612.00   -0.85377   0.00000
 1613.00   -0.85537   0.00000
 1614.00   -0.85696   0.00000
 1615.00   -0.85855   0.00000
 1616.00   -0.86014   0.00000
 1617.00   -0.86173   0.00000
 1618.00   -0.86332   0.00000
 1619.00   -0.86491   0.00000
 1620.00   -0.86650   0.00000
 1621.00   -0.86809   0.00000
 1622.00   -0.86967   0.00000
 1623.00   -0.87126   0.00000
 1624.00   -0.87284   0.00000
 1625.00   -0.87443   0.00000
 1626.00   -0.87601   0.00000
 1627.00   -0.87759   0.00000
 1628.00   -0.87917   0.00000
 1629.00   -0.88075   0.00000
 1630.00   -0.88233   0.00000
 1631.00   -0.88391   0.00000
 1632.00   -0.88549   0.00000
