   W          M1-(pi0_p)
 (MeV)       Re        Im
 1260.00   -1.42973   0.59037
 1261.00   -1.41434   0.59901
 1262.00   -1.39876   0.60779
 1263.00   -1.38300   0.61670
 1264.00   -1.36707   0.62577
 1265.00   -1.35098   0.63500
 1266.00   -1.33475   0.64440
 1267.00   -1.31837   0.65398
 1268.00   -1.30186   0.66375
 1269.00   -1.28523   0.67373
 1270.00   -1.26849   0.68392
 1271.00   -1.25215   0.69401
 1272.00   -1.23572   0.70433
 1273.00   -1.21918   0.71486
 1274.00   -1.20254   0.72562
 1275.00   -1.18580   0.73660
 1276.00   -1.16896   0.74781
 1277.00   -1.15202   0.75924
 1278.00   -1.13498   0.77089
 1279.00   -1.11785   0.78277
 1280.00   -1.10062   0.79488
 1281.00   -1.08377   0.80670
 1282.00   -1.06683   0.81876
 1283.00   -1.04982   0.83108
 1284.00   -1.03272   0.84367
 1285.00   -1.01556   0.85654
 1286.00   -0.99834   0.86971
 1287.00   -0.98106   0.88319
 1288.00   -0.96373   0.89699
 1289.00   -0.94637   0.91112
 1290.00   -0.92897   0.92560
 1291.00   -0.91189   0.93969
 1292.00   -0.89479   0.95413
 1293.00   -0.87768   0.96890
 1294.00   -0.86055   0.98399
 1295.00   -0.84343   0.99940
 1296.00   -0.82630   1.01512
 1297.00   -0.80919   1.03114
 1298.00   -0.79208   1.04744
 1299.00   -0.77500   1.06403
 1300.00   -0.75794   1.08089
 1301.00   -0.74114   1.09716
 1302.00   -0.72439   1.11372
 1303.00   -0.70770   1.13058
 1304.00   -0.69108   1.14776
 1305.00   -0.67456   1.16527
 1306.00   -0.65814   1.18314
 1307.00   -0.64185   1.20137
 1308.00   -0.62569   1.21998
 1309.00   -0.60969   1.23898
 1310.00   -0.59387   1.25839
 1311.00   -0.57823   1.27721
 1312.00   -0.56278   1.29645
 1313.00   -0.54755   1.31608
 1314.00   -0.53255   1.33610
 1315.00   -0.51778   1.35650
 1316.00   -0.50325   1.37727
 1317.00   -0.48899   1.39839
 1318.00   -0.47499   1.41988
 1319.00   -0.46127   1.44170
 1320.00   -0.44785   1.46385
 1321.00   -0.43439   1.48523
 1322.00   -0.42126   1.50694
 1323.00   -0.40847   1.52899
 1324.00   -0.39603   1.55139
 1325.00   -0.38398   1.57416
 1326.00   -0.37232   1.59730
 1327.00   -0.36107   1.62081
 1328.00   -0.35026   1.64470
 1329.00   -0.33991   1.66898
 1330.00   -0.33004   1.69365
 1331.00   -0.31986   1.71752
 1332.00   -0.31020   1.74176
 1333.00   -0.30105   1.76633
 1334.00   -0.29244   1.79121
 1335.00   -0.28437   1.81637
 1336.00   -0.27685   1.84179
 1337.00   -0.26989   1.86744
 1338.00   -0.26351   1.89328
 1339.00   -0.25772   1.91930
 1340.00   -0.25251   1.94546
 1341.00   -0.24670   1.97084
 1342.00   -0.24150   1.99633
 1343.00   -0.23693   2.02192
 1344.00   -0.23300   2.04762
 1345.00   -0.22971   2.07341
 1346.00   -0.22710   2.09928
 1347.00   -0.22515   2.12523
 1348.00   -0.22390   2.15125
 1349.00   -0.22334   2.17732
 1350.00   -0.22349   2.20343
 1351.00   -0.22269   2.22894
 1352.00   -0.22261   2.25445
 1353.00   -0.22326   2.27995
 1354.00   -0.22465   2.30540
