   W         M1+(eta_p)
 (MeV)      Re      Im
 1486.0    0.043   0.000
 1487.0    0.078   0.000
 1488.0    0.101   0.001
 1489.0    0.120   0.001
 1490.0    0.137   0.001
 1491.0    0.151   0.001
 1492.0    0.165   0.001
 1493.0    0.177   0.001
 1494.0    0.188   0.001
 1495.0    0.199   0.001
 1496.0    0.209   0.001
 1497.0    0.219   0.001
 1498.0    0.228   0.001
 1499.0    0.237   0.001
 1500.0    0.246   0.002
 1501.0    0.254   0.002
 1502.0    0.262   0.002
 1503.0    0.270   0.002
 1504.0    0.277   0.002
 1505.0    0.285   0.002
 1506.0    0.292   0.002
 1507.0    0.299   0.002
 1508.0    0.306   0.002
 1509.0    0.312   0.002
 1510.0    0.319   0.002
 1511.0    0.325   0.002
 1512.0    0.331   0.002
 1513.0    0.337   0.003
 1514.0    0.343   0.003
 1515.0    0.349   0.003
 1516.0    0.355   0.003
 1517.0    0.361   0.003
 1518.0    0.366   0.003
 1519.0    0.372   0.003
 1520.0    0.377   0.003
 1521.0    0.382   0.003
 1522.0    0.388   0.003
 1523.0    0.393   0.003
 1524.0    0.398   0.004
 1525.0    0.403   0.004
 1526.0    0.408   0.004
 1527.0    0.413   0.004
 1528.0    0.418   0.004
 1529.0    0.422   0.004
 1530.0    0.427   0.004
 1531.0    0.432   0.004
 1532.0    0.436   0.004
 1533.0    0.441   0.005
 1534.0    0.445   0.005
 1535.0    0.450   0.005
 1536.0    0.454   0.005
 1537.0    0.459   0.005
 1538.0    0.463   0.005
 1539.0    0.467   0.005
 1540.0    0.471   0.005
 1541.0    0.476   0.005
 1542.0    0.480   0.006
 1543.0    0.484   0.006
 1544.0    0.488   0.006
 1545.0    0.492   0.006
 1546.0    0.496   0.006
 1547.0    0.500   0.006
 1548.0    0.504   0.006
 1549.0    0.508   0.007
 1550.0    0.512   0.007
 1551.0    0.515   0.007
 1552.0    0.519   0.007
 1553.0    0.523   0.007
 1554.0    0.527   0.007
 1555.0    0.530   0.008
 1556.0    0.534   0.008
 1557.0    0.538   0.008
 1558.0    0.541   0.008
 1559.0    0.545   0.008
 1560.0    0.548   0.008
 1561.0    0.552   0.009
 1562.0    0.556   0.009
 1563.0    0.559   0.009
 1564.0    0.562   0.009
 1565.0    0.566   0.009
 1566.0    0.569   0.010
 1567.0    0.573   0.010
 1568.0    0.576   0.010
 1569.0    0.579   0.010
 1570.0    0.583   0.010
 1571.0    0.586   0.011
 1572.0    0.589   0.011
 1573.0    0.593   0.011
 1574.0    0.596   0.011
 1575.0    0.599   0.012
 1576.0    0.602   0.012
 1577.0    0.606   0.012
 1578.0    0.609   0.012
 1579.0    0.612   0.013
 1580.0    0.615   0.013
 1581.0    0.618   0.013
 1582.0    0.621   0.014
 1583.0    0.624   0.014
 1584.0    0.628   0.014
 1585.0    0.631   0.014
 1586.0    0.634   0.015
 1587.0    0.637   0.015
 1588.0    0.640   0.015
 1589.0    0.643   0.016
 1590.0    0.646   0.016
 1591.0    0.649   0.016
 1592.0    0.652   0.017
 1593.0    0.654   0.017
 1594.0    0.657   0.017
 1595.0    0.660   0.018
 1596.0    0.663   0.018
 1597.0    0.666   0.019
 1598.0    0.669   0.019
 1599.0    0.672   0.019
 1600.0    0.675   0.020
 1601.0    0.677   0.020
 1602.0    0.680   0.021
 1603.0    0.683   0.021
 1604.0    0.686   0.021
 1605.0    0.689   0.022
 1606.0    0.691   0.022
 1607.0    0.694   0.023
 1608.0    0.697   0.023
 1609.0    0.699   0.024
 1610.0    0.702   0.024
 1611.0    0.705   0.025
 1612.0    0.707   0.025
 1613.0    0.710   0.026
 1614.0    0.713   0.026
 1615.0    0.715   0.027
 1616.0    0.718   0.027
 1617.0    0.721   0.028
 1618.0    0.723   0.029
 1619.0    0.726   0.029
 1620.0    0.728   0.030
 1621.0    0.731   0.030
 1622.0    0.733   0.031
 1623.0    0.736   0.032
 1624.0    0.738   0.032
 1625.0    0.741   0.033
 1626.0    0.743   0.034
 1627.0    0.746   0.034
 1628.0    0.748   0.035
 1629.0    0.751   0.036
 1630.0    0.753   0.037
 1631.0    0.755   0.037
 1632.0    0.758   0.038
 1633.0    0.760   0.039
 1634.0    0.762   0.040
