   W         E3-(eta_p)
 (MeV)      Re      Im
 1712.0    0.001   0.090
 1713.0    0.000   0.089
 1714.0   -0.001   0.088
 1715.0   -0.001   0.088
 1716.0   -0.001   0.087
 1717.0   -0.002   0.086
 1718.0   -0.002   0.085
 1719.0   -0.003   0.085
 1720.0   -0.003   0.084
 1721.0   -0.003   0.083
 1722.0   -0.004   0.082
 1723.0   -0.004   0.082
 1724.0   -0.004   0.081
 1725.0   -0.005   0.080
 1726.0   -0.005   0.080
 1727.0   -0.005   0.079
 1728.0   -0.005   0.078
 1729.0   -0.005   0.077
 1730.0   -0.006   0.077
 1731.0   -0.006   0.076
 1732.0   -0.006   0.075
 1733.0   -0.006   0.075
 1734.0   -0.006   0.074
 1735.0   -0.006   0.073
 1736.0   -0.006   0.073
 1737.0   -0.006   0.072
 1738.0   -0.006   0.071
 1739.0   -0.006   0.071
 1740.0   -0.006   0.070
 1741.0   -0.006   0.069
 1742.0   -0.006   0.069
 1743.0   -0.006   0.068
 1744.0   -0.006   0.067
 1745.0   -0.006   0.067
 1746.0   -0.006   0.066
 1747.0   -0.006   0.066
 1748.0   -0.006   0.065
 1749.0   -0.006   0.065
 1750.0   -0.006   0.064
 1751.0   -0.006   0.063
 1752.0   -0.006   0.063
 1753.0   -0.006   0.062
 1754.0   -0.005   0.062
 1755.0   -0.005   0.061
 1756.0   -0.005   0.061
 1757.0   -0.005   0.060
 1758.0   -0.005   0.060
 1759.0   -0.005   0.059
 1760.0   -0.005   0.059
 1761.0   -0.004   0.058
 1762.0   -0.004   0.058
 1763.0   -0.004   0.057
 1764.0   -0.004   0.057
 1765.0   -0.004   0.056
 1766.0   -0.004   0.056
 1767.0   -0.003   0.055
 1768.0   -0.003   0.055
 1769.0   -0.003   0.055
 1770.0   -0.003   0.054
 1771.0   -0.003   0.054
 1772.0   -0.002   0.053
 1773.0   -0.002   0.053
 1774.0   -0.002   0.052
 1775.0   -0.002   0.052
 1776.0   -0.001   0.052
 1777.0   -0.001   0.051
 1778.0   -0.001   0.051
 1779.0   -0.001   0.050
 1780.0   -0.001   0.050
 1781.0    0.000   0.050
 1782.0    0.000   0.049
 1783.0    0.000   0.049
 1784.0    0.000   0.049
 1785.0    0.001   0.048
 1786.0    0.001   0.048
 1787.0    0.001   0.048
 1788.0    0.001   0.047
 1789.0    0.002   0.047
 1790.0    0.002   0.047
 1791.0    0.002   0.046
 1792.0    0.002   0.046
 1793.0    0.003   0.046
 1794.0    0.003   0.045
 1795.0    0.003   0.045
 1796.0    0.003   0.045
 1797.0    0.004   0.044
 1798.0    0.004   0.044
 1799.0    0.004   0.044
 1800.0    0.004   0.043
 1801.0    0.005   0.043
 1802.0    0.005   0.043
 1803.0    0.005   0.043
 1804.0    0.006   0.042
 1805.0    0.006   0.042
 1806.0    0.006   0.042
 1807.0    0.006   0.042
 1808.0    0.007   0.041
 1809.0    0.007   0.041
 1810.0    0.007   0.041
 1811.0    0.007   0.041
 1812.0    0.008   0.040
 1813.0    0.008   0.040
 1814.0    0.008   0.040
 1815.0    0.009   0.040
 1816.0    0.009   0.039
 1817.0    0.009   0.039
 1818.0    0.009   0.039
 1819.0    0.010   0.039
 1820.0    0.010   0.038
 1821.0    0.010   0.038
 1822.0    0.010   0.038
 1823.0    0.011   0.038
 1824.0    0.011   0.038
 1825.0    0.011   0.037
 1826.0    0.012   0.037
 1827.0    0.012   0.037
 1828.0    0.012   0.037
 1829.0    0.012   0.036
 1830.0    0.013   0.036
 1831.0    0.013   0.036
 1832.0    0.013   0.036
 1833.0    0.014   0.036
 1834.0    0.014   0.035
 1835.0    0.014   0.035
 1836.0    0.014   0.035
 1837.0    0.015   0.035
 1838.0    0.015   0.035
 1839.0    0.015   0.035
 1840.0    0.015   0.034
 1841.0    0.016   0.034
 1842.0    0.016   0.034
 1843.0    0.016   0.034
 1844.0    0.017   0.034
 1845.0    0.017   0.033
 1846.0    0.017   0.033
 1847.0    0.017   0.033
 1848.0    0.018   0.033
 1849.0    0.018   0.033
 1850.0    0.018   0.033
 1851.0    0.018   0.032
 1852.0    0.019   0.032
 1853.0    0.019   0.032
 1854.0    0.019   0.032
 1855.0    0.020   0.032
 1856.0    0.020   0.032
 1857.0    0.020   0.032
 1858.0    0.020   0.031
 1859.0    0.021   0.031
 1860.0    0.021   0.031
 1861.0    0.021   0.031
 1862.0    0.021   0.031
 1863.0    0.022   0.031
 1864.0    0.022   0.031
 1865.0    0.022   0.030
 1866.0    0.023   0.030
 1867.0    0.023   0.030
 1868.0    0.023   0.030
 1869.0    0.023   0.030
 1870.0    0.024   0.030
 1871.0    0.024   0.030
 1872.0    0.024   0.029
 1873.0    0.024   0.029
 1874.0    0.025   0.029
 1875.0    0.025   0.029
 1876.0    0.025   0.029
 1877.0    0.025   0.029
 1878.0    0.026   0.029
 1879.0    0.026   0.029
 1880.0    0.026   0.028
 1881.0    0.026   0.028
 1882.0    0.027   0.028
 1883.0    0.027   0.028
 1884.0    0.027   0.028
 1885.0    0.028   0.028
 1886.0    0.028   0.028
 1887.0    0.028   0.028
 1888.0    0.028   0.028
 1889.0    0.029   0.027
 1890.0    0.029   0.027
 1891.0    0.029   0.027
 1892.0    0.029   0.027
 1893.0    0.030   0.027
 1894.0    0.030   0.027
 1895.0    0.030   0.027
 1896.0    0.030   0.027
 1897.0    0.031   0.027
 1898.0    0.031   0.026
 1899.0    0.031   0.026
 1900.0    0.031   0.026
 1901.0    0.032   0.026
 1902.0    0.032   0.026
 1903.0    0.032   0.026
 1904.0    0.032   0.026
 1905.0    0.033   0.026
 1906.0    0.033   0.026
 1907.0    0.033   0.026
 1908.0    0.033   0.025
 1909.0    0.034   0.025
 1910.0    0.034   0.025
 1911.0    0.034   0.025
 1912.0    0.034   0.025
 1913.0    0.035   0.025
 1914.0    0.035   0.025
 1915.0    0.035   0.025
 1916.0    0.035   0.025
 1917.0    0.036   0.025
 1918.0    0.036   0.025
 1919.0    0.036   0.024
 1920.0    0.036   0.024
 1921.0    0.037   0.024
 1922.0    0.037   0.024
 1923.0    0.037   0.024
 1924.0    0.037   0.024
 1925.0    0.038   0.024
 1926.0    0.038   0.024
 1927.0    0.038   0.024
 1928.0    0.038   0.024
 1929.0    0.039   0.024
 1930.0    0.039   0.024
 1931.0    0.039   0.023
 1932.0    0.039   0.023
 1933.0    0.040   0.023
 1934.0    0.040   0.023
 1935.0    0.040   0.023
 1936.0    0.040   0.023
 1937.0    0.041   0.023
 1938.0    0.041   0.023
 1939.0    0.041   0.023
 1940.0    0.041   0.023
 1941.0    0.042   0.023
 1942.0    0.042   0.023
 1943.0    0.042   0.023
 1944.0    0.042   0.022
 1945.0    0.043   0.022
 1946.0    0.043   0.022
 1947.0    0.043   0.022
 1948.0    0.043   0.022
 1949.0    0.043   0.022
 1950.0    0.044   0.022
 1951.0    0.044   0.022
 1952.0    0.044   0.022
 1953.0    0.044   0.022
 1954.0    0.045   0.022
 1955.0    0.045   0.022
 1956.0    0.045   0.022
 1957.0    0.045   0.022
 1958.0    0.046   0.022
 1959.0    0.046   0.021
 1960.0    0.046   0.021
 1961.0    0.046   0.021
 1962.0    0.047   0.021
 1963.0    0.047   0.021
 1964.0    0.047   0.021
 1965.0    0.047   0.021
 1966.0    0.047   0.021
 1967.0    0.048   0.021
 1968.0    0.048   0.021
 1969.0    0.048   0.021
 1970.0    0.048   0.021
 1971.0    0.049   0.021
