   W         E0+(eta_p)
 (MeV)      Re      Im
 1700.0   -2.427   2.473
 1701.0   -2.420   2.469
 1702.0   -2.412   2.465
 1703.0   -2.406   2.461
 1704.0   -2.399   2.457
 1705.0   -2.393   2.452
 1706.0   -2.386   2.448
 1707.0   -2.380   2.443
 1708.0   -2.375   2.438
 1709.0   -2.369   2.433
 1710.0   -2.363   2.427
 1711.0   -2.358   2.422
 1712.0   -2.353   2.416
 1713.0   -2.348   2.410
 1714.0   -2.343   2.405
 1715.0   -2.338   2.399
 1716.0   -2.333   2.392
 1717.0   -2.329   2.386
 1718.0   -2.324   2.380
 1719.0   -2.320   2.373
 1720.0   -2.316   2.367
 1721.0   -2.311   2.360
 1722.0   -2.307   2.353
 1723.0   -2.303   2.346
 1724.0   -2.299   2.339
 1725.0   -2.295   2.332
 1726.0   -2.291   2.325
 1727.0   -2.287   2.318
 1728.0   -2.283   2.310
 1729.0   -2.279   2.303
 1730.0   -2.276   2.295
 1731.0   -2.272   2.288
 1732.0   -2.268   2.280
 1733.0   -2.264   2.272
 1734.0   -2.261   2.264
 1735.0   -2.257   2.257
 1736.0   -2.253   2.249
 1737.0   -2.250   2.241
 1738.0   -2.246   2.233
 1739.0   -2.242   2.225
 1740.0   -2.239   2.217
 1741.0   -2.235   2.209
 1742.0   -2.231   2.200
 1743.0   -2.228   2.192
 1744.0   -2.224   2.184
 1745.0   -2.221   2.176
 1746.0   -2.217   2.168
 1747.0   -2.213   2.159
 1748.0   -2.210   2.151
 1749.0   -2.206   2.143
 1750.0   -2.202   2.134
 1751.0   -2.199   2.126
 1752.0   -2.195   2.118
 1753.0   -2.191   2.109
 1754.0   -2.188   2.101
 1755.0   -2.184   2.092
 1756.0   -2.180   2.084
 1757.0   -2.177   2.076
 1758.0   -2.173   2.067
 1759.0   -2.169   2.059
 1760.0   -2.166   2.050
 1761.0   -2.162   2.042
 1762.0   -2.158   2.033
 1763.0   -2.154   2.025
 1764.0   -2.151   2.017
 1765.0   -2.147   2.008
 1766.0   -2.143   2.000
 1767.0   -2.139   1.991
 1768.0   -2.135   1.983
 1769.0   -2.132   1.975
 1770.0   -2.128   1.966
 1771.0   -2.124   1.958
 1772.0   -2.120   1.950
 1773.0   -2.116   1.942
 1774.0   -2.112   1.933
 1775.0   -2.109   1.925
 1776.0   -2.105   1.917
 1777.0   -2.101   1.909
 1778.0   -2.097   1.900
 1779.0   -2.093   1.892
 1780.0   -2.089   1.884
 1781.0   -2.085   1.876
 1782.0   -2.081   1.868
 1783.0   -2.077   1.860
 1784.0   -2.073   1.852
 1785.0   -2.069   1.844
 1786.0   -2.065   1.836
 1787.0   -2.061   1.828
 1788.0   -2.057   1.820
 1789.0   -2.053   1.812
 1790.0   -2.049   1.804
 1791.0   -2.045   1.796
 1792.0   -2.041   1.788
 1793.0   -2.037   1.780
 1794.0   -2.033   1.773
 1795.0   -2.029   1.765
 1796.0   -2.025   1.757
 1797.0   -2.021   1.749
 1798.0   -2.017   1.742
 1799.0   -2.013   1.734
 1800.0   -2.009   1.727
 1801.0   -2.004   1.719
 1802.0   -2.000   1.711
 1803.0   -1.996   1.704
 1804.0   -1.992   1.696
 1805.0   -1.988   1.689
 1806.0   -1.984   1.682
 1807.0   -1.980   1.674
 1808.0   -1.976   1.667
 1809.0   -1.972   1.660
 1810.0   -1.967   1.652
 1811.0   -1.963   1.645
 1812.0   -1.959   1.638
 1813.0   -1.955   1.631
 1814.0   -1.951   1.623
 1815.0   -1.947   1.616
 1816.0   -1.943   1.609
 1817.0   -1.939   1.602
 1818.0   -1.934   1.595
 1819.0   -1.930   1.588
 1820.0   -1.926   1.581
 1821.0   -1.922   1.574
 1822.0   -1.918   1.567
 1823.0   -1.914   1.561
 1824.0   -1.910   1.554
 1825.0   -1.905   1.547
 1826.0   -1.901   1.540
 1827.0   -1.897   1.533
 1828.0   -1.893   1.527
 1829.0   -1.889   1.520
 1830.0   -1.885   1.514
 1831.0   -1.881   1.507
 1832.0   -1.876   1.500
 1833.0   -1.872   1.494
 1834.0   -1.868   1.487
 1835.0   -1.864   1.481
 1836.0   -1.860   1.474
 1837.0   -1.856   1.468
 1838.0   -1.852   1.462
 1839.0   -1.848   1.455
 1840.0   -1.844   1.449
 1841.0   -1.839   1.443
 1842.0   -1.835   1.437
 1843.0   -1.831   1.430
 1844.0   -1.827   1.424
 1845.0   -1.823   1.418
 1846.0   -1.819   1.412
 1847.0   -1.815   1.406
 1848.0   -1.811   1.400
 1849.0   -1.807   1.394
 1850.0   -1.803   1.388
 1851.0   -1.799   1.382
 1852.0   -1.795   1.376
 1853.0   -1.791   1.370
 1854.0   -1.786   1.364
 1855.0   -1.782   1.358
 1856.0   -1.778   1.353
 1857.0   -1.774   1.347
 1858.0   -1.770   1.341
 1859.0   -1.766   1.336
 1860.0   -1.762   1.330
 1861.0   -1.758   1.324
 1862.0   -1.754   1.319
 1863.0   -1.750   1.313
 1864.0   -1.746   1.307
 1865.0   -1.742   1.302
 1866.0   -1.738   1.296
 1867.0   -1.734   1.291
 1868.0   -1.730   1.286
 1869.0   -1.726   1.280
 1870.0   -1.723   1.275
 1871.0   -1.719   1.269
 1872.0   -1.715   1.264
 1873.0   -1.711   1.259
 1874.0   -1.707   1.254
 1875.0   -1.703   1.248
 1876.0   -1.699   1.243
 1877.0   -1.695   1.238
 1878.0   -1.691   1.233
 1879.0   -1.687   1.228
 1880.0   -1.683   1.223
 1881.0   -1.680   1.217
 1882.0   -1.676   1.212
 1883.0   -1.672   1.207
 1884.0   -1.668   1.202
 1885.0   -1.664   1.197
 1886.0   -1.660   1.193
