   W         M3-(eta_p)
 (MeV)      Re      Im
 1712.0    0.036   0.063
 1713.0    0.036   0.063
 1714.0    0.035   0.062
 1715.0    0.035   0.062
 1716.0    0.035   0.061
 1717.0    0.035   0.061
 1718.0    0.035   0.060
 1719.0    0.035   0.060
 1720.0    0.035   0.059
 1721.0    0.035   0.058
 1722.0    0.035   0.058
 1723.0    0.035   0.057
 1724.0    0.035   0.057
 1725.0    0.035   0.056
 1726.0    0.035   0.056
 1727.0    0.035   0.055
 1728.0    0.035   0.055
 1729.0    0.035   0.054
 1730.0    0.036   0.054
 1731.0    0.036   0.053
 1732.0    0.036   0.053
 1733.0    0.036   0.052
 1734.0    0.036   0.052
 1735.0    0.036   0.051
 1736.0    0.037   0.051
 1737.0    0.037   0.051
 1738.0    0.037   0.050
 1739.0    0.037   0.050
 1740.0    0.037   0.049
 1741.0    0.038   0.049
 1742.0    0.038   0.048
 1743.0    0.038   0.048
 1744.0    0.038   0.047
 1745.0    0.039   0.047
 1746.0    0.039   0.047
 1747.0    0.039   0.046
 1748.0    0.039   0.046
 1749.0    0.040   0.045
 1750.0    0.040   0.045
 1751.0    0.040   0.045
 1752.0    0.041   0.044
 1753.0    0.041   0.044
 1754.0    0.041   0.043
 1755.0    0.042   0.043
 1756.0    0.042   0.043
 1757.0    0.042   0.042
 1758.0    0.043   0.042
 1759.0    0.043   0.042
 1760.0    0.043   0.041
 1761.0    0.044   0.041
 1762.0    0.044   0.041
 1763.0    0.044   0.040
 1764.0    0.045   0.040
 1765.0    0.045   0.040
 1766.0    0.045   0.039
 1767.0    0.046   0.039
 1768.0    0.046   0.039
 1769.0    0.047   0.038
 1770.0    0.047   0.038
 1771.0    0.047   0.038
 1772.0    0.048   0.037
 1773.0    0.048   0.037
 1774.0    0.048   0.037
 1775.0    0.049   0.037
 1776.0    0.049   0.036
 1777.0    0.050   0.036
 1778.0    0.050   0.036
 1779.0    0.050   0.035
 1780.0    0.051   0.035
 1781.0    0.051   0.035
 1782.0    0.052   0.035
 1783.0    0.052   0.034
 1784.0    0.052   0.034
 1785.0    0.053   0.034
 1786.0    0.053   0.034
 1787.0    0.054   0.033
 1788.0    0.054   0.033
 1789.0    0.055   0.033
 1790.0    0.055   0.033
 1791.0    0.055   0.032
 1792.0    0.056   0.032
 1793.0    0.056   0.032
 1794.0    0.057   0.032
 1795.0    0.057   0.032
 1796.0    0.057   0.031
 1797.0    0.058   0.031
 1798.0    0.058   0.031
 1799.0    0.059   0.031
 1800.0    0.059   0.031
 1801.0    0.060   0.030
 1802.0    0.060   0.030
 1803.0    0.060   0.030
 1804.0    0.061   0.030
 1805.0    0.061   0.030
 1806.0    0.062   0.029
 1807.0    0.062   0.029
 1808.0    0.063   0.029
 1809.0    0.063   0.029
 1810.0    0.063   0.029
 1811.0    0.064   0.028
 1812.0    0.064   0.028
 1813.0    0.065   0.028
 1814.0    0.065   0.028
 1815.0    0.066   0.028
 1816.0    0.066   0.028
 1817.0    0.066   0.027
 1818.0    0.067   0.027
 1819.0    0.067   0.027
 1820.0    0.068   0.027
 1821.0    0.068   0.027
 1822.0    0.069   0.027
 1823.0    0.069   0.027
 1824.0    0.069   0.026
 1825.0    0.070   0.026
 1826.0    0.070   0.026
 1827.0    0.071   0.026
 1828.0    0.071   0.026
 1829.0    0.072   0.026
 1830.0    0.072   0.025
 1831.0    0.072   0.025
 1832.0    0.073   0.025
 1833.0    0.073   0.025
 1834.0    0.074   0.025
 1835.0    0.074   0.025
 1836.0    0.075   0.025
 1837.0    0.075   0.025
 1838.0    0.075   0.024
 1839.0    0.076   0.024
 1840.0    0.076   0.024
 1841.0    0.077   0.024
 1842.0    0.077   0.024
 1843.0    0.078   0.024
 1844.0    0.078   0.024
 1845.0    0.078   0.024
 1846.0    0.079   0.023
 1847.0    0.079   0.023
 1848.0    0.080   0.023
 1849.0    0.080   0.023
 1850.0    0.081   0.023
 1851.0    0.081   0.023
 1852.0    0.081   0.023
 1853.0    0.082   0.023
 1854.0    0.082   0.023
 1855.0    0.083   0.022
 1856.0    0.083   0.022
 1857.0    0.084   0.022
 1858.0    0.084   0.022
 1859.0    0.084   0.022
 1860.0    0.085   0.022
 1861.0    0.085   0.022
 1862.0    0.086   0.022
 1863.0    0.086   0.022
 1864.0    0.086   0.021
 1865.0    0.087   0.021
 1866.0    0.087   0.021
 1867.0    0.088   0.021
 1868.0    0.088   0.021
 1869.0    0.089   0.021
 1870.0    0.089   0.021
 1871.0    0.089   0.021
 1872.0    0.090   0.021
 1873.0    0.090   0.021
 1874.0    0.091   0.021
 1875.0    0.091   0.020
 1876.0    0.092   0.020
 1877.0    0.092   0.020
 1878.0    0.092   0.020
 1879.0    0.093   0.020
 1880.0    0.093   0.020
 1881.0    0.094   0.020
