E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
 60.000     5.283400     0.025000     0.066025
 55.480     5.035800     0.025100     0.062983
 50.700     4.695900     0.025100     0.058655
 45.570     4.356400     0.025400     0.054469
 39.940     3.988900     0.026100     0.049885
 33.560     3.521200     0.027100     0.044028
 25.840     3.043600     0.029300     0.038020
 14.840     2.590600     0.035300     0.032378
----------------------------------------------------------
E =  239.910 MeV, E_lo =  237.760 MeV, E_hi =  242.070 MeV
Systematic = 0.0755, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     4.453200     0.029200     0.055599
154.160     4.892400     0.029100     0.061127
146.440     5.314600     0.029300     0.066425
140.060     5.706200     0.029800     0.071325
134.430     5.987200     0.029900     0.074849
129.300     6.291800     0.030500     0.078589
124.520     6.580300     0.030900     0.082290
120.000     6.755400     0.030900     0.084423
115.680     6.906900     0.031000     0.086301
111.510     7.065500     0.031000     0.088317
107.460     7.185800     0.031000     0.089800
103.490     7.267000     0.030900     0.090891
 99.590     7.264600     0.030600     0.090781
 95.740     7.376300     0.030800     0.092191
 91.910     7.308800     0.030500     0.091342
 88.090     7.266800     0.030200     0.090810
 84.260     7.137700     0.029800     0.089257
 80.410     7.052100     0.029600     0.088164
 76.510     6.969800     0.029500     0.087142
 72.540     6.770700     0.029100     0.084637
 68.490     6.534800     0.028800     0.081671
 64.320     6.364800     0.028800     0.079547
 60.000     5.994200     0.028400     0.074896
 55.480     5.679100     0.028400     0.071033
 50.700     5.323300     0.028500     0.066555
 45.570     4.988500     0.028900     0.062326
 39.940     4.466900     0.029500     0.055780
 33.560     4.038000     0.030800     0.050557
 25.840     3.404200     0.033300     0.042510
 14.840     2.888200     0.040400     0.036131
----------------------------------------------------------
E =  244.230 MeV, E_lo =  242.070 MeV, E_hi =  246.390 MeV
Systematic = 0.0846, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     4.912700     0.028600     0.061362
154.160     5.424700     0.028600     0.067816
146.440     5.878500     0.028800     0.073456
140.060     6.320200     0.029400     0.079007
134.430     6.700300     0.029800     0.083757
129.300     7.050700     0.030300     0.088137
124.520     7.320500     0.030700     0.091486
120.000     7.557000     0.030800     0.094508
115.680     7.745100     0.030900     0.096787
111.510     7.932100     0.031100     0.099136
107.460     8.026000     0.031000     0.100319
103.490     8.121100     0.030900     0.101501
 99.590     8.119100     0.030500     0.101517
 95.740     8.251400     0.030700     0.103127
 91.910     8.173200     0.030400     0.102173
 88.090     8.163500     0.030200     0.102024
 84.260     8.053300     0.029700     0.100712
 80.410     7.913100     0.029500     0.098894
 76.510     7.806400     0.029200     0.097627
 72.540     7.617000     0.028900     0.095211
 68.490     7.379400     0.028500     0.092300
 64.320     7.131700     0.028400     0.089187
 60.000     6.789700     0.028000     0.084902
 55.480     6.399800     0.027800     0.080008
 50.700     6.037000     0.027800     0.075441
 45.570     5.615900     0.028000     0.070224
 39.940     5.065100     0.028400     0.063323
 33.560     4.454400     0.029300     0.055659
 25.840     3.929000     0.031900     0.049156
 14.840     3.232000     0.038300     0.040443
----------------------------------------------------------
E =  248.550 MeV, E_lo =  246.390 MeV, E_hi =  250.710 MeV
Systematic = 0.0940, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     5.376700     0.029200     0.067233
154.160     5.960800     0.029200     0.074481
146.440     6.504000     0.029500     0.081314
140.060     6.941600     0.029900     0.086794
134.430     7.342700     0.030200     0.091758
129.300     7.769100     0.030800     0.097134
124.520     8.058500     0.031100     0.100707
120.000     8.312800     0.031300     0.103887
115.680     8.563200     0.031500     0.107062
111.510     8.730200     0.031600     0.109116
107.460     8.904300     0.031600     0.111301
103.490     9.006500     0.031500     0.112576
 99.590     9.081600     0.031400     0.113538
 95.740     9.132200     0.031300     0.114188
 91.910     9.132100     0.031200     0.114112
 88.090     9.048200     0.030800     0.113081
 84.260     8.872300     0.030300     0.110937
 80.410     8.853100     0.030200     0.110653
 76.510     8.681800     0.029900     0.108558
 72.540     8.470200     0.029600     0.105839
 68.490     8.223100     0.029200     0.102835
 64.320     7.932400     0.028900     0.099175
 60.000     7.591300     0.028600     0.094883
 55.480     7.161100     0.028400     0.089502
 50.700     6.739400     0.028400     0.084242
 45.570     6.227200     0.028500     0.077847
 39.940     5.679600     0.029000     0.071006
 33.560     5.056600     0.030300     0.063213
 25.840     4.437700     0.033200     0.055416
 14.840     3.698800     0.041000     0.046241
----------------------------------------------------------
E =  252.870 MeV, E_lo =  250.710 MeV, E_hi =  255.030 MeV
Systematic = 0.1050, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     5.817600     0.030300     0.072742
154.160     6.538800     0.030500     0.081692
146.440     7.169600     0.030900     0.089623
140.060     7.658900     0.031300     0.095712
134.430     8.150000     0.031800     0.101851
129.300     8.576000     0.032400     0.107211
124.520     8.952700     0.032800     0.111892
120.000     9.280200     0.033100     0.115969
115.680     9.505600     0.033300     0.118822
111.510     9.793800     0.033600     0.122371
107.460     9.997700     0.033700     0.124935
103.490    10.083900     0.033500     0.126023
 99.590    10.180300     0.033400     0.127291
 95.740    10.218200     0.033300     0.127731
 91.910    10.208700     0.033100     0.127576
 88.090    10.083300     0.032600     0.126053
 84.260     9.971900     0.032200     0.124710
 80.410     9.902000     0.032100     0.123806
 76.510     9.738100     0.031700     0.121741
 72.540     9.514700     0.031400     0.118925
 68.490     9.281500     0.031100     0.116003
 64.320     8.866600     0.030500     0.110882
 60.000     8.532000     0.030200     0.106605
 55.480     8.080800     0.029900     0.101070
 50.700     7.531700     0.029700     0.094125
 45.570     7.013600     0.029900     0.087640
 39.940     6.367600     0.030300     0.079630
 33.560     5.704100     0.031600     0.071312
