E =  683.50 MeV, E_lo =  667.24 MeV, E_hi =  699.76 MeV
Systematic = 0.0248, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
102.005   -0.0734   0.0441   0.0024
 97.181   -0.1408   0.0428   0.0040
 92.407   -0.1586   0.0414   0.0042
 87.593   -0.1366   0.0439   0.0038
 82.819   -0.1965   0.0436   0.0050
 77.995   -0.2600   0.0475   0.0083
 73.022   -0.1733   0.0504   0.0059
 67.976   -0.2339   0.0537   0.0070
 62.742   -0.0465   0.0568   0.0024
 57.180   -0.0196   0.0596   0.0016
 51.318   -0.1157   0.0850   0.0053
------------------------------------------------------------------------
E =  916.66 MeV, E_lo =  900.56 MeV, E_hi =  932.75 MeV
Systematic = 0.0481, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335    0.1938   0.0835   0.0040
151.045    0.2544   0.0483   0.0067
142.373    0.1724   0.0407   0.0049
135.072    0.0912   0.0372   0.0028
128.682    0.1410   0.0370   0.0043
122.820    0.0636   0.0380   0.0022
117.258   -0.0061   0.0473   0.0016
112.024   -0.0737   0.0528   0.0029
106.978   -0.1004   0.0458   0.0027
102.005   -0.1098   0.0448   0.0035
 97.181   -0.1538   0.0450   0.0044
 92.407   -0.1723   0.0469   0.0050
 87.593   -0.1876   0.0463   0.0056
 82.819   -0.1894   0.0475   0.0052
 77.995   -0.2571   0.0539   0.0089
 73.022   -0.3514   0.0545   0.0124
 67.976   -0.3853   0.0562   0.0122
 62.742   -0.2525   0.0630   0.0099
 57.180   -0.2057   0.0651   0.0077
 51.318   -0.2958   0.0836   0.0154
 44.928   -0.3357   0.2743   0.0445
------------------------------------------------------------------------
