E =  683.50 MeV, E_lo =  667.24 MeV, E_hi =  699.76 MeV
Systematic = 0.0470, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
102.005   -0.2532   0.1000   0.0126
 97.181   -0.2566   0.0961   0.0126
 92.407   -0.3630   0.0948   0.0174
 87.593   -0.1287   0.0993   0.0067
 82.819    0.0355   0.0988   0.0040
 77.995   -0.2381   0.1081   0.0122
 73.022   -0.0427   0.1137   0.0051
 67.976    0.1812   0.1240   0.0095
 62.742    0.2267   0.1278   0.0128
 57.180    0.6333   0.1351   0.0325
 51.318    0.3771   0.1919   0.0220
------------------------------------------------------------------------
E =  916.66 MeV, E_lo =  900.56 MeV, E_hi =  932.75 MeV
Systematic = 0.0589, Preliminary = 0, CBELSA_2014_Hartmann_PRL113-062001
163.335   -0.2870   0.1984   0.0135
151.045   -0.4369   0.1145   0.0205
142.373   -0.2712   0.0961   0.0131
135.072   -0.2914   0.0884   0.0138
128.682   -0.2253   0.0887   0.0112
122.820   -0.1419   0.0900   0.0071
117.258   -0.1980   0.1128   0.0110
112.024   -0.1204   0.1280   0.0078
106.978   -0.1102   0.1089   0.0061
102.005   -0.1233   0.1067   0.0069
 97.181   -0.2576   0.1068   0.0127
 92.407   -0.1908   0.1106   0.0096
 87.593   -0.1639   0.1101   0.0085
 82.819   -0.2711   0.1138   0.0132
 77.995   -0.0740   0.1311   0.0064
 73.022   -0.1449   0.1317   0.0087
 67.976   -0.1766   0.1356   0.0097
 62.742   -0.1185   0.1493   0.0087
 57.180    0.0696   0.1544   0.0074
 51.318    0.2044   0.1994   0.0155
------------------------------------------------------------------------
