-0.633 129.30 5.0240 0.0240 0.0672
-0.567 124.52 5.2591 0.0243 0.0701
-0.500 120.00 5.3595 0.0242 0.0712
-0.433 115.68 5.4595 0.0243 0.0724
-0.367 111.51 5.5486 0.0243 0.0735
-0.300 107.46 5.6552 0.0243 0.0747
-0.233 103.49 5.7047 0.0242 0.0753
-0.167  99.59 5.6516 0.0238 0.0746
-0.100  95.74 5.7592 0.0240 0.0759
-0.033  91.91 5.7258 0.0238 0.0754
 0.033  88.09 5.6662 0.0236 0.0746
 0.100  84.26 5.6018 0.0234 0.0738
 0.167  80.41 5.5205 0.0232 0.0728
 0.233  76.51 5.4478 0.0231 0.0719
 0.300  72.54 5.2691 0.0228 0.0697
 0.367  68.49 5.0856 0.0226 0.0675
 0.433  64.32 4.9104 0.0225 0.0654
 0.500  60.00 4.6549 0.0223 0.0623
 0.567  55.48 4.4298 0.0224 0.0597
 0.633  50.70 4.1403 0.0224 0.0564
 0.700  45.57 3.8152 0.0226 0.0528
 0.767  39.94 3.4739 0.0232 0.0493
 0.833  33.56 3.1030 0.0243 0.0458
 0.900  25.84 2.6871 0.0263 0.0426
 0.967  14.84 2.2786 0.0313 0.0423
TCS=59.655+/-0.055(stat) [+/-0.149(tot)] ub
--------------------------------
tag channel= 315, eff= 0.611000
Eg=233.44-237.75 W=1148.2-1151.7
Eg=235.60+/-2.16  W=1149.98+/-1.76
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 4.0495 0.0259 0.0568
-0.900 154.16 4.4320 0.0259 0.0611
-0.833 146.44 4.8014 0.0261 0.0654
-0.767 140.06 5.1466 0.0264 0.0695
-0.700 134.43 5.3638 0.0265 0.0721
-0.633 129.30 5.6182 0.0269 0.0752
-0.567 124.52 5.9013 0.0274 0.0787
-0.500 120.00 6.0444 0.0273 0.0803
-0.433 115.68 6.1786 0.0274 0.0819
-0.367 111.51 6.2649 0.0273 0.0829
-0.300 107.46 6.3562 0.0273 0.0840
-0.233 103.49 6.4513 0.0273 0.0851
-0.167  99.59 6.4185 0.0269 0.0846
-0.100  95.74 6.5279 0.0271 0.0860
-0.033  91.91 6.4886 0.0268 0.0854
 0.033  88.09 6.4495 0.0266 0.0849
 0.100  84.26 6.3592 0.0264 0.0837
 0.167  80.41 6.2825 0.0262 0.0828
 0.233  76.51 6.1186 0.0258 0.0807
 0.300  72.54 5.9603 0.0256 0.0788
 0.367  68.49 5.7592 0.0254 0.0763
 0.433  64.32 5.6023 0.0254 0.0745
 0.500  60.00 5.2834 0.0250 0.0706
 0.567  55.48 5.0358 0.0251 0.0678
 0.633  50.70 4.6959 0.0251 0.0638
 0.700  45.57 4.3564 0.0254 0.0601
 0.767  39.94 3.9889 0.0261 0.0563
 0.833  33.56 3.5212 0.0271 0.0517
 0.900  25.84 3.0436 0.0293 0.0480
 0.967  14.84 2.5906 0.0353 0.0479
TCS=67.443+/-0.061(stat) [+/-0.169(tot)] ub
--------------------------------
tag channel= 314, eff= 0.611000
Eg=237.76-242.07 W=1151.7-1155.3
Eg=239.91+/-2.16  W=1153.50+/-1.75
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 4.4532 0.0292 0.0628
-0.900 154.16 4.8924 0.0291 0.0677
-0.833 146.44 5.3146 0.0293 0.0726
-0.767 140.06 5.7062 0.0298 0.0773
-0.700 134.43 5.9872 0.0299 0.0806
-0.633 129.30 6.2918 0.0305 0.0843
-0.567 124.52 6.5803 0.0309 0.0879
-0.500 120.00 6.7554 0.0309 0.0899
-0.433 115.68 6.9069 0.0310 0.0917
-0.367 111.51 7.0655 0.0310 0.0936
-0.300 107.46 7.1858 0.0310 0.0950
-0.233 103.49 7.2670 0.0309 0.0960
-0.167  99.59 7.2646 0.0306 0.0958
-0.100  95.74 7.3763 0.0308 0.0972
-0.033  91.91 7.3088 0.0305 0.0963
 0.033  88.09 7.2668 0.0302 0.0957
 0.100  84.26 7.1377 0.0298 0.0941
 0.167  80.41 7.0521 0.0296 0.0930
 0.233  76.51 6.9698 0.0295 0.0920
 0.300  72.54 6.7707 0.0291 0.0895
 0.367  68.49 6.5348 0.0288 0.0866
 0.433  64.32 6.3648 0.0288 0.0846
 0.500  60.00 5.9942 0.0284 0.0801
 0.567  55.48 5.6791 0.0284 0.0765
 0.633  50.70 5.3233 0.0285 0.0724
 0.700  45.57 4.9885 0.0289 0.0687
 0.767  39.94 4.4669 0.0295 0.0631
 0.833  33.56 4.0380 0.0308 0.0592
 0.900  25.84 3.4042 0.0333 0.0540
 0.967  14.84 2.8882 0.0404 0.0542
TCS=75.877+/-0.070(stat) [+/-0.190(tot)] ub
--------------------------------
tag channel= 313, eff= 0.611167
Eg=242.07-246.39 W=1155.3-1158.8
Eg=244.23+/-2.16  W=1157.00+/-1.75
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 4.9127 0.0286 0.0677
-0.900 154.16 5.4247 0.0286 0.0736
-0.833 146.44 5.8785 0.0288 0.0789
-0.767 140.06 6.3202 0.0294 0.0843
-0.700 134.43 6.7003 0.0298 0.0889
-0.633 129.30 7.0507 0.0303 0.0932
-0.567 124.52 7.3205 0.0307 0.0965
-0.500 120.00 7.5570 0.0308 0.0994
-0.433 115.68 7.7451 0.0309 0.1016
-0.367 111.51 7.9321 0.0311 0.1039
-0.300 107.46 8.0260 0.0310 0.1050
-0.233 103.49 8.1211 0.0309 0.1061
-0.167  99.59 8.1191 0.0305 0.1060
-0.100  95.74 8.2514 0.0307 0.1076
-0.033  91.91 8.1732 0.0304 0.1066
 0.033  88.09 8.1635 0.0302 0.1064
 0.100  84.26 8.0533 0.0297 0.1050
 0.167  80.41 7.9131 0.0295 0.1032
 0.233  76.51 7.8064 0.0292 0.1019
 0.300  72.54 7.6170 0.0289 0.0995
 0.367  68.49 7.3794 0.0285 0.0966
 0.433  64.32 7.1317 0.0284 0.0936
 0.500  60.00 6.7897 0.0280 0.0894
 0.567  55.48 6.3998 0.0278 0.0847
 0.633  50.70 6.0370 0.0278 0.0804
 0.700  45.57 5.6159 0.0280 0.0756
 0.767  39.94 5.0651 0.0284 0.0694
 0.833  33.56 4.4544 0.0293 0.0629
 0.900  25.84 3.9290 0.0319 0.0586
 0.967  14.84 3.2320 0.0383 0.0557
TCS=85.040+/-0.069(stat) [+/-0.210(tot)] ub
--------------------------------
tag channel= 312, eff= 0.613132
Eg=246.39-250.71 W=1158.8-1162.2
Eg=248.55+/-2.16  W=1160.50+/-1.75
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 5.3767 0.0292 0.0733
-0.900 154.16 5.9608 0.0292 0.0800
-0.833 146.44 6.5040 0.0295 0.0865
-0.767 140.06 6.9416 0.0299 0.0918
-0.700 134.43 7.3427 0.0302 0.0966
-0.633 129.30 7.7691 0.0308 0.1019
-0.567 124.52 8.0585 0.0311 0.1054
-0.500 120.00 8.3128 0.0313 0.1085
-0.433 115.68 8.5632 0.0315 0.1116
-0.367 111.51 8.7302 0.0316 0.1136
-0.300 107.46 8.9043 0.0316 0.1157
-0.233 103.49 9.0065 0.0315 0.1169
-0.167  99.59 9.0816 0.0314 0.1178
-0.100  95.74 9.1322 0.0313 0.1184
-0.033  91.91 9.1321 0.0312 0.1183
 0.033  88.09 9.0482 0.0308 0.1172
 0.100  84.26 8.8723 0.0303 0.1150
 0.167  80.41 8.8531 0.0302 0.1147
 0.233  76.51 8.6818 0.0299 0.1126
 0.300  72.54 8.4702 0.0296 0.1099
 0.367  68.49 8.2231 0.0292 0.1069
 0.433  64.32 7.9324 0.0289 0.1033
 0.500  60.00 7.5913 0.0286 0.0991
 0.567  55.48 7.1611 0.0284 0.0939
 0.633  50.70 6.7394 0.0284 0.0889
 0.700  45.57 6.2272 0.0285 0.0829
 0.767  39.94 5.6796 0.0290 0.0767
 0.833  33.56 5.0566 0.0303 0.0701
 0.900  25.84 4.4377 0.0332 0.0646
 0.967  14.84 3.6988 0.0410 0.0618
TCS=94.405+/-0.070(stat) [+/-0.231(tot)] ub
--------------------------------
tag channel= 311, eff= 0.612208
Eg=250.71-255.03 W=1162.2-1165.7
Eg=252.87+/-2.16  W=1163.99+/-1.74
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 5.8176 0.0303 0.0788
-0.900 154.16 6.5388 0.0305 0.0872
-0.833 146.44 7.1696 0.0309 0.0948
-0.767 140.06 7.6589 0.0313 0.1007
-0.700 134.43 8.1500 0.0318 0.1067
-0.633 129.30 8.5760 0.0324 0.1120
-0.567 124.52 8.9527 0.0328 0.1166
-0.500 120.00 9.2802 0.0331 0.1206
-0.433 115.68 9.5056 0.0333 0.1234
-0.367 111.51 9.7938 0.0336 0.1269
-0.300 107.46 9.9977 0.0337 0.1294
-0.233 103.49 10.0839 0.0335 0.1304
-0.167  99.59 10.1803 0.0334 0.1316
-0.100  95.74 10.2182 0.0333 0.1320
-0.033  91.91 10.2087 0.0331 0.1318
 0.033  88.09 10.0833 0.0326 0.1302
 0.100  84.26 9.9719 0.0322 0.1288
 0.167  80.41 9.9020 0.0321 0.1279
 0.233  76.51 9.7381 0.0317 0.1258
 0.300  72.54 9.5147 0.0314 0.1230
 0.367  68.49 9.2815 0.0311 0.1201
 0.433  64.32 8.8666 0.0305 0.1150
 0.500  60.00 8.5320 0.0302 0.1108
 0.567  55.48 8.0808 0.0299 0.1054
 0.633  50.70 7.5317 0.0297 0.0987
 0.700  45.57 7.0136 0.0299 0.0926
 0.767  39.94 6.3676 0.0303 0.0852
 0.833  33.56 5.7041 0.0316 0.0780
 0.900  25.84 4.9815 0.0344 0.0711
 0.967  14.84 4.1904 0.0428 0.0677
TCS=105.459+/-0.074(stat) [+/-0.257(tot)] ub
--------------------------------
tag channel= 310, eff= 0.613982
Eg=255.03-259.35 W=1165.7-1169.2
Eg=257.19+/-2.16  W=1167.47+/-1.74
cos  degrees  DCS  eDCS(stat) eDCS(stat+syst)
-0.967 165.16 6.3786 0.0338 0.0866
-0.900 154.16 7.1636 0.0341 0.0958
-0.833 146.44 7.8739 0.0345 0.1043
-0.767 140.06 8.4636 0.0351 0.1115
-0.700 134.43 8.9646 0.0355 0.1175
-0.633 129.30 9.4769 0.0363 0.1239
-0.567 124.52 9.9068 0.0367 0.1292
-0.500 120.00 10.2391 0.0370 0.1332
-0.433 115.68 10.6290 0.0375 0.1380
-0.367 111.51 10.9054 0.0378 0.1415
-0.300 107.46 11.1489 0.0378 0.1444
-0.233 103.49 11.3214 0.0379 0.1465
-0.167  99.59 11.4293 0.0377 0.1478
-0.100  95.74 11.4797 0.0376 0.1483
-0.033  91.91 11.5229 0.0375 0.1488
 0.033  88.09 11.3533 0.0369 0.1466
 0.100  84.26 11.1970 0.0364 0.1446
 0.167  80.41 11.1290 0.0362 0.1438
