!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1 -0.8889     1.59160e-02   1.68135e-02
2 -0.6667     4.17291e-02   1.71159e-02
3 -0.4445     8.36650e-02   1.70643e-02
4 -0.2223     6.86311e-02   1.70153e-02
5  0.0000     1.12713e-01   1.88368e-02
6  0.2223     1.20469e-01   2.26717e-02
7  0.4445     1.04997e-01   2.63964e-02
8  0.6667     1.12518e-01   3.11377e-02
9  0.8889     2.55107e-02   3.21893e-02
!--------------------------------------------------------#013
! Tagger channel 296, Eg=175.22+/-1.19, W=1099.62+/-1.01 MeV, Pol=0.6932
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.22712e-02   1.73804e-02
2  -0.7273    5.22202e-02   1.71183e-02
3  -0.5455    7.17684e-02   1.70817e-02
4  -0.3637    8.22196e-02   1.69929e-02
5  -0.1819    1.40217e-01   1.76419e-02
6   0.0000    1.36644e-01   1.86909e-02
7   0.1819    8.79631e-02   2.12423e-02
8   0.3637    1.37677e-01   2.42122e-02
9   0.5455    1.19474e-01   2.82884e-02
10  0.7273    9.17909e-02   3.40834e-02
11  0.9091    1.04548e-01   3.17788e-02
!--------------------------------------------------------#014
! Tagger channel 295, Eg=177.66+/-1.20, W=1101.70+/-1.02 MeV, Pol=0.7037
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    8.44902e-03   1.58443e-02
2  -0.7273    5.53645e-02   1.55702e-02
3  -0.5455    7.11893e-02   1.52527e-02
4  -0.3637    1.16331e-01   1.52569e-02
5  -0.1819    9.42693e-02   1.58515e-02
6   0.0000    1.22884e-01   1.76230e-02
7   0.1819    1.26188e-01   1.92277e-02
8   0.3637    1.48800e-01   2.18340e-02
9   0.5455    1.61410e-01   2.59909e-02
10  0.7273    1.25127e-01   2.91407e-02
11  0.9091    9.05743e-02   2.86057e-02
