   W          E2-(pi0_p)
 (MeV)       Re        Im
 1091.90   -0.22942   0.00000
 1092.00   -0.23054   0.00000
 1092.10   -0.23166   0.00000
 1092.20   -0.23278   0.00000
 1092.30   -0.23389   0.00000
 1092.40   -0.23501   0.00000
 1092.50   -0.23612   0.00000
 1092.60   -0.23724   0.00000
 1092.70   -0.23835   0.00000
 1092.80   -0.23946   0.00000
 1092.90   -0.24057   0.00000
 1093.00   -0.24168   0.00000
 1093.10   -0.24279   0.00000
 1093.20   -0.24390   0.00000
 1093.30   -0.24501   0.00000
 1093.40   -0.24611   0.00000
 1093.50   -0.24722   0.00000
 1093.60   -0.24832   0.00000
 1093.70   -0.24942   0.00000
 1093.80   -0.25052   0.00000
 1093.90   -0.25163   0.00000
 1094.00   -0.25273   0.00000
 1094.10   -0.25382   0.00000
 1094.20   -0.25492   0.00000
 1094.30   -0.25602   0.00000
 1094.40   -0.25711   0.00000
 1094.50   -0.25821   0.00000
 1094.60   -0.25930   0.00000
 1094.70   -0.26039   0.00000
 1094.80   -0.26149   0.00000
 1094.90   -0.26258   0.00000
 1095.00   -0.26367   0.00000
 1095.10   -0.26475   0.00000
 1095.20   -0.26584   0.00000
 1095.30   -0.26693   0.00000
 1095.40   -0.26801   0.00000
 1095.50   -0.26910   0.00000
 1095.60   -0.27018   0.00000
 1095.70   -0.27127   0.00000
 1095.80   -0.27235   0.00000
 1095.90   -0.27343   0.00000
 1096.00   -0.27451   0.00000
 1096.10   -0.27559   0.00000
 1096.20   -0.27666   0.00000
 1096.30   -0.27774   0.00000
 1096.40   -0.27882   0.00000
 1096.50   -0.27989   0.00000
 1096.60   -0.28097   0.00000
 1096.70   -0.28204   0.00000
 1096.80   -0.28311   0.00000
 1096.90   -0.28418   0.00000
 1097.00   -0.28525   0.00000
 1097.10   -0.28632   0.00000
 1097.20   -0.28739   0.00000
 1097.30   -0.28846   0.00000
 1097.40   -0.28952   0.00000
 1097.50   -0.29059   0.00000
 1097.60   -0.29165   0.00000
 1097.70   -0.29272   0.00000
 1097.80   -0.29378   0.00000
 1097.90   -0.29484   0.00000
 1098.00   -0.29590   0.00000
 1098.10   -0.29696   0.00000
 1098.20   -0.29802   0.00000
 1098.30   -0.29908   0.00000
 1098.40   -0.30013   0.00000
 1098.50   -0.30119   0.00000
 1098.60   -0.30224   0.00000
 1098.70   -0.30330   0.00000
 1098.80   -0.30435   0.00000
 1098.90   -0.30540   0.00000
 1099.00   -0.30645   0.00000
 1099.10   -0.30750   0.00000
 1099.20   -0.30855   0.00000
 1099.30   -0.30960   0.00000
 1099.40   -0.31065   0.00000
 1099.50   -0.31170   0.00000
 1099.60   -0.31274   0.00000
 1099.70   -0.31379   0.00000
 1099.80   -0.31483   0.00000
 1099.90   -0.31587   0.00000
 1100.00   -0.31692   0.00000
 1100.10   -0.31796   0.00000
 1100.20   -0.31900   0.00000
 1100.30   -0.32004   0.00000
 1100.40   -0.32107   0.00000
 1100.50   -0.32211   0.00000
 1100.60   -0.32315   0.00000
 1100.70   -0.32418   0.00000
 1100.80   -0.32522   0.00000
 1100.90   -0.32625   0.00000
 1101.00   -0.32728   0.00000
 1101.10   -0.32832   0.00000
 1101.20   -0.32935   0.00000
 1101.30   -0.33038   0.00000
 1101.40   -0.33141   0.00000
 1101.50   -0.33244   0.00000
 1101.60   -0.33346   0.00000
 1101.70   -0.33449   0.00000
 1101.80   -0.33552   0.00000
 1101.90   -0.33654   0.00000
 1102.00   -0.33756   0.00000
 1102.10   -0.33859   0.00000
 1102.20   -0.33961   0.00000
 1102.30   -0.34063   0.00000
 1102.40   -0.34165   0.00000
 1102.50   -0.34267   0.00000
 1102.60   -0.34369   0.00000
 1102.70   -0.34471   0.00000
 1102.80   -0.34572   0.00000
 1102.90   -0.34674   0.00000
 1103.00   -0.34776   0.00000
 1103.10   -0.34877   0.00000
 1103.20   -0.34978   0.00000
 1103.30   -0.35080   0.00000
 1103.40   -0.35181   0.00000
 1103.50   -0.35282   0.00000
 1103.60   -0.35383   0.00000
 1103.70   -0.35484   0.00000
 1103.80   -0.35585   0.00000
 1103.90   -0.35685   0.00000
 1104.00   -0.35786   0.00000
 1104.10   -0.35886   0.00000
 1104.20   -0.35987   0.00000
 1104.30   -0.36087   0.00000
 1104.40   -0.36188   0.00000
 1104.50   -0.36288   0.00000
 1104.60   -0.36388   0.00000
 1104.70   -0.36488   0.00000
 1104.80   -0.36588   0.00000
 1104.90   -0.36688   0.00000
 1105.00   -0.36788   0.00000
 1105.10   -0.36887   0.00000
 1105.20   -0.36987   0.00000
 1105.30   -0.37087   0.00000
 1105.40   -0.37186   0.00000
 1105.50   -0.37285   0.00000
 1105.60   -0.37385   0.00000
 1105.70   -0.37484   0.00000
 1105.80   -0.37583   0.00000
 1105.90   -0.37682   0.00000
 1106.00   -0.37781   0.00000
 1106.10   -0.37880   0.00000
 1106.20   -0.37979   0.00000
 1106.30   -0.38077   0.00000
 1106.40   -0.38176   0.00000
 1106.50   -0.38274   0.00000
 1106.60   -0.38373   0.00000
 1106.70   -0.38471   0.00000
 1106.80   -0.38570   0.00000
 1106.90   -0.38668   0.00000
 1107.00   -0.38766   0.00000
 1107.10   -0.38864   0.00000
 1107.20   -0.38962   0.00000
 1107.30   -0.39060   0.00000
 1107.40   -0.39158   0.00000
 1107.50   -0.39255   0.00000
 1107.60   -0.39353   0.00000
 1107.70   -0.39450   0.00000
 1107.80   -0.39548   0.00000
 1107.90   -0.39645   0.00000
 1108.00   -0.39743   0.00000
 1108.10   -0.39840   0.00000
 1108.20   -0.39937   0.00000
 1108.30   -0.40034   0.00000
 1108.40   -0.40131   0.00000
 1108.50   -0.40228   0.00000
 1108.60   -0.40325   0.00000
 1108.70   -0.40422   0.00000
 1108.80   -0.40518   0.00000
 1108.90   -0.40615   0.00000
 1109.00   -0.40711   0.00000
 1109.10   -0.40808   0.00000
 1109.20   -0.40904   0.00000
 1109.30   -0.41000   0.00000
 1109.40   -0.41096   0.00000
 1109.50   -0.41193   0.00000
 1109.60   -0.41289   0.00000
 1109.70   -0.41385   0.00000
 1109.80   -0.41480   0.00000
 1109.90   -0.41576   0.00000
 1110.00   -0.41672   0.00000
 1110.10   -0.41768   0.00000
 1110.20   -0.41863   0.00000
 1110.30   -0.41959   0.00000
 1110.40   -0.42054   0.00000
 1110.50   -0.42149   0.00000
 1110.60   -0.42244   0.00000
 1110.70   -0.42340   0.00000
 1110.80   -0.42435   0.00000
 1110.90   -0.42530   0.00000
 1111.00   -0.42625   0.00000
 1111.10   -0.42719   0.00000
 1111.20   -0.42814   0.00000
 1111.30   -0.42909   0.00000
 1111.40   -0.43004   0.00000
 1111.50   -0.43098   0.00000
 1111.60   -0.43193   0.00000
 1111.70   -0.43287   0.00000
 1111.80   -0.43381   0.00000
 1111.90   -0.43475   0.00000
 1112.00   -0.43570   0.00000
 1112.10   -0.43664   0.00000
 1112.20   -0.43758   0.00000
 1112.30   -0.43852   0.00000
 1112.40   -0.43945   0.00000
 1112.50   -0.44039   0.00000
 1112.60   -0.44133   0.00000
 1112.70   -0.44227   0.00000
 1112.80   -0.44320   0.00000
 1112.90   -0.44414   0.00000
 1113.00   -0.44507   0.00000
 1113.10   -0.44600   0.00000
 1113.20   -0.44694   0.00000
 1113.30   -0.44787   0.00000
 1113.40   -0.44880   0.00000
 1113.50   -0.44973   0.00000
 1113.60   -0.45066   0.00000
 1113.70   -0.45159   0.00000
 1113.80   -0.45251   0.00000
 1113.90   -0.45344   0.00000
 1114.00   -0.45437   0.00000
 1114.10   -0.45529   0.00000
 1114.20   -0.45622   0.00000
 1114.30   -0.45714   0.00000
 1114.40   -0.45807   0.00000
 1114.50   -0.45899   0.00000
 1114.60   -0.45991   0.00000
 1114.70   -0.46083   0.00000
 1114.80   -0.46175   0.00000
 1114.90   -0.46267   0.00000
 1115.00   -0.46359   0.00000
 1115.10   -0.46451   0.00000
 1115.20   -0.46543   0.00000
 1115.30   -0.46634   0.00000
 1115.40   -0.46726   0.00000
 1115.50   -0.46818   0.00000
 1115.60   -0.46909   0.00000
 1115.70   -0.47000   0.00000
 1115.80   -0.47092   0.00000
 1115.90   -0.47183   0.00000
 1116.00   -0.47274   0.00000
 1116.10   -0.47365   0.00000
 1116.20   -0.47456   0.00000
 1116.30   -0.47547   0.00000
 1116.40   -0.47638   0.00000
 1116.50   -0.47729   0.00000
 1116.60   -0.47820   0.00000
 1116.70   -0.47910   0.00000
 1116.80   -0.48001   0.00000
 1116.90   -0.48092   0.00000
 1117.00   -0.48182   0.00000
 1117.10   -0.48272   0.00000
 1117.20   -0.48363   0.00000
 1117.30   -0.48453   0.00000
 1117.40   -0.48543   0.00000
 1117.50   -0.48633   0.00000
 1117.60   -0.48723   0.00000
 1117.70   -0.48813   0.00000
 1117.80   -0.48903   0.00000
 1117.90   -0.48993   0.00000
 1118.00   -0.49083   0.00000
 1118.10   -0.49172   0.00000
 1118.20   -0.49262   0.00000
 1118.30   -0.49351   0.00000
 1118.40   -0.49441   0.00000
 1118.50   -0.49530   0.00000
 1118.60   -0.49620   0.00000
 1118.70   -0.49709   0.00000
 1118.80   -0.49798   0.00000
 1118.90   -0.49887   0.00000
 1119.00   -0.49976   0.00000
 1119.10   -0.50065   0.00000
 1119.20   -0.50154   0.00000
 1119.30   -0.50243   0.00000
 1119.40   -0.50332   0.00000
 1119.50   -0.50420   0.00000
 1119.60   -0.50509   0.00000
 1119.70   -0.50598   0.00000
 1119.80   -0.50686   0.00000
 1119.90   -0.50775   0.00000
 1120.00   -0.50863   0.00000
 1120.10   -0.50951   0.00000
 1120.20   -0.51039   0.00000
 1120.30   -0.51128   0.00000
 1120.40   -0.51216   0.00000
 1120.50   -0.51304   0.00000
 1120.60   -0.51392   0.00000
 1120.70   -0.51479   0.00000
 1120.80   -0.51567   0.00000
 1120.90   -0.51655   0.00000
 1121.00   -0.51743   0.00000
 1121.10   -0.51830   0.00000
 1121.20   -0.51918   0.00000
 1121.30   -0.52005   0.00000
 1121.40   -0.52093   0.00000
 1121.50   -0.52180   0.00000
 1121.60   -0.52267   0.00000
 1121.70   -0.52354   0.00000
 1121.80   -0.52442   0.00000
 1121.90   -0.52529   0.00000
 1122.00   -0.52616   0.00000
 1122.10   -0.52703   0.00000
 1122.20   -0.52789   0.00000
 1122.30   -0.52876   0.00000
 1122.40   -0.52963   0.00000
 1122.50   -0.53050   0.00000
 1122.60   -0.53136   0.00000
 1122.70   -0.53223   0.00000
 1122.80   -0.53309   0.00000
 1122.90   -0.53396   0.00000
 1123.00   -0.53482   0.00000
 1123.10   -0.53568   0.00000
 1123.20   -0.53655   0.00000
 1123.30   -0.53741   0.00000
 1123.40   -0.53827   0.00000
 1123.50   -0.53913   0.00000
 1123.60   -0.53999   0.00000
 1123.70   -0.54085   0.00000
 1123.80   -0.54170   0.00000
 1123.90   -0.54256   0.00000
 1124.00   -0.54342   0.00000
 1124.10   -0.54427   0.00000
 1124.20   -0.54513   0.00000
 1124.30   -0.54598   0.00000
 1124.40   -0.54684   0.00000
 1124.50   -0.54769   0.00000
 1124.60   -0.54855   0.00000
 1124.70   -0.54940   0.00000
 1124.80   -0.55025   0.00000
 1124.90   -0.55110   0.00000
 1125.00   -0.55195   0.00000
 1125.10   -0.55280   0.00000
 1125.20   -0.55365   0.00000
 1125.30   -0.55450   0.00000
 1125.40   -0.55535   0.00000
 1125.50   -0.55619   0.00000
 1125.60   -0.55704   0.00000
 1125.70   -0.55788   0.00000
 1125.80   -0.55873   0.00000
 1125.90   -0.55957   0.00000
 1126.00   -0.56042   0.00000
 1126.10   -0.56126   0.00000
 1126.20   -0.56210   0.00000
 1126.30   -0.56295   0.00000
 1126.40   -0.56379   0.00000
 1126.50   -0.56463   0.00000
 1126.60   -0.56547   0.00000
 1126.70   -0.56631   0.00000
 1126.80   -0.56715   0.00000
 1126.90   -0.56799   0.00000
 1127.00   -0.56882   0.00000
 1127.10   -0.56966   0.00000
 1127.20   -0.57050   0.00000
 1127.30   -0.57133   0.00000
 1127.40   -0.57217   0.00000
 1127.50   -0.57300   0.00000
 1127.60   -0.57384   0.00000
 1127.70   -0.57467   0.00000
 1127.80   -0.57550   0.00000
 1127.90   -0.57633   0.00000
 1128.00   -0.57717   0.00000
 1128.10   -0.57800   0.00000
 1128.20   -0.57883   0.00000
 1128.30   -0.57966   0.00000
 1128.40   -0.58049   0.00000
 1128.50   -0.58131   0.00000
 1128.60   -0.58214   0.00000
 1128.70   -0.58297   0.00000
 1128.80   -0.58379   0.00000
 1128.90   -0.58462   0.00000
 1129.00   -0.58545   0.00000
 1129.10   -0.58627   0.00000
 1129.20   -0.58709   0.00000
 1129.30   -0.58792   0.00000
 1129.40   -0.58874   0.00000
 1129.50   -0.58956   0.00000
 1129.60   -0.59038   0.00000
 1129.70   -0.59121   0.00000
 1129.80   -0.59203   0.00000
 1129.90   -0.59285   0.00000
 1130.00   -0.59367   0.00000
 1130.10   -0.59448   0.00000
 1130.20   -0.59530   0.00000
 1130.30   -0.59612   0.00000
 1130.40   -0.59694   0.00000
 1130.50   -0.59775   0.00000
 1130.60   -0.59857   0.00000
 1130.70   -0.59938   0.00000
 1130.80   -0.60020   0.00000
 1130.90   -0.60101   0.00000
 1131.00   -0.60182   0.00000
 1131.10   -0.60264   0.00000
 1131.20   -0.60345   0.00000
 1131.30   -0.60426   0.00000
 1131.40   -0.60507   0.00000
 1131.50   -0.60588   0.00000
 1131.60   -0.60669   0.00000
 1131.70   -0.60750   0.00000
 1131.80   -0.60831   0.00000
 1131.90   -0.60912   0.00000
 1132.00   -0.60992   0.00000
 1132.10   -0.61073   0.00000
 1132.20   -0.61154   0.00000
 1132.30   -0.61234   0.00000
 1132.40   -0.61315   0.00000
 1132.50   -0.61395   0.00000
 1132.60   -0.61475   0.00000
 1132.70   -0.61556   0.00000
 1132.80   -0.61636   0.00000
 1132.90   -0.61716   0.00000
 1133.00   -0.61796   0.00000
 1133.10   -0.61876   0.00000
 1133.20   -0.61956   0.00000
 1133.30   -0.62036   0.00000
 1133.40   -0.62116   0.00000
 1133.50   -0.62196   0.00000
 1133.60   -0.62276   0.00000
 1133.70   -0.62356   0.00000
 1133.80   -0.62435   0.00000
 1133.90   -0.62515   0.00000
 1134.00   -0.62595   0.00000
 1134.10   -0.62674   0.00000
 1134.20   -0.62754   0.00000
 1134.30   -0.62833   0.00000
 1134.40   -0.62912   0.00000
 1134.50   -0.62992   0.00000
 1134.60   -0.63071   0.00000
 1134.70   -0.63150   0.00000
 1134.80   -0.63229   0.00000
 1134.90   -0.63308   0.00000
 1135.00   -0.63387   0.00000
 1135.10   -0.63466   0.00000
 1135.20   -0.63545   0.00000
 1135.30   -0.63624   0.00000
 1135.40   -0.63702   0.00000
 1135.50   -0.63781   0.00000
 1135.60   -0.63860   0.00000
 1135.70   -0.63938   0.00000
 1135.80   -0.64017   0.00000
 1135.90   -0.64095   0.00000
 1136.00   -0.64174   0.00000
 1136.10   -0.64252   0.00000
 1136.20   -0.64331   0.00000
 1136.30   -0.64409   0.00000
 1136.40   -0.64487   0.00000
 1136.50   -0.64565   0.00000
 1136.60   -0.64643   0.00000
 1136.70   -0.64721   0.00000
 1136.80   -0.64799   0.00000
 1136.90   -0.64877   0.00000
 1137.00   -0.64955   0.00000
 1137.10   -0.65033   0.00000
 1137.20   -0.65111   0.00000
 1137.30   -0.65188   0.00000
 1137.40   -0.65266   0.00000
 1137.50   -0.65344   0.00000
 1137.60   -0.65421   0.00000
 1137.70   -0.65499   0.00000
 1137.80   -0.65576   0.00000
 1137.90   -0.65653   0.00000
 1138.00   -0.65731   0.00000
 1138.10   -0.65808   0.00000
 1138.20   -0.65885   0.00000
 1138.30   -0.65962   0.00000
 1138.40   -0.66039   0.00000
 1138.50   -0.66116   0.00000
 1138.60   -0.66193   0.00000
 1138.70   -0.66270   0.00000
 1138.80   -0.66347   0.00000
 1138.90   -0.66424   0.00000
 1139.00   -0.66501   0.00000
 1139.10   -0.66578   0.00000
 1139.20   -0.66654   0.00000
 1139.30   -0.66731   0.00000
 1139.40   -0.66807   0.00000
 1139.50   -0.66884   0.00000
 1139.60   -0.66960   0.00000
 1139.70   -0.67037   0.00000
 1139.80   -0.67113   0.00000
 1139.90   -0.67189   0.00000
 1140.00   -0.67266   0.00000
 1140.10   -0.67342   0.00000
 1140.20   -0.67418   0.00000
 1140.30   -0.67494   0.00000
 1140.40   -0.67570   0.00000
 1140.50   -0.67646   0.00000
 1140.60   -0.67722   0.00000
 1140.70   -0.67798   0.00000
 1140.80   -0.67873   0.00000
 1140.90   -0.67949   0.00000
 1141.00   -0.68025   0.00000
 1141.10   -0.68101   0.00000
 1141.20   -0.68176   0.00000
 1141.30   -0.68252   0.00000
 1141.40   -0.68327   0.00000
 1141.50   -0.68403   0.00000
 1141.60   -0.68478   0.00000
 1141.70   -0.68553   0.00000
 1141.80   -0.68629   0.00000
 1141.90   -0.68704   0.00000
 1142.00   -0.68779   0.00000
 1142.10   -0.68854   0.00000
 1142.20   -0.68929   0.00000
 1142.30   -0.69004   0.00000
 1142.40   -0.69079   0.00000
 1142.50   -0.69154   0.00000
 1142.60   -0.69229   0.00000
 1142.70   -0.69304   0.00000
 1142.80   -0.69378   0.00000
 1142.90   -0.69453   0.00000
 1143.00   -0.69528   0.00000
 1143.10   -0.69602   0.00000
 1143.20   -0.69677   0.00000
 1143.30   -0.69751   0.00000
 1143.40   -0.69826   0.00000
 1143.50   -0.69900   0.00000
 1143.60   -0.69975   0.00000
 1143.70   -0.70049   0.00000
 1143.80   -0.70123   0.00000
 1143.90   -0.70197   0.00000
 1144.00   -0.70271   0.00000
 1144.10   -0.70346   0.00000
 1144.20   -0.70420   0.00000
 1144.30   -0.70494   0.00000
 1144.40   -0.70568   0.00000
 1144.50   -0.70641   0.00000
 1144.60   -0.70715   0.00000
 1144.70   -0.70789   0.00000
 1144.80   -0.70863   0.00000
 1144.90   -0.70936   0.00000
 1145.00   -0.71010   0.00000
 1145.10   -0.71084   0.00000
 1145.20   -0.71157   0.00000
 1145.30   -0.71231   0.00000
 1145.40   -0.71304   0.00000
 1145.50   -0.71377   0.00000
 1145.60   -0.71451   0.00000
 1145.70   -0.71524   0.00000
 1145.80   -0.71597   0.00000
 1145.90   -0.71670   0.00000
 1146.00   -0.71743   0.00000
 1146.10   -0.71817   0.00000
 1146.20   -0.71890   0.00000
 1146.30   -0.71963   0.00000
 1146.40   -0.72035   0.00000
 1146.50   -0.72108   0.00000
 1146.60   -0.72181   0.00000
 1146.70   -0.72254   0.00000
 1146.80   -0.72327   0.00000
 1146.90   -0.72399   0.00000
 1147.00   -0.72472   0.00000
 1147.10   -0.72545   0.00000
 1147.20   -0.72617   0.00000
 1147.30   -0.72690   0.00000
 1147.40   -0.72762   0.00000
 1147.50   -0.72834   0.00000
 1147.60   -0.72907   0.00000
 1147.70   -0.72979   0.00000
 1147.80   -0.73051   0.00000
 1147.90   -0.73123   0.00000
 1148.00   -0.73195   0.00000
 1148.10   -0.73268   0.00000
 1148.20   -0.73340   0.00000
 1148.30   -0.73412   0.00000
 1148.40   -0.73483   0.00000
 1148.50   -0.73555   0.00000
 1148.60   -0.73627   0.00000
 1148.70   -0.73699   0.00000
 1148.80   -0.73771   0.00000
 1148.90   -0.73842   0.00000
 1149.00   -0.73914   0.00000
 1149.10   -0.73986   0.00000
 1149.20   -0.74057   0.00000
 1149.30   -0.74129   0.00000
 1149.40   -0.74200   0.00000
 1149.50   -0.74272   0.00000
 1149.60   -0.74343   0.00000
 1149.70   -0.74414   0.00000
 1149.80   -0.74485   0.00000
 1149.90   -0.74557   0.00000
 1150.00   -0.74628   0.00000
 1150.10   -0.74699   0.00000
 1150.20   -0.74770   0.00000
 1150.30   -0.74841   0.00000
 1150.40   -0.74912   0.00000
 1150.50   -0.74983   0.00000
 1150.60   -0.75054   0.00000
 1150.70   -0.75125   0.00000
 1150.80   -0.75195   0.00000
 1150.90   -0.75266   0.00000
 1151.00   -0.75337   0.00000
 1151.10   -0.75407   0.00000
 1151.20   -0.75478   0.00000
 1151.30   -0.75549   0.00000
 1151.40   -0.75619   0.00000
 1151.50   -0.75690   0.00000
 1151.60   -0.75760   0.00000
 1151.70   -0.75830   0.00000
 1151.80   -0.75901   0.00000
 1151.90   -0.75971   0.00000
 1152.00   -0.76041   0.00000
 1152.10   -0.76111   0.00000
 1152.20   -0.76181   0.00000
 1152.30   -0.76251   0.00000
 1152.40   -0.76321   0.00000
 1152.50   -0.76391   0.00000
 1152.60   -0.76461   0.00000
 1152.70   -0.76531   0.00000
 1152.80   -0.76601   0.00000
 1152.90   -0.76671   0.00000
 1153.00   -0.76741   0.00000
 1153.10   -0.76810   0.00000
 1153.20   -0.76880   0.00000
 1153.30   -0.76949   0.00000
 1153.40   -0.77019   0.00000
 1153.50   -0.77089   0.00000
 1153.60   -0.77158   0.00000
 1153.70   -0.77227   0.00000
 1153.80   -0.77297   0.00000
 1153.90   -0.77366   0.00000
 1154.00   -0.77435   0.00000
 1154.10   -0.77505   0.00000
 1154.20   -0.77574   0.00000
 1154.30   -0.77643   0.00000
 1154.40   -0.77712   0.00000
 1154.50   -0.77781   0.00000
 1154.60   -0.77850   0.00000
 1154.70   -0.77919   0.00000
 1154.80   -0.77988   0.00000
 1154.90   -0.78057   0.00000
 1155.00   -0.78126   0.00000
 1155.10   -0.78194   0.00000
 1155.20   -0.78263   0.00000
