   W         M2-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.082   0.000
 1081.0    0.094   0.000
 1082.0    0.105   0.000
 1083.0    0.117   0.000
 1084.0    0.128   0.000
 1085.0    0.139   0.000
 1086.0    0.150   0.000
 1087.0    0.161   0.000
 1088.0    0.172   0.000
 1089.0    0.182   0.000
 1090.0    0.193   0.000
 1091.0    0.203   0.000
 1092.0    0.214   0.000
 1093.0    0.224   0.000
 1094.0    0.234   0.000
 1095.0    0.244   0.000
 1096.0    0.254   0.000
 1097.0    0.264   0.000
 1098.0    0.274   0.000
 1099.0    0.283   0.000
 1100.0    0.293   0.000
 1101.0    0.302   0.000
 1102.0    0.312   0.000
 1103.0    0.321   0.000
 1104.0    0.330   0.000
 1105.0    0.339   0.000
 1106.0    0.348   0.000
 1107.0    0.357   0.000
 1108.0    0.366   0.000
 1109.0    0.374   0.000
 1110.0    0.383   0.000
 1111.0    0.392   0.000
 1112.0    0.400   0.001
 1113.0    0.408   0.001
 1114.0    0.417   0.001
 1115.0    0.425   0.001
 1116.0    0.433   0.001
 1117.0    0.441   0.001
 1118.0    0.449   0.001
 1119.0    0.457   0.001
 1120.0    0.465   0.001
 1121.0    0.472   0.001
 1122.0    0.480   0.001
 1123.0    0.488   0.001
 1124.0    0.495   0.001
 1125.0    0.503   0.001
 1126.0    0.510   0.001
 1127.0    0.517   0.001
 1128.0    0.525   0.001
 1129.0    0.532   0.001
 1130.0    0.539   0.002
 1131.0    0.546   0.002
 1132.0    0.553   0.002
 1133.0    0.560   0.002
 1134.0    0.567   0.002
 1135.0    0.574   0.002
 1136.0    0.580   0.002
 1137.0    0.587   0.002
 1138.0    0.594   0.002
 1139.0    0.600   0.002
 1140.0    0.607   0.002
 1141.0    0.613   0.002
 1142.0    0.619   0.003
 1143.0    0.626   0.003
 1144.0    0.632   0.003
 1145.0    0.638   0.003
 1146.0    0.644   0.003
 1147.0    0.651   0.003
 1148.0    0.657   0.003
 1149.0    0.663   0.003
 1150.0    0.669   0.004
 1151.0    0.675   0.004
 1152.0    0.680   0.004
 1153.0    0.686   0.004
 1154.0    0.692   0.004
 1155.0    0.698   0.004
 1156.0    0.703   0.004
 1157.0    0.709   0.005
 1158.0    0.715   0.005
 1159.0    0.720   0.005
 1160.0    0.726   0.005
 1161.0    0.731   0.005
 1162.0    0.736   0.005
 1163.0    0.742   0.006
 1164.0    0.747   0.006
 1165.0    0.752   0.006
 1166.0    0.758   0.006
 1167.0    0.763   0.006
 1168.0    0.768   0.006
 1169.0    0.773   0.007
 1170.0    0.778   0.007
 1171.0    0.783   0.007
 1172.0    0.788   0.007
 1173.0    0.793   0.008
 1174.0    0.798   0.008
 1175.0    0.803   0.008
 1176.0    0.808   0.008
 1177.0    0.813   0.009
 1178.0    0.817   0.009
 1179.0    0.822   0.009
 1180.0    0.827   0.009
 1181.0    0.832   0.010
 1182.0    0.836   0.010
 1183.0    0.841   0.010
 1184.0    0.845   0.010
 1185.0    0.850   0.011
 1186.0    0.854   0.011
 1187.0    0.859   0.011
 1188.0    0.863   0.012
 1189.0    0.868   0.012
 1190.0    0.872   0.012
 1191.0    0.877   0.013
 1192.0    0.881   0.013
 1193.0    0.885   0.013
 1194.0    0.890   0.014
 1195.0    0.894   0.014
 1196.0    0.898   0.014
 1197.0    0.902   0.015
 1198.0    0.907   0.015
 1199.0    0.911   0.015
 1200.0    0.915   0.016
 1201.0    0.919   0.016
 1202.0    0.923   0.017
 1203.0    0.927   0.017
 1204.0    0.931   0.018
 1205.0    0.935   0.018
 1206.0    0.939   0.018
 1207.0    0.943   0.019
 1208.0    0.947   0.019
 1209.0    0.951   0.020
 1210.0    0.955   0.020
 1211.0    0.959   0.021
 1212.0    0.963   0.021
 1213.0    0.967   0.022
 1214.0    0.971   0.022
 1215.0    0.974   0.023
 1216.0    0.978   0.023
 1217.0    0.982   0.024
 1218.0    0.986   0.024
 1219.0    0.990   0.025
 1220.0    0.993   0.025
 1221.0    0.997   0.026
 1222.0    1.001   0.027
 1223.0    1.004   0.027
 1224.0    1.008   0.028
 1225.0    1.012   0.028
 1226.0    1.015   0.029
 1227.0    1.019   0.030
 1228.0    1.022   0.030
 1229.0    1.026   0.031
 1230.0    1.030   0.032
 1231.0    1.033   0.032
 1232.0    1.037   0.033
 1233.0    1.040   0.034
 1234.0    1.044   0.035
 1235.0    1.047   0.035
 1236.0    1.051   0.036
 1237.0    1.054   0.037
 1238.0    1.058   0.037
 1239.0    1.061   0.038
 1240.0    1.065   0.039
 1241.0    1.068   0.040
 1242.0    1.072   0.041
 1243.0    1.075   0.042
 1244.0    1.078   0.042
 1245.0    1.082   0.043
 1246.0    1.085   0.044
 1247.0    1.089   0.045
 1248.0    1.092   0.046
 1249.0    1.096   0.047
 1250.0    1.099   0.048
 1251.0    1.102   0.049
 1252.0    1.106   0.050
 1253.0    1.109   0.051
 1254.0    1.112   0.052
 1255.0    1.116   0.053
 1256.0    1.119   0.054
 1257.0    1.122   0.055
 1258.0    1.126   0.056
 1259.0    1.129   0.057
 1260.0    1.132   0.058
 1261.0    1.136   0.059
 1262.0    1.139   0.060
 1263.0    1.142   0.061
 1264.0    1.146   0.063
 1265.0    1.149   0.064
 1266.0    1.152   0.065
 1267.0    1.156   0.066
 1268.0    1.159   0.067
 1269.0    1.162   0.069
 1270.0    1.166   0.070
 1271.0    1.169   0.071
 1272.0    1.172   0.072
 1273.0    1.175   0.074
 1274.0    1.179   0.075
 1275.0    1.182   0.076
 1276.0    1.185   0.078
 1277.0    1.189   0.079
 1278.0    1.192   0.081
 1279.0    1.195   0.082
 1280.0    1.199   0.084
 1281.0    1.202   0.085
 1282.0    1.205   0.087
 1283.0    1.209   0.088
 1284.0    1.212   0.090
 1285.0    1.215   0.091
 1286.0    1.219   0.093
 1287.0    1.222   0.095
 1288.0    1.225   0.096
 1289.0    1.229   0.098
 1290.0    1.232   0.100
 1291.0    1.236   0.102
 1292.0    1.239   0.103
 1293.0    1.242   0.105
 1294.0    1.246   0.107
 1295.0    1.249   0.109
 1296.0    1.253   0.111
 1297.0    1.256   0.113
 1298.0    1.260   0.115
 1299.0    1.263   0.117
 1300.0    1.266   0.119
 1301.0    1.270   0.121
 1302.0    1.273   0.123
 1303.0    1.277   0.125
 1304.0    1.280   0.127
