   W         M2+(pi+_n)
 (MeV)      Re      Im
 1282.0   -0.467  -0.007
 1283.0   -0.467  -0.007
 1284.0   -0.467  -0.007
 1285.0   -0.466  -0.007
 1286.0   -0.466  -0.007
 1287.0   -0.466  -0.007
 1288.0   -0.465  -0.007
 1289.0   -0.465  -0.007
 1290.0   -0.465  -0.007
 1291.0   -0.464  -0.007
 1292.0   -0.464  -0.007
 1293.0   -0.463  -0.007
 1294.0   -0.463  -0.007
 1295.0   -0.462  -0.007
 1296.0   -0.462  -0.007
 1297.0   -0.462  -0.007
 1298.0   -0.461  -0.007
 1299.0   -0.461  -0.007
 1300.0   -0.460  -0.007
 1301.0   -0.460  -0.007
 1302.0   -0.459  -0.008
 1303.0   -0.459  -0.008
 1304.0   -0.458  -0.008
 1305.0   -0.458  -0.008
 1306.0   -0.457  -0.008
 1307.0   -0.456  -0.008
 1308.0   -0.456  -0.008
 1309.0   -0.455  -0.008
 1310.0   -0.455  -0.008
 1311.0   -0.454  -0.008
 1312.0   -0.454  -0.008
 1313.0   -0.453  -0.008
 1314.0   -0.452  -0.008
 1315.0   -0.452  -0.008
 1316.0   -0.451  -0.008
 1317.0   -0.450  -0.008
 1318.0   -0.450  -0.008
 1319.0   -0.449  -0.008
 1320.0   -0.448  -0.008
 1321.0   -0.448  -0.008
 1322.0   -0.447  -0.008
 1323.0   -0.446  -0.008
 1324.0   -0.446  -0.008
 1325.0   -0.445  -0.008
 1326.0   -0.444  -0.008
 1327.0   -0.444  -0.008
 1328.0   -0.443  -0.008
 1329.0   -0.442  -0.008
 1330.0   -0.441  -0.009
 1331.0   -0.441  -0.009
 1332.0   -0.440  -0.009
 1333.0   -0.439  -0.009
 1334.0   -0.438  -0.009
 1335.0   -0.437  -0.009
 1336.0   -0.437  -0.009
 1337.0   -0.436  -0.009
 1338.0   -0.435  -0.009
 1339.0   -0.434  -0.009
 1340.0   -0.433  -0.009
 1341.0   -0.433  -0.009
 1342.0   -0.432  -0.009
 1343.0   -0.431  -0.009
 1344.0   -0.430  -0.009
 1345.0   -0.429  -0.009
 1346.0   -0.428  -0.009
 1347.0   -0.427  -0.009
 1348.0   -0.427  -0.009
 1349.0   -0.426  -0.009
 1350.0   -0.425  -0.009
 1351.0   -0.424  -0.009
 1352.0   -0.423  -0.009
 1353.0   -0.422  -0.009
 1354.0   -0.421  -0.009
 1355.0   -0.420  -0.009
 1356.0   -0.419  -0.009
 1357.0   -0.418  -0.009
 1358.0   -0.417  -0.009
 1359.0   -0.416  -0.009
 1360.0   -0.415  -0.009
 1361.0   -0.414  -0.009
 1362.0   -0.414  -0.009
 1363.0   -0.413  -0.009
 1364.0   -0.412  -0.009
 1365.0   -0.411  -0.009
 1366.0   -0.410  -0.009
 1367.0   -0.409  -0.009
 1368.0   -0.407  -0.009
 1369.0   -0.406  -0.009
 1370.0   -0.405  -0.009
 1371.0   -0.404  -0.009
 1372.0   -0.403  -0.009
 1373.0   -0.402  -0.009
 1374.0   -0.401  -0.009
 1375.0   -0.400  -0.009
 1376.0   -0.399  -0.009
 1377.0   -0.398  -0.009
 1378.0   -0.397  -0.009
 1379.0   -0.396  -0.009
 1380.0   -0.395  -0.009
 1381.0   -0.394  -0.009
 1382.0   -0.393  -0.009
 1383.0   -0.391  -0.009
 1384.0   -0.390  -0.009
 1385.0   -0.389  -0.009
 1386.0   -0.388  -0.009
 1387.0   -0.387  -0.009
 1388.0   -0.386  -0.009
 1389.0   -0.385  -0.009
 1390.0   -0.383  -0.009
 1391.0   -0.382  -0.009
 1392.0   -0.381  -0.009
 1393.0   -0.380  -0.009
 1394.0   -0.379  -0.009
 1395.0   -0.378  -0.009
 1396.0   -0.376  -0.009
 1397.0   -0.375  -0.009
 1398.0   -0.374  -0.008
 1399.0   -0.373  -0.008
 1400.0   -0.372  -0.008
 1401.0   -0.370  -0.008
 1402.0   -0.369  -0.008
 1403.0   -0.368  -0.008
 1404.0   -0.367  -0.008
 1405.0   -0.365  -0.008
 1406.0   -0.364  -0.008
 1407.0   -0.363  -0.008
 1408.0   -0.362  -0.008
 1409.0   -0.360  -0.008
 1410.0   -0.359  -0.008
 1411.0   -0.358  -0.008
 1412.0   -0.356  -0.008
 1413.0   -0.355  -0.008
 1414.0   -0.354  -0.008
 1415.0   -0.352  -0.007
 1416.0   -0.351  -0.007
 1417.0   -0.350  -0.007
 1418.0   -0.349  -0.007
 1419.0   -0.347  -0.007
 1420.0   -0.346  -0.007
 1421.0   -0.345  -0.007
 1422.0   -0.343  -0.007
 1423.0   -0.342  -0.007
 1424.0   -0.340  -0.007
 1425.0   -0.339  -0.007
 1426.0   -0.338  -0.006
 1427.0   -0.336  -0.006
 1428.0   -0.335  -0.006
 1429.0   -0.334  -0.006
 1430.0   -0.332  -0.006
 1431.0   -0.331  -0.006
 1432.0   -0.329  -0.006
 1433.0   -0.328  -0.006
 1434.0   -0.326  -0.006
 1435.0   -0.325  -0.005
 1436.0   -0.324  -0.005
 1437.0   -0.322  -0.005
 1438.0   -0.321  -0.005
 1439.0   -0.319  -0.005
 1440.0   -0.318  -0.005
 1441.0   -0.316  -0.005
 1442.0   -0.315  -0.004
 1443.0   -0.313  -0.004
 1444.0   -0.312  -0.004
 1445.0   -0.310  -0.004
 1446.0   -0.309  -0.004
 1447.0   -0.307  -0.004
