   W         E1+(pi+_n)
 (MeV)      Re      Im
 1302.0    1.904  -0.407
 1303.0    1.906  -0.409
 1304.0    1.909  -0.411
 1305.0    1.912  -0.413
 1306.0    1.914  -0.416
 1307.0    1.917  -0.418
 1308.0    1.920  -0.420
 1309.0    1.922  -0.421
 1310.0    1.925  -0.423
 1311.0    1.927  -0.425
 1312.0    1.929  -0.427
 1313.0    1.932  -0.428
 1314.0    1.934  -0.430
 1315.0    1.936  -0.431
 1316.0    1.939  -0.432
 1317.0    1.941  -0.434
 1318.0    1.943  -0.435
 1319.0    1.945  -0.436
 1320.0    1.947  -0.437
 1321.0    1.949  -0.438
 1322.0    1.951  -0.439
 1323.0    1.953  -0.440
 1324.0    1.955  -0.441
 1325.0    1.957  -0.442
 1326.0    1.959  -0.443
 1327.0    1.961  -0.443
 1328.0    1.963  -0.444
 1329.0    1.964  -0.445
 1330.0    1.966  -0.445
 1331.0    1.968  -0.446
 1332.0    1.969  -0.446
 1333.0    1.971  -0.447
 1334.0    1.973  -0.447
 1335.0    1.974  -0.448
 1336.0    1.976  -0.448
 1337.0    1.977  -0.448
 1338.0    1.979  -0.449
 1339.0    1.980  -0.449
 1340.0    1.981  -0.449
 1341.0    1.983  -0.449
 1342.0    1.984  -0.449
 1343.0    1.985  -0.449
 1344.0    1.987  -0.449
 1345.0    1.988  -0.449
 1346.0    1.989  -0.449
 1347.0    1.990  -0.449
 1348.0    1.992  -0.449
 1349.0    1.993  -0.449
 1350.0    1.994  -0.449
 1351.0    1.995  -0.449
 1352.0    1.996  -0.449
 1353.0    1.997  -0.449
 1354.0    1.998  -0.448
 1355.0    1.999  -0.448
 1356.0    2.000  -0.448
 1357.0    2.001  -0.448
 1358.0    2.002  -0.447
 1359.0    2.003  -0.447
 1360.0    2.004  -0.447
 1361.0    2.005  -0.447
 1362.0    2.006  -0.446
 1363.0    2.007  -0.446
 1364.0    2.008  -0.445
 1365.0    2.009  -0.445
 1366.0    2.010  -0.444
 1367.0    2.011  -0.444
 1368.0    2.012  -0.444
 1369.0    2.013  -0.443
 1370.0    2.013  -0.442
 1371.0    2.014  -0.442
 1372.0    2.015  -0.441
 1373.0    2.016  -0.441
 1374.0    2.016  -0.440
 1375.0    2.017  -0.440
 1376.0    2.018  -0.439
 1377.0    2.019  -0.438
 1378.0    2.019  -0.438
 1379.0    2.020  -0.437
 1380.0    2.021  -0.436
 1381.0    2.021  -0.436
 1382.0    2.022  -0.435
 1383.0    2.023  -0.434
 1384.0    2.024  -0.433
 1385.0    2.024  -0.432
 1386.0    2.025  -0.432
 1387.0    2.026  -0.431
 1388.0    2.026  -0.430
 1389.0    2.027  -0.429
 1390.0    2.028  -0.428
 1391.0    2.028  -0.427
 1392.0    2.029  -0.427
 1393.0    2.030  -0.426
 1394.0    2.030  -0.425
 1395.0    2.031  -0.424
 1396.0    2.031  -0.423
 1397.0    2.032  -0.422
 1398.0    2.033  -0.421
 1399.0    2.033  -0.420
 1400.0    2.034  -0.419
 1401.0    2.034  -0.418
 1402.0    2.035  -0.417
 1403.0    2.036  -0.416
 1404.0    2.036  -0.415
 1405.0    2.037  -0.414
 1406.0    2.038  -0.413
 1407.0    2.038  -0.412
 1408.0    2.039  -0.411
 1409.0    2.039  -0.410
 1410.0    2.040  -0.409
 1411.0    2.041  -0.408
 1412.0    2.041  -0.406
 1413.0    2.042  -0.405
 1414.0    2.042  -0.404
 1415.0    2.043  -0.403
 1416.0    2.043  -0.402
 1417.0    2.044  -0.400
 1418.0    2.045  -0.399
 1419.0    2.045  -0.398
 1420.0    2.046  -0.396
 1421.0    2.046  -0.395
 1422.0    2.047  -0.394
 1423.0    2.047  -0.392
 1424.0    2.048  -0.391
 1425.0    2.048  -0.390
 1426.0    2.049  -0.388
 1427.0    2.050  -0.387
 1428.0    2.050  -0.386
 1429.0    2.051  -0.384
 1430.0    2.051  -0.383
 1431.0    2.052  -0.381
 1432.0    2.053  -0.380
 1433.0    2.053  -0.378
 1434.0    2.054  -0.377
 1435.0    2.054  -0.375
 1436.0    2.055  -0.374
 1437.0    2.055  -0.372
 1438.0    2.056  -0.371
 1439.0    2.057  -0.369
 1440.0    2.057  -0.368
 1441.0    2.058  -0.366
 1442.0    2.058  -0.365
 1443.0    2.059  -0.363
 1444.0    2.059  -0.361
 1445.0    2.060  -0.360
 1446.0    2.061  -0.358
 1447.0    2.061  -0.356
 1448.0    2.062  -0.355
 1449.0    2.062  -0.353
 1450.0    2.063  -0.351
 1451.0    2.063  -0.349
 1452.0    2.064  -0.348
 1453.0    2.065  -0.346
 1454.0    2.065  -0.344
 1455.0    2.066  -0.342
 1456.0    2.066  -0.340
 1457.0    2.067  -0.338
 1458.0    2.068  -0.336
 1459.0    2.068  -0.335
 1460.0    2.069  -0.333
 1461.0    2.069  -0.331
 1462.0    2.070  -0.329
 1463.0    2.071  -0.327
 1464.0    2.071  -0.325
 1465.0    2.072  -0.323
 1466.0    2.072  -0.321
 1467.0    2.073  -0.319
 1468.0    2.073  -0.316
 1469.0    2.074  -0.314
 1470.0    2.074  -0.312
 1471.0    2.075  -0.310
 1472.0    2.076  -0.308
 1473.0    2.076  -0.306
 1474.0    2.077  -0.304
 1475.0    2.077  -0.301
 1476.0    2.078  -0.299
 1477.0    2.078  -0.297
 1478.0    2.079  -0.295
 1479.0    2.079  -0.293
 1480.0    2.080  -0.290
 1481.0    2.080  -0.288
 1482.0    2.081  -0.286
 1483.0    2.081  -0.283
 1484.0    2.082  -0.281
 1485.0    2.082  -0.279
 1486.0    2.083  -0.276
 1487.0    2.083  -0.274
 1488.0    2.084  -0.271
 1489.0    2.084  -0.269
 1490.0    2.085  -0.266
 1491.0    2.085  -0.264
 1492.0    2.086  -0.261
 1493.0    2.086  -0.259
 1494.0    2.087  -0.256
 1495.0    2.087  -0.254
 1496.0    2.088  -0.251
 1497.0    2.088  -0.249
 1498.0    2.088  -0.246
 1499.0    2.089  -0.243
 1500.0    2.089  -0.241
 1501.0    2.089  -0.238
 1502.0    2.089  -0.235
 1503.0    2.089  -0.232
 1504.0    2.089  -0.229
 1505.0    2.088  -0.226
 1506.0    2.088  -0.224
 1507.0    2.088  -0.221
 1508.0    2.087  -0.218
 1509.0    2.087  -0.215
 1510.0    2.087  -0.212
 1511.0    2.086  -0.209
 1512.0    2.086  -0.206
 1513.0    2.086  -0.203
 1514.0    2.085  -0.200
 1515.0    2.085  -0.197
 1516.0    2.085  -0.194
 1517.0    2.084  -0.191
 1518.0    2.084  -0.187
 1519.0    2.083  -0.184
 1520.0    2.083  -0.181
 1521.0    2.082  -0.178
 1522.0    2.082  -0.175
 1523.0    2.082  -0.172
 1524.0    2.081  -0.169
 1525.0    2.081  -0.166
 1526.0    2.080  -0.162
 1527.0    2.080  -0.159
 1528.0    2.079  -0.156
 1529.0    2.078  -0.153
 1530.0    2.078  -0.150
 1531.0    2.077  -0.147
 1532.0    2.077  -0.143
 1533.0    2.076  -0.140
 1534.0    2.076  -0.137
 1535.0    2.075  -0.134
 1536.0    2.074  -0.130
 1537.0    2.074  -0.127
 1538.0    2.073  -0.124
 1539.0    2.073  -0.121
 1540.0    2.072  -0.117
 1541.0    2.071  -0.114
 1542.0    2.071  -0.111
 1543.0    2.070  -0.107
 1544.0    2.069  -0.104
 1545.0    2.068  -0.101
 1546.0    2.068  -0.097
 1547.0    2.067  -0.094
 1548.0    2.066  -0.091
 1549.0    2.066  -0.087
 1550.0    2.065  -0.084
 1551.0    2.064  -0.080
 1552.0    2.063  -0.077
 1553.0    2.062  -0.074
 1554.0    2.062  -0.070
 1555.0    2.061  -0.067
 1556.0    2.060  -0.063
 1557.0    2.059  -0.060
 1558.0    2.058  -0.056
 1559.0    2.058  -0.053
 1560.0    2.057  -0.049
 1561.0    2.056  -0.046
 1562.0    2.055  -0.042
 1563.0    2.054  -0.039
 1564.0    2.053  -0.035
 1565.0    2.053  -0.032
