   W         E2-(pi+_n)
 (MeV)      Re      Im
 1080.0    0.620   0.000
 1081.0    0.704   0.000
 1082.0    0.787   0.000
 1083.0    0.869   0.000
 1084.0    0.948   0.000
 1085.0    1.027   0.000
 1086.0    1.103   0.000
 1087.0    1.178   0.001
 1088.0    1.252   0.001
 1089.0    1.325   0.001
 1090.0    1.396   0.001
 1091.0    1.465   0.001
 1092.0    1.533   0.001
 1093.0    1.601   0.001
 1094.0    1.666   0.001
 1095.0    1.731   0.001
 1096.0    1.794   0.001
 1097.0    1.856   0.001
 1098.0    1.917   0.002
 1099.0    1.977   0.002
 1100.0    2.036   0.002
 1101.0    2.094   0.002
 1102.0    2.150   0.002
 1103.0    2.206   0.002
 1104.0    2.261   0.002
 1105.0    2.314   0.003
 1106.0    2.367   0.003
 1107.0    2.419   0.003
 1108.0    2.470   0.003
 1109.0    2.519   0.003
 1110.0    2.568   0.004
 1111.0    2.617   0.004
 1112.0    2.664   0.004
 1113.0    2.710   0.004
 1114.0    2.756   0.005
 1115.0    2.801   0.005
 1116.0    2.845   0.005
 1117.0    2.889   0.005
 1118.0    2.931   0.006
 1119.0    2.973   0.006
 1120.0    3.014   0.006
 1121.0    3.055   0.007
 1122.0    3.094   0.007
 1123.0    3.133   0.007
 1124.0    3.172   0.008
 1125.0    3.210   0.008
 1126.0    3.247   0.009
 1127.0    3.283   0.009
 1128.0    3.319   0.010
 1129.0    3.355   0.010
 1130.0    3.389   0.010
 1131.0    3.423   0.011
 1132.0    3.457   0.011
 1133.0    3.490   0.012
 1134.0    3.523   0.012
 1135.0    3.555   0.013
 1136.0    3.586   0.013
 1137.0    3.617   0.014
 1138.0    3.647   0.014
 1139.0    3.677   0.015
 1140.0    3.707   0.015
 1141.0    3.736   0.016
 1142.0    3.764   0.016
 1143.0    3.792   0.017
 1144.0    3.820   0.018
 1145.0    3.847   0.018
 1146.0    3.874   0.019
 1147.0    3.900   0.020
 1148.0    3.926   0.021
 1149.0    3.952   0.021
 1150.0    3.977   0.022
 1151.0    4.001   0.023
 1152.0    4.026   0.024
 1153.0    4.050   0.024
 1154.0    4.073   0.025
 1155.0    4.096   0.026
 1156.0    4.119   0.027
 1157.0    4.142   0.028
 1158.0    4.164   0.028
 1159.0    4.186   0.029
 1160.0    4.207   0.030
 1161.0    4.228   0.031
 1162.0    4.249   0.032
 1163.0    4.270   0.033
 1164.0    4.290   0.034
 1165.0    4.310   0.035
 1166.0    4.330   0.035
 1167.0    4.349   0.036
 1168.0    4.368   0.037
 1169.0    4.387   0.038
 1170.0    4.405   0.040
 1171.0    4.424   0.041
 1172.0    4.441   0.042
 1173.0    4.459   0.043
 1174.0    4.477   0.044
 1175.0    4.494   0.045
 1176.0    4.511   0.047
 1177.0    4.527   0.048
 1178.0    4.544   0.049
 1179.0    4.560   0.050
 1180.0    4.576   0.051
 1181.0    4.592   0.053
 1182.0    4.607   0.054
 1183.0    4.623   0.055
