   W         E3-(pi+_n)
 (MeV)      Re      Im
 1306.0    1.131   0.015
 1307.0    1.132   0.015
 1308.0    1.134   0.015
 1309.0    1.136   0.016
 1310.0    1.138   0.016
 1311.0    1.140   0.016
 1312.0    1.141   0.016
 1313.0    1.143   0.017
 1314.0    1.145   0.017
 1315.0    1.147   0.017
 1316.0    1.148   0.017
 1317.0    1.150   0.018
 1318.0    1.152   0.018
 1319.0    1.154   0.018
 1320.0    1.155   0.019
 1321.0    1.157   0.019
 1322.0    1.159   0.019
 1323.0    1.161   0.019
 1324.0    1.162   0.020
 1325.0    1.164   0.020
 1326.0    1.166   0.020
 1327.0    1.168   0.021
 1328.0    1.169   0.021
 1329.0    1.171   0.021
 1330.0    1.173   0.022
 1331.0    1.174   0.022
 1332.0    1.176   0.023
 1333.0    1.178   0.023
 1334.0    1.179   0.023
 1335.0    1.181   0.024
 1336.0    1.183   0.024
 1337.0    1.185   0.024
 1338.0    1.186   0.025
 1339.0    1.188   0.025
 1340.0    1.190   0.025
 1341.0    1.191   0.026
 1342.0    1.193   0.026
 1343.0    1.195   0.027
 1344.0    1.196   0.027
 1345.0    1.198   0.027
 1346.0    1.200   0.028
 1347.0    1.201   0.028
 1348.0    1.203   0.029
 1349.0    1.205   0.029
 1350.0    1.207   0.029
 1351.0    1.208   0.030
 1352.0    1.210   0.030
 1353.0    1.212   0.031
 1354.0    1.213   0.031
 1355.0    1.215   0.032
 1356.0    1.217   0.032
 1357.0    1.218   0.033
 1358.0    1.220   0.033
 1359.0    1.222   0.034
 1360.0    1.224   0.034
 1361.0    1.225   0.035
 1362.0    1.227   0.035
 1363.0    1.229   0.036
 1364.0    1.230   0.036
 1365.0    1.232   0.037
 1366.0    1.234   0.037
 1367.0    1.236   0.038
 1368.0    1.237   0.038
 1369.0    1.239   0.039
 1370.0    1.241   0.039
 1371.0    1.243   0.040
 1372.0    1.244   0.040
 1373.0    1.246   0.041
 1374.0    1.248   0.042
 1375.0    1.250   0.042
 1376.0    1.251   0.043
 1377.0    1.253   0.043
 1378.0    1.255   0.044
 1379.0    1.257   0.045
 1380.0    1.259   0.045
 1381.0    1.260   0.046
 1382.0    1.262   0.046
 1383.0    1.264   0.047
 1384.0    1.266   0.048
 1385.0    1.268   0.048
 1386.0    1.269   0.049
 1387.0    1.271   0.050
 1388.0    1.273   0.050
 1389.0    1.275   0.051
 1390.0    1.277   0.052
 1391.0    1.279   0.052
 1392.0    1.280   0.053
 1393.0    1.282   0.054
 1394.0    1.284   0.055
 1395.0    1.286   0.055
 1396.0    1.288   0.056
 1397.0    1.290   0.057
 1398.0    1.292   0.058
 1399.0    1.294   0.059
 1400.0    1.296   0.059
