   W         M3-(pi+_n)
 (MeV)      Re      Im
 1306.0    0.315   0.007
 1307.0    0.316   0.007
 1308.0    0.317   0.007
 1309.0    0.318   0.007
 1310.0    0.319   0.007
 1311.0    0.320   0.007
 1312.0    0.322   0.007
 1313.0    0.323   0.008
 1314.0    0.324   0.008
 1315.0    0.325   0.008
 1316.0    0.326   0.008
 1317.0    0.327   0.008
 1318.0    0.329   0.008
 1319.0    0.330   0.008
 1320.0    0.331   0.008
 1321.0    0.332   0.009
 1322.0    0.333   0.009
 1323.0    0.335   0.009
 1324.0    0.336   0.009
 1325.0    0.337   0.009
 1326.0    0.338   0.009
 1327.0    0.339   0.010
 1328.0    0.341   0.010
 1329.0    0.342   0.010
 1330.0    0.343   0.010
 1331.0    0.344   0.010
 1332.0    0.345   0.010
 1333.0    0.347   0.010
 1334.0    0.348   0.011
 1335.0    0.349   0.011
 1336.0    0.350   0.011
 1337.0    0.352   0.011
 1338.0    0.353   0.011
 1339.0    0.354   0.012
 1340.0    0.355   0.012
 1341.0    0.357   0.012
 1342.0    0.358   0.012
 1343.0    0.359   0.012
 1344.0    0.360   0.012
 1345.0    0.362   0.013
 1346.0    0.363   0.013
 1347.0    0.364   0.013
 1348.0    0.365   0.013
 1349.0    0.367   0.013
 1350.0    0.368   0.014
 1351.0    0.369   0.014
 1352.0    0.371   0.014
 1353.0    0.372   0.014
 1354.0    0.373   0.014
 1355.0    0.374   0.015
 1356.0    0.376   0.015
 1357.0    0.377   0.015
 1358.0    0.378   0.015
 1359.0    0.380   0.016
 1360.0    0.381   0.016
 1361.0    0.382   0.016
 1362.0    0.384   0.016
 1363.0    0.385   0.017
 1364.0    0.386   0.017
 1365.0    0.388   0.017
 1366.0    0.389   0.017
 1367.0    0.391   0.018
 1368.0    0.392   0.018
 1369.0    0.393   0.018
 1370.0    0.395   0.018
 1371.0    0.396   0.019
 1372.0    0.397   0.019
 1373.0    0.399   0.019
 1374.0    0.400   0.020
 1375.0    0.402   0.020
 1376.0    0.403   0.020
 1377.0    0.405   0.020
 1378.0    0.406   0.021
 1379.0    0.407   0.021
 1380.0    0.409   0.021
 1381.0    0.410   0.022
 1382.0    0.412   0.022
 1383.0    0.413   0.022
 1384.0    0.415   0.023
 1385.0    0.416   0.023
 1386.0    0.418   0.023
 1387.0    0.419   0.024
 1388.0    0.421   0.024
 1389.0    0.422   0.024
 1390.0    0.424   0.025
 1391.0    0.425   0.025
 1392.0    0.427   0.025
 1393.0    0.428   0.026
 1394.0    0.430   0.026
 1395.0    0.432   0.026
 1396.0    0.433   0.027
 1397.0    0.435   0.027
 1398.0    0.436   0.028
 1399.0    0.438   0.028
 1400.0    0.440   0.028
 1401.0    0.441   0.029
 1402.0    0.443   0.029
 1403.0    0.444   0.030
 1404.0    0.446   0.030
 1405.0    0.448   0.031
 1406.0    0.449   0.031
 1407.0    0.451   0.031
 1408.0    0.453   0.032
 1409.0    0.455   0.032
 1410.0    0.456   0.033
 1411.0    0.458   0.033
 1412.0    0.460   0.034
 1413.0    0.461   0.034
 1414.0    0.463   0.035
 1415.0    0.465   0.035
 1416.0    0.467   0.036
 1417.0    0.468   0.036
 1418.0    0.470   0.037
 1419.0    0.472   0.037
 1420.0    0.474   0.038
 1421.0    0.476   0.038
 1422.0    0.478   0.039
 1423.0    0.479   0.039
 1424.0    0.481   0.040
 1425.0    0.483   0.041
 1426.0    0.485   0.041
 1427.0    0.487   0.042
 1428.0    0.489   0.042
 1429.0    0.491   0.043
 1430.0    0.493   0.044
 1431.0    0.495   0.044
 1432.0    0.497   0.045
 1433.0    0.499   0.046
 1434.0    0.501   0.046
 1435.0    0.503   0.047
 1436.0    0.505   0.048
 1437.0    0.507   0.048
 1438.0    0.509   0.049
 1439.0    0.511   0.050
 1440.0    0.513   0.050
 1441.0    0.515   0.051
 1442.0    0.517   0.052
 1443.0    0.519   0.053
 1444.0    0.521   0.053
 1445.0    0.523   0.054
 1446.0    0.526   0.055
 1447.0    0.528   0.056
 1448.0    0.530   0.056
 1449.0    0.532   0.057
 1450.0    0.534   0.058
 1451.0    0.537   0.059
 1452.0    0.539   0.060
 1453.0    0.541   0.061
 1454.0    0.543   0.062
 1455.0    0.546   0.062
 1456.0    0.548   0.063
 1457.0    0.550   0.064
 1458.0    0.553   0.065
 1459.0    0.555   0.066
 1460.0    0.557   0.067
 1461.0    0.560   0.068
 1462.0    0.562   0.069
 1463.0    0.565   0.070
 1464.0    0.567   0.071
 1465.0    0.570   0.072
 1466.0    0.572   0.073
 1467.0    0.575   0.074
 1468.0    0.577   0.076
 1469.0    0.580   0.077
 1470.0    0.582   0.078
 1471.0    0.585   0.079
 1472.0    0.588   0.080
 1473.0    0.590   0.081
 1474.0    0.593   0.083
 1475.0    0.596   0.084
 1476.0    0.598   0.085
 1477.0    0.601   0.086
 1478.0    0.604   0.088
 1479.0    0.606   0.089
 1480.0    0.609   0.090
 1481.0    0.612   0.092
 1482.0    0.615   0.093
 1483.0    0.618   0.094
 1484.0    0.621   0.096
 1485.0    0.624   0.097
 1486.0    0.626   0.099
 1487.0    0.629   0.100
 1488.0    0.632   0.102
 1489.0    0.635   0.103
 1490.0    0.638   0.105
 1491.0    0.641   0.107
 1492.0    0.644   0.108
 1493.0    0.647   0.110
 1494.0    0.651   0.111
 1495.0    0.654   0.113
 1496.0    0.657   0.115
 1497.0    0.660   0.117
 1498.0    0.663   0.119
 1499.0    0.667   0.120
 1500.0    0.670   0.122
 1501.0    0.673   0.124
 1502.0    0.676   0.126
 1503.0    0.680   0.128
 1504.0    0.683   0.130
 1505.0    0.687   0.132
 1506.0    0.690   0.134
 1507.0    0.693   0.136
 1508.0    0.697   0.139
 1509.0    0.700   0.141
 1510.0    0.704   0.143
 1511.0    0.708   0.145
 1512.0    0.711   0.148
 1513.0    0.715   0.150
 1514.0    0.718   0.152
 1515.0    0.722   0.155
 1516.0    0.726   0.157
 1517.0    0.730   0.160
 1518.0    0.733   0.163
 1519.0    0.737   0.165
 1520.0    0.741   0.168
 1521.0    0.745   0.171
 1522.0    0.749   0.174
 1523.0    0.753   0.176
 1524.0    0.757   0.179
 1525.0    0.761   0.182
 1526.0    0.765   0.185
 1527.0    0.769   0.189
 1528.0    0.773   0.192
 1529.0    0.777   0.195
 1530.0    0.781   0.198
