   W         E2+(pi+_n)
 (MeV)      Re      Im
 1306.0    0.768   0.000
 1307.0    0.768   0.000
 1308.0    0.767   0.000
 1309.0    0.767   0.000
 1310.0    0.767   0.000
 1311.0    0.766   0.000
 1312.0    0.766   0.000
 1313.0    0.766   0.000
 1314.0    0.765   0.000
 1315.0    0.765   0.000
 1316.0    0.765   0.000
 1317.0    0.764   0.000
 1318.0    0.764   0.000
 1319.0    0.764   0.000
 1320.0    0.763   0.000
 1321.0    0.763   0.000
 1322.0    0.762   0.000
 1323.0    0.762   0.000
 1324.0    0.762   0.000
 1325.0    0.761   0.000
 1326.0    0.761   0.000
 1327.0    0.760   0.000
 1328.0    0.760   0.000
 1329.0    0.760   0.000
 1330.0    0.759   0.000
 1331.0    0.759   0.000
 1332.0    0.758   0.000
 1333.0    0.758   0.000
 1334.0    0.757   0.000
 1335.0    0.757   0.000
 1336.0    0.757   0.000
 1337.0    0.756   0.000
 1338.0    0.756   0.000
 1339.0    0.755   0.000
 1340.0    0.755   0.000
 1341.0    0.754   0.000
 1342.0    0.754   0.000
 1343.0    0.754   0.000
 1344.0    0.753   0.000
 1345.0    0.753   0.000
 1346.0    0.752   0.000
 1347.0    0.752   0.000
 1348.0    0.751   0.000
 1349.0    0.751   0.000
 1350.0    0.750   0.000
 1351.0    0.750   0.000
 1352.0    0.749   0.000
 1353.0    0.749   0.000
 1354.0    0.748   0.000
 1355.0    0.748   0.000
 1356.0    0.747   0.000
 1357.0    0.747   0.000
 1358.0    0.746   0.000
 1359.0    0.746   0.000
 1360.0    0.745   0.000
 1361.0    0.745   0.000
 1362.0    0.744   0.000
 1363.0    0.744   0.000
 1364.0    0.743   0.000
 1365.0    0.743   0.000
 1366.0    0.742   0.000
 1367.0    0.742   0.000
 1368.0    0.741   0.000
 1369.0    0.741   0.000
 1370.0    0.740   0.000
 1371.0    0.740   0.000
 1372.0    0.739   0.000
 1373.0    0.739   0.000
 1374.0    0.738   0.000
 1375.0    0.738   0.000
 1376.0    0.737   0.000
 1377.0    0.737   0.000
 1378.0    0.736   0.000
 1379.0    0.735   0.000
 1380.0    0.735   0.000
 1381.0    0.734   0.000
 1382.0    0.734   0.000
 1383.0    0.733   0.000
 1384.0    0.733   0.000
 1385.0    0.732   0.000
 1386.0    0.732   0.000
 1387.0    0.731   0.000
 1388.0    0.731   0.000
 1389.0    0.730   0.000
 1390.0    0.729   0.000
 1391.0    0.729   0.000
 1392.0    0.728   0.000
 1393.0    0.728   0.000
 1394.0    0.727   0.000
 1395.0    0.727   0.000
 1396.0    0.726   0.000
 1397.0    0.726   0.000
 1398.0    0.725   0.000
 1399.0    0.724   0.000
 1400.0    0.724   0.000
 1401.0    0.723   0.000
 1402.0    0.723   0.000
 1403.0    0.722   0.000
 1404.0    0.722   0.000
 1405.0    0.721   0.000
 1406.0    0.721   0.000
 1407.0    0.720   0.000
 1408.0    0.719   0.000
 1409.0    0.719   0.000
 1410.0    0.718   0.000
 1411.0    0.718   0.000
 1412.0    0.717   0.000
 1413.0    0.717   0.000
 1414.0    0.716   0.000
 1415.0    0.715   0.000
 1416.0    0.715   0.000
 1417.0    0.714   0.000
 1418.0    0.714   0.000
 1419.0    0.713   0.000
 1420.0    0.712   0.000
 1421.0    0.712   0.000
 1422.0    0.711   0.000
 1423.0    0.711   0.000
 1424.0    0.710   0.000
 1425.0    0.710   0.000
 1426.0    0.709   0.000
 1427.0    0.708   0.000
 1428.0    0.708   0.000
 1429.0    0.707   0.000
 1430.0    0.707   0.000
 1431.0    0.706   0.000
 1432.0    0.705   0.000
 1433.0    0.705   0.000
 1434.0    0.704   0.000
 1435.0    0.704   0.000
 1436.0    0.703   0.000
 1437.0    0.703   0.000
 1438.0    0.702   0.000
 1439.0    0.701   0.000
 1440.0    0.701   0.000
 1441.0    0.700   0.000
 1442.0    0.700   0.000
 1443.0    0.699   0.000
 1444.0    0.698   0.000
 1445.0    0.698   0.000
 1446.0    0.697   0.000
 1447.0    0.697   0.000
 1448.0    0.696   0.000
 1449.0    0.695   0.000
 1450.0    0.695   0.000
 1451.0    0.694   0.000
 1452.0    0.694   0.000
 1453.0    0.693   0.000
 1454.0    0.693   0.000
 1455.0    0.692   0.000
 1456.0    0.691   0.000
 1457.0    0.691   0.000
 1458.0    0.690   0.000
 1459.0    0.690   0.000
 1460.0    0.689   0.000
 1461.0    0.688   0.000
 1462.0    0.688   0.000
 1463.0    0.687   0.000
 1464.0    0.687   0.000
 1465.0    0.686   0.000
 1466.0    0.685   0.000
 1467.0    0.685   0.000
 1468.0    0.684   0.000
 1469.0    0.684   0.000
 1470.0    0.683   0.000
 1471.0    0.682   0.000
 1472.0    0.682   0.000
 1473.0    0.681   0.000
 1474.0    0.681   0.000
 1475.0    0.680   0.000
 1476.0    0.680   0.000
 1477.0    0.679   0.000
 1478.0    0.678   0.000
 1479.0    0.678   0.000
 1480.0    0.677   0.000
 1481.0    0.677   0.000
 1482.0    0.676   0.000
 1483.0    0.675   0.000
 1484.0    0.675   0.000
 1485.0    0.674   0.000
 1486.0    0.674   0.000
 1487.0    0.673   0.000
 1488.0    0.672   0.000
 1489.0    0.672   0.000
 1490.0    0.671   0.000
 1491.0    0.671   0.000
 1492.0    0.670   0.000
 1493.0    0.670   0.000
 1494.0    0.669   0.000
 1495.0    0.668   0.000
 1496.0    0.668   0.000
 1497.0    0.667   0.000
 1498.0    0.667   0.000
 1499.0    0.666   0.000
 1500.0    0.665   0.000
 1501.0    0.665   0.000
 1502.0    0.664   0.000
 1503.0    0.664   0.000
 1504.0    0.663   0.000
 1505.0    0.662   0.000
 1506.0    0.662   0.000
 1507.0    0.661   0.000
 1508.0    0.661   0.000
 1509.0    0.660   0.000
 1510.0    0.660   0.000
 1511.0    0.659   0.000
 1512.0    0.658   0.000
 1513.0    0.658   0.000
 1514.0    0.657   0.000
 1515.0    0.657   0.000
 1516.0    0.656   0.000
 1517.0    0.655   0.000
 1518.0    0.655   0.000
 1519.0    0.654   0.000
 1520.0    0.654   0.000
 1521.0    0.653   0.000
 1522.0    0.653   0.000
 1523.0    0.652   0.000
 1524.0    0.651   0.000
 1525.0    0.651   0.000
 1526.0    0.650   0.000
 1527.0    0.650   0.000
 1528.0    0.649   0.000
 1529.0    0.649   0.000
 1530.0    0.648   0.000
 1531.0    0.647   0.000
 1532.0    0.647   0.000
 1533.0    0.646   0.000
 1534.0    0.646   0.000
 1535.0    0.645   0.000
 1536.0    0.645   0.000
 1537.0    0.644   0.000
 1538.0    0.643   0.000
 1539.0    0.643   0.000
 1540.0    0.642   0.000
 1541.0    0.642   0.000
 1542.0    0.641   0.000
 1543.0    0.641   0.000
 1544.0    0.640   0.000
 1545.0    0.639   0.000
 1546.0    0.639   0.000
 1547.0    0.638   0.000
 1548.0    0.638   0.000
 1549.0    0.637   0.000
 1550.0    0.637   0.000
 1551.0    0.636   0.000
 1552.0    0.635   0.000
 1553.0    0.635   0.000
 1554.0    0.634   0.000
 1555.0    0.634   0.000
 1556.0    0.633   0.000
 1557.0    0.633   0.000
 1558.0    0.632   0.000
 1559.0    0.631   0.000
 1560.0    0.631   0.000
 1561.0    0.630   0.000
 1562.0    0.630   0.000
 1563.0    0.629   0.000
 1564.0    0.629   0.000
 1565.0    0.628   0.000
 1566.0    0.628   0.000
 1567.0    0.627   0.000
 1568.0    0.626   0.000
 1569.0    0.626   0.000
 1570.0    0.625   0.000
 1571.0    0.625   0.000
 1572.0    0.624   0.000
 1573.0    0.624   0.000
 1574.0    0.623   0.000
 1575.0    0.623   0.000
 1576.0    0.622   0.000
 1577.0    0.621   0.000
 1578.0    0.621   0.000
 1579.0    0.620   0.000
 1580.0    0.620   0.000
 1581.0    0.619   0.000
 1582.0    0.619   0.000
 1583.0    0.618   0.000
 1584.0    0.618   0.000
 1585.0    0.617   0.000
 1586.0    0.617   0.000
 1587.0    0.616   0.000
 1588.0    0.615   0.000
 1589.0    0.615   0.000
 1590.0    0.614   0.000
 1591.0    0.614   0.000
 1592.0    0.613   0.000
 1593.0    0.613   0.000
 1594.0    0.612   0.000
 1595.0    0.612   0.000
 1596.0    0.611   0.000
 1597.0    0.611   0.000
 1598.0    0.610   0.000
 1599.0    0.609   0.000
 1600.0    0.609   0.000
 1601.0    0.608   0.000
 1602.0    0.608   0.000
 1603.0    0.607   0.000
 1604.0    0.607   0.000
 1605.0    0.606   0.000
 1606.0    0.606   0.000
 1607.0    0.605   0.000
 1608.0    0.605   0.000
 1609.0    0.604   0.000
 1610.0    0.604   0.000
 1611.0    0.603   0.000
 1612.0    0.603   0.000
 1613.0    0.602   0.000
 1614.0    0.602   0.000
 1615.0    0.601   0.000
 1616.0    0.600   0.000
 1617.0    0.600   0.000
 1618.0    0.599   0.000
 1619.0    0.599   0.000
 1620.0    0.598   0.000
