   W         M2-(pi0_p)
 (MeV)      Re         Im
 1272.0    0.36520    0.04150
 1273.0    0.36898    0.04267
 1274.0    0.37228    0.04338
 1275.0    0.37605    0.04409
 1276.0    0.37982    0.04480
 1277.0    0.38312    0.04597
 1278.0    0.38690    0.04739
 1279.0    0.39020    0.04810
 1280.0    0.39397    0.04928
 1281.0    0.39727    0.04998
 1282.0    0.40175    0.05069
 1283.0    0.40552    0.05140
 1284.0    0.40929    0.05258
 1285.0    0.41307    0.05399
 1286.0    0.41637    0.05470
 1287.0    0.42014    0.05588
 1288.0    0.42391    0.05658
 1289.0    0.42768    0.05800
 1290.0    0.43146    0.05918
 1291.0    0.43594    0.05989
 1292.0    0.43971    0.06059
 1293.0    0.44348    0.06248
 1294.0    0.44725    0.06319
 1295.0    0.45173    0.06389
 1296.0    0.45550    0.06578
 1297.0    0.45928    0.06649
 1298.0    0.46352    0.06837
 1299.0    0.46800    0.06908
 1300.0    0.47177    0.07097
 1301.0    0.47554    0.07167
 1302.0    0.48050    0.07309
 1303.0    0.48427    0.07427
 1304.0    0.48804    0.07568
 1305.0    0.49181    0.07686
 1306.0    0.49676    0.07828
 1307.0    0.50054    0.08016
 1308.0    0.50478    0.08087
 1309.0    0.50926    0.08275
 1310.0    0.51350    0.08417
 1311.0    0.51798    0.08535
 1312.0    0.52223    0.08676
 1313.0    0.52600    0.08865
 1314.0    0.53095    0.09006
 1315.0    0.53472    0.09195
 1316.0    0.53967    0.09313
 1317.0    0.54392    0.09454
 1318.0    0.54887    0.09643
 1319.0    0.55264    0.09784
 1320.0    0.55759    0.09973
 1321.0    0.56254    0.10162
 1322.0    0.56679    0.10303
 1323.0    0.57127    0.10492
 1324.0    0.57551    0.10680
 1325.0    0.58046    0.10892
 1326.0    0.58471    0.11081
 1327.0    0.58966    0.11270
 1328.0    0.59461    0.11411
 1329.0    0.59956    0.11671
 1330.0    0.60451    0.11859
 1331.0    0.60875    0.12118
 1332.0    0.61370    0.12260
 1333.0    0.61866    0.12449
 1334.0    0.62361    0.12708
 1335.0    0.62856    0.12967
 1336.0    0.63351    0.13156
 1337.0    0.63775    0.13415
 1338.0    0.64318    0.13557
 1339.0    0.64813    0.13816
 1340.0    0.65308    0.14075
 1341.0    0.65803    0.14335
 1342.0    0.66345    0.14594
 1343.0    0.66840    0.14853
 1344.0    0.67335    0.15113
 1345.0    0.67830    0.15372
 1346.0    0.68396    0.15631
 1347.0    0.68939    0.15891
 1348.0    0.69434    0.16150
 1349.0    0.69976    0.16480
 1350.0    0.70542    0.16740
 1351.0    0.71037    0.16999
 1352.0    0.71579    0.17329
 1353.0    0.72074    0.17588
 1354.0    0.72687    0.17918
 1355.0    0.73182    0.18225
 1356.0    0.73678    0.18555
 1357.0    0.74291    0.18885
 1358.0    0.74833    0.19215
 1359.0    0.75399    0.19545
 1360.0    0.76012    0.19875
 1361.0    0.76507    0.20252
 1362.0    0.77120    0.20583
 1363.0    0.77615    0.20913
 1364.0    0.78228    0.21243
 1365.0    0.78723    0.21691
 1366.0    0.79336    0.22021
 1367.0    0.79902    0.22351
 1368.0    0.80444    0.22799
 1369.0    0.81057    0.23200
 1370.0    0.81623    0.23530
 1371.0    0.82236    0.23978
 1372.0    0.82849    0.24378
 1373.0    0.83415    0.24779
 1374.0    0.83957    0.25227
 1375.0    0.84523    0.25699
 1376.0    0.85136    0.26147
 1377.0    0.85749    0.26547
 1378.0    0.86362    0.27066
 1379.0    0.86928    0.27467
 1380.0    0.87541    0.27986
 1381.0    0.88154    0.28457
 1382.0    0.88837    0.28976
 1383.0    0.89450    0.29447
 1384.0    0.90016    0.29966
 1385.0    0.90700    0.30438
 1386.0    0.91313    0.30956
 1387.0    0.91926    0.31499
 1388.0    0.92563    0.32088
 1389.0    0.93176    0.32607
 1390.0    0.93859    0.33149
 1391.0    0.94472    0.33738
 1392.0    0.95038    0.34281
 1393.0    0.95722    0.34941
 1394.0    0.96335    0.35530
 1395.0    0.96948    0.36073
 1396.0    0.97632    0.36733
 1397.0    0.98315    0.37393
 1398.0    0.98999    0.38053
 1399.0    0.99612    0.38666
 1400.0    1.00296    0.39326
 1401.0    1.00932    0.40057
 1402.0    1.01616    0.40741
 1403.0    1.02229    0.41401
 1404.0    1.02913    0.42132
 1405.0    1.03597    0.42933
 1406.0    1.04210    0.43664
 1407.0    1.04893    0.44466
 1408.0    1.05577    0.45150
 1409.0    1.06261    0.45951
 1410.0    1.06944    0.46753
 1411.0    1.07628    0.47625
 1412.0    1.08312    0.48427
 1413.0    1.08996    0.49299
 1414.0    1.09679    0.50171
 1415.0    1.10363    0.51044
 1416.0    1.11047    0.51987
 1417.0    1.11731    0.52859
 1418.0    1.12414    0.53802
 1419.0    1.13098    0.54816
 1420.0    1.13782    0.55759
 1421.0    1.14465    0.56773
 1422.0    1.15149    0.57787
 1423.0    1.15833    0.58801
 1424.0    1.16517    0.59885
 1425.0    1.17153    0.60899
 1426.0    1.17766    0.62054
 1427.0    1.18497    0.63139
 1428.0    1.19181    0.64294
 1429.0    1.19865    0.65449
 1430.0    1.20478    0.66652
 1431.0    1.21161    0.67878
 1432.0    1.21845    0.69104
 1433.0    1.22458    0.70400
 1434.0    1.23142    0.71626
 1435.0    1.23755    0.72923
 1436.0    1.24368    0.74338
 1437.0    1.24981    0.75705
 1438.0    1.25594    0.77073
 1439.0    1.26207    0.78558
 1440.0    1.26820    0.79996
 1441.0    1.27409    0.81434
 1442.0    1.27951    0.82990
 1443.0    1.28564    0.84499
 1444.0    1.29107    0.86079
 1445.0    1.29578    0.87706
 1446.0    1.30120    0.89356
 1447.0    1.30592    0.91054
 1448.0    1.31064    0.92775
 1449.0    1.31535    0.94543
 1450.0    1.32007    0.96264
 1451.0    1.32407    0.98103
 1452.0    1.32808    0.99966
 1453.0    1.33209    1.01875
 1454.0    1.33586    1.03738
 1455.0    1.33916    1.05718
 1456.0    1.34246    1.07770
 1457.0    1.34506    1.09774
 1458.0    1.34694    1.11825
 1459.0    1.34883    1.13947
 1460.0    1.35072    1.16092
 1461.0    1.35189    1.18285
 1462.0    1.35237    1.20478
 1463.0    1.35284    1.22741
 1464.0    1.35331    1.25028
 1465.0    1.35307    1.27362
 1466.0    1.35142    1.29767
 1467.0    1.35024    1.32172
 1468.0    1.34859    1.34647
 1469.0    1.34624    1.37123
 1470.0    1.34317    1.39669
 1471.0    1.33869    1.42168
 1472.0    1.33492    1.44714
