   W         E1+(pi0_p)
 (MeV)      Re         Im
 1074.0   -0.01721    0.00000
 1075.0   -0.02287    0.00000
 1076.0   -0.02641    0.00000
 1077.0   -0.02876    0.00000
 1078.0   -0.02994    0.00000
 1079.0   -0.03159   -0.00047
 1080.0   -0.03230   -0.00047
 1081.0   -0.03348   -0.00094
 1082.0   -0.03371   -0.00141
 1083.0   -0.03466   -0.00236
 1084.0   -0.03513   -0.00401
 1085.0   -0.03607   -0.00495
 1086.0   -0.03654   -0.00637
 1087.0   -0.03702   -0.00778
 1088.0   -0.03867   -0.00919
 1089.0   -0.03961   -0.01108
 1090.0   -0.04102   -0.01320
 1091.0   -0.04173   -0.01509
 1092.0   -0.04338   -0.01745
 1093.0   -0.04432   -0.02004
 1094.0   -0.04621   -0.02240
 1095.0   -0.04715   -0.02476
 1096.0   -0.04904   -0.02758
 1097.0   -0.05045   -0.03112
 1098.0   -0.05234   -0.03395
 1099.0   -0.05376   -0.03678
 1100.0   -0.05493   -0.04079
 1101.0   -0.05682   -0.04409
 1102.0   -0.05847   -0.04810
 1103.0   -0.06012   -0.05140
 1104.0   -0.06201   -0.05517
 1105.0   -0.06366   -0.06012
 1106.0   -0.06531   -0.06389
 1107.0   -0.06719   -0.06884
 1108.0   -0.06979   -0.07309
 1109.0   -0.07073   -0.07804
 1110.0   -0.07309   -0.08275
 1111.0   -0.07497   -0.08818
 1112.0   -0.07686   -0.09336
 1113.0   -0.07898   -0.09808
 1114.0   -0.08063   -0.10445
 1115.0   -0.08228   -0.10963
 1116.0   -0.08417   -0.11600
 1117.0   -0.08606   -0.12166
 1118.0   -0.08818   -0.12802
 1119.0   -0.08983   -0.13486
 1120.0   -0.09148   -0.14146
 1121.0   -0.09384   -0.14830
 1122.0   -0.09572   -0.15490
 1123.0   -0.09714   -0.16221
 1124.0   -0.09855   -0.16928
 1125.0   -0.10020   -0.17706
 1126.0   -0.10185   -0.18461
 1127.0   -0.10350   -0.19286
 1128.0   -0.10468   -0.20040
 1129.0   -0.10610   -0.20913
 1130.0   -0.10751   -0.21785
 1131.0   -0.10892   -0.22587
 1132.0   -0.10987   -0.23506
 1133.0   -0.11152   -0.24402
 1134.0   -0.11270   -0.25322
 1135.0   -0.11340   -0.26265
 1136.0   -0.11458   -0.27231
 1137.0   -0.11482   -0.28292
 1138.0   -0.11576   -0.29235
 1139.0   -0.11600   -0.30296
 1140.0   -0.11647   -0.31334
 1141.0   -0.11647   -0.32442
 1142.0   -0.11647   -0.33550
 1143.0   -0.11671   -0.34634
 1144.0   -0.11623   -0.35790
 1145.0   -0.11600   -0.36992
 1146.0   -0.11505   -0.38171
 1147.0   -0.11435   -0.39373
 1148.0   -0.11317   -0.40599
 1149.0   -0.11223   -0.41849
 1150.0   -0.11058   -0.43193
 1151.0   -0.10845   -0.44419
 1152.0   -0.10704   -0.45810
 1153.0   -0.10397   -0.47083
 1154.0   -0.10162   -0.48474
 1155.0   -0.09879   -0.49912
 1156.0   -0.09549   -0.51280
 1157.0   -0.09171   -0.52718
 1158.0   -0.08747   -0.54203
 1159.0   -0.08323   -0.55665
 1160.0   -0.07875   -0.57150
 1161.0   -0.07309   -0.58612
 1162.0   -0.06767   -0.60192
 1163.0   -0.06106   -0.61771
 1164.0   -0.05517   -0.63280
 1165.0   -0.04786   -0.64860
 1166.0   -0.04055   -0.66487
 1167.0   -0.03230   -0.68043
 1168.0   -0.02405   -0.69669
 1169.0   -0.01438   -0.71226
 1170.0   -0.00472   -0.72900
 1171.0    0.00589   -0.74526
 1172.0    0.01627   -0.76130
 1173.0    0.02829   -0.77756
 1174.0    0.04126   -0.79360
 1175.0    0.05399   -0.80986
 1176.0    0.06719   -0.82613
 1177.0    0.08205   -0.84169
 1178.0    0.09714   -0.85796
 1179.0    0.11270   -0.87376
 1180.0    0.12920   -0.88837
 1181.0    0.14665   -0.90370
 1182.0    0.16457   -0.91832
 1183.0    0.18343   -0.93270
 1184.0    0.20323   -0.94708
 1185.0    0.22398   -0.96028
 1186.0    0.24449   -0.97372
 1187.0    0.26665   -0.98551
 1188.0    0.28976   -0.99801
 1189.0    0.31263   -1.00956
 1190.0    0.33715   -1.01946
 1191.0    0.36214   -1.02960
 1192.0    0.38737   -1.03809
 1193.0    0.41354   -1.04681
 1194.0    0.44041   -1.05412
 1195.0    0.46753   -1.05978
 1196.0    0.49629   -1.06567
 1197.0    0.52435   -1.06944
 1198.0    0.55288   -1.07251
 1199.0    0.58188   -1.07440
 1200.0    0.61135   -1.07557
 1201.0    0.64129   -1.07534
 1202.0    0.67123   -1.07345
 1203.0    0.70117   -1.07086
 1204.0    0.73112   -1.06614
 1205.0    0.76153   -1.06119
 1206.0    0.79147   -1.05436
 1207.0    0.82142   -1.04634
 1208.0    0.85089   -1.03714
 1209.0    0.88036   -1.02630
 1210.0    0.90889   -1.01475
 1211.0    0.93671   -1.00107
 1212.0    0.96476   -0.98716
 1213.0    0.99188   -0.97160
 1214.0    1.01781   -0.95533
 1215.0    1.04398   -0.93765
 1216.0    1.06803   -0.91879
 1217.0    1.09231   -0.89922
 1218.0    1.11565   -0.87847
 1219.0    1.13735   -0.85702
 1220.0    1.15809   -0.83438
 1221.0    1.17813   -0.81151
 1222.0    1.19699   -0.78747
 1223.0    1.21515   -0.76365
 1224.0    1.23118   -0.73890
 1225.0    1.24674   -0.71343
 1226.0    1.26112   -0.68821
 1227.0    1.27433   -0.66180
 1228.0    1.28612   -0.63610
 1229.0    1.29767   -0.60922
 1230.0    1.30710   -0.58305
 1231.0    1.31559   -0.55618
 1232.0    1.32313   -0.53001
