   W         E0+(pi0_p)
 (MeV)      Re         Im
 1260.0   -1.90642    3.14939
 1261.0   -1.90642    3.15458
 1262.0   -1.90571    3.16047
 1263.0   -1.90430    3.16637
 1264.0   -1.90359    3.17226
 1265.0   -1.90147    3.17815
 1266.0   -1.90076    3.18476
 1267.0   -1.89935    3.19065
 1268.0   -1.89911    3.19607
 1269.0   -1.89841    3.20197
 1270.0   -1.89746    3.20810
 1271.0   -1.89534    3.21399
 1272.0   -1.89369    3.22059
 1273.0   -1.89133    3.22719
 1274.0   -1.88897    3.23332
 1275.0   -1.88591    3.23993
 1276.0   -1.88284    3.24535
 1277.0   -1.87978    3.25195
 1278.0   -1.87671    3.25808
 1279.0   -1.87365    3.26421
 1280.0   -1.87011    3.27034
 1281.0   -1.86752    3.27765
 1282.0   -1.86375    3.28331
 1283.0   -1.86068    3.28944
 1284.0   -1.85809    3.29627
 1285.0   -1.85502    3.30311
 1286.0   -1.85125    3.30995
 1287.0   -1.84724    3.31608
 1288.0   -1.84276    3.32339
 1289.0   -1.83758    3.33023
 1290.0   -1.83239    3.33706
 1291.0   -1.82767    3.34437
 1292.0   -1.82225    3.35074
 1293.0   -1.81707    3.35828
 1294.0   -1.81164    3.36512
 1295.0   -1.80693    3.37196
 1296.0   -1.80103    3.37903
 1297.0   -1.79632    3.38587
 1298.0   -1.79089    3.39294
 1299.0   -1.78571    3.40048
 1300.0   -1.78029    3.40685
 1301.0   -1.77486    3.41392
 1302.0   -1.76873    3.42147
 1303.0   -1.76190    3.42925
 1304.0   -1.75506    3.43679
 1305.0   -1.74822    3.44387
 1306.0   -1.74138    3.45212
 1307.0   -1.73384    3.45919
 1308.0   -1.72700    3.46697
 1309.0   -1.71946    3.47452
 1310.0   -1.71191    3.48230
 1311.0   -1.70437    3.49008
 1312.0   -1.69612    3.49833
 1313.0   -1.68857    3.50611
 1314.0   -1.68079    3.51436
 1315.0   -1.67254    3.52214
 1316.0   -1.66429    3.53063
 1317.0   -1.65651    3.53841
 1318.0   -1.64826    3.54619
 1319.0   -1.63930    3.55468
 1320.0   -1.63034    3.56269
 1321.0   -1.62185    3.57047
 1322.0   -1.61218    3.57849
 1323.0   -1.60370    3.58698
 1324.0   -1.59450    3.59570
 1325.0   -1.58483    3.60372
 1326.0   -1.57635    3.61220
 1327.0   -1.56715    3.62093
 1328.0   -1.55819    3.62894
 1329.0   -1.54900    3.63814
 1330.0   -1.54051    3.64686
 1331.0   -1.53014    3.65559
 1332.0   -1.52023    3.66478
 1333.0   -1.51033    3.67350
 1334.0   -1.50043    3.68293
 1335.0   -1.49029    3.69166
 1336.0   -1.47968    3.70109
 1337.0   -1.46907    3.70981
 1338.0   -1.45846    3.71924
 1339.0   -1.44714    3.72867
 1340.0   -1.43583    3.73763
 1341.0   -1.42522    3.74706
 1342.0   -1.41390    3.75649
 1343.0   -1.40235    3.76616
 1344.0   -1.39103    3.77559
 1345.0   -1.38019    3.78573
 1346.0   -1.36816    3.79540
 1347.0   -1.35661    3.80506
 1348.0   -1.34506    3.81520
 1349.0   -1.33350    3.82487
 1350.0   -1.32195    3.83453
 1351.0   -1.30969    3.84491
 1352.0   -1.29814    3.85528
 1353.0   -1.28588    3.86495
 1354.0   -1.27362    3.87532
 1355.0   -1.26136    3.88570
 1356.0   -1.24910    3.89607
 1357.0   -1.23684    3.90715
 1358.0   -1.22505    3.91823
 1359.0   -1.21279    3.92813
 1360.0   -1.20100    3.93921
 1361.0   -1.18804    3.94982
 1362.0   -1.17554    3.96161
 1363.0   -1.16234    3.97222
 1364.0   -1.14913    3.98330
 1365.0   -1.13593    3.99462
 1366.0   -1.12273    4.00641
 1367.0   -1.11000    4.01773
 1368.0   -1.09679    4.02904
 1369.0   -1.08288    4.04107
 1370.0   -1.07015    4.05238
 1371.0   -1.05671    4.06441
 1372.0   -1.04398    4.07643
 1373.0   -1.03054    4.08846
 1374.0   -1.01781    4.10119
 1375.0   -1.00437    4.11321
 1376.0   -0.99093    4.12594
 1377.0   -0.97679    4.13820
 1378.0   -0.96264    4.15046
 1379.0   -0.94850    4.16272
 1380.0   -0.93435    4.17569
 1381.0   -0.92020    4.18795
 1382.0   -0.90653    4.20210
 1383.0   -0.89285    4.21506
 1384.0   -0.87918    4.22850
 1385.0   -0.86598    4.24218
 1386.0   -0.85159    4.25585
 1387.0   -0.83839    4.26953
 1388.0   -0.82401    4.28320
 1389.0   -0.81010    4.29711
 1390.0   -0.79619    4.31079
 1391.0   -0.78228    4.32540
 1392.0   -0.76766    4.33978
 1393.0   -0.75375    4.35487
 1394.0   -0.73913    4.36878
 1395.0   -0.72452    4.38458
 1396.0   -0.71037    4.39920
 1397.0   -0.69622    4.41452
 1398.0   -0.68208    4.42914
 1399.0   -0.66770    4.44470
 1400.0   -0.65355    4.46003
 1401.0   -0.63917    4.47559
 1402.0   -0.62431    4.49162
 1403.0   -0.60993    4.50765
