   W         M2+(pi0_p)
 (MeV)      Re         Im
 1253.0   -0.12095   -0.00825
 1254.0   -0.12166   -0.00872
 1255.0   -0.12166   -0.00872
 1256.0   -0.12236   -0.00872
 1257.0   -0.12236   -0.00872
 1258.0   -0.12236   -0.00872
 1259.0   -0.12354   -0.00872
 1260.0   -0.12354   -0.00872
 1261.0   -0.12354   -0.00872
 1262.0   -0.12425   -0.00943
 1263.0   -0.12425   -0.00943
 1264.0   -0.12543   -0.00943
 1265.0   -0.12543   -0.00943
 1266.0   -0.12543   -0.00943
 1267.0   -0.12614   -0.00943
 1268.0   -0.12661   -0.00943
 1269.0   -0.12661   -0.00943
 1270.0   -0.12661   -0.00943
 1271.0   -0.12779   -0.00943
 1272.0   -0.12779   -0.00943
 1273.0   -0.12779   -0.00943
 1274.0   -0.12826   -0.01014
 1275.0   -0.12897   -0.01014
 1276.0   -0.12897   -0.01014
 1277.0   -0.12944   -0.01061
 1278.0   -0.12944   -0.01061
 1279.0   -0.12944   -0.01061
 1280.0   -0.13062   -0.01061
 1281.0   -0.13062   -0.01061
 1282.0   -0.13109   -0.01061
 1283.0   -0.13109   -0.01061
 1284.0   -0.13156   -0.01061
 1285.0   -0.13156   -0.01061
 1286.0   -0.13156   -0.01132
 1287.0   -0.13203   -0.01132
 1288.0   -0.13203   -0.01132
 1289.0   -0.13250   -0.01132
 1290.0   -0.13250   -0.01132
 1291.0   -0.13297   -0.01132
 1292.0   -0.13297   -0.01132
 1293.0   -0.13344   -0.01132
 1294.0   -0.13344   -0.01132
 1295.0   -0.13392   -0.01132
 1296.0   -0.13439   -0.01132
 1297.0   -0.13439   -0.01132
 1298.0   -0.13486   -0.01132
 1299.0   -0.13415   -0.01202
 1300.0   -0.13462   -0.01250
 1301.0   -0.13462   -0.01250
 1302.0   -0.13510   -0.01250
 1303.0   -0.13557   -0.01250
 1304.0   -0.13557   -0.01250
 1305.0   -0.13604   -0.01250
 1306.0   -0.13533   -0.01250
 1307.0   -0.13580   -0.01250
 1308.0   -0.13627   -0.01250
 1309.0   -0.13627   -0.01250
 1310.0   -0.13675   -0.01250
 1311.0   -0.13651   -0.01250
 1312.0   -0.13651   -0.01320
 1313.0   -0.13698   -0.01320
 1314.0   -0.13745   -0.01320
 1315.0   -0.13722   -0.01320
 1316.0   -0.13722   -0.01320
 1317.0   -0.13769   -0.01320
 1318.0   -0.13745   -0.01320
 1319.0   -0.13745   -0.01320
 1320.0   -0.13792   -0.01320
 1321.0   -0.13769   -0.01320
 1322.0   -0.13816   -0.01320
 1323.0   -0.13816   -0.01320
 1324.0   -0.13792   -0.01320
 1325.0   -0.13840   -0.01320
 1326.0   -0.13887   -0.01320
 1327.0   -0.13816   -0.01391
 1328.0   -0.13863   -0.01438
 1329.0   -0.13840   -0.01438
 1330.0   -0.13887   -0.01438
 1331.0   -0.13934   -0.01438
 1332.0   -0.13863   -0.01438
 1333.0   -0.13910   -0.01438
 1334.0   -0.13887   -0.01438
 1335.0   -0.13934   -0.01438
 1336.0   -0.13910   -0.01438
 1337.0   -0.13957   -0.01438
 1338.0   -0.13887   -0.01438
 1339.0   -0.13934   -0.01438
 1340.0   -0.13910   -0.01438
 1341.0   -0.13887   -0.01438
 1342.0   -0.13934   -0.01438
 1343.0   -0.13910   -0.01438
 1344.0   -0.13957   -0.01509
 1345.0   -0.13934   -0.01509
 1346.0   -0.13934   -0.01509
 1347.0   -0.13910   -0.01509
 1348.0   -0.13887   -0.01509
 1349.0   -0.13934   -0.01509
 1350.0   -0.13910   -0.01509
 1351.0   -0.13887   -0.01509
 1352.0   -0.13934   -0.01509
 1353.0   -0.13910   -0.01509
 1354.0   -0.13887   -0.01509
 1355.0   -0.13934   -0.01509
 1356.0   -0.13910   -0.01509
 1357.0   -0.13887   -0.01509
 1358.0   -0.13934   -0.01509
 1359.0   -0.13863   -0.01509
 1360.0   -0.13840   -0.01509
 1361.0   -0.13887   -0.01509
 1362.0   -0.13863   -0.01509
 1363.0   -0.13840   -0.01509
 1364.0   -0.13887   -0.01556
 1365.0   -0.13863   -0.01627
 1366.0   -0.13840   -0.01627
 1367.0   -0.13816   -0.01627
 1368.0   -0.13863   -0.01627
 1369.0   -0.13840   -0.01627
 1370.0   -0.13816   -0.01627
 1371.0   -0.13792   -0.01627
 1372.0   -0.13769   -0.01627
 1373.0   -0.13745   -0.01627
 1374.0   -0.13722   -0.01627
 1375.0   -0.13769   -0.01627
 1376.0   -0.13745   -0.01627
 1377.0   -0.13722   -0.01627
 1378.0   -0.13745   -0.01627
 1379.0   -0.13722   -0.01627
 1380.0   -0.13698   -0.01627
 1381.0   -0.13745   -0.01627
