   W         E0+(pi0_p)
 (MeV)      Re         Im
 1259.0   -1.189138   3.132411
 1260.0   -1.177476   3.143526
 1261.0   -1.165632   3.154271
 1262.0   -1.153789   3.165017
 1263.0   -1.141945   3.175762
 1264.0   -1.130102   3.186507
 1265.0   -1.118258   3.197252
 1266.0   -1.106252   3.207648
 1267.0   -1.094247   3.218045
 1268.0   -1.082241   3.228441
 1269.0   -1.070235   3.238837
 1270.0   -1.058229   3.249233
 1271.0   -1.046079   3.259301
 1272.0   -1.033928   3.269369
 1273.0   -1.021777   3.279437
 1274.0   -1.009626   3.289505
 1275.0   -0.997475   3.299574
 1276.0   -0.985195   3.309336
 1277.0   -0.972914   3.319098
 1278.0   -0.960633   3.328861
 1279.0   -0.948353   3.338623
 1280.0   -0.936072   3.348385
 1281.0   -0.923676   3.357864
 1282.0   -0.911280   3.367342
 1283.0   -0.898883   3.376821
 1284.0   -0.886487   3.386299
 1285.0   -0.874091   3.395778
 1286.0   -0.861591   3.404996
 1287.0   -0.849090   3.414214
 1288.0   -0.836590   3.423432
 1289.0   -0.824090   3.432651
 1290.0   -0.811590   3.441869
 1291.0   -0.798998   3.450850
 1292.0   -0.786405   3.459830
 1293.0   -0.773813   3.468811
 1294.0   -0.761221   3.477792
 1295.0   -0.748628   3.486773
 1296.0   -0.735954   3.495540
 1297.0   -0.723279   3.504308
 1298.0   -0.710604   3.513076
 1299.0   -0.697929   3.521843
 1300.0   -0.685255   3.530611
 1301.0   -0.672506   3.539190
 1302.0   -0.659758   3.547769
 1303.0   -0.647009   3.556348
 1304.0   -0.634261   3.564927
 1305.0   -0.621513   3.573506
 1306.0   -0.608698   3.581922
 1307.0   -0.595884   3.590337
 1308.0   -0.583070   3.598753
 1309.0   -0.570256   3.607168
 1310.0   -0.557442   3.615584
 1311.0   -0.544568   3.623863
 1312.0   -0.531694   3.632141
 1313.0   -0.518819   3.640420
 1314.0   -0.505945   3.648699
 1315.0   -0.493071   3.656978
 1316.0   -0.480144   3.665146
 1317.0   -0.467216   3.673314
 1318.0   -0.454289   3.681482
 1319.0   -0.441361   3.689650
 1320.0   -0.428434   3.697819
 1321.0   -0.415457   3.705904
 1322.0   -0.402481   3.713990
 1323.0   -0.389504   3.722076
 1324.0   -0.376528   3.730162
 1325.0   -0.363551   3.738247
 1326.0   -0.350531   3.746279
 1327.0   -0.337510   3.754310
 1328.0   -0.324489   3.762342
 1329.0   -0.311468   3.770373
 1330.0   -0.298447   3.778405
 1331.0   -0.285385   3.786413
 1332.0   -0.272322   3.794420
 1333.0   -0.259260   3.802428
 1334.0   -0.246197   3.810435
 1335.0   -0.233134   3.818443
 1336.0   -0.220032   3.826458
 1337.0   -0.206931   3.834472
 1338.0   -0.193829   3.842487
 1339.0   -0.180727   3.850502
 1340.0   -0.167625   3.858517
 1341.0   -0.154486   3.866571
 1342.0   -0.141348   3.874625
 1343.0   -0.128209   3.882679
 1344.0   -0.115071   3.890733
 1345.0   -0.101932   3.898787
 1346.0   -0.088758   3.906915
 1347.0   -0.075583   3.915043
 1348.0   -0.062408   3.923171
 1349.0   -0.049234   3.931298
 1350.0   -0.036059   3.939426
 1351.0   -0.022849   3.947664
 1352.0   -0.009640   3.955902
 1353.0    0.003570   3.964139
 1354.0    0.016780   3.972377
 1355.0    0.029990   3.980615
 1356.0    0.043234   3.989001
 1357.0    0.056479   3.997387
 1358.0    0.069724   4.005772
 1359.0    0.082968   4.014158
 1360.0    0.096213   4.022544
 1361.0    0.109492   4.031119
 1362.0    0.122772   4.039693
 1363.0    0.136051   4.048268
 1364.0    0.149330   4.056843
 1365.0    0.162610   4.065417
 1366.0    0.175925   4.074225
 1367.0    0.189240   4.083033
 1368.0    0.202555   4.091841
 1369.0    0.215871   4.100649
 1370.0    0.229186   4.109457
 1371.0    0.242537   4.118545
 1372.0    0.255888   4.127633
 1373.0    0.269239   4.136720
 1374.0    0.282590   4.145808
 1375.0    0.295941   4.154896
 1376.0    0.309328   4.164316
 1377.0    0.322716   4.173736
 1378.0    0.336104   4.183155
 1379.0    0.349492   4.192575
 1380.0    0.362879   4.201994
 1381.0    0.376304   4.211802
 1382.0    0.389729   4.221609
 1383.0    0.403154   4.231417
 1384.0    0.416579   4.241224
 1385.0    0.430005   4.251031
 1386.0    0.443468   4.261289
 1387.0    0.456932   4.271547
 1388.0    0.470396   4.281805
 1389.0    0.483860   4.292062
 1390.0    0.497324   4.302320
 1391.0    0.510826   4.313096
 1392.0    0.524329   4.323872
 1393.0    0.537831   4.334648
 1394.0    0.551334   4.345424
 1395.0    0.564836   4.356200
 1396.0    0.578378   4.367571
 1397.0    0.591919   4.378942
 1398.0    0.605461   4.390314
 1399.0    0.619003   4.401685
 1400.0    0.632544   4.413056
 1401.0    0.646124   4.425108
 1402.0    0.659704   4.437160
 1403.0    0.673284   4.449212
 1404.0    0.686864   4.461264
 1405.0    0.700444   4.473316
 1406.0    0.714062   4.486146
 1407.0    0.727680   4.498977
 1408.0    0.741298   4.511808
 1409.0    0.754916   4.524639
 1410.0    0.768534   4.537470
 1411.0    0.782188   4.551191
 1412.0    0.795842   4.564912
 1413.0    0.809496   4.578634
 1414.0    0.823150   4.592355
 1415.0    0.836804   4.606076
 1416.0    0.850491   4.620816
 1417.0    0.864179   4.635557
 1418.0    0.877866   4.650297
 1419.0    0.891553   4.665038
 1420.0    0.905241   4.679778
 1421.0    0.918958   4.695688
 1422.0    0.932674   4.711599
 1423.0    0.946391   4.727509
 1424.0    0.960108   4.743419
 1425.0    0.973825   4.759330
 1426.0    0.987565   4.776588
 1427.0    1.001306   4.793847
 1428.0    1.015047   4.811106
 1429.0    1.028788   4.828364
 1430.0    1.042528   4.845623
 1431.0    1.056286   4.864444
 1432.0    1.070044   4.883265
 1433.0    1.083801   4.902087
 1434.0    1.097559   4.920908
 1435.0    1.111317   4.939729
 1436.0    1.125082   4.960375
 1437.0    1.138848   4.981020
 1438.0    1.152613   5.001666
 1439.0    1.166379   5.022312
 1440.0    1.180145   5.042957
 1441.0    1.193908   5.065755
 1442.0    1.207670   5.088552
 1443.0    1.221433   5.111350
 1444.0    1.235196   5.134148
 1445.0    1.248959   5.156945
 1446.0    1.262706   5.182315
 1447.0    1.276454   5.207684
 1448.0    1.290201   5.233054
 1449.0    1.303949   5.258423
 1450.0    1.317696   5.283792
 1451.0    1.331415   5.312290
 1452.0    1.345134   5.340787
 1453.0    1.358853   5.369284
 1454.0    1.372572   5.397781
 1455.0    1.386291   5.426279
 1456.0    1.399970   5.458672
 1457.0    1.413648   5.491066
 1458.0    1.427327   5.523460
 1459.0    1.441006   5.555854
 1460.0    1.454685   5.588248
 1461.0    1.468321   5.625663
 1462.0    1.481956   5.663079
 1463.0    1.495592   5.700494
 1464.0    1.509228   5.737910
 1465.0    1.522864   5.775325
 1466.0    1.536484   5.819550
 1467.0    1.550104   5.863774
 1468.0    1.563723   5.907999
 1469.0    1.577343   5.952224
 1470.0    1.590963   5.996448
 1471.0    1.604688   6.050710
 1472.0    1.618412   6.104972
 1473.0    1.632137   6.159234
 1474.0    1.645862   6.213496
 1475.0    1.659587   6.267758
 1476.0    1.673946   6.339489
 1477.0    1.688306   6.411220
 1478.0    1.702666   6.482951
 1479.0    1.717026   6.554681
 1480.0    1.731385   6.626412
 1481.0    1.751343   6.753368
 1482.0    1.771301   6.880323
 1483.0    1.791259   7.007278
 1484.0    1.811217   7.134234
 1485.0    1.831175   7.261189
 1486.0    1.682688   7.377187
 1487.0    1.534201   7.493185
 1488.0    1.385713   7.609183
 1489.0    1.237226   7.725181
 1490.0    1.088739   7.841179
 1491.0    0.988122   7.882945
 1492.0    0.887505   7.924711
 1493.0    0.786888   7.966477
 1494.0    0.686271   8.008242
 1495.0    0.585654   8.050008
 1496.0    0.490699   8.076942
 1497.0    0.395745   8.103876
 1498.0    0.300791   8.130809
 1499.0    0.205836   8.157743
 1500.0    0.110882   8.184676
 1501.0    0.017396   8.197686
 1502.0   -0.076091   8.210696
 1503.0   -0.169577   8.223706
 1504.0   -0.263063   8.236716
 1505.0   -0.356550   8.249726
 1506.0   -0.448301   8.249138
 1507.0   -0.540053   8.248549
 1508.0   -0.631804   8.247960
 1509.0   -0.723556   8.247371
 1510.0   -0.815307   8.246783
 1511.0   -0.903926   8.233199
 1512.0   -0.992545   8.219616
 1513.0   -1.081163   8.206033
 1514.0   -1.169782   8.192450
 1515.0   -1.258400   8.178867
 1516.0   -1.342261   8.153318
 1517.0   -1.426121   8.127770
 1518.0   -1.509981   8.102221
 1519.0   -1.593841   8.076673
 1520.0   -1.677701   8.051125
 1521.0   -1.755360   8.014993
 1522.0   -1.833019   7.978862
 1523.0   -1.910678   7.942731
 1524.0   -1.988337   7.906600
 1525.0   -2.065996   7.870469
 1526.0   -2.136356   7.825352
 1527.0   -2.206716   7.780235
 1528.0   -2.277075   7.735118
 1529.0   -2.347435   7.690001
 1530.0   -2.417794   7.644884
 1531.0   -2.480152   7.592431
 1532.0   -2.542509   7.539977
 1533.0   -2.604866   7.487524
 1534.0   -2.667224   7.435071
 1535.0   -2.729581   7.382617
 1536.0   -2.783598   7.324394
 1537.0   -2.837615   7.266170
 1538.0   -2.891632   7.207947
 1539.0   -2.945648   7.149724
 1540.0   -2.999665   7.091500
 1541.0   -3.045275   7.028896
 1542.0   -3.090885   6.966292
 1543.0   -3.136496   6.903688
 1544.0   -3.182106   6.841084
 1545.0   -3.227716   6.778480
 1546.0   -3.265026   6.712675
 1547.0   -3.302336   6.646869
 1548.0   -3.339646   6.581064
 1549.0   -3.376956   6.515259
 1550.0   -3.414266   6.449454
 1551.0   -3.443449   6.381424
 1552.0   -3.472633   6.313393
 1553.0   -3.501816   6.245363
 1554.0   -3.530999   6.177333
 1555.0   -3.560182   6.109302
 1556.0   -3.581376   6.039859
 1557.0   -3.602571   5.970415
 1558.0   -3.623765   5.900972
 1559.0   -3.644960   5.831528
 1560.0   -3.666154   5.762084
 1561.0   -3.679448   5.691966
 1562.0   -3.692743   5.621848
 1563.0   -3.706037   5.551730
 1564.0   -3.719331   5.481612
 1565.0   -3.732626   5.411494
 1566.0   -3.738002   5.341416
 1567.0   -3.743379   5.271339
 1568.0   -3.748756   5.201261
 1569.0   -3.754132   5.131184
 1570.0   -3.759509   5.061106
 1571.0   -3.756908   4.991900
 1572.0   -3.754306   4.922693
 1573.0   -3.751705   4.853487
 1574.0   -3.749103   4.784280
 1575.0   -3.746502   4.715074
 1576.0   -3.735866   4.647725
 1577.0   -3.725230   4.580376
 1578.0   -3.714595   4.513027
 1579.0   -3.703959   4.445677
 1580.0   -3.693324   4.378328
 1581.0   -3.674712   4.314007
 1582.0   -3.656100   4.249685
 1583.0   -3.637489   4.185364
 1584.0   -3.618877   4.121043
 1585.0   -3.600265   4.056721
 1586.0   -3.573974   3.996786
 1587.0   -3.547683   3.936852
 1588.0   -3.521392   3.876917
 1589.0   -3.495101   3.816982
 1590.0   -3.468810   3.757047
 1591.0   -3.435496   3.702957
 1592.0   -3.402181   3.648868
 1593.0   -3.368867   3.594778
 1594.0   -3.335552   3.540688
 1595.0   -3.302237   3.486598
 1596.0   -3.262998   3.439768
 1597.0   -3.223759   3.392938
 1598.0   -3.184520   3.346108
 1599.0   -3.145281   3.299278
 1600.0   -3.106042   3.252448
 1601.0   -3.062509   3.214079
 1602.0   -3.018975   3.175711
 1603.0   -2.975442   3.137343
 1604.0   -2.931909   3.098974
 1605.0   -2.888375   3.060606
 1606.0   -2.842689   3.030733
 1607.0   -2.797003   3.000860
 1608.0   -2.751317   2.970987
 1609.0   -2.705631   2.941114
 1610.0   -2.659945   2.911241
 1611.0   -2.613281   2.890708
 1612.0   -2.566618   2.870175
 1613.0   -2.519954   2.849643
 1614.0   -2.473291   2.829110
 1615.0   -2.426628   2.808577
 1616.0   -2.381206   2.796852
 1617.0   -2.335785   2.785126
 1618.0   -2.290363   2.773401
 1619.0   -2.244942   2.761675
 1620.0   -2.199520   2.749950
 1621.0   -2.156955   2.746909
 1622.0   -2.114390   2.743868
 1623.0   -2.071825   2.740827
 1624.0   -2.029260   2.737785
 1625.0   -1.986695   2.734744
 1626.0   -1.948958   2.739567
 1627.0   -1.911220   2.744390
 1628.0   -1.873483   2.749213
 1629.0   -1.835746   2.754035
 1630.0   -1.798008   2.758858
 1631.0   -1.766858   2.770048
 1632.0   -1.735708   2.781238
 1633.0   -1.704559   2.792428
 1634.0   -1.673409   2.803618
 1635.0   -1.642259   2.814809
 1636.0   -1.618951   2.830308
 1637.0   -1.595643   2.845807
 1638.0   -1.572335   2.861306
 1639.0   -1.549027   2.876805
 1640.0   -1.525718   2.892305
 1641.0   -1.510769   2.909727
 1642.0   -1.495819   2.927149
 1643.0   -1.480869   2.944571
 1644.0   -1.465919   2.961993
 1645.0   -1.450969   2.979415
 1646.0   -1.444132   2.996495
 1647.0   -1.437295   3.013575
 1648.0   -1.430459   3.030656
 1649.0   -1.423622   3.047736
 1650.0   -1.416785   3.064817
 1651.0   -1.416787   3.079251
 1652.0   -1.416789   3.093685
 1653.0   -1.416790   3.108119
 1654.0   -1.416792   3.122553
 1655.0   -1.416794   3.136987
 1656.0   -1.422262   3.147687
 1657.0   -1.427730   3.158388
 1658.0   -1.433198   3.169089
 1659.0   -1.438666   3.179790
 1660.0   -1.444134   3.190491
 1661.0   -1.453383   3.196791
 1662.0   -1.462632   3.203090
 1663.0   -1.471881   3.209390
 1664.0   -1.481130   3.215690
 1665.0   -1.490378   3.221989
 1666.0   -1.501951   3.223905
 1667.0   -1.513524   3.225821
 1668.0   -1.525097   3.227737
 1669.0   -1.536670   3.229653
 1670.0   -1.548243   3.231568
 1671.0   -1.561249   3.229645
 1672.0   -1.574255   3.227723
 1673.0   -1.587262   3.225800
 1674.0   -1.600268   3.223877
 1675.0   -1.613274   3.221954
 1676.0   -1.628186   3.217280
 1677.0   -1.643097   3.212605
 1678.0   -1.658008   3.207931
 1679.0   -1.672920   3.203257
 1680.0   -1.687831   3.198583
 1681.0   -1.710646   3.180556
 1682.0   -1.733460   3.162529
 1683.0   -1.756275   3.144503
 1684.0   -1.779089   3.126476
 1685.0   -1.801904   3.108449
 1686.0   -1.806120   3.087467
 1687.0   -1.810337   3.066486
 1688.0   -1.814553   3.045504
 1689.0   -1.818770   3.024522
 1690.0   -1.822986   3.003541
 1691.0   -1.824872   2.986369
 1692.0   -1.826758   2.969197
 1693.0   -1.828644   2.952025
 1694.0   -1.830530   2.934854
 1695.0   -1.832416   2.917682
 1696.0   -1.833175   2.901727
 1697.0   -1.833934   2.885772
 1698.0   -1.834693   2.869817
 1699.0   -1.835453   2.853862
 1700.0   -1.836212   2.837907
 1701.0   -1.836221   2.822502
 1702.0   -1.836230   2.807096
 1703.0   -1.836238   2.791691
 1704.0   -1.836247   2.776286
 1705.0   -1.836256   2.760880
 1706.0   -1.835689   2.745759
 1707.0   -1.835122   2.730638
 1708.0   -1.834556   2.715516
 1709.0   -1.833989   2.700395
 1710.0   -1.833422   2.685274
 1711.0   -1.832373   2.670312
 1712.0   -1.831324   2.655350
 1713.0   -1.830275   2.640387
 1714.0   -1.829226   2.625425
 1715.0   -1.828178   2.610463
 1716.0   -1.826702   2.595606
 1717.0   -1.825227   2.580750
 1718.0   -1.823752   2.565893
 1719.0   -1.822277   2.551037
 1720.0   -1.820802   2.536180
 1721.0   -1.818938   2.521409
 1722.0   -1.817075   2.506638
 1723.0   -1.815211   2.491867
 1724.0   -1.813347   2.477095
 1725.0   -1.811483   2.462324
 1726.0   -1.809244   2.447629
 1727.0   -1.807005   2.432934
 1728.0   -1.804766   2.418239
 1729.0   -1.802527   2.403544
 1730.0   -1.800288   2.388849
 1731.0   -1.797688   2.374231
 1732.0   -1.795088   2.359614
 1733.0   -1.792489   2.344996
 1734.0   -1.789889   2.330378
 1735.0   -1.787290   2.315760
 1736.0   -1.784340   2.301227
 1737.0   -1.781391   2.286694
 1738.0   -1.778441   2.272161
 1739.0   -1.775492   2.257628
 1740.0   -1.772542   2.243095
 1741.0   -1.769243   2.228657
 1742.0   -1.765944   2.214219
 1743.0   -1.762645   2.199781
 1744.0   -1.759346   2.185343
 1745.0   -1.756047   2.170905
 1746.0   -1.752398   2.156574
 1747.0   -1.748750   2.142242
 1748.0   -1.745101   2.127910
 1749.0   -1.741453   2.113578
 1750.0   -1.737804   2.099247
 1751.0   -1.733804   2.085034
 1752.0   -1.729804   2.070821
 1753.0   -1.725803   2.056608
 1754.0   -1.721803   2.042395
 1755.0   -1.717803   2.028182
 1756.0   -1.713447   2.014101
 1757.0   -1.709091   2.000020
 1758.0   -1.704735   1.985940
 1759.0   -1.700379   1.971859
 1760.0   -1.696023   1.957778
 1761.0   -1.691307   1.943848
 1762.0   -1.686591   1.929918
 1763.0   -1.681875   1.915988
 1764.0   -1.677159   1.902057
 1765.0   -1.672443   1.888127
 1766.0   -1.667358   1.874356
 1767.0   -1.662274   1.860586
 1768.0   -1.657190   1.846815
 1769.0   -1.652106   1.833044
 1770.0   -1.647022   1.819273
 1771.0   -1.641565   1.805683
 1772.0   -1.636107   1.792093
 1773.0   -1.630650   1.778503
 1774.0   -1.625193   1.764913
 1775.0   -1.619736   1.751323
 1776.0   -1.613899   1.737933
 1777.0   -1.608062   1.724542
 1778.0   -1.602226   1.711152
 1779.0   -1.596389   1.697762
 1780.0   -1.590552   1.684372
 1781.0   -1.584330   1.671202
 1782.0   -1.578108   1.658032
 1783.0   -1.571886   1.644862
