 #     Egamma =         725 MeV
    0.9167   23.5565    0.2734    0.0868   -0.0294    0.0995
 #=====================================
 #     Egamma =        1025 MeV
   -0.9167  156.4435    0.2529    0.0493    0.3888    0.0582
   -0.7500  138.5904    0.3908    0.0522    0.4031    0.0617
   -0.5833  125.6853    0.2778    0.0600    0.4301    0.0752
   -0.4167  114.6243    0.2576    0.0465    0.3999    0.0593
   -0.2500  104.4775    0.3176    0.0563    0.3630    0.0709
   -0.0833   94.7802    0.2884    0.0649    0.4300    0.0796
    0.0833   85.2198    0.2363    0.0602    0.3861    0.0718
    0.2500   75.5225    0.3046    0.0588    0.3217    0.0709
    0.4167   65.3757    0.2508    0.0511    0.4306    0.0613
    0.5833   54.3147    0.2654    0.0525    0.2832    0.0643
    0.7500   41.4096    0.1848    0.1026   -0.0423    0.1085
    0.9167   23.5565    0.0854    0.1150    0.1546    0.1213
 #=====================================
 #     Egamma =        1075 MeV
   -0.9167  156.4435    0.2828    0.0770    0.1645    0.0900
   -0.7500  138.5904    0.3490    0.0586    0.4133    0.0723
   -0.5833  125.6853    0.3019    0.0702    0.3595    0.0884
   -0.4167  114.6243    0.2977    0.0740    0.5641    0.0998
   -0.2500  104.4775    0.2343    0.0659    0.2488    0.0839
   -0.0833   94.7802    0.4348    0.0657    0.5375    0.0809
    0.0833   85.2198    0.3069    0.0584    0.3713    0.0726
    0.2500   75.5225    0.3568    0.0599    0.3782    0.0730
    0.4167   65.3757    0.4377    0.0510    0.1738    0.0639
    0.5833   54.3147    0.5018    0.0595    0.1951    0.0720
    0.7500   41.4096    0.3103    0.0782    0.0731    0.0901
    0.9167   23.5565    0.1280    0.0834    0.1817    0.1039
 #=====================================
 #     Egamma =        1150 MeV
   -0.9167  156.4435    0.2021    0.0632    0.2918    0.0789
   -0.7500  138.5904    0.2556    0.0659    0.1230    0.0824
   -0.5833  125.6853    0.4490    0.0652    0.5636    0.0901
   -0.4167  114.6243    0.4537    0.0516    0.4360    0.0706
   -0.2500  104.4775    0.4042    0.0456    0.3020    0.0610
   -0.0833   94.7802    0.3339    0.0444    0.4837    0.0578
    0.0833   85.2198    0.4124    0.0469    0.3771    0.0597
    0.2500   75.5225    0.4800    0.0508    0.3731    0.0645
    0.4167   65.3757    0.3544    0.0423    0.2858    0.0546
    0.5833   54.3147    0.4222    0.0402    0.0692    0.0514
    0.7500   41.4096    0.3303    0.0549   -0.0085    0.0662
    0.9167   23.5565    0.3377    0.0963    0.0580    0.1102
 #=====================================
 #     Egamma =        1250 MeV
   -0.9167  156.4435    0.1658    0.0866    0.3388    0.1054
   -0.7500  138.5904    0.3342    0.0972    0.5236    0.1323
   -0.5833  125.6853    0.3033    0.0816    0.3016    0.1088
   -0.4167  114.6243    0.5464    0.0832    0.3962    0.1131
   -0.2500  104.4775    0.4426    0.0583    0.3777    0.0828
   -0.0833   94.7802    0.4936    0.0558    0.5000    0.0777
    0.0833   85.2198    0.5028    0.0565    0.5562    0.0781
    0.2500   75.5225    0.2720    0.0575    0.1641    0.0780
    0.4167   65.3757    0.3456    0.0570    0.1849    0.0764
    0.5833   54.3147    0.3087    0.0469    0.0740    0.0625
    0.7500   41.4096    0.2738    0.0638   -0.2584    0.0838
    0.9167   23.5565    0.3120    0.1304    0.2262    0.1467
 #=====================================
 #     Egamma =        1350 MeV
   -0.9167  156.4435   -0.0288    0.1152    0.0088    0.1709
   -0.7500  138.5904    0.3682    0.1014    0.2146    0.1386
   -0.5833  125.6853    0.1925    0.1035    0.3607    0.1464
   -0.4167  114.6243    0.3016    0.0881    0.5856    0.1324
   -0.2500  104.4775    0.3641    0.0763    0.4707    0.1085
   -0.0833   94.7802    0.2034    0.0747    0.5975    0.1081
    0.0833   85.2198    0.1888    0.0663    0.4030    0.0949
    0.2500   75.5225    0.2001    0.0662    0.2707    0.0941
    0.4167   65.3757    0.2854    0.0695    0.3156    0.0952
    0.5833   54.3147    0.2954    0.0623    0.1883    0.0851
    0.7500   41.4096    0.2392    0.0742   -0.0995    0.0984
    0.9167   23.5565   -0.0238    0.1140   -0.1545    0.1503
 #=====================================
