   W          E1+(pi+_n)
 (MeV)       Re        Im
 1080.00    1.39032   0.00045
 1081.00    1.47748   0.00090
 1082.00    1.55793   0.00140
 1083.00    1.63273   0.00198
 1084.00    1.70222   0.00262
 1085.00    1.76674   0.00332
 1086.00    1.82681   0.00409
 1087.00    1.88298   0.00493
 1088.00    1.93576   0.00585
 1089.00    1.98560   0.00686
 1090.00    2.03282   0.00796
 1091.00    2.07769   0.00917
 1092.00    2.12040   0.01049
 1093.00    2.16111   0.01191
 1094.00    2.19993   0.01345
 1095.00    2.23699   0.01509
 1096.00    2.27239   0.01684
 1097.00    2.30622   0.01869
 1098.00    2.33857   0.02064
 1099.00    2.36953   0.02270
 1100.00    2.39917   0.02485
 1101.00    2.42756   0.02710
 1102.00    2.45478   0.02945
 1103.00    2.48089   0.03190
 1104.00    2.50596   0.03446
 1105.00    2.53004   0.03711
 1106.00    2.55318   0.03988
 1107.00    2.57544   0.04276
 1108.00    2.59686   0.04575
 1109.00    2.61747   0.04886
 1110.00    2.63731   0.05209
 1111.00    2.65642   0.05544
 1112.00    2.67483   0.05891
 1113.00    2.69257   0.06251
 1114.00    2.70965   0.06624
 1115.00    2.72612   0.07009
 1116.00    2.74197   0.07408
 1117.00    2.75725   0.07819
 1118.00    2.77197   0.08244
 1119.00    2.78614   0.08682
 1120.00    2.79979   0.09134
 1121.00    2.81293   0.09600
 1122.00    2.82557   0.10079
 1123.00    2.83773   0.10572
 1124.00    2.84943   0.11079
 1125.00    2.86066   0.11600
 1126.00    2.87145   0.12136
 1127.00    2.88181   0.12687
 1128.00    2.89174   0.13252
 1129.00    2.90125   0.13832
 1130.00    2.91035   0.14428
 1131.00    2.91904   0.15039
 1132.00    2.92734   0.15665
 1133.00    2.93526   0.16307
 1134.00    2.94279   0.16965
 1135.00    2.94996   0.17641
 1136.00    2.95675   0.18333
 1137.00    2.96319   0.19042
 1138.00    2.96926   0.19769
 1139.00    2.97499   0.20513
 1140.00    2.98036   0.21276
 1141.00    2.98538   0.22056
 1142.00    2.99005   0.22856
 1143.00    2.99437   0.23673
 1144.00    2.99834   0.24509
 1145.00    3.00194   0.25363
 1146.00    3.00518   0.26235
 1147.00    3.00805   0.27125
 1148.00    3.01055   0.28033
 1149.00    3.01266   0.28959
 1150.00    3.01440   0.29903
 1151.00    3.01574   0.30863
 1152.00    3.01669   0.31842
 1153.00    3.01723   0.32837
 1154.00    3.01737   0.33850
 1155.00    3.01710   0.34880
 1156.00    3.01641   0.35926
 1157.00    3.01530   0.36990
 1158.00    3.01376   0.38069
 1159.00    3.01178   0.39165
 1160.00    3.00935   0.40276
 1161.00    3.00646   0.41402
 1162.00    3.00311   0.42542
 1163.00    2.99928   0.43697
 1164.00    2.99496   0.44864
 1165.00    2.99014   0.46043
 1166.00    2.98481   0.47234
 1167.00    2.97895   0.48436
 1168.00    2.97255   0.49646
 1169.00    2.96560   0.50865
 1170.00    2.94916   0.52139
 1171.00    2.94033   0.53430
 1172.00    2.93107   0.54711
 1173.00    2.92138   0.55977
 1174.00    2.91126   0.57229
 1175.00    2.90071   0.58463
 1176.00    2.88973   0.59677
 1177.00    2.87831   0.60870
 1178.00    2.86647   0.62039
 1179.00    2.85420   0.63183
 1180.00    2.84151   0.64298
 1181.00    2.82578   0.65474
 1182.00    2.80963   0.66617
 1183.00    2.79309   0.67725
 1184.00    2.77616   0.68795
 1185.00    2.75884   0.69824
 1186.00    2.74116   0.70812
 1187.00    2.72313   0.71754
 1188.00    2.70477   0.72649
 1189.00    2.68609   0.73494
 1190.00    2.66711   0.74287
 1191.00    2.64441   0.74985
 1192.00    2.62147   0.75626
 1193.00    2.59831   0.76208
 1194.00    2.57495   0.76729
 1195.00    2.55144   0.77187
 1196.00    2.52780   0.77581
 1197.00    2.50407   0.77909
 1198.00    2.48029   0.78169
 1199.00    2.45650   0.78361
 1200.00    2.43272   0.78483
 1201.00    2.40577   0.78295
 1202.00    2.37892   0.78037
 1203.00    2.35222   0.77709
 1204.00    2.32572   0.77312
 1205.00    2.29946   0.76845
 1206.00    2.27347   0.76311
 1207.00    2.24781   0.75711
 1208.00    2.22252   0.75046
 1209.00    2.19763   0.74318
 1210.00    2.17319   0.73531
 1211.00    2.14769   0.72286
 1212.00    2.12272   0.70987
 1213.00    2.09828   0.69637
 1214.00    2.07443   0.68239
 1215.00    2.05118   0.66798
 1216.00    2.02856   0.65316
 1217.00    2.00659   0.63799
 1218.00    1.98528   0.62250
 1219.00    1.96466   0.60675
 1220.00    1.94473   0.59076
 1221.00    1.92636   0.57058
 1222.00    1.90868   0.55025
 1223.00    1.89171   0.52982
 1224.00    1.87544   0.50933
 1225.00    1.85986   0.48880
 1226.00    1.84496   0.46829
 1227.00    1.83072   0.44782
 1228.00    1.81715   0.42744
 1229.00    1.80421   0.40717
 1230.00    1.79189   0.38706
 1231.00    1.78262   0.36453
 1232.00    1.77393   0.34221
 1233.00    1.76579   0.32013
 1234.00    1.75819   0.29830
 1235.00    1.75110   0.27675
 1236.00    1.74449   0.25550
 1237.00    1.73834   0.23456
 1238.00    1.73263   0.21395
 1239.00    1.72732   0.19369
 1240.00    1.72241   0.17378
 1241.00    1.72056   0.15335
 1242.00    1.71906   0.13329
 1243.00    1.71787   0.11360
 1244.00    1.71697   0.09429
 1245.00    1.71634   0.07536
 1246.00    1.71596   0.05680
 1247.00    1.71581   0.03862
 1248.00    1.71587   0.02082
 1249.00    1.71611   0.00339
 1250.00    1.71653  -0.01367
 1251.00    1.71929  -0.03014
 1252.00    1.72219  -0.04625
 1253.00    1.72520  -0.06200
 1254.00    1.72830  -0.07740
 1255.00    1.73149  -0.09245
 1256.00    1.73474  -0.10717
 1257.00    1.73804  -0.12156
 1258.00    1.74138  -0.13562
 1259.00    1.74475  -0.14937
 1260.00    1.74812  -0.16281
 1261.00    1.75298  -0.17521
 1262.00    1.75783  -0.18732
 1263.00    1.76267  -0.19915
 1264.00    1.76749  -0.21071
 1265.00    1.77230  -0.22200
 1266.00    1.77708  -0.23304
 1267.00    1.78183  -0.24382
 1268.00    1.78656  -0.25436
 1269.00    1.79125  -0.26467
 1270.00    1.79591  -0.27475
 1271.00    1.80143  -0.28376
 1272.00    1.80691  -0.29255
 1273.00    1.81234  -0.30114
 1274.00    1.81772  -0.30953
 1275.00    1.82305  -0.31773
 1276.00    1.82831  -0.32574
 1277.00    1.83350  -0.33359
 1278.00    1.83863  -0.34126
 1279.00    1.84368  -0.34877
 1280.00    1.84866  -0.35612
 1281.00    1.85405  -0.36252
 1282.00    1.85937  -0.36878
 1283.00    1.86460  -0.37490
 1284.00    1.86976  -0.38088
 1285.00    1.87484  -0.38674
 1286.00    1.87984  -0.39247
 1287.00    1.88477  -0.39808
 1288.00    1.88963  -0.40357
 1289.00    1.89441  -0.40896
 1290.00    1.89912  -0.41423
 1291.00    1.90400  -0.41872
 1292.00    1.90880  -0.42311
 1293.00    1.91354  -0.42740
 1294.00    1.91821  -0.43160
 1295.00    1.92281  -0.43571
 1296.00    1.92734  -0.43974
 1297.00    1.93180  -0.44368
 1298.00    1.93619  -0.44753
 1299.00    1.94051  -0.45131
 1300.00    1.94478  -0.45501
 1301.00    1.94905  -0.45807
 1302.00    1.95325  -0.46107
 1303.00    1.95739  -0.46399
 1304.00    1.96146  -0.46685
 1305.00    1.96547  -0.46966
 1306.00    1.96942  -0.47240
 1307.00    1.97330  -0.47509
 1308.00    1.97713  -0.47773
