   W          M2+(pi+_n)
 (MeV)       Re        Im
 1266.00   -0.46311   0.00000
 1267.00   -0.46292   0.00000
 1268.00   -0.46272   0.00000
 1269.00   -0.46251   0.00000
 1270.00   -0.46228   0.00000
 1271.00   -0.46204   0.00000
 1272.00   -0.46179   0.00000
 1273.00   -0.46152   0.00000
 1274.00   -0.46124   0.00000
 1275.00   -0.46096   0.00000
 1276.00   -0.46065   0.00000
 1277.00   -0.46034   0.00000
 1278.00   -0.46002   0.00000
 1279.00   -0.45968   0.00000
 1280.00   -0.45933   0.00000
 1281.00   -0.45898   0.00000
 1282.00   -0.45861   0.00000
 1283.00   -0.45822   0.00000
 1284.00   -0.45783   0.00000
 1285.00   -0.45743   0.00000
 1286.00   -0.45701   0.00000
 1287.00   -0.45659   0.00000
 1288.00   -0.45615   0.00000
 1289.00   -0.45571   0.00000
 1290.00   -0.45525   0.00000
 1291.00   -0.45478   0.00000
 1292.00   -0.45431   0.00000
 1293.00   -0.45382   0.00000
 1294.00   -0.45332   0.00000
 1295.00   -0.45281   0.00000
 1296.00   -0.45230   0.00000
 1297.00   -0.45177   0.00000
 1298.00   -0.45123   0.00000
 1299.00   -0.45068   0.00000
 1300.00   -0.45013   0.00000
 1301.00   -0.44956   0.00000
 1302.00   -0.44899   0.00000
 1303.00   -0.44840   0.00000
 1304.00   -0.44781   0.00000
 1305.00   -0.44720   0.00000
 1306.00   -0.44659   0.00000
 1307.00   -0.44597   0.00000
 1308.00   -0.44534   0.00000
 1309.00   -0.44470   0.00000
 1310.00   -0.44405   0.00000
 1311.00   -0.44339   0.00000
 1312.00   -0.44273   0.00000
 1313.00   -0.44205   0.00000
 1314.00   -0.44137   0.00000
 1315.00   -0.44068   0.00000
 1316.00   -0.43998   0.00000
 1317.00   -0.43927   0.00000
 1318.00   -0.43856   0.00000
 1319.00   -0.43784   0.00000
 1320.00   -0.43710   0.00000
 1321.00   -0.43636   0.00000
 1322.00   -0.43562   0.00000
 1323.00   -0.43486   0.00000
 1324.00   -0.43410   0.00000
 1325.00   -0.43333   0.00000
 1326.00   -0.43255   0.00000
 1327.00   -0.43176   0.00000
 1328.00   -0.43097   0.00000
 1329.00   -0.43017   0.00000
 1330.00   -0.42936   0.00000
 1331.00   -0.42854   0.00000
 1332.00   -0.42772   0.00000
 1333.00   -0.42689   0.00000
 1334.00   -0.42606   0.00000
 1335.00   -0.42521   0.00000
 1336.00   -0.42436   0.00000
 1337.00   -0.42350   0.00000
 1338.00   -0.42264   0.00000
 1339.00   -0.42177   0.00000
 1340.00   -0.42089   0.00000
 1341.00   -0.42000   0.00000
 1342.00   -0.41911   0.00000
 1343.00   -0.41821   0.00000
 1344.00   -0.41731   0.00000
 1345.00   -0.41640   0.00000
 1346.00   -0.41548   0.00000
 1347.00   -0.41456   0.00000
 1348.00   -0.41363   0.00000
 1349.00   -0.41269   0.00000
 1350.00   -0.41175   0.00000
 1351.00   -0.41080   0.00000
 1352.00   -0.40985   0.00000
 1353.00   -0.40888   0.00000
 1354.00   -0.40792   0.00000
 1355.00   -0.40695   0.00000
 1356.00   -0.40597   0.00000
 1357.00   -0.40498   0.00000
 1358.00   -0.40399   0.00000
 1359.00   -0.40300   0.00000
 1360.00   -0.40200   0.00000
 1361.00   -0.40099   0.00000
 1362.00   -0.39998   0.00000
 1363.00   -0.39896   0.00000
 1364.00   -0.39794   0.00000
 1365.00   -0.39691   0.00000
 1366.00   -0.39588   0.00000
 1367.00   -0.39484   0.00000
 1368.00   -0.39379   0.00000
 1369.00   -0.39274   0.00000
 1370.00   -0.39169   0.00000
 1371.00   -0.39063   0.00000
 1372.00   -0.38957   0.00000
 1373.00   -0.38850   0.00000
 1374.00   -0.38742   0.00000
 1375.00   -0.38634   0.00000
 1376.00   -0.38526   0.00000
 1377.00   -0.38417   0.00000
 1378.00   -0.38307   0.00000
 1379.00   -0.38198   0.00000
 1380.00   -0.38087   0.00000
 1381.00   -0.37976   0.00000
 1382.00   -0.37865   0.00000
 1383.00   -0.37753   0.00000
 1384.00   -0.37641   0.00000
 1385.00   -0.37529   0.00000
 1386.00   -0.37416   0.00000
 1387.00   -0.37302   0.00000
 1388.00   -0.37188   0.00000
 1389.00   -0.37074   0.00000
 1390.00   -0.36959   0.00000
 1391.00   -0.36844   0.00000
 1392.00   -0.36728   0.00000
 1393.00   -0.36612   0.00000
 1394.00   -0.36495   0.00000
 1395.00   -0.36379   0.00000
 1396.00   -0.36261   0.00000
 1397.00   -0.36144   0.00000
 1398.00   -0.36025   0.00000
 1399.00   -0.35907   0.00000
 1400.00   -0.35788   0.00000
 1401.00   -0.35669   0.00000
 1402.00   -0.35549   0.00000
