   W          M1-(pi+_n)
 (MeV)       Re        Im
 1080.00    1.79630  -0.00043
 1081.00    1.92610  -0.00087
 1082.00    2.04667  -0.00139
 1083.00    2.15085  -0.00196
 1084.00    2.24217  -0.00255
 1085.00    2.32717  -0.00317
 1086.00    2.40932  -0.00385
 1087.00    2.48891  -0.00458
 1088.00    2.56511  -0.00539
 1089.00    2.63727  -0.00626
 1090.00    2.70532  -0.00721
 1091.00    2.76965  -0.00821
 1092.00    2.83078  -0.00929
 1093.00    2.88868  -0.01043
 1094.00    2.94558  -0.01162
 1095.00    3.00009  -0.01287
 1096.00    3.05300  -0.01417
 1097.00    3.10435  -0.01553
 1098.00    3.15412  -0.01693
 1099.00    3.20221  -0.01836
 1100.00    3.24849  -0.01983
 1101.00    3.29288  -0.02133
 1102.00    3.33540  -0.02285
 1103.00    3.37611  -0.02439
 1104.00    3.41511  -0.02595
 1105.00    3.45251  -0.02754
 1106.00    3.48845  -0.02915
 1107.00    3.52308  -0.03078
 1108.00    3.55653  -0.03244
 1109.00    3.58894  -0.03412
 1110.00    3.62043  -0.03582
 1111.00    3.65110  -0.03756
 1112.00    3.68100  -0.03932
 1113.00    3.71016  -0.04110
 1114.00    3.73860  -0.04290
 1115.00    3.76635  -0.04471
 1116.00    3.79339  -0.04655
 1117.00    3.81974  -0.04839
 1118.00    3.84537  -0.05024
 1119.00    3.87028  -0.05209
 1120.00    3.89447  -0.05394
 1121.00    3.91791  -0.05579
 1122.00    3.94061  -0.05764
 1123.00    3.96259  -0.05949
 1124.00    3.98386  -0.06133
 1125.00    4.00442  -0.06317
 1126.00    4.02430  -0.06500
 1127.00    4.04351  -0.06684
 1128.00    4.06207  -0.06867
 1129.00    4.08000  -0.07049
 1130.00    4.09733  -0.07232
 1131.00    4.11407  -0.07415
 1132.00    4.13027  -0.07597
 1133.00    4.14596  -0.07779
 1134.00    4.16117  -0.07961
 1135.00    4.17595  -0.08143
 1136.00    4.19032  -0.08324
 1137.00    4.20433  -0.08506
 1138.00    4.21799  -0.08686
 1139.00    4.23134  -0.08867
 1140.00    4.24441  -0.09046
 1141.00    4.25722  -0.09226
 1142.00    4.26977  -0.09404
 1143.00    4.28205  -0.09582
 1144.00    4.29407  -0.09758
 1145.00    4.30581  -0.09933
 1146.00    4.31727  -0.10106
 1147.00    4.32845  -0.10277
 1148.00    4.33932  -0.10446
 1149.00    4.34988  -0.10611
 1150.00    4.36012  -0.10774
 1151.00    4.37003  -0.10934
 1152.00    4.37963  -0.11091
 1153.00    4.38894  -0.11245
 1154.00    4.39798  -0.11396
 1155.00    4.40678  -0.11546
 1156.00    4.41535  -0.11693
 1157.00    4.42373  -0.11838
 1158.00    4.43194  -0.11981
 1159.00    4.44000  -0.12123
 1160.00    4.44795  -0.12264
 1161.00    4.45580  -0.12404
 1162.00    4.46354  -0.12543
 1163.00    4.47119  -0.12680
 1164.00    4.47871  -0.12815
 1165.00    4.48611  -0.12948
 1166.00    4.49337  -0.13079
 1167.00    4.50048  -0.13206
 1168.00    4.50743  -0.13330
 1169.00    4.51420  -0.13451
 1170.00    4.52081  -0.13567
 1171.00    4.52684  -0.13676
 1172.00    4.53277  -0.13781
 1173.00    4.53863  -0.13884
 1174.00    4.54441  -0.13983
 1175.00    4.55012  -0.14080
 1176.00    4.55576  -0.14174
 1177.00    4.56133  -0.14266
 1178.00    4.56685  -0.14355
 1179.00    4.57230  -0.14443
 1180.00    4.57771  -0.14529
 1181.00    4.58354  -0.14607
 1182.00    4.58932  -0.14683
 1183.00    4.59507  -0.14756
 1184.00    4.60078  -0.14828
 1185.00    4.60645  -0.14896
 1186.00    4.61209  -0.14960
 1187.00    4.61771  -0.15021
 1188.00    4.62330  -0.15075
 1189.00    4.62887  -0.15122
 1190.00    4.63443  -0.15160
 1191.00    4.63555  -0.15177
 1192.00    4.63667  -0.15175
 1193.00    4.63778  -0.15138
 1194.00    4.63888  -0.15021
 1195.00    4.63996  -0.14448
 1196.00    4.64104  -0.16561
 1197.00    4.64221  -0.15691
 1198.00    4.64333  -0.15514
 1199.00    4.64447  -0.15414
 1200.00    4.64561  -0.15333
 1201.00    4.65141  -0.15251
 1202.00    4.65722  -0.15176
 1203.00    4.66305  -0.15108
 1204.00    4.66892  -0.15049
 1205.00    4.67481  -0.15000
 1206.00    4.68073  -0.14961
 1207.00    4.68669  -0.14932
 1208.00    4.69268  -0.14913
 1209.00    4.69872  -0.14905
 1210.00    4.70480  -0.14907
 1211.00    4.70875  -0.14919
 1212.00    4.71275  -0.14927
 1213.00    4.71679  -0.14920
 1214.00    4.72089  -0.14889
 1215.00    4.72503  -0.14827
 1216.00    4.72923  -0.14727
 1217.00    4.73349  -0.14584
 1218.00    4.73779  -0.14394
 1219.00    4.74216  -0.14155
 1220.00    4.74657  -0.13861
 1221.00    4.75060  -0.13477
 1222.00    4.75467  -0.13050
 1223.00    4.75881  -0.12589
 1224.00    4.76300  -0.12106
 1225.00    4.76725  -0.11608
 1226.00    4.77156  -0.11102
 1227.00    4.77595  -0.10594
 1228.00    4.78040  -0.10090
 1229.00    4.78493  -0.09595
 1230.00    4.78953  -0.09113
 1231.00    4.79367  -0.08683
 1232.00    4.79788  -0.08264
 1233.00    4.80219  -0.07852
 1234.00    4.80658  -0.07442
 1235.00    4.81105  -0.07030
 1236.00    4.81562  -0.06612
 1237.00    4.82028  -0.06185
 1238.00    4.82503  -0.05745
 1239.00    4.82988  -0.05290
 1240.00    4.83481  -0.04818
 1241.00    4.83938  -0.04348
 1242.00    4.84403  -0.03857
 1243.00    4.84879  -0.03345
 1244.00    4.85364  -0.02810
 1245.00    4.85860  -0.02252
 1246.00    4.86367  -0.01670
 1247.00    4.86883  -0.01065
 1248.00    4.87411  -0.00435
 1249.00    4.87949   0.00219
 1250.00    4.88498   0.00899
 1251.00    4.88998   0.01571
 1252.00    4.89509   0.02268
 1253.00    4.90031   0.02989
 1254.00    4.90562   0.03735
 1255.00    4.91103   0.04505
 1256.00    4.91653   0.05299
 1257.00    4.92212   0.06116
 1258.00    4.92780   0.06956
 1259.00    4.93356   0.07820
 1260.00    4.93939   0.08707
 1261.00    4.94477   0.09579
 1262.00    4.95022   0.10476
 1263.00    4.95575   0.11399
 1264.00    4.96136   0.12349
 1265.00    4.96705   0.13326
 1266.00    4.97283   0.14332
 1267.00    4.97870   0.15369
 1268.00    4.98465   0.16436
 1269.00    4.99069   0.17535
 1270.00    4.99682   0.18668
 1271.00    5.00250   0.19770
 1272.00    5.00826   0.20906
 1273.00    5.01410   0.22076
 1274.00    5.02002   0.23281
 1275.00    5.02601   0.24521
 1276.00    5.03206   0.25797
 1277.00    5.03817   0.27108
 1278.00    5.04434   0.28455
 1279.00    5.05055   0.29838
 1280.00    5.05681   0.31258
 1281.00    5.06259   0.32636
 1282.00    5.06841   0.34054
 1283.00    5.07424   0.35512
 1284.00    5.08009   0.37012
 1285.00    5.08593   0.38557
 1286.00    5.09177   0.40147
 1287.00    5.09758   0.41784
 1288.00    5.10337   0.43470
 1289.00    5.10911   0.45205
 1290.00    5.11480   0.46992
 1291.00    5.12001   0.48734
 1292.00    5.12515   0.50528
 1293.00    5.13022   0.52371
 1294.00    5.13520   0.54265
 1295.00    5.14010   0.56206
 1296.00    5.14490   0.58195
 1297.00    5.14961   0.60230
 1298.00    5.15421   0.62311
 1299.00    5.15870   0.64436
 1300.00    5.16306   0.66606
 1301.00    5.16708   0.68700
 1302.00    5.17096   0.70839
 1303.00    5.17468   0.73026
 1304.00    5.17822   0.75264
 1305.00    5.18156   0.77553
 1306.00    5.18469   0.79897
 1307.00    5.18759   0.82296
 1308.00    5.19023   0.84754
 1309.00    5.19259   0.87271
 1310.00    5.19466   0.89849
 1311.00    5.19645   0.92342
 1312.00    5.19792   0.94897
 1313.00    5.19903   0.97512
 1314.00    5.19979   1.00186
 1315.00    5.20018   1.02917
 1316.00    5.20018   1.05705
 1317.00    5.19978   1.08548
 1318.00    5.19896   1.11445
 1319.00    5.19771   1.14395
 1320.00    5.19602   1.17396
 1321.00    5.19431   1.20287
 1322.00    5.19212   1.23229
 1323.00    5.18941   1.26224
 1324.00    5.18615   1.29272
 1325.00    5.18231   1.32375
 1326.00    5.17786   1.35534
 1327.00    5.17278   1.38750
 1328.00    5.16702   1.42023
 1329.00    5.16055   1.45353
 1330.00    5.15335   1.48741
 1331.00    5.14643   1.52023
 1332.00    5.13873   1.55360
 1333.00    5.13025   1.58747
 1334.00    5.12097   1.62183
 1335.00    5.11088   1.65662
 1336.00    5.09998   1.69181
 1337.00    5.08826   1.72738
 1338.00    5.07571   1.76328
 1339.00    5.06233   1.79948
 1340.00    5.04811   1.83594
 1341.00    5.03469   1.87129
 1342.00    5.02040   1.90685
 1343.00    5.00522   1.94263
 1344.00    4.98912   1.97859
 1345.00    4.97209   2.01474
 1346.00    4.95409   2.05104
 1347.00    4.93511   2.08750
 1348.00    4.91513   2.12409
 1349.00    4.89412   2.16079
 1350.00    4.87207   2.19759
 1351.00    4.85117   2.23361
 1352.00    4.82920   2.26966
 1353.00    4.80617   2.30573
 1354.00    4.78206   2.34176
 1355.00    4.75690   2.37772
 1356.00    4.73066   2.41358
 1357.00    4.70337   2.44930
