   W          E0+(pi+_n)
 (MeV)       Re        Im
 1278.00   12.32341   0.06437
 1279.00   12.29061   0.06170
 1280.00   12.25804   0.05905
 1281.00   12.22546   0.05680
 1282.00   12.19311   0.05457
 1283.00   12.16101   0.05237
 1284.00   12.12914   0.05020
 1285.00   12.09751   0.04809
 1286.00   12.06611   0.04602
 1287.00   12.03494   0.04402
 1288.00   12.00400   0.04209
 1289.00   11.97329   0.04023
 1290.00   11.94280   0.03846
 1291.00   11.91232   0.03691
 1292.00   11.88207   0.03544
 1293.00   11.85204   0.03406
 1294.00   11.82222   0.03275
 1295.00   11.79263   0.03151
 1296.00   11.76325   0.03034
 1297.00   11.73410   0.02922
 1298.00   11.70516   0.02816
 1299.00   11.67643   0.02716
 1300.00   11.63592   0.08025
 1301.00   11.60714   0.08020
 1302.00   11.57856   0.08019
 1303.00   11.55019   0.08025
 1304.00   11.52202   0.08036
 1305.00   11.49405   0.08054
 1306.00   11.46627   0.08078
 1307.00   11.43869   0.08108
 1308.00   11.41130   0.08146
 1309.00   11.38409   0.08191
 1310.00   11.35708   0.08243
 1311.00   11.32992   0.08301
 1312.00   11.30295   0.08367
 1313.00   11.27617   0.08442
 1314.00   11.24958   0.08525
 1315.00   11.22318   0.08617
 1316.00   11.19699   0.08719
 1317.00   11.17099   0.08830
 1318.00   11.14519   0.08951
 1319.00   11.11961   0.09082
 1320.00   11.09423   0.09224
 1321.00   11.06855   0.09385
 1322.00   11.04308   0.09555
 1323.00   11.01782   0.09737
 1324.00   10.99278   0.09928
 1325.00   10.96794   0.10129
 1326.00   10.94332   0.10339
 1327.00   10.91891   0.10559
 1328.00   10.89471   0.10787
 1329.00   10.87073   0.11025
 1330.00   10.84695   0.11270
 1331.00   10.82298   0.11535
 1332.00   10.79922   0.11809
 1333.00   10.77567   0.12091
 1334.00   10.75235   0.12384
 1335.00   10.72925   0.12686
 1336.00   10.70637   0.12998
 1337.00   10.68372   0.13322
 1338.00   10.66130   0.13656
 1339.00   10.63912   0.14003
 1340.00   10.61717   0.14361
 1341.00   10.59496   0.14734
 1342.00   10.57298   0.15119
 1343.00   10.55124   0.15516
 1344.00   10.52972   0.15926
 1345.00   10.50842   0.16349
 1346.00   10.48734   0.16784
 1347.00   10.46647   0.17231
 1348.00   10.44582   0.17690
 1349.00   10.42537   0.18162
 1350.00   10.40512   0.18645
 1351.00   10.38439   0.19144
 1352.00   10.36387   0.19654
 1353.00   10.34357   0.20178
 1354.00   10.32349   0.20713
 1355.00   10.30364   0.21261
 1356.00   10.28404   0.21823
 1357.00   10.26469   0.22397
 1358.00   10.24560   0.22984
 1359.00   10.22677   0.23584
 1360.00   10.20823   0.24198
 1361.00   10.18929   0.24811
 1362.00   10.17062   0.25438
 1363.00   10.15223   0.26080
 1364.00   10.13410   0.26738
 1365.00   10.11623   0.27412
 1366.00   10.09860   0.28103
 1367.00   10.08121   0.28812
 1368.00   10.06406   0.29539
 1369.00   10.04714   0.30285
 1370.00   10.03044   0.31051
 1371.00   10.01327   0.31802
 1372.00    9.99632   0.32574
 1373.00    9.97960   0.33365
 1374.00    9.96312   0.34175
 1375.00    9.94688   0.35005
 1376.00    9.93089   0.35855
 1377.00    9.91517   0.36723
 1378.00    9.89971   0.37609
 1379.00    9.88453   0.38514
 1380.00    9.86964   0.39437
 1381.00    9.85443   0.40338
 1382.00    9.83951   0.41258
 1383.00    9.82489   0.42197
 1384.00    9.81056   0.43157
 1385.00    9.79652   0.44138
 1386.00    9.78278   0.45141
 1387.00    9.76934   0.46168
 1388.00    9.75619   0.47218
 1389.00    9.74334   0.48293
 1390.00    9.73079   0.49394
 1391.00    9.71729   0.50465
 1392.00    9.70409   0.51563
 1393.00    9.69120   0.52689
 1394.00    9.67864   0.53843
 1395.00    9.66640   0.55027
 1396.00    9.65449   0.56240
 1397.00    9.64292   0.57485
 1398.00    9.63170   0.58761
 1399.00    9.62084   0.60069
 1400.00    9.61035   0.61411
 1401.00    9.59940   0.62723
 1402.00    9.58882   0.64069
 1403.00    9.57862   0.65451
 1404.00    9.56879   0.66868
 1405.00    9.55933   0.68321
 1406.00    9.55024   0.69811
 1407.00    9.54152   0.71337
 1408.00    9.53317   0.72902
 1409.00    9.52519   0.74504
 1410.00    9.51758   0.76145
 1411.00    9.50898   0.77704
 1412.00    9.50076   0.79304
 1413.00    9.49292   0.80946
 1414.00    9.48548   0.82631
 1415.00    9.47842   0.84360
 1416.00    9.47177   0.86135
 1417.00    9.46554   0.87957
 1418.00    9.45971   0.89828
 1419.00    9.45432   0.91748
 1420.00    9.44935   0.93721
 1421.00    9.44371   0.95602
 1422.00    9.43851   0.97538
 1423.00    9.43376   0.99531
 1424.00    9.42947   1.01584
 1425.00    9.42564   1.03697
 1426.00    9.42228   1.05874
 1427.00    9.41939   1.08115
 1428.00    9.41698   1.10424
 1429.00    9.41506   1.12803
 1430.00    9.41362   1.15253
 1431.00    9.41091   1.17544
 1432.00    9.40869   1.19911
 1433.00    9.40697   1.22355
 1434.00    9.40574   1.24880
 1435.00    9.40502   1.27488
 1436.00    9.40480   1.30180
 1437.00    9.40509   1.32959
 1438.00    9.40588   1.35827
 1439.00    9.40717   1.38787
 1440.00    9.40898   1.41842
 1441.00    9.40940   1.44705
 1442.00    9.41035   1.47670
 1443.00    9.41183   1.50739
 1444.00    9.41387   1.53915
 1445.00    9.41646   1.57203
 1446.00    9.41963   1.60606
 1447.00    9.42338   1.64129
 1448.00    9.42774   1.67775
 1449.00    9.43270   1.71550
 1450.00    9.43828   1.75457
 1451.00    9.44192   1.79023
 1452.00    9.44616   1.82733
 1453.00    9.45093   1.86592
 1454.00    9.45621   1.90608
 1455.00    9.46195   1.94786
 1456.00    9.46811   1.99133
 1457.00    9.47463   2.03656
 1458.00    9.48148   2.08361
 1459.00    9.48860   2.13255
 1460.00    9.49595   2.18347
 1461.00    9.50005   2.22886
 1462.00    9.50441   2.27638
 1463.00    9.50916   2.32608
 1464.00    9.51437   2.37808
 1465.00    9.52014   2.43246
 1466.00    9.52655   2.48932
 1467.00    9.53368   2.54878
 1468.00    9.54161   2.61095
 1469.00    9.55040   2.67596
 1470.00    9.56012   2.74394
 1471.00    9.56523   2.79904
 1472.00    9.57070   2.85741
 1473.00    9.57590   2.91921
 1474.00    9.58022   2.98455
 1475.00    9.58300   3.05355
 1476.00    9.58363   3.12629
 1477.00    9.58147   3.20283
 1478.00    9.57589   3.28319
 1479.00    9.56627   3.36733
 1480.00    9.55200   3.45517
 1481.00    9.55675   3.49348
 1482.00    9.55711   3.53473
 1483.00    9.55395   3.57841
 1484.00    9.54816   3.62406
 1485.00    9.54062   3.67133
 1486.00    9.53223   3.72001
 1487.00    9.52382   3.76997
 1488.00    8.99139   3.97728
 1489.00    8.68282   4.07502
 1490.00    8.44230   4.13927
 1491.00    8.29272   4.22090
 1492.00    8.16101   4.29003
 1493.00    8.04087   4.34967
 1494.00    7.92856   4.40169
 1495.00    7.82161   4.44738
 1496.00    7.71825   4.48770
 1497.00    7.61714   4.52337
 1498.00    7.51723   4.55499
 1499.00    7.41768   4.58302
 1500.00    7.31783   4.60788
 1501.00    7.22455   4.65386
 1502.00    7.13036   4.69681
 1503.00    7.03526   4.73651
 1504.00    6.93930   4.77276
 1505.00    6.84254   4.80533
 1506.00    6.74508   4.83403
 1507.00    6.64703   4.85864
 1508.00    6.54852   4.87897
 1509.00    6.44970   4.89482
 1510.00    6.35071   4.90601
 1511.00    6.25603   4.93627
 1512.00    6.16151   4.96171
 1513.00    6.06733   4.98235
 1514.00    5.97365   4.99823
 1515.00    5.88066   5.00938
 1516.00    5.78852   5.01586
 1517.00    5.69740   5.01773
 1518.00    5.60746   5.01504
 1519.00    5.51887   5.00788
 1520.00    5.43180   4.99634
 1521.00    5.34043   5.00204
 1522.00    5.25083   5.00359
 1523.00    5.16312   5.00112
 1524.00    5.07742   4.99479
 1525.00    4.99387   4.98475
 1526.00    4.91261   4.97118
 1527.00    4.83381   4.95423
 1528.00    4.75764   4.93406
 1529.00    4.68430   4.91084
 1530.00    4.61398   4.88472
 1531.00    4.53374   4.87018
 1532.00    4.45668   4.85299
 1533.00    4.38275   4.83325
 1534.00    4.31193   4.81110
 1535.00    4.24421   4.78668
 1536.00    4.17957   4.76013
 1537.00    4.11799   4.73164
 1538.00    4.05947   4.70139
 1539.00    4.00398   4.66958
 1540.00    3.95149   4.63645
 1541.00    3.88990   4.60818
 1542.00    3.83131   4.57890
 1543.00    3.77570   4.54868
 1544.00    3.72306   4.51763
 1545.00    3.67332   4.48582
 1546.00    3.62641   4.45338
 1547.00    3.58222   4.42043
 1548.00    3.54065   4.38707
 1549.00    3.50156   4.35346
 1550.00    3.46481   4.31972
 1551.00    3.42024   4.28772
 1552.00    3.37775   4.25583
 1553.00    3.33724   4.22412
 1554.00    3.29861   4.19266
 1555.00    3.26173   4.16153
 1556.00    3.22648   4.13077
 1557.00    3.19273   4.10043
 1558.00    3.16033   4.07055
 1559.00    3.12915   4.04117
 1560.00    3.09904   4.01230
 1561.00    3.06201   3.98578
 1562.00    3.02579   3.95984
 1563.00    2.99025   3.93452
 1564.00    2.95529   3.90986
 1565.00    2.92079   3.88592
 1566.00    2.88665   3.86272
 1567.00    2.85277   3.84031
 1568.00    2.81907   3.81874
 1569.00    2.78545   3.79803
 1570.00    2.75185   3.77823
 1571.00    2.70905   3.76103
 1572.00    2.66618   3.74482
 1573.00    2.62320   3.72966
 1574.00    2.58011   3.71558
 1575.00    2.53691   3.70265
 1576.00    2.49360   3.69090
 1577.00    2.45020   3.68038
 1578.00    2.40673   3.67112
 1579.00    2.36322   3.66317
 1580.00    2.32438   3.61785
 1581.00    2.28553   3.57390
 1582.00    2.24673   3.53132
 1583.00    2.20804   3.49014
 1584.00    2.16952   3.45037
 1585.00    2.13121   3.41201
 1586.00    2.09318   3.37506
 1587.00    2.05547   3.33951
 1588.00    2.01812   3.30533
 1589.00    1.98116   3.27252
 1590.00    1.94462   3.24104
 1591.00    1.90853   3.21087
