   W          E2-(pi+_n)
 (MeV)       Re        Im
 1278.00    5.63279   0.26430
 1279.00    5.64117   0.26825
 1280.00    5.64956   0.27226
 1281.00    5.65797   0.27632
 1282.00    5.66639   0.28044
 1283.00    5.67483   0.28461
 1284.00    5.68329   0.28884
 1285.00    5.69177   0.29313
 1286.00    5.70026   0.29747
 1287.00    5.70878   0.30187
 1288.00    5.71732   0.30634
 1289.00    5.72589   0.31086
 1290.00    5.73448   0.31545
 1291.00    5.74310   0.32010
 1292.00    5.75175   0.32481
 1293.00    5.76043   0.32959
 1294.00    5.76914   0.33443
 1295.00    5.77789   0.33934
 1296.00    5.78667   0.34432
 1297.00    5.79548   0.34937
 1298.00    5.80434   0.35449
 1299.00    5.81323   0.35968
 1300.00    5.82217   0.36494
 1301.00    5.83114   0.37028
 1302.00    5.84016   0.37569
 1303.00    5.84923   0.38118
 1304.00    5.85834   0.38674
 1305.00    5.86750   0.39239
 1306.00    5.87671   0.39812
 1307.00    5.88597   0.40392
 1308.00    5.89528   0.40981
 1309.00    5.90464   0.41579
 1310.00    5.91406   0.42185
 1311.00    5.92354   0.42800
 1312.00    5.93308   0.43424
 1313.00    5.94267   0.44057
 1314.00    5.95233   0.44699
 1315.00    5.96204   0.45351
 1316.00    5.97183   0.46012
 1317.00    5.98167   0.46683
 1318.00    5.99159   0.47364
 1319.00    6.00157   0.48055
 1320.00    6.01162   0.48756
 1321.00    6.02175   0.49468
 1322.00    6.03194   0.50191
 1323.00    6.04221   0.50924
 1324.00    6.05256   0.51669
 1325.00    6.06298   0.52424
 1326.00    6.07348   0.53192
 1327.00    6.08407   0.53971
 1328.00    6.09473   0.54762
 1329.00    6.10548   0.55565
 1330.00    6.11631   0.56381
 1331.00    6.12723   0.57209
 1332.00    6.13823   0.58050
 1333.00    6.14933   0.58905
 1334.00    6.16052   0.59772
 1335.00    6.17179   0.60654
 1336.00    6.18317   0.61550
 1337.00    6.19464   0.62459
 1338.00    6.20620   0.63384
 1339.00    6.21786   0.64323
 1340.00    6.22963   0.65277
 1341.00    6.24149   0.66247
 1342.00    6.25346   0.67232
 1343.00    6.26553   0.68234
 1344.00    6.27771   0.69252
 1345.00    6.28999   0.70287
 1346.00    6.30239   0.71339
 1347.00    6.31489   0.72408
 1348.00    6.32751   0.73495
 1349.00    6.34024   0.74601
 1350.00    6.35308   0.75725
 1351.00    6.36604   0.76868
 1352.00    6.37912   0.78030
 1353.00    6.39232   0.79212
 1354.00    6.40564   0.80415
 1355.00    6.41907   0.81638
 1356.00    6.43264   0.82883
 1357.00    6.44633   0.84149
 1358.00    6.46014   0.85437
 1359.00    6.47408   0.86748
 1360.00    6.48815   0.88082
 1361.00    6.50235   0.89439
 1362.00    6.51668   0.90821
 1363.00    6.53114   0.92227
 1364.00    6.54573   0.93659
 1365.00    6.56046   0.95116
 1366.00    6.57533   0.96600
 1367.00    6.59033   0.98111
 1368.00    6.60547   0.99650
 1369.00    6.62075   1.01217
 1370.00    6.63617   1.02812
 1371.00    6.65172   1.04438
 1372.00    6.66742   1.06094
 1373.00    6.68326   1.07780
 1374.00    6.69924   1.09499
