   W          M2-(pi+_n)
 (MeV)       Re        Im
 1278.00    1.04381   0.00000
 1279.00    1.04521   0.00000
 1280.00    1.04659   0.00000
 1281.00    1.04796   0.00000
 1282.00    1.04931   0.00000
 1283.00    1.05064   0.00000
 1284.00    1.05196   0.00000
 1285.00    1.05326   0.00000
 1286.00    1.05454   0.00000
 1287.00    1.05581   0.00000
 1288.00    1.05706   0.00000
 1289.00    1.05830   0.00000
 1290.00    1.05952   0.00000
 1291.00    1.06072   0.00000
 1292.00    1.06191   0.00000
 1293.00    1.06309   0.00000
 1294.00    1.06425   0.00000
 1295.00    1.06539   0.00000
 1296.00    1.06652   0.00000
 1297.00    1.06764   0.00000
 1298.00    1.06874   0.00000
 1299.00    1.06983   0.00000
 1300.00    1.07090   0.00000
 1301.00    1.07195   0.00000
 1302.00    1.07300   0.00000
 1303.00    1.07403   0.00000
 1304.00    1.07504   0.00000
 1305.00    1.07604   0.00000
 1306.00    1.07703   0.00000
 1307.00    1.07801   0.00000
 1308.00    1.07897   0.00000
 1309.00    1.07991   0.00000
 1310.00    1.08085   0.00000
 1311.00    1.08177   0.00000
 1312.00    1.08268   0.00000
 1313.00    1.08357   0.00000
 1314.00    1.08445   0.00000
 1315.00    1.08532   0.00000
 1316.00    1.08618   0.00000
 1317.00    1.08702   0.00000
 1318.00    1.08785   0.00000
 1319.00    1.08867   0.00000
 1320.00    1.08948   0.00000
 1321.00    1.09027   0.00000
 1322.00    1.09106   0.00000
 1323.00    1.09183   0.00000
 1324.00    1.09258   0.00000
 1325.00    1.09333   0.00000
 1326.00    1.09407   0.00000
 1327.00    1.09479   0.00000
 1328.00    1.09550   0.00000
 1329.00    1.09620   0.00000
 1330.00    1.09689   0.00000
 1331.00    1.09757   0.00000
 1332.00    1.09824   0.00000
 1333.00    1.09889   0.00000
 1334.00    1.09954   0.00000
 1335.00    1.10017   0.00000
 1336.00    1.10079   0.00000
 1337.00    1.10140   0.00000
 1338.00    1.10201   0.00000
 1339.00    1.10260   0.00000
 1340.00    1.10318   0.00000
 1341.00    1.10375   0.00000
 1342.00    1.10431   0.00000
 1343.00    1.10486   0.00000
 1344.00    1.10539   0.00000
 1345.00    1.10592   0.00000
 1346.00    1.10644   0.00000
 1347.00    1.10695   0.00000
 1348.00    1.10745   0.00000
 1349.00    1.10794   0.00000
 1350.00    1.10842   0.00000
 1351.00    1.10889   0.00000
 1352.00    1.10935   0.00000
 1353.00    1.10980   0.00000
 1354.00    1.11024   0.00000
 1355.00    1.11067   0.00000
 1356.00    1.11109   0.00000
 1357.00    1.11151   0.00000
 1358.00    1.11191   0.00000
 1359.00    1.11231   0.00000
 1360.00    1.11269   0.00000
 1361.00    1.11307   0.00000
 1362.00    1.11344   0.00000
 1363.00    1.11380   0.00000
 1364.00    1.11415   0.00000
 1365.00    1.11449   0.00000
 1366.00    1.11482   0.00000
 1367.00    1.11515   0.00000
 1368.00    1.11546   0.00000
 1369.00    1.11577   0.00000
 1370.00    1.11607   0.00000
 1371.00    1.11636   0.00000
 1372.00    1.11664   0.00000
 1373.00    1.11692   0.00000
 1374.00    1.11718   0.00000
 1375.00    1.11744   0.00000
 1376.00    1.11769   0.00000
 1377.00    1.11793   0.00000
 1378.00    1.11817   0.00000
 1379.00    1.11839   0.00000
 1380.00    1.11861   0.00000
 1381.00    1.11882   0.00000
 1382.00    1.11903   0.00000
 1383.00    1.11922   0.00000
 1384.00    1.11941   0.00000
 1385.00    1.11959   0.00000
 1386.00    1.11976   0.00000
 1387.00    1.11993   0.00000
 1388.00    1.12009   0.00000
 1389.00    1.12024   0.00000
 1390.00    1.12038   0.00000
 1391.00    1.12052   0.00000
 1392.00    1.12065   0.00000
 1393.00    1.12077   0.00000
 1394.00    1.12088   0.00000
 1395.00    1.12099   0.00000
 1396.00    1.12109   0.00000
 1397.00    1.12119   0.00000
 1398.00    1.12128   0.00000
 1399.00    1.12136   0.00000
 1400.00    1.12143   0.00000
 1401.00    1.12150   0.00000
 1402.00    1.12156   0.00000
 1403.00    1.12161   0.00000
 1404.00    1.12166   0.00000
 1405.00    1.12170   0.00000
 1406.00    1.12174   0.00000
 1407.00    1.12176   0.00000
 1408.00    1.12179   0.00000
 1409.00    1.12180   0.00000
 1410.00    1.12181   0.00000
 1411.00    1.12181   0.00000
 1412.00    1.12181   0.00000
 1413.00    1.12180   0.00000
 1414.00    1.12179   0.00000
 1415.00    1.12176   0.00000
 1416.00    1.12174   0.00000
 1417.00    1.12170   0.00000
 1418.00    1.12166   0.00000
 1419.00    1.12162   0.00000
 1420.00    1.12157   0.00000
 1421.00    1.12151   0.00000
 1422.00    1.12145   0.00000
 1423.00    1.12138   0.00000
 1424.00    1.12131   0.00000
 1425.00    1.12123   0.00000
 1426.00    1.12114   0.00000
 1427.00    1.12105   0.00000
 1428.00    1.12095   0.00000
 1429.00    1.12085   0.00000
 1430.00    1.12075   0.00000
 1431.00    1.12063   0.00000
 1432.00    1.12051   0.00000
 1433.00    1.12039   0.00000
 1434.00    1.12026   0.00000
 1435.00    1.12013   0.00000
 1436.00    1.11999   0.00000
 1437.00    1.11985   0.00000
 1438.00    1.11970   0.00000
 1439.00    1.11954   0.00000
 1440.00    1.11938   0.00000
 1441.00    1.11922   0.00000
 1442.00    1.11905   0.00000
 1443.00    1.11887   0.00000
 1444.00    1.11869   0.00000
 1445.00    1.11851   0.00000
 1446.00    1.11832   0.00000
 1447.00    1.11813   0.00000
 1448.00    1.11793   0.00000
 1449.00    1.11772   0.00000
 1450.00    1.11752   0.00000
 1451.00    1.11730   0.00000
 1452.00    1.11708   0.00000
 1453.00    1.11686   0.00000
 1454.00    1.11664   0.00000
 1455.00    1.11640   0.00000
 1456.00    1.11617   0.00000
 1457.00    1.11593   0.00000
 1458.00    1.11568   0.00000
 1459.00    1.11543   0.00000
 1460.00    1.11518   0.00000
 1461.00    1.11492   0.00000
 1462.00    1.11466   0.00000
 1463.00    1.11439   0.00000
 1464.00    1.11412   0.00000
 1465.00    1.11385   0.00000
 1466.00    1.11357   0.00000
 1467.00    1.11328   0.00000
 1468.00    1.11299   0.00000
 1469.00    1.11270   0.00000
 1470.00    1.11241   0.00000
 1471.00    1.11211   0.00000
 1472.00    1.11180   0.00000
 1473.00    1.11149   0.00000
 1474.00    1.11118   0.00000
 1475.00    1.11086   0.00000
 1476.00    1.11054   0.00000
 1477.00    1.11022   0.00000
 1478.00    1.10989   0.00000
 1479.00    1.10956   0.00000
 1480.00    1.10922   0.00000
 1481.00    1.10888   0.00000
 1482.00    1.10854   0.00000
 1483.00    1.10819   0.00000
 1484.00    1.10784   0.00000
 1485.00    1.10749   0.00000
 1486.00    1.10713   0.00000
 1487.00    1.10677   0.00000
 1488.00    1.10640   0.00000
 1489.00    1.10603   0.00000
 1490.00    1.10566   0.00000
 1491.00    1.10528   0.00000
 1492.00    1.10490   0.00000
 1493.00    1.10452   0.00000
 1494.00    1.10413   0.00000
 1495.00    1.10374   0.00000
 1496.00    1.10335   0.00000
 1497.00    1.10295   0.00000
 1498.00    1.10255   0.00000
 1499.00    1.10215   0.00000
 1500.00    1.10174   0.00000
 1501.00    1.10133   0.00000
 1502.00    1.10091   0.00000
 1503.00    1.10050   0.00000
 1504.00    1.10008   0.00000
 1505.00    1.09965   0.00000
 1506.00    1.09923   0.00000
 1507.00    1.09880   0.00000
 1508.00    1.09836   0.00000
 1509.00    1.09793   0.00000
 1510.00    1.09749   0.00000
 1511.00    1.09704   0.00000
 1512.00    1.09660   0.00000
 1513.00    1.09615   0.00000
 1514.00    1.09570   0.00000
 1515.00    1.09524   0.00000
 1516.00    1.09479   0.00000
 1517.00    1.09432   0.00000
 1518.00    1.09386   0.00000
 1519.00    1.09339   0.00000
 1520.00    1.09292   0.00000
 1521.00    1.09245   0.00000
 1522.00    1.09198   0.00000
 1523.00    1.09150   0.00000
 1524.00    1.09102   0.00000
 1525.00    1.09053   0.00000
 1526.00    1.09005   0.00000
 1527.00    1.08956   0.00000
 1528.00    1.08907   0.00000
 1529.00    1.08857   0.00000
 1530.00    1.08807   0.00000
 1531.00    1.08757   0.00000
 1532.00    1.08707   0.00000
 1533.00    1.08656   0.00000
 1534.00    1.08605   0.00000
 1535.00    1.08554   0.00000
 1536.00    1.08503   0.00000
 1537.00    1.08451   0.00000
 1538.00    1.08400   0.00000
 1539.00    1.08347   0.00000
 1540.00    1.08295   0.00000
 1541.00    1.08242   0.00000
 1542.00    1.08189   0.00000
 1543.00    1.08136   0.00000
 1544.00    1.08083   0.00000
 1545.00    1.08029   0.00000
 1546.00    1.07975   0.00000
