   W          M1+(pi+_n)
 (MeV)       Re        Im
 1080.00   -2.65515  -0.00206
 1081.00   -2.84564  -0.00396
 1082.00   -3.03015  -0.00619
 1083.00   -3.21048  -0.00879
 1084.00   -3.38378  -0.01174
 1085.00   -3.54835  -0.01505
 1086.00   -3.70447  -0.01871
 1087.00   -3.85367  -0.02275
 1088.00   -3.99776  -0.02724
 1089.00   -4.13830  -0.03222
 1090.00   -4.27641  -0.03777
 1091.00   -4.41278  -0.04394
 1092.00   -4.54765  -0.05077
 1093.00   -4.68108  -0.05828
 1094.00   -4.81307  -0.06648
 1095.00   -4.94360  -0.07538
 1096.00   -5.07268  -0.08499
 1097.00   -5.20032  -0.09532
 1098.00   -5.32656  -0.10637
 1099.00   -5.45143  -0.11815
 1100.00   -5.57498  -0.13067
 1101.00   -5.69728  -0.14392
 1102.00   -5.81849  -0.15793
 1103.00   -5.93878  -0.17275
 1104.00   -6.05830  -0.18840
 1105.00   -6.17719  -0.20493
 1106.00   -6.29558  -0.22237
 1107.00   -6.41357  -0.24076
 1108.00   -6.53127  -0.26016
 1109.00   -6.64876  -0.28059
 1110.00   -6.76613  -0.30211
 1111.00   -6.88344  -0.32477
 1112.00   -7.00074  -0.34859
 1113.00   -7.11804  -0.37363
 1114.00   -7.23538  -0.39991
 1115.00   -7.35278  -0.42747
 1116.00   -7.47025  -0.45635
 1117.00   -7.58781  -0.48658
 1118.00   -7.70549  -0.51822
 1119.00   -7.82328  -0.55128
 1120.00   -7.94122  -0.58583
 1121.00   -8.05932  -0.62189
 1122.00   -8.17760  -0.65952
 1123.00   -8.29610  -0.69878
 1124.00   -8.41486  -0.73974
 1125.00   -8.53389  -0.78244
 1126.00   -8.65324  -0.82696
 1127.00   -8.77291  -0.87337
 1128.00   -8.89292  -0.92172
 1129.00   -9.01329  -0.97210
 1130.00   -9.13403  -1.02456
 1131.00   -9.25515  -1.07920
 1132.00   -9.37666  -1.13607
 1133.00   -9.49855  -1.19526
 1134.00   -9.62083  -1.25685
 1135.00   -9.74349  -1.32092
 1136.00   -9.86652  -1.38754
 1137.00   -9.98991  -1.45682
 1138.00  -10.11364  -1.52882
 1139.00  -10.23768  -1.60364
 1140.00  -10.36202  -1.68136
 1141.00  -10.48662  -1.76208
 1142.00  -10.61144  -1.84590
 1143.00  -10.73646  -1.93291
 1144.00  -10.86162  -2.02323
 1145.00  -10.98687  -2.11695
 1146.00  -11.11216  -2.21418
 1147.00  -11.23742  -2.31504
 1148.00  -11.36258  -2.41963
 1149.00  -11.48756  -2.52806
 1150.00  -11.61229  -2.64045
 1151.00  -11.73666  -2.75690
 1152.00  -11.86058  -2.87754
 1153.00  -11.98395  -3.00247
 1154.00  -12.10664  -3.13182
 1155.00  -12.22854  -3.26568
 1156.00  -12.34952  -3.40419
 1157.00  -12.46943  -3.54745
 1158.00  -12.58812  -3.69556
 1159.00  -12.70543  -3.84864
 1160.00  -12.82118  -4.00679
 1161.00  -12.93520  -4.17012
 1162.00  -13.04728  -4.33874
 1163.00  -13.15722  -4.51276
 1164.00  -13.26480  -4.69230
 1165.00  -13.36978  -4.87746
 1166.00  -13.47190  -5.06834
 1167.00  -13.57091  -5.26503
 1168.00  -13.66652  -5.46760
 1169.00  -13.75843  -5.67614
 1170.00  -13.83004  -5.89157
 1171.00  -13.90538  -6.12535
 1172.00  -13.97744  -6.36229
 1173.00  -14.04601  -6.60234
 1174.00  -14.11090  -6.84546
 1175.00  -14.17188  -7.09158
 1176.00  -14.22875  -7.34063
 1177.00  -14.28128  -7.59251
 1178.00  -14.32924  -7.84712
 1179.00  -14.37240  -8.10435
 1180.00  -14.41052  -8.36406
 1181.00  -14.41278  -8.65288
 1182.00  -14.40954  -8.94385
 1183.00  -14.40058  -9.23677
 1184.00  -14.38566  -9.53143
 1185.00  -14.36459  -9.82758
 1186.00  -14.33714 -10.12499
 1187.00  -14.30310 -10.42337
 1188.00  -14.26227 -10.72244
 1189.00  -14.21446 -11.02190
 1190.00  -14.15948 -11.32140
 1191.00  -14.04764 -11.63363
 1192.00  -13.92836 -11.94517
 1193.00  -13.80155 -12.25563
 1194.00  -13.66717 -12.56458
 1195.00  -13.52518 -12.87159
 1196.00  -13.37555 -13.17624
 1197.00  -13.21831 -13.47809
 1198.00  -13.05349 -13.77667
 1199.00  -12.88115 -14.07156
 1200.00  -12.70138 -14.36229
 1201.00  -12.45611 -14.63257
 1202.00  -12.20376 -14.89780
 1203.00  -11.94460 -15.15753
 1204.00  -11.67892 -15.41135
 1205.00  -11.40704 -15.65883
 1206.00  -11.12931 -15.89962
 1207.00  -10.84612 -16.13335
 1208.00  -10.55786 -16.35971
 1209.00  -10.26497 -16.57839
 1210.00   -9.96790 -16.78914
 1211.00   -9.62358 -16.94383
 1212.00   -9.27605 -17.09018
 1213.00   -8.92580 -17.22804
 1214.00   -8.57335 -17.35731
 1215.00   -8.21923 -17.47792
 1216.00   -7.86397 -17.58985
 1217.00   -7.50809 -17.69311
 1218.00   -7.15212 -17.78776
 1219.00   -6.79658 -17.87390
