   W          M5-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.00003   0.00000
 1081.00    0.00004   0.00000
 1082.00    0.00005   0.00000
 1083.00    0.00007   0.00000
 1084.00    0.00009   0.00000
 1085.00    0.00011   0.00000
 1086.00    0.00013   0.00000
 1087.00    0.00016   0.00000
 1088.00    0.00019   0.00000
 1089.00    0.00022   0.00000
 1090.00    0.00025   0.00000
 1091.00    0.00029   0.00000
 1092.00    0.00032   0.00000
 1093.00    0.00037   0.00000
 1094.00    0.00041   0.00000
 1095.00    0.00046   0.00000
 1096.00    0.00050   0.00000
 1097.00    0.00056   0.00000
 1098.00    0.00061   0.00000
 1099.00    0.00067   0.00000
 1100.00    0.00073   0.00000
 1101.00    0.00079   0.00000
 1102.00    0.00085   0.00000
 1103.00    0.00092   0.00000
 1104.00    0.00099   0.00000
 1105.00    0.00106   0.00000
 1106.00    0.00113   0.00000
 1107.00    0.00121   0.00000
 1108.00    0.00129   0.00000
 1109.00    0.00137   0.00000
 1110.00    0.00145   0.00000
 1111.00    0.00154   0.00000
 1112.00    0.00162   0.00000
 1113.00    0.00171   0.00000
 1114.00    0.00181   0.00000
 1115.00    0.00190   0.00000
 1116.00    0.00200   0.00000
 1117.00    0.00209   0.00000
 1118.00    0.00220   0.00000
 1119.00    0.00230   0.00000
 1120.00    0.00240   0.00000
 1121.00    0.00251   0.00000
 1122.00    0.00262   0.00000
 1123.00    0.00273   0.00000
 1124.00    0.00284   0.00000
 1125.00    0.00295   0.00000
 1126.00    0.00307   0.00000
 1127.00    0.00318   0.00000
 1128.00    0.00330   0.00000
 1129.00    0.00342   0.00000
 1130.00    0.00355   0.00000
 1131.00    0.00367   0.00000
 1132.00    0.00380   0.00000
 1133.00    0.00392   0.00000
 1134.00    0.00405   0.00000
 1135.00    0.00418   0.00000
 1136.00    0.00431   0.00000
 1137.00    0.00444   0.00000
 1138.00    0.00458   0.00000
 1139.00    0.00471   0.00000
 1140.00    0.00485   0.00000
 1141.00    0.00499   0.00000
 1142.00    0.00513   0.00000
 1143.00    0.00527   0.00000
 1144.00    0.00541   0.00000
 1145.00    0.00556   0.00000
 1146.00    0.00570   0.00000
 1147.00    0.00585   0.00000
 1148.00    0.00599   0.00000
 1149.00    0.00614   0.00000
 1150.00    0.00629   0.00000
 1151.00    0.00644   0.00000
 1152.00    0.00659   0.00000
 1153.00    0.00674   0.00000
 1154.00    0.00689   0.00000
 1155.00    0.00705   0.00000
 1156.00    0.00720   0.00000
 1157.00    0.00736   0.00000
 1158.00    0.00751   0.00000
 1159.00    0.00767   0.00000
 1160.00    0.00783   0.00000
 1161.00    0.00799   0.00000
 1162.00    0.00815   0.00000
 1163.00    0.00831   0.00000
 1164.00    0.00847   0.00000
 1165.00    0.00863   0.00000
 1166.00    0.00879   0.00000
 1167.00    0.00896   0.00000
 1168.00    0.00912   0.00000
 1169.00    0.00929   0.00000
 1170.00    0.00945   0.00000
 1171.00    0.00962   0.00000
 1172.00    0.00978   0.00000
 1173.00    0.00995   0.00000
 1174.00    0.01012   0.00000
 1175.00    0.01028   0.00000
 1176.00    0.01045   0.00000
 1177.00    0.01062   0.00000
 1178.00    0.01079   0.00000
 1179.00    0.01096   0.00000
 1180.00    0.01113   0.00000
 1181.00    0.01130   0.00000
 1182.00    0.01147   0.00000
 1183.00    0.01164   0.00000
 1184.00    0.01181   0.00000
 1185.00    0.01198   0.00000
 1186.00    0.01216   0.00000
 1187.00    0.01233   0.00000
 1188.00    0.01250   0.00000
 1189.00    0.01267   0.00000
 1190.00    0.01285   0.00000
 1191.00    0.01302   0.00000
 1192.00    0.01319   0.00000
 1193.00    0.01337   0.00000
 1194.00    0.01354   0.00000
 1195.00    0.01371   0.00000
 1196.00    0.01389   0.00000
 1197.00    0.01406   0.00000
 1198.00    0.01424   0.00000
 1199.00    0.01441   0.00000
 1200.00    0.01459   0.00000
 1201.00    0.01476   0.00000
 1202.00    0.01494   0.00000
 1203.00    0.01511   0.00000
 1204.00    0.01529   0.00000
 1205.00    0.01546   0.00000
 1206.00    0.01564   0.00000
 1207.00    0.01581   0.00000
 1208.00    0.01599   0.00000
 1209.00    0.01616   0.00000
 1210.00    0.01634   0.00000
 1211.00    0.01652   0.00000
 1212.00    0.01669   0.00000
 1213.00    0.01687   0.00000
 1214.00    0.01704   0.00000
 1215.00    0.01722   0.00000
 1216.00    0.01739   0.00000
 1217.00    0.01757   0.00000
 1218.00    0.01774   0.00000
 1219.00    0.01792   0.00000
 1220.00    0.01809   0.00000
 1221.00    0.01827   0.00000
 1222.00    0.01844   0.00000
 1223.00    0.01862   0.00000
 1224.00    0.01879   0.00000
 1225.00    0.01896   0.00000
 1226.00    0.01914   0.00000
 1227.00    0.01931   0.00000
 1228.00    0.01949   0.00000
 1229.00    0.01966   0.00000
 1230.00    0.01983   0.00000
 1231.00    0.02001   0.00000
 1232.00    0.02018   0.00000
 1233.00    0.02035   0.00000
 1234.00    0.02053   0.00000
 1235.00    0.02070   0.00000
 1236.00    0.02087   0.00000
 1237.00    0.02104   0.00000
 1238.00    0.02122   0.00000
 1239.00    0.02139   0.00000
 1240.00    0.02156   0.00000
 1241.00    0.02173   0.00000
 1242.00    0.02190   0.00000
 1243.00    0.02207   0.00000
 1244.00    0.02224   0.00000
 1245.00    0.02241   0.00000
 1246.00    0.02258   0.00000
 1247.00    0.02275   0.00000
 1248.00    0.02292   0.00000
 1249.00    0.02309   0.00000
 1250.00    0.02326   0.00000
 1251.00    0.02343   0.00000
 1252.00    0.02360   0.00000
 1253.00    0.02377   0.00000
 1254.00    0.02394   0.00000
 1255.00    0.02410   0.00000
 1256.00    0.02427   0.00000
 1257.00    0.02444   0.00000
 1258.00    0.02460   0.00000
 1259.00    0.02477   0.00000
 1260.00    0.02494   0.00000
 1261.00    0.02510   0.00000
 1262.00    0.02527   0.00000
 1263.00    0.02543   0.00000
 1264.00    0.02560   0.00000
 1265.00    0.02576   0.00000
 1266.00    0.02593   0.00000
 1267.00    0.02609   0.00000
 1268.00    0.02625   0.00000
 1269.00    0.02642   0.00000
 1270.00    0.02658   0.00000
 1271.00    0.02674   0.00000
 1272.00    0.02690   0.00000
 1273.00    0.02706   0.00000
 1274.00    0.02723   0.00000
 1275.00    0.02739   0.00000
 1276.00    0.02755   0.00000
 1277.00    0.02771   0.00000
 1278.00    0.02787   0.00000
 1279.00    0.02803   0.00000
 1280.00    0.02819   0.00000
 1281.00    0.02834   0.00000
 1282.00    0.02850   0.00000
 1283.00    0.02866   0.00000
 1284.00    0.02882   0.00000
 1285.00    0.02898   0.00000
 1286.00    0.02913   0.00000
 1287.00    0.02929   0.00000
 1288.00    0.02944   0.00000
 1289.00    0.02960   0.00000
 1290.00    0.02976   0.00000
 1291.00    0.02991   0.00000
 1292.00    0.03006   0.00000
 1293.00    0.03022   0.00000
 1294.00    0.03037   0.00000
 1295.00    0.03053   0.00000
 1296.00    0.03068   0.00000
 1297.00    0.03083   0.00000
 1298.00    0.03098   0.00000
 1299.00    0.03113   0.00000
 1300.00    0.03129   0.00000
 1301.00    0.03144   0.00000
 1302.00    0.03159   0.00000
 1303.00    0.03174   0.00000
 1304.00    0.03189   0.00000
 1305.00    0.03204   0.00000
 1306.00    0.03218   0.00000
 1307.00    0.03233   0.00000
 1308.00    0.03248   0.00000
 1309.00    0.03263   0.00000
 1310.00    0.03278   0.00000
 1311.00    0.03292   0.00000
 1312.00    0.03307   0.00000
 1313.00    0.03322   0.00000
 1314.00    0.03336   0.00000
 1315.00    0.03351   0.00000
 1316.00    0.03365   0.00000
 1317.00    0.03379   0.00000
 1318.00    0.03394   0.00000
 1319.00    0.03408   0.00000
 1320.00    0.03423   0.00000
 1321.00    0.03437   0.00000
 1322.00    0.03451   0.00000
 1323.00    0.03465   0.00000
 1324.00    0.03479   0.00000
 1325.00    0.03493   0.00000
 1326.00    0.03508   0.00000
 1327.00    0.03522   0.00000
 1328.00    0.03535   0.00000
 1329.00    0.03549   0.00000
 1330.00    0.03563   0.00000
 1331.00    0.03577   0.00000
 1332.00    0.03591   0.00000
 1333.00    0.03605   0.00000
 1334.00    0.03618   0.00000
 1335.00    0.03632   0.00000
 1336.00    0.03646   0.00000
 1337.00    0.03659   0.00000
 1338.00    0.03673   0.00000
 1339.00    0.03687   0.00000
 1340.00    0.03700   0.00000
 1341.00    0.03713   0.00000
 1342.00    0.03727   0.00000
 1343.00    0.03740   0.00000
 1344.00    0.03754   0.00000
 1345.00    0.03767   0.00000
 1346.00    0.03780   0.00000
 1347.00    0.03793   0.00000
 1348.00    0.03806   0.00000
 1349.00    0.03820   0.00000
 1350.00    0.03833   0.00000
 1351.00    0.03846   0.00000
 1352.00    0.03859   0.00000
 1353.00    0.03872   0.00000
 1354.00    0.03884   0.00000
 1355.00    0.03897   0.00000
 1356.00    0.03910   0.00000
 1357.00    0.03923   0.00000
 1358.00    0.03936   0.00000
 1359.00    0.03948   0.00000
 1360.00    0.03961   0.00000
 1361.00    0.03974   0.00000
 1362.00    0.03986   0.00000
 1363.00    0.03999   0.00000
 1364.00    0.04011   0.00000
 1365.00    0.04024   0.00000
 1366.00    0.04036   0.00000
 1367.00    0.04049   0.00000
 1368.00    0.04061   0.00000
 1369.00    0.04073   0.00000
 1370.00    0.04086   0.00000
 1371.00    0.04098   0.00000
 1372.00    0.04110   0.00000
 1373.00    0.04122   0.00000
 1374.00    0.04134   0.00000
 1375.00    0.04147   0.00000
 1376.00    0.04159   0.00000
 1377.00    0.04171   0.00000
 1378.00    0.04183   0.00000
 1379.00    0.04194   0.00000
 1380.00    0.04206   0.00000
 1381.00    0.04218   0.00000
 1382.00    0.04230   0.00000
 1383.00    0.04242   0.00000
 1384.00    0.04254   0.00000
 1385.00    0.04265   0.00000
 1386.00    0.04277   0.00000
 1387.00    0.04289   0.00000
 1388.00    0.04300   0.00000
 1389.00    0.04312   0.00000
 1390.00    0.04323   0.00000
 1391.00    0.04335   0.00000
 1392.00    0.04346   0.00000
 1393.00    0.04358   0.00000
 1394.00    0.04369   0.00000
 1395.00    0.04380   0.00000
 1396.00    0.04392   0.00000
 1397.00    0.04403   0.00000
 1398.00    0.04414   0.00000
 1399.00    0.04425   0.00000
 1400.00    0.04436   0.00000
 1401.00    0.04447   0.00000
 1402.00    0.04459   0.00000
 1403.00    0.04470   0.00000
 1404.00    0.04481   0.00000
 1405.00    0.04492   0.00000
 1406.00    0.04502   0.00000
 1407.00    0.04513   0.00000
 1408.00    0.04524   0.00000
 1409.00    0.04535   0.00000
 1410.00    0.04546   0.00000
 1411.00    0.04557   0.00000
 1412.00    0.04567   0.00000
 1413.00    0.04578   0.00000
 1414.00    0.04589   0.00000
 1415.00    0.04599   0.00000
 1416.00    0.04610   0.00000
 1417.00    0.04620   0.00000
 1418.00    0.04631   0.00000
 1419.00    0.04641   0.00000
 1420.00    0.04652   0.00000
 1421.00    0.04662   0.00000
 1422.00    0.04673   0.00000
 1423.00    0.04683   0.00000
 1424.00    0.04693   0.00000
 1425.00    0.04704   0.00000
 1426.00    0.04714   0.00000
 1427.00    0.04724   0.00000
 1428.00    0.04734   0.00000
 1429.00    0.04745   0.00000
 1430.00    0.04755   0.00000
 1431.00    0.04765   0.00000
 1432.00    0.04775   0.00000
 1433.00    0.04785   0.00000
 1434.00    0.04795   0.00000
 1435.00    0.04805   0.00000
 1436.00    0.04815   0.00000
 1437.00    0.04825   0.00000
 1438.00    0.04834   0.00000
 1439.00    0.04844   0.00000
 1440.00    0.04854   0.00000
 1441.00    0.04864   0.00000
 1442.00    0.04874   0.00000
 1443.00    0.04883   0.00000
 1444.00    0.04893   0.00000
 1445.00    0.04903   0.00000
 1446.00    0.04912   0.00000
 1447.00    0.04922   0.00000
 1448.00    0.04931   0.00000
 1449.00    0.04941   0.00000
 1450.00    0.04950   0.00000
 1451.00    0.04960   0.00000
 1452.00    0.04969   0.00000
 1453.00    0.04979   0.00000
 1454.00    0.04988   0.00000
 1455.00    0.04998   0.00000
 1456.00    0.05007   0.00000
 1457.00    0.05016   0.00000
 1458.00    0.05025   0.00000
 1459.00    0.05035   0.00000
 1460.00    0.05044   0.00000
 1461.00    0.05053   0.00000
 1462.00    0.05062   0.00000
 1463.00    0.05071   0.00000
 1464.00    0.05080   0.00000
 1465.00    0.05089   0.00000
 1466.00    0.05099   0.00000
 1467.00    0.05108   0.00000
 1468.00    0.05116   0.00000
 1469.00    0.05125   0.00000
 1470.00    0.05134   0.00000
 1471.00    0.05143   0.00000
 1472.00    0.05152   0.00000
 1473.00    0.05161   0.00000
 1474.00    0.05170   0.00000
 1475.00    0.05179   0.00000
 1476.00    0.05187   0.00000
 1477.00    0.05196   0.00000
 1478.00    0.05205   0.00000
 1479.00    0.05213   0.00000
 1480.00    0.05222   0.00000
 1481.00    0.05231   0.00000
 1482.00    0.05239   0.00000
 1483.00    0.05248   0.00000
 1484.00    0.05257   0.00000
 1485.00    0.05265   0.00000
 1486.00    0.05274   0.00000
 1487.00    0.05282   0.00000
 1488.00    0.05290   0.00000
 1489.00    0.05299   0.00000
 1490.00    0.05307   0.00000
 1491.00    0.05316   0.00000
 1492.00    0.05324   0.00000
 1493.00    0.05332   0.00000
 1494.00    0.05341   0.00000
