   W          E2+(pi+_n)
 (MeV)       Re        Im
 1278.00    0.77592   0.00000
 1279.00    0.77581   0.00000
 1280.00    0.77570   0.00000
 1281.00    0.77557   0.00000
 1282.00    0.77544   0.00000
 1283.00    0.77530   0.00000
 1284.00    0.77516   0.00000
 1285.00    0.77500   0.00000
 1286.00    0.77484   0.00000
 1287.00    0.77467   0.00000
 1288.00    0.77450   0.00000
 1289.00    0.77432   0.00000
 1290.00    0.77413   0.00000
 1291.00    0.77393   0.00000
 1292.00    0.77373   0.00000
 1293.00    0.77352   0.00000
 1294.00    0.77331   0.00000
 1295.00    0.77308   0.00000
 1296.00    0.77286   0.00000
 1297.00    0.77262   0.00000
 1298.00    0.77238   0.00000
 1299.00    0.77214   0.00000
 1300.00    0.77189   0.00000
 1301.00    0.77163   0.00000
 1302.00    0.77137   0.00000
 1303.00    0.77110   0.00000
 1304.00    0.77082   0.00000
 1305.00    0.77054   0.00000
 1306.00    0.77026   0.00000
 1307.00    0.76997   0.00000
 1308.00    0.76968   0.00000
 1309.00    0.76938   0.00000
 1310.00    0.76907   0.00000
 1311.00    0.76876   0.00000
 1312.00    0.76845   0.00000
 1313.00    0.76813   0.00000
 1314.00    0.76780   0.00000
 1315.00    0.76747   0.00000
 1316.00    0.76714   0.00000
 1317.00    0.76680   0.00000
 1318.00    0.76646   0.00000
 1319.00    0.76611   0.00000
 1320.00    0.76576   0.00000
 1321.00    0.76541   0.00000
 1322.00    0.76505   0.00000
 1323.00    0.76469   0.00000
 1324.00    0.76432   0.00000
 1325.00    0.76395   0.00000
 1326.00    0.76358   0.00000
 1327.00    0.76320   0.00000
 1328.00    0.76281   0.00000
 1329.00    0.76243   0.00000
 1330.00    0.76204   0.00000
 1331.00    0.76165   0.00000
 1332.00    0.76125   0.00000
 1333.00    0.76085   0.00000
 1334.00    0.76045   0.00000
 1335.00    0.76004   0.00000
 1336.00    0.75963   0.00000
 1337.00    0.75922   0.00000
 1338.00    0.75880   0.00000
 1339.00    0.75838   0.00000
 1340.00    0.75796   0.00000
 1341.00    0.75753   0.00000
 1342.00    0.75710   0.00000
 1343.00    0.75667   0.00000
 1344.00    0.75624   0.00000
 1345.00    0.75580   0.00000
 1346.00    0.75536   0.00000
 1347.00    0.75492   0.00000
 1348.00    0.75447   0.00000
 1349.00    0.75402   0.00000
 1350.00    0.75357   0.00000
 1351.00    0.75312   0.00000
 1352.00    0.75266   0.00000
 1353.00    0.75221   0.00000
 1354.00    0.75175   0.00000
 1355.00    0.75128   0.00000
 1356.00    0.75082   0.00000
 1357.00    0.75035   0.00000
 1358.00    0.74988   0.00000
 1359.00    0.74941   0.00000
 1360.00    0.74893   0.00000
 1361.00    0.74846   0.00000
 1362.00    0.74798   0.00000
 1363.00    0.74750   0.00000
 1364.00    0.74702   0.00000
 1365.00    0.74653   0.00000
 1366.00    0.74605   0.00000
 1367.00    0.74556   0.00000
 1368.00    0.74507   0.00000
 1369.00    0.74457   0.00000
 1370.00    0.74408   0.00000
 1371.00    0.74358   0.00000
 1372.00    0.74309   0.00000
 1373.00    0.74259   0.00000
 1374.00    0.74209   0.00000
 1375.00    0.74158   0.00000
 1376.00    0.74108   0.00000
 1377.00    0.74057   0.00000
 1378.00    0.74007   0.00000
 1379.00    0.73956   0.00000
 1380.00    0.73905   0.00000
 1381.00    0.73854   0.00000
 1382.00    0.73802   0.00000
 1383.00    0.73751   0.00000
 1384.00    0.73699   0.00000
 1385.00    0.73647   0.00000
 1386.00    0.73596   0.00000
 1387.00    0.73544   0.00000
 1388.00    0.73491   0.00000
 1389.00    0.73439   0.00000
 1390.00    0.73387   0.00000
 1391.00    0.73334   0.00000
 1392.00    0.73282   0.00000
 1393.00    0.73229   0.00000
 1394.00    0.73176   0.00000
 1395.00    0.73123   0.00000
 1396.00    0.73070   0.00000
 1397.00    0.73017   0.00000
 1398.00    0.72964   0.00000
 1399.00    0.72910   0.00000
 1400.00    0.72857   0.00000
 1401.00    0.72803   0.00000
 1402.00    0.72750   0.00000
 1403.00    0.72696   0.00000
 1404.00    0.72642   0.00000
 1405.00    0.72588   0.00000
 1406.00    0.72534   0.00000
 1407.00    0.72480   0.00000
 1408.00    0.72426   0.00000
 1409.00    0.72372   0.00000
 1410.00    0.72317   0.00000
 1411.00    0.72263   0.00000
 1412.00    0.72209   0.00000
 1413.00    0.72154   0.00000
 1414.00    0.72099   0.00000
 1415.00    0.72045   0.00000
 1416.00    0.71990   0.00000
 1417.00    0.71935   0.00000
 1418.00    0.71880   0.00000
 1419.00    0.71825   0.00000
 1420.00    0.71770   0.00000
 1421.00    0.71715   0.00000
 1422.00    0.71660   0.00000
 1423.00    0.71605   0.00000
 1424.00    0.71550   0.00000
 1425.00    0.71495   0.00000
 1426.00    0.71439   0.00000
 1427.00    0.71384   0.00000
 1428.00    0.71329   0.00000
 1429.00    0.71273   0.00000
 1430.00    0.71218   0.00000
 1431.00    0.71162   0.00000
 1432.00    0.71107   0.00000
 1433.00    0.71051   0.00000
 1434.00    0.70995   0.00000
 1435.00    0.70940   0.00000
 1436.00    0.70884   0.00000
 1437.00    0.70828   0.00000
 1438.00    0.70773   0.00000
 1439.00    0.70717   0.00000
 1440.00    0.70661   0.00000
 1441.00    0.70605   0.00000
 1442.00    0.70549   0.00000
 1443.00    0.70494   0.00000
 1444.00    0.70438   0.00000
 1445.00    0.70382   0.00000
 1446.00    0.70326   0.00000
 1447.00    0.70270   0.00000
 1448.00    0.70214   0.00000
 1449.00    0.70158   0.00000
 1450.00    0.70102   0.00000
 1451.00    0.70046   0.00000
 1452.00    0.69990   0.00000
 1453.00    0.69934   0.00000
 1454.00    0.69878   0.00000
 1455.00    0.69822   0.00000
 1456.00    0.69766   0.00000
 1457.00    0.69710   0.00000
 1458.00    0.69653   0.00000
 1459.00    0.69597   0.00000
 1460.00    0.69541   0.00000
 1461.00    0.69485   0.00000
 1462.00    0.69429   0.00000
 1463.00    0.69373   0.00000
 1464.00    0.69317   0.00000
 1465.00    0.69261   0.00000
 1466.00    0.69205   0.00000
 1467.00    0.69149   0.00000
 1468.00    0.69093   0.00000
 1469.00    0.69037   0.00000
 1470.00    0.68981   0.00000
 1471.00    0.68924   0.00000
 1472.00    0.68868   0.00000
 1473.00    0.68812   0.00000
 1474.00    0.68756   0.00000
 1475.00    0.68700   0.00000
 1476.00    0.68644   0.00000
 1477.00    0.68588   0.00000
 1478.00    0.68532   0.00000
 1479.00    0.68476   0.00000
 1480.00    0.68420   0.00000
 1481.00    0.68365   0.00000
 1482.00    0.68309   0.00000
 1483.00    0.68253   0.00000
 1484.00    0.68197   0.00000
 1485.00    0.68141   0.00000
 1486.00    0.68085   0.00000
 1487.00    0.68029   0.00000
 1488.00    0.67974   0.00000
 1489.00    0.67918   0.00000
 1490.00    0.67862   0.00000
 1491.00    0.67806   0.00000
 1492.00    0.67751   0.00000
 1493.00    0.67695   0.00000
 1494.00    0.67639   0.00000
 1495.00    0.67584   0.00000
 1496.00    0.67528   0.00000
 1497.00    0.67473   0.00000
 1498.00    0.67417   0.00000
 1499.00    0.67361   0.00000
 1500.00    0.67306   0.00000
 1501.00    0.67251   0.00000
 1502.00    0.67195   0.00000
 1503.00    0.67140   0.00000
 1504.00    0.67084   0.00000
 1505.00    0.67029   0.00000
 1506.00    0.66974   0.00000
 1507.00    0.66919   0.00000
 1508.00    0.66863   0.00000
 1509.00    0.66808   0.00000
 1510.00    0.66753   0.00000
 1511.00    0.66698   0.00000
 1512.00    0.66643   0.00000
 1513.00    0.66588   0.00000
 1514.00    0.66533   0.00000
 1515.00    0.66478   0.00000
 1516.00    0.66423   0.00000
 1517.00    0.66368   0.00000
 1518.00    0.66313   0.00000
 1519.00    0.66258   0.00000
 1520.00    0.66203   0.00000
 1521.00    0.66149   0.00000
 1522.00    0.66094   0.00000
 1523.00    0.66039   0.00000
 1524.00    0.65985   0.00000
 1525.00    0.65930   0.00000
 1526.00    0.65876   0.00000
 1527.00    0.65821   0.00000
 1528.00    0.65767   0.00000
 1529.00    0.65712   0.00000
 1530.00    0.65658   0.00000
 1531.00    0.65604   0.00000
 1532.00    0.65550   0.00000
 1533.00    0.65495   0.00000
 1534.00    0.65441   0.00000
 1535.00    0.65387   0.00000
 1536.00    0.65333   0.00000
 1537.00    0.65279   0.00000
 1538.00    0.65225   0.00000
 1539.00    0.65171   0.00000
 1540.00    0.65117   0.00000
 1541.00    0.65063   0.00000
 1542.00    0.65010   0.00000
 1543.00    0.64956   0.00000
 1544.00    0.64902   0.00000
 1545.00    0.64849   0.00000
 1546.00    0.64795   0.00000
 1547.00    0.64742   0.00000
 1548.00    0.64688   0.00000
 1549.00    0.64635   0.00000
 1550.00    0.64581   0.00000
 1551.00    0.64528   0.00000
 1552.00    0.64475   0.00000
 1553.00    0.64422   0.00000
 1554.00    0.64368   0.00000
 1555.00    0.64315   0.00000
 1556.00    0.64262   0.00000
 1557.00    0.64209   0.00000
 1558.00    0.64156   0.00000
 1559.00    0.64104   0.00000
 1560.00    0.64051   0.00000
 1561.00    0.63998   0.00000
 1562.00    0.63945   0.00000
 1563.00    0.63893   0.00000
 1564.00    0.63840   0.00000
 1565.00    0.63787   0.00000
 1566.00    0.63735   0.00000
 1567.00    0.63682   0.00000
 1568.00    0.63630   0.00000
 1569.00    0.63578   0.00000
 1570.00    0.63526   0.00000
 1571.00    0.63473   0.00000
 1572.00    0.63421   0.00000
 1573.00    0.63369   0.00000
 1574.00    0.63317   0.00000
 1575.00    0.63265   0.00000
 1576.00    0.63213   0.00000
 1577.00    0.63161   0.00000
 1578.00    0.63110   0.00000
 1579.00    0.63058   0.00000
 1580.00    0.63006   0.00000
 1581.00    0.62955   0.00000
 1582.00    0.62903   0.00000
 1583.00    0.62851   0.00000
 1584.00    0.62800   0.00000
 1585.00    0.62749   0.00000
 1586.00    0.62697   0.00000
 1587.00    0.62646   0.00000
 1588.00    0.62595   0.00000
 1589.00    0.62544   0.00000
 1590.00    0.62493   0.00000
 1591.00    0.62442   0.00000
 1592.00    0.62391   0.00000
 1593.00    0.62340   0.00000
 1594.00    0.62289   0.00000
 1595.00    0.62238   0.00000
 1596.00    0.62188   0.00000
 1597.00    0.62137   0.00000
 1598.00    0.62086   0.00000
 1599.00    0.62036   0.00000
 1600.00    0.61985   0.00000
 1601.00    0.61935   0.00000
 1602.00    0.61885   0.00000
 1603.00    0.61834   0.00000
 1604.00    0.61784   0.00000
 1605.00    0.61734   0.00000
 1606.00    0.61684   0.00000
 1607.00    0.61634   0.00000
 1608.00    0.61584   0.00000
 1609.00    0.61534   0.00000
 1610.00    0.61484   0.00000
 1611.00    0.61435   0.00000
 1612.00    0.61385   0.00000
 1613.00    0.61335   0.00000
 1614.00    0.61286   0.00000
 1615.00    0.61236   0.00000
 1616.00    0.61187   0.00000
 1617.00    0.61138   0.00000
 1618.00    0.61088   0.00000
 1619.00    0.61039   0.00000
 1620.00    0.60990   0.00000
 1621.00    0.60941   0.00000
 1622.00    0.60892   0.00000
 1623.00    0.60843   0.00000
 1624.00    0.60794   0.00000
 1625.00    0.60745   0.00000
 1626.00    0.60696   0.00000
 1627.00    0.60648   0.00000
 1628.00    0.60599   0.00000
 1629.00    0.60550   0.00000
 1630.00    0.60502   0.00000
 1631.00    0.60453   0.00000
 1632.00    0.60405   0.00000
 1633.00    0.60357   0.00000
 1634.00    0.60308   0.00000
 1635.00    0.60260   0.00000
 1636.00    0.60212   0.00000
 1637.00    0.60164   0.00000
 1638.00    0.60116   0.00000
 1639.00    0.60068   0.00000
 1640.00    0.60020   0.00000
 1641.00    0.59973   0.00000
 1642.00    0.59925   0.00000
