   W          E2-(pi+_n)
 (MeV)       Re        Im
 1278.00    4.93437   0.00000
 1279.00    4.93464   0.00000
 1280.00    4.93486   0.00000
 1281.00    4.93501   0.00000
 1282.00    4.93509   0.00000
 1283.00    4.93512   0.00000
 1284.00    4.93509   0.00000
 1285.00    4.93500   0.00000
 1286.00    4.93485   0.00000
 1287.00    4.93464   0.00000
 1288.00    4.93438   0.00000
 1289.00    4.93406   0.00000
 1290.00    4.93369   0.00000
 1291.00    4.93326   0.00000
 1292.00    4.93278   0.00000
 1293.00    4.93224   0.00000
 1294.00    4.93165   0.00000
 1295.00    4.93101   0.00000
 1296.00    4.93032   0.00000
 1297.00    4.92958   0.00000
 1298.00    4.92879   0.00000
 1299.00    4.92795   0.00000
 1300.00    4.92705   0.00000
 1301.00    4.92612   0.00000
 1302.00    4.92513   0.00000
 1303.00    4.92409   0.00000
 1304.00    4.92301   0.00000
 1305.00    4.92189   0.00000
 1306.00    4.92072   0.00000
 1307.00    4.91950   0.00000
 1308.00    4.91824   0.00000
 1309.00    4.91693   0.00000
 1310.00    4.91559   0.00000
 1311.00    4.91419   0.00000
 1312.00    4.91276   0.00000
 1313.00    4.91129   0.00000
 1314.00    4.90977   0.00000
 1315.00    4.90821   0.00000
 1316.00    4.90662   0.00000
 1317.00    4.90498   0.00000
 1318.00    4.90330   0.00000
 1319.00    4.90159   0.00000
 1320.00    4.89984   0.00000
 1321.00    4.89804   0.00000
 1322.00    4.89622   0.00000
 1323.00    4.89435   0.00000
 1324.00    4.89245   0.00000
 1325.00    4.89051   0.00000
 1326.00    4.88854   0.00000
 1327.00    4.88653   0.00000
 1328.00    4.88448   0.00000
 1329.00    4.88240   0.00000
 1330.00    4.88029   0.00000
 1331.00    4.87814   0.00000
 1332.00    4.87596   0.00000
 1333.00    4.87375   0.00000
 1334.00    4.87151   0.00000
 1335.00    4.86923   0.00000
 1336.00    4.86692   0.00000
 1337.00    4.86458   0.00000
 1338.00    4.86221   0.00000
 1339.00    4.85981   0.00000
 1340.00    4.85738   0.00000
 1341.00    4.85492   0.00000
 1342.00    4.85242   0.00000
 1343.00    4.84990   0.00000
 1344.00    4.84736   0.00000
 1345.00    4.84478   0.00000
 1346.00    4.84217   0.00000
 1347.00    4.83954   0.00000
 1348.00    4.83688   0.00000
 1349.00    4.83419   0.00000
 1350.00    4.83147   0.00000
 1351.00    4.82873   0.00000
 1352.00    4.82596   0.00000
 1353.00    4.82317   0.00000
 1354.00    4.82035   0.00000
 1355.00    4.81750   0.00000
 1356.00    4.81463   0.00000
 1357.00    4.81174   0.00000
