   W          M3-(pi+_n)
 (MeV)       Re        Im
 1278.00    0.27313   0.00204
 1279.00    0.27414   0.00208
 1280.00    0.27515   0.00213
 1281.00    0.27615   0.00217
 1282.00    0.27716   0.00221
 1283.00    0.27816   0.00225
 1284.00    0.27916   0.00230
 1285.00    0.28016   0.00234
 1286.00    0.28116   0.00239
 1287.00    0.28216   0.00243
 1288.00    0.28316   0.00248
 1289.00    0.28415   0.00253
 1290.00    0.28515   0.00257
 1291.00    0.28614   0.00262
 1292.00    0.28713   0.00267
 1293.00    0.28813   0.00272
 1294.00    0.28912   0.00277
 1295.00    0.29011   0.00282
 1296.00    0.29110   0.00288
 1297.00    0.29209   0.00293
 1298.00    0.29307   0.00299
 1299.00    0.29406   0.00304
 1300.00    0.29505   0.00310
 1301.00    0.29603   0.00316
 1302.00    0.29702   0.00322
 1303.00    0.29800   0.00328
 1304.00    0.29898   0.00334
 1305.00    0.29997   0.00340
 1306.00    0.30095   0.00347
 1307.00    0.30193   0.00353
 1308.00    0.30291   0.00360
 1309.00    0.30390   0.00367
 1310.00    0.30488   0.00373
 1311.00    0.30587   0.00380
 1312.00    0.30685   0.00387
 1313.00    0.30784   0.00394
 1314.00    0.30883   0.00401
 1315.00    0.30981   0.00408
 1316.00    0.31080   0.00415
 1317.00    0.31179   0.00423
 1318.00    0.31278   0.00430
 1319.00    0.31377   0.00438
 1320.00    0.31476   0.00446
 1321.00    0.31575   0.00454
 1322.00    0.31674   0.00462
 1323.00    0.31774   0.00470
 1324.00    0.31873   0.00478
 1325.00    0.31973   0.00487
 1326.00    0.32072   0.00496
 1327.00    0.32172   0.00505
 1328.00    0.32272   0.00514
 1329.00    0.32372   0.00523
 1330.00    0.32472   0.00532
 1331.00    0.32572   0.00541
 1332.00    0.32673   0.00550
 1333.00    0.32773   0.00560
 1334.00    0.32874   0.00570
 1335.00    0.32975   0.00579
 1336.00    0.33076   0.00589
 1337.00    0.33177   0.00599
 1338.00    0.33279   0.00609
 1339.00    0.33381   0.00620
 1340.00    0.33482   0.00630
 1341.00    0.33585   0.00641
 1342.00    0.33687   0.00652
 1343.00    0.33790   0.00663
 1344.00    0.33893   0.00674
 1345.00    0.33996   0.00685
 1346.00    0.34099   0.00697
 1347.00    0.34203   0.00708
 1348.00    0.34306   0.00720
 1349.00    0.34410   0.00732
 1350.00    0.34515   0.00745
 1351.00    0.34619   0.00757
 1352.00    0.34724   0.00770
 1353.00    0.34829   0.00783
 1354.00    0.34934   0.00796
 1355.00    0.35040   0.00809
 1356.00    0.35146   0.00823
 1357.00    0.35252   0.00837
 1358.00    0.35359   0.00851
 1359.00    0.35466   0.00865
 1360.00    0.35573   0.00879
 1361.00    0.35681   0.00894
 1362.00    0.35789   0.00908
 1363.00    0.35898   0.00923
 1364.00    0.36007   0.00938
 1365.00    0.36117   0.00954
 1366.00    0.36227   0.00969
 1367.00    0.36337   0.00985
 1368.00    0.36448   0.01001
 1369.00    0.36559   0.01017
 1370.00    0.36671   0.01034
 1371.00    0.36783   0.01050
 1372.00    0.36895   0.01067
 1373.00    0.37008   0.01085
 1374.00    0.37121   0.01102
 1375.00    0.37235   0.01120
 1376.00    0.37349   0.01138
 1377.00    0.37463   0.01156
 1378.00    0.37579   0.01175
 1379.00    0.37694   0.01194
 1380.00    0.37811   0.01213
 1381.00    0.37928   0.01233
 1382.00    0.38045   0.01252
 1383.00    0.38163   0.01272
 1384.00    0.38282   0.01293
 1385.00    0.38401   0.01313
 1386.00    0.38521   0.01334
 1387.00    0.38642   0.01356
 1388.00    0.38763   0.01377
 1389.00    0.38884   0.01399
 1390.00    0.39007   0.01422
 1391.00    0.39129   0.01444
 1392.00    0.39253   0.01468
 1393.00    0.39377   0.01491
 1394.00    0.39502   0.01515
 1395.00    0.39627   0.01539
 1396.00    0.39753   0.01564
 1397.00    0.39879   0.01589
 1398.00    0.40007   0.01614
 1399.00    0.40135   0.01640
 1400.00    0.40264   0.01666
 1401.00    0.40393   0.01692
 1402.00    0.40524   0.01719
 1403.00    0.40655   0.01746
 1404.00    0.40787   0.01774
 1405.00    0.40919   0.01802
 1406.00    0.41053   0.01830
 1407.00    0.41187   0.01859
 1408.00    0.41322   0.01889
 1409.00    0.41458   0.01918
 1410.00    0.41595   0.01949
 1411.00    0.41732   0.01979
 1412.00    0.41871   0.02011
 1413.00    0.42010   0.02042
 1414.00    0.42150   0.02075
 1415.00    0.42292   0.02107
 1416.00    0.42434   0.02141
 1417.00    0.42577   0.02174
 1418.00    0.42721   0.02209
 1419.00    0.42865   0.02243
 1420.00    0.43011   0.02279
 1421.00    0.43158   0.02315
 1422.00    0.43306   0.02351
 1423.00    0.43455   0.02388
 1424.00    0.43605   0.02426
 1425.00    0.43756   0.02464
 1426.00    0.43908   0.02503
 1427.00    0.44061   0.02543
 1428.00    0.44215   0.02583
 1429.00    0.44370   0.02624
 1430.00    0.44526   0.02665
 1431.00    0.44684   0.02707
 1432.00    0.44842   0.02750
 1433.00    0.45002   0.02794
 1434.00    0.45163   0.02838
 1435.00    0.45325   0.02884
 1436.00    0.45489   0.02929
 1437.00    0.45653   0.02976
 1438.00    0.45819   0.03023
 1439.00    0.45986   0.03071
 1440.00    0.46154   0.03120
 1441.00    0.46323   0.03170
 1442.00    0.46494   0.03220
 1443.00    0.46666   0.03271
 1444.00    0.46839   0.03323
 1445.00    0.47013   0.03376
 1446.00    0.47189   0.03430
 1447.00    0.47367   0.03485
 1448.00    0.47545   0.03540
 1449.00    0.47725   0.03597
 1450.00    0.47907   0.03654
 1451.00    0.48090   0.03712
 1452.00    0.48275   0.03772
 1453.00    0.48461   0.03832
 1454.00    0.48649   0.03893
 1455.00    0.48838   0.03956
 1456.00    0.49029   0.04019
 1457.00    0.49222   0.04084
 1458.00    0.49416   0.04150
 1459.00    0.49611   0.04217
 1460.00    0.49808   0.04285
 1461.00    0.50007   0.04354
 1462.00    0.50208   0.04425
 1463.00    0.50410   0.04496
 1464.00    0.50613   0.04569
 1465.00    0.50819   0.04644
 1466.00    0.51026   0.04719
 1467.00    0.51235   0.04796
 1468.00    0.51446   0.04874
 1469.00    0.51658   0.04954
 1470.00    0.51872   0.05035
 1471.00    0.52089   0.05117
 1472.00    0.52307   0.05201
 1473.00    0.52527   0.05286
 1474.00    0.52749   0.05373
 1475.00    0.52973   0.05461
 1476.00    0.53199   0.05551
 1477.00    0.53427   0.05642
 1478.00    0.53657   0.05735
 1479.00    0.53889   0.05830
 1480.00    0.54123   0.05927
 1481.00    0.54359   0.06025
 1482.00    0.54598   0.06125
 1483.00    0.54838   0.06227
 1484.00    0.55081   0.06331
 1485.00    0.55326   0.06437
 1486.00    0.55573   0.06545
 1487.00    0.55822   0.06655
 1488.00    0.56074   0.06766
 1489.00    0.56328   0.06880
 1490.00    0.56584   0.06996
 1491.00    0.56842   0.07115
 1492.00    0.57103   0.07235
 1493.00    0.57366   0.07358
 1494.00    0.57632   0.07483
 1495.00    0.57900   0.07610
 1496.00    0.58171   0.07740
 1497.00    0.58444   0.07872
 1498.00    0.58719   0.08007
 1499.00    0.58997   0.08144
 1500.00    0.59278   0.08284
 1501.00    0.59562   0.08427
 1502.00    0.59848   0.08572
 1503.00    0.60137   0.08720
 1504.00    0.60428   0.08871
 1505.00    0.60723   0.09025
 1506.00    0.61020   0.09182
 1507.00    0.61320   0.09342
 1508.00    0.61622   0.09505
 1509.00    0.61928   0.09672
 1510.00    0.62236   0.09842
 1511.00    0.62548   0.10015
 1512.00    0.62862   0.10192
 1513.00    0.63179   0.10372
 1514.00    0.63500   0.10556
