   W          M2+(pi+_n)
 (MeV)       Re        Im
 1080.00   -0.04813   0.00000
 1081.00   -0.05489   0.00000
 1082.00   -0.06156   0.00000
 1083.00   -0.06814   0.00000
 1084.00   -0.07464   0.00000
 1085.00   -0.08105   0.00000
 1086.00   -0.08737   0.00000
 1087.00   -0.09361   0.00000
 1088.00   -0.09977   0.00000
 1089.00   -0.10585   0.00000
 1090.00   -0.11184   0.00000
 1091.00   -0.11776   0.00000
 1092.00   -0.12360   0.00000
 1093.00   -0.12936   0.00000
 1094.00   -0.13504   0.00000
 1095.00   -0.14065  -0.00001
 1096.00   -0.14619  -0.00001
 1097.00   -0.15165  -0.00001
 1098.00   -0.15704  -0.00001
 1099.00   -0.16235  -0.00002
 1100.00   -0.16760  -0.00002
 1101.00   -0.17277  -0.00003
 1102.00   -0.17788  -0.00003
 1103.00   -0.18292  -0.00003
 1104.00   -0.18789  -0.00004
 1105.00   -0.19279  -0.00004
 1106.00   -0.19762  -0.00005
 1107.00   -0.20240  -0.00006
 1108.00   -0.20710  -0.00006
 1109.00   -0.21174  -0.00007
 1110.00   -0.21632  -0.00007
 1111.00   -0.22084  -0.00008
 1112.00   -0.22530  -0.00009
 1113.00   -0.22969  -0.00009
 1114.00   -0.23403  -0.00010
 1115.00   -0.23830  -0.00011
 1116.00   -0.24252  -0.00011
 1117.00   -0.24668  -0.00012
 1118.00   -0.25078  -0.00013
 1119.00   -0.25482  -0.00014
 1120.00   -0.25881  -0.00014
 1121.00   -0.26274  -0.00015
 1122.00   -0.26662  -0.00016
 1123.00   -0.27044  -0.00017
 1124.00   -0.27421  -0.00018
 1125.00   -0.27793  -0.00020
 1126.00   -0.28160  -0.00021
 1127.00   -0.28521  -0.00022
 1128.00   -0.28877  -0.00024
 1129.00   -0.29228  -0.00025
 1130.00   -0.29574  -0.00027
 1131.00   -0.29915  -0.00028
 1132.00   -0.30252  -0.00030
 1133.00   -0.30583  -0.00032
 1134.00   -0.30909  -0.00034
 1135.00   -0.31231  -0.00036
 1136.00   -0.31548  -0.00038
 1137.00   -0.31861  -0.00040
 1138.00   -0.32169  -0.00042
 1139.00   -0.32472  -0.00044
 1140.00   -0.32771  -0.00046
 1141.00   -0.33066  -0.00047
 1142.00   -0.33356  -0.00049
 1143.00   -0.33642  -0.00051
 1144.00   -0.33923  -0.00053
 1145.00   -0.34200  -0.00055
 1146.00   -0.34473  -0.00057
 1147.00   -0.34742  -0.00059
 1148.00   -0.35007  -0.00061
 1149.00   -0.35268  -0.00063
 1150.00   -0.35524  -0.00065
 1151.00   -0.35777  -0.00067
 1152.00   -0.36026  -0.00070
 1153.00   -0.36270  -0.00072
 1154.00   -0.36511  -0.00075
 1155.00   -0.36748  -0.00077
 1156.00   -0.36982  -0.00080
 1157.00   -0.37211  -0.00083
 1158.00   -0.37437  -0.00086
 1159.00   -0.37660  -0.00089
 1160.00   -0.37878  -0.00092
 1161.00   -0.38093  -0.00094
 1162.00   -0.38305  -0.00097
 1163.00   -0.38513  -0.00100
 1164.00   -0.38717  -0.00103
 1165.00   -0.38918  -0.00107
 1166.00   -0.39116  -0.00110
 1167.00   -0.39310  -0.00113
 1168.00   -0.39501  -0.00116
 1169.00   -0.39689  -0.00120
 1170.00   -0.39873  -0.00123
 1171.00   -0.40055  -0.00127
 1172.00   -0.40233  -0.00131
 1173.00   -0.40407  -0.00134
 1174.00   -0.40579  -0.00138
 1175.00   -0.40748  -0.00142
 1176.00   -0.40913  -0.00146
 1177.00   -0.41076  -0.00150
 1178.00   -0.41235  -0.00154
 1179.00   -0.41391  -0.00158
 1180.00   -0.41545  -0.00162
 1181.00   -0.41696  -0.00167
 1182.00   -0.41843  -0.00171
 1183.00   -0.41988  -0.00175
 1184.00   -0.42130  -0.00179
 1185.00   -0.42269  -0.00183
 1186.00   -0.42406  -0.00187
 1187.00   -0.42539  -0.00191
 1188.00   -0.42670  -0.00195
 1189.00   -0.42799  -0.00199
 1190.00   -0.42924  -0.00203
 1191.00   -0.43047  -0.00207
 1192.00   -0.43167  -0.00211
 1193.00   -0.43285  -0.00216
 1194.00   -0.43400  -0.00220
 1195.00   -0.43513  -0.00224
 1196.00   -0.43623  -0.00228
 1197.00   -0.43731  -0.00232
 1198.00   -0.43836  -0.00236
 1199.00   -0.43938  -0.00241
 1200.00   -0.44039  -0.00245
 1201.00   -0.44137  -0.00250
 1202.00   -0.44232  -0.00254
 1203.00   -0.44325  -0.00259
 1204.00   -0.44416  -0.00263
 1205.00   -0.44505  -0.00268
 1206.00   -0.44591  -0.00273
 1207.00   -0.44675  -0.00278
 1208.00   -0.44756  -0.00282
 1209.00   -0.44836  -0.00287
 1210.00   -0.44913  -0.00292
 1211.00   -0.44988  -0.00296
 1212.00   -0.45061  -0.00301
 1213.00   -0.45132  -0.00306
 1214.00   -0.45201  -0.00310
 1215.00   -0.45268  -0.00315
 1216.00   -0.45332  -0.00320
 1217.00   -0.45395  -0.00324
 1218.00   -0.45455  -0.00329
 1219.00   -0.45514  -0.00334
 1220.00   -0.45570  -0.00339
 1221.00   -0.45625  -0.00344
 1222.00   -0.45677  -0.00349
 1223.00   -0.45728  -0.00354
 1224.00   -0.45776  -0.00359
 1225.00   -0.45823  -0.00364
 1226.00   -0.45868  -0.00369
 1227.00   -0.45911  -0.00374
 1228.00   -0.45952  -0.00379
 1229.00   -0.45991  -0.00385
 1230.00   -0.46029  -0.00390
 1231.00   -0.46064  -0.00395
 1232.00   -0.46098  -0.00400
 1233.00   -0.46130  -0.00405
 1234.00   -0.46161  -0.00410
 1235.00   -0.46189  -0.00416
 1236.00   -0.46216  -0.00421
 1237.00   -0.46242  -0.00426
 1238.00   -0.46265  -0.00431
 1239.00   -0.46287  -0.00437
 1240.00   -0.46307  -0.00442
 1241.00   -0.46326  -0.00448
 1242.00   -0.46343  -0.00453
 1243.00   -0.46358  -0.00459
 1244.00   -0.46372  -0.00464
 1245.00   -0.46384  -0.00470
 1246.00   -0.46394  -0.00476
 1247.00   -0.46403  -0.00481
 1248.00   -0.46411  -0.00487
 1249.00   -0.46417  -0.00492
 1250.00   -0.46421  -0.00498
 1251.00   -0.46424  -0.00503
 1252.00   -0.46426  -0.00509
 1253.00   -0.46426  -0.00514
 1254.00   -0.46424  -0.00520
 1255.00   -0.46421  -0.00525
 1256.00   -0.46417  -0.00531
 1257.00   -0.46411  -0.00536
 1258.00   -0.46404  -0.00541
 1259.00   -0.46396  -0.00547
 1260.00   -0.46386  -0.00552
 1261.00   -0.46374  -0.00558
 1262.00   -0.46362  -0.00563
 1263.00   -0.46348  -0.00569
 1264.00   -0.46332  -0.00575
 1265.00   -0.46316  -0.00580
 1266.00   -0.46298  -0.00586
 1267.00   -0.46278  -0.00592
 1268.00   -0.46258  -0.00598
 1269.00   -0.46236  -0.00603
 1270.00   -0.46213  -0.00609
 1271.00   -0.46189  -0.00615
 1272.00   -0.46163  -0.00621
 1273.00   -0.46136  -0.00627
 1274.00   -0.46109  -0.00632
 1275.00   -0.46079  -0.00638
 1276.00   -0.46049  -0.00644
 1277.00   -0.46017  -0.00649
 1278.00   -0.45985  -0.00655
 1279.00   -0.45951  -0.00660
 1280.00   -0.45916  -0.00666
 1281.00   -0.45879  -0.00671
 1282.00   -0.45842  -0.00676
 1283.00   -0.45804  -0.00682
 1284.00   -0.45764  -0.00687
 1285.00   -0.45723  -0.00692
 1286.00   -0.45682  -0.00697
 1287.00   -0.45639  -0.00702
 1288.00   -0.45595  -0.00707
 1289.00   -0.45550  -0.00713
 1290.00   -0.45504  -0.00718
 1291.00   -0.45457  -0.00723
 1292.00   -0.45409  -0.00729
 1293.00   -0.45361  -0.00734
 1294.00   -0.45311  -0.00740
 1295.00   -0.45260  -0.00746
 1296.00   -0.45207  -0.00751
