   W          M2-(pi+_n)
 (MeV)       Re        Im
 1278.00    1.10826   0.00000
 1279.00    1.11027   0.00000
 1280.00    1.11226   0.00000
 1281.00    1.11424   0.00000
 1282.00    1.11621   0.00000
 1283.00    1.11816   0.00000
 1284.00    1.12010   0.00000
 1285.00    1.12202   0.00000
 1286.00    1.12393   0.00000
 1287.00    1.12583   0.00000
 1288.00    1.12771   0.00000
 1289.00    1.12958   0.00000
 1290.00    1.13144   0.00000
 1291.00    1.13329   0.00000
 1292.00    1.13512   0.00000
 1293.00    1.13694   0.00000
 1294.00    1.13874   0.00000
 1295.00    1.14054   0.00000
 1296.00    1.14232   0.00000
 1297.00    1.14409   0.00000
 1298.00    1.14585   0.00000
 1299.00    1.14759   0.00000
 1300.00    1.14932   0.00000
 1301.00    1.15105   0.00000
 1302.00    1.15275   0.00000
 1303.00    1.15445   0.00000
 1304.00    1.15614   0.00000
 1305.00    1.15781   0.00000
 1306.00    1.15948   0.00000
 1307.00    1.16113   0.00000
 1308.00    1.16277   0.00000
 1309.00    1.16440   0.00000
 1310.00    1.16602   0.00000
 1311.00    1.16763   0.00000
 1312.00    1.16923   0.00000
 1313.00    1.17081   0.00000
 1314.00    1.17239   0.00000
 1315.00    1.17395   0.00000
 1316.00    1.17551   0.00000
 1317.00    1.17705   0.00000
 1318.00    1.17859   0.00000
 1319.00    1.18011   0.00000
 1320.00    1.18163   0.00000
 1321.00    1.18313   0.00000
 1322.00    1.18463   0.00000
 1323.00    1.18611   0.00000
 1324.00    1.18759   0.00000
 1325.00    1.18905   0.00000
 1326.00    1.19051   0.00000
 1327.00    1.19195   0.00000
 1328.00    1.19339   0.00000
 1329.00    1.19482   0.00000
 1330.00    1.19624   0.00000
 1331.00    1.19765   0.00000
 1332.00    1.19905   0.00000
 1333.00    1.20044   0.00000
 1334.00    1.20182   0.00000
 1335.00    1.20319   0.00000
 1336.00    1.20456   0.00000
 1337.00    1.20591   0.00000
 1338.00    1.20726   0.00000
 1339.00    1.20860   0.00000
 1340.00    1.20993   0.00000
 1341.00    1.21125   0.00000
 1342.00    1.21256   0.00000
 1343.00    1.21387   0.00000
 1344.00    1.21517   0.00000
 1345.00    1.21646   0.00000
 1346.00    1.21774   0.00000
 1347.00    1.21901   0.00000
 1348.00    1.22027   0.00000
 1349.00    1.22153   0.00000
 1350.00    1.22278   0.00000
 1351.00    1.22402   0.00000
 1352.00    1.22525   0.00000
 1353.00    1.22648   0.00000
 1354.00    1.22769   0.00000
 1355.00    1.22890   0.00000
 1356.00    1.23011   0.00000
 1357.00    1.23130   0.00000
 1358.00    1.23249   0.00000
 1359.00    1.23367   0.00000
 1360.00    1.23484   0.00000
 1361.00    1.23601   0.00000
 1362.00    1.23717   0.00000
 1363.00    1.23832   0.00000
 1364.00    1.23946   0.00000
 1365.00    1.24060   0.00000
 1366.00    1.24173   0.00000
 1367.00    1.24286   0.00000
 1368.00    1.24397   0.00000
 1369.00    1.24508   0.00000
 1370.00    1.24619   0.00000
 1371.00    1.24728   0.00000
 1372.00    1.24837   0.00000
 1373.00    1.24946   0.00000
 1374.00    1.25053   0.00000
 1375.00    1.25160   0.00000
 1376.00    1.25267   0.00000
 1377.00    1.25373   0.00000
 1378.00    1.25478   0.00000
 1379.00    1.25582   0.00000
 1380.00    1.25686   0.00000
 1381.00    1.25789   0.00000
 1382.00    1.25892   0.00000
 1383.00    1.25994   0.00000
 1384.00    1.26095   0.00000
 1385.00    1.26196   0.00000
 1386.00    1.26296   0.00000
 1387.00    1.26396   0.00000
 1388.00    1.26495   0.00000
 1389.00    1.26594   0.00000
 1390.00    1.26691   0.00000
 1391.00    1.26789   0.00000
 1392.00    1.26885   0.00000
 1393.00    1.26982   0.00000
 1394.00    1.27077   0.00000
 1395.00    1.27172   0.00000
 1396.00    1.27267   0.00000
 1397.00    1.27360   0.00000
 1398.00    1.27454   0.00000
 1399.00    1.27547   0.00000
 1400.00    1.27639   0.00000
 1401.00    1.27731   0.00000
 1402.00    1.27822   0.00000
 1403.00    1.27912   0.00000
 1404.00    1.28003   0.00000
 1405.00    1.28092   0.00000
 1406.00    1.28181   0.00000
 1407.00    1.28270   0.00000
 1408.00    1.28358   0.00000
 1409.00    1.28445   0.00000
 1410.00    1.28532   0.00000
 1411.00    1.28619   0.00000
 1412.00    1.28705   0.00000
 1413.00    1.28790   0.00000
 1414.00    1.28875   0.00000
 1415.00    1.28960   0.00000
 1416.00    1.29044   0.00000
 1417.00    1.29128   0.00000
 1418.00    1.29211   0.00000
 1419.00    1.29293   0.00000
 1420.00    1.29375   0.00000
 1421.00    1.29457   0.00000
 1422.00    1.29538   0.00000
 1423.00    1.29619   0.00000
 1424.00    1.29699   0.00000
 1425.00    1.29779   0.00000
 1426.00    1.29858   0.00000
 1427.00    1.29937   0.00000
 1428.00    1.30016   0.00000
 1429.00    1.30094   0.00000
 1430.00    1.30171   0.00000
 1431.00    1.30248   0.00000
 1432.00    1.30325   0.00000
 1433.00    1.30401   0.00000
 1434.00    1.30477   0.00000
 1435.00    1.30552   0.00000
 1436.00    1.30627   0.00000
 1437.00    1.30702   0.00000
 1438.00    1.30776   0.00000
 1439.00    1.30850   0.00000
 1440.00    1.30923   0.00000
 1441.00    1.30996   0.00000
 1442.00    1.31068   0.00000
 1443.00    1.31140   0.00000
 1444.00    1.31212   0.00000
 1445.00    1.31283   0.00000
 1446.00    1.31353   0.00000
 1447.00    1.31424   0.00000
 1448.00    1.31494   0.00000
 1449.00    1.31563   0.00000
