   W          E3-(pi+_n)
 (MeV)       Re        Im
 1080.00    0.03254   0.00000
 1081.00    0.03952   0.00000
 1082.00    0.04681   0.00000
 1083.00    0.05438   0.00000
 1084.00    0.06218   0.00000
 1085.00    0.07018   0.00001
 1086.00    0.07837   0.00001
 1087.00    0.08671   0.00001
 1088.00    0.09518   0.00001
 1089.00    0.10378   0.00001
 1090.00    0.11247   0.00001
 1091.00    0.12125   0.00001
 1092.00    0.13010   0.00001
 1093.00    0.13901   0.00001
 1094.00    0.14798   0.00002
 1095.00    0.15698   0.00002
 1096.00    0.16602   0.00002
 1097.00    0.17507   0.00002
 1098.00    0.18414   0.00002
 1099.00    0.19322   0.00002
 1100.00    0.20230   0.00003
 1101.00    0.21138   0.00003
 1102.00    0.22045   0.00003
 1103.00    0.22950   0.00003
 1104.00    0.23854   0.00003
 1105.00    0.24755   0.00004
 1106.00    0.25653   0.00004
 1107.00    0.26548   0.00004
 1108.00    0.27440   0.00004
 1109.00    0.28329   0.00005
 1110.00    0.29213   0.00005
 1111.00    0.30093   0.00005
 1112.00    0.30968   0.00006
 1113.00    0.31839   0.00006
 1114.00    0.32705   0.00006
 1115.00    0.33566   0.00007
 1116.00    0.34422   0.00007
 1117.00    0.35272   0.00008
 1118.00    0.36117   0.00008
 1119.00    0.36956   0.00008
 1120.00    0.37790   0.00009
 1121.00    0.38617   0.00009
 1122.00    0.39439   0.00010
 1123.00    0.40255   0.00010
 1124.00    0.41065   0.00011
 1125.00    0.41868   0.00011
 1126.00    0.42665   0.00012
 1127.00    0.43457   0.00013
 1128.00    0.44241   0.00013
 1129.00    0.45020   0.00014
 1130.00    0.45792   0.00014
 1131.00    0.46558   0.00015
 1132.00    0.47317   0.00016
 1133.00    0.48070   0.00016
 1134.00    0.48816   0.00017
 1135.00    0.49557   0.00018
 1136.00    0.50290   0.00019
 1137.00    0.51017   0.00019
 1138.00    0.51738   0.00020
 1139.00    0.52453   0.00021
 1140.00    0.53161   0.00022
 1141.00    0.53863   0.00023
 1142.00    0.54558   0.00024
 1143.00    0.55247   0.00025
 1144.00    0.55930   0.00026
 1145.00    0.56606   0.00027
 1146.00    0.57276   0.00028
 1147.00    0.57940   0.00029
 1148.00    0.58598   0.00030
 1149.00    0.59250   0.00031
 1150.00    0.59895   0.00032
 1151.00    0.60534   0.00033
 1152.00    0.61168   0.00034
 1153.00    0.61795   0.00036
 1154.00    0.62416   0.00037
 1155.00    0.63032   0.00038
 1156.00    0.63641   0.00040
 1157.00    0.64245   0.00041
 1158.00    0.64843   0.00042
 1159.00    0.65435   0.00044
 1160.00    0.66021   0.00045
 1161.00    0.66602   0.00047
 1162.00    0.67177   0.00048
 1163.00    0.67747   0.00050
 1164.00    0.68311   0.00051
 1165.00    0.68869   0.00053
 1166.00    0.69422   0.00055
 1167.00    0.69970   0.00057
 1168.00    0.70512   0.00058
 1169.00    0.71049   0.00060
 1170.00    0.71581   0.00062
 1171.00    0.72108   0.00064
 1172.00    0.72629   0.00066
 1173.00    0.73146   0.00068
 1174.00    0.73657   0.00070
 1175.00    0.74163   0.00072
 1176.00    0.74665   0.00074
 1177.00    0.75161   0.00076
 1178.00    0.75653   0.00078
 1179.00    0.76139   0.00081
 1180.00    0.76621   0.00083
 1181.00    0.77099   0.00085
 1182.00    0.77571   0.00088
 1183.00    0.78039   0.00090
 1184.00    0.78503   0.00093
 1185.00    0.78962   0.00095
 1186.00    0.79416   0.00098
 1187.00    0.79866   0.00101
 1188.00    0.80312   0.00104
 1189.00    0.80753   0.00106
 1190.00    0.81190   0.00109
 1191.00    0.81623   0.00112
 1192.00    0.82052   0.00115
 1193.00    0.82477   0.00118
 1194.00    0.82897   0.00121
 1195.00    0.83313   0.00124
 1196.00    0.83726   0.00127
 1197.00    0.84134   0.00131
 1198.00    0.84539   0.00134
 1199.00    0.84939   0.00137
 1200.00    0.85336   0.00141
 1201.00    0.85729   0.00145
 1202.00    0.86118   0.00148
 1203.00    0.86504   0.00152
 1204.00    0.86886   0.00156
 1205.00    0.87264   0.00160
 1206.00    0.87639   0.00164
 1207.00    0.88011   0.00168
 1208.00    0.88378   0.00172
 1209.00    0.88743   0.00175
 1210.00    0.89104   0.00179
