   W         M6-(pi+_n)
 (MeV)      Re         Im
 1080.0    0.000000  -0.000000
 1081.0    0.000000  -0.000000
 1082.0    0.000001  -0.000000
 1083.0    0.000001  -0.000000
 1084.0    0.000001  -0.000000
 1085.0    0.000002  -0.000000
 1086.0    0.000003  -0.000000
 1087.0    0.000005  -0.000000
 1088.0    0.000007  -0.000000
 1089.0    0.000009  -0.000000
 1090.0    0.000010  -0.000001
 1091.0    0.000014  -0.000001
 1092.0    0.000018  -0.000001
 1093.0    0.000022  -0.000001
 1094.0    0.000026  -0.000001
 1095.0    0.000030  -0.000002
 1096.0    0.000037  -0.000002
 1097.0    0.000044  -0.000002
 1098.0    0.000051  -0.000003
 1099.0    0.000058  -0.000003
 1100.0    0.000065  -0.000004
 1101.0    0.000075  -0.000004
 1102.0    0.000085  -0.000005
 1103.0    0.000096  -0.000005
 1104.0    0.000106  -0.000006
 1105.0    0.000116  -0.000006
 1106.0    0.000130  -0.000007
 1107.0    0.000144  -0.000008
 1108.0    0.000158  -0.000009
 1109.0    0.000172  -0.000009
 1110.0    0.000186  -0.000010
 1111.0    0.000204  -0.000011
 1112.0    0.000222  -0.000012
 1113.0    0.000240  -0.000013
 1114.0    0.000257  -0.000014
 1115.0    0.000275  -0.000015
 1116.0    0.000297  -0.000016
 1117.0    0.000319  -0.000017
 1118.0    0.000341  -0.000019
 1119.0    0.000362  -0.000020
 1120.0    0.000384  -0.000021
 1121.0    0.000410  -0.000022
 1122.0    0.000436  -0.000024
 1123.0    0.000461  -0.000025
 1124.0    0.000487  -0.000026
 1125.0    0.000513  -0.000028
 1126.0    0.000543  -0.000029
 1127.0    0.000572  -0.000031
 1128.0    0.000602  -0.000033
 1129.0    0.000632  -0.000034
 1130.0    0.000661  -0.000036
 1131.0    0.000695  -0.000038
 1132.0    0.000728  -0.000040
 1133.0    0.000762  -0.000041
 1134.0    0.000795  -0.000043
 1135.0    0.000829  -0.000045
 1136.0    0.000866  -0.000047
 1137.0    0.000903  -0.000049
 1138.0    0.000940  -0.000051
 1139.0    0.000977  -0.000053
 1140.0    0.001014  -0.000055
 1141.0    0.001055  -0.000057
 1142.0    0.001096  -0.000060
 1143.0    0.001136  -0.000062
 1144.0    0.001177  -0.000064
 1145.0    0.001218  -0.000066
 1146.0    0.001262  -0.000069
 1147.0    0.001306  -0.000071
 1148.0    0.001350  -0.000073
 1149.0    0.001394  -0.000076
 1150.0    0.001438  -0.000078
 1151.0    0.001485  -0.000081
 1152.0    0.001532  -0.000083
 1153.0    0.001579  -0.000086
 1154.0    0.001626  -0.000088
 1155.0    0.001673  -0.000091
 1156.0    0.001724  -0.000094
 1157.0    0.001774  -0.000096
 1158.0    0.001824  -0.000099
 1159.0    0.001874  -0.000102
 1160.0    0.001924  -0.000105
 1161.0    0.001977  -0.000107
 1162.0    0.002030  -0.000110
 1163.0    0.002082  -0.000113
 1164.0    0.002135  -0.000116
 1165.0    0.002188  -0.000119
 1166.0    0.002243  -0.000122
 1167.0    0.002299  -0.000125
 1168.0    0.002354  -0.000128
 1169.0    0.002410  -0.000131
 1170.0    0.002465  -0.000134
 1171.0    0.002523  -0.000137
 1172.0    0.002580  -0.000140
 1173.0    0.002638  -0.000143
 1174.0    0.002696  -0.000146
 1175.0    0.002753  -0.000150
 1176.0    0.002813  -0.000153
 1177.0    0.002873  -0.000156
 1178.0    0.002933  -0.000159
 1179.0    0.002993  -0.000163
 1180.0    0.003052  -0.000166
 1181.0    0.003114  -0.000169
 1182.0    0.003176  -0.000173
 1183.0    0.003238  -0.000176
 1184.0    0.003299  -0.000179
 1185.0    0.003361  -0.000183
 1186.0    0.003425  -0.000186
 1187.0    0.003488  -0.000190
 1188.0    0.003552  -0.000193
 1189.0    0.003615  -0.000196
 1190.0    0.003679  -0.000200
 1191.0    0.003744  -0.000203
 1192.0    0.003809  -0.000207
 1193.0    0.003874  -0.000210
 1194.0    0.003939  -0.000214
 1195.0    0.004004  -0.000218
 1196.0    0.004070  -0.000221
 1197.0    0.004137  -0.000225
 1198.0    0.004203  -0.000228
 1199.0    0.004269  -0.000232
 1200.0    0.004336  -0.000236
 1201.0    0.004403  -0.000239
 1202.0    0.004471  -0.000243
 1203.0    0.004539  -0.000247
 1204.0    0.004606  -0.000250
 1205.0    0.004674  -0.000254
 1206.0    0.004743  -0.000258
 1207.0    0.004811  -0.000261
 1208.0    0.004880  -0.000265
 1209.0    0.004949  -0.000269
 1210.0    0.005017  -0.000273
 1211.0    0.005087  -0.000276
 1212.0    0.005156  -0.000280
 1213.0    0.005226  -0.000284
 1214.0    0.005295  -0.000288
 1215.0    0.005365  -0.000291
 1216.0    0.005435  -0.000295
 1217.0    0.005506  -0.000299
 1218.0    0.005576  -0.000303
 1219.0    0.005646  -0.000307
 1220.0    0.005716  -0.000311
 1221.0    0.005787  -0.000314
 1222.0    0.005858  -0.000318
 1223.0    0.005929  -0.000322
 1224.0    0.006000  -0.000326
 1225.0    0.006071  -0.000330
 1226.0    0.006142  -0.000334
 1227.0    0.006214  -0.000338
 1228.0    0.006285  -0.000341
 1229.0    0.006356  -0.000345
 1230.0    0.006428  -0.000349
 1231.0    0.006500  -0.000353
 1232.0    0.006571  -0.000357
 1233.0    0.006643  -0.000361
 1234.0    0.006715  -0.000365
 1235.0    0.006786  -0.000369
 1236.0    0.006858  -0.000373
 1237.0    0.006930  -0.000377
 1238.0    0.007002  -0.000380
 1239.0    0.007074  -0.000384
 1240.0    0.007146  -0.000388
 1241.0    0.007218  -0.000392
 1242.0    0.007290  -0.000396
 1243.0    0.007363  -0.000400
 1244.0    0.007435  -0.000404
 1245.0    0.007507  -0.000408
 1246.0    0.007579  -0.000412
 1247.0    0.007651  -0.000416
 1248.0    0.007723  -0.000420
 1249.0    0.007795  -0.000424
 1250.0    0.007867  -0.000428
 1251.0    0.007940  -0.000431
 1252.0    0.008012  -0.000435
 1253.0    0.008084  -0.000439
 1254.0    0.008156  -0.000443
 1255.0    0.008228  -0.000447
 1256.0    0.008300  -0.000451
 1257.0    0.008372  -0.000455
 1258.0    0.008444  -0.000459
 1259.0    0.008516  -0.000463
 1260.0    0.008587  -0.000467
 1261.0    0.008659  -0.000471
 1262.0    0.008731  -0.000475
 1263.0    0.008802  -0.000478
 1264.0    0.008874  -0.000482
 1265.0    0.008946  -0.000486
 1266.0    0.009017  -0.000490
 1267.0    0.009089  -0.000494
 1268.0    0.009160  -0.000498
 1269.0    0.009232  -0.000502
 1270.0    0.009303  -0.000506
 1271.0    0.009374  -0.000510
 1272.0    0.009445  -0.000514
 1273.0    0.009516  -0.000518
 1274.0    0.009587  -0.000522
 1275.0    0.009658  -0.000525
 1276.0    0.009729  -0.000529
 1277.0    0.009799  -0.000533
 1278.0    0.009870  -0.000537
 1279.0    0.009940  -0.000540
 1280.0    0.010011  -0.000544
 1281.0    0.010081  -0.000548
 1282.0    0.010151  -0.000552
 1283.0    0.010221  -0.000556
 1284.0    0.010291  -0.000560
 1285.0    0.010361  -0.000564
 1286.0    0.010431  -0.000567
 1287.0    0.010500  -0.000571
 1288.0    0.010569  -0.000575
 1289.0    0.010639  -0.000579
 1290.0    0.010708  -0.000583
 1291.0    0.010777  -0.000586
 1292.0    0.010846  -0.000590
 1293.0    0.010915  -0.000594
 1294.0    0.010984  -0.000598
 1295.0    0.011053  -0.000602
 1296.0    0.011121  -0.000605
 1297.0    0.011190  -0.000609
 1298.0    0.011258  -0.000613
 1299.0    0.011326  -0.000617
 1300.0    0.011394  -0.000620
 1301.0    0.011462  -0.000624
 1302.0    0.011530  -0.000628
 1303.0    0.011597  -0.000632
 1304.0    0.011665  -0.000636
 1305.0    0.011733  -0.000640
 1306.0    0.011800  -0.000644
 1307.0    0.011866  -0.000648
 1308.0    0.011933  -0.000651
 1309.0    0.012000  -0.000655
 1310.0    0.012067  -0.000658
 1311.0    0.012133  -0.000662
 1312.0    0.012199  -0.000666
 1313.0    0.012265  -0.000669
 1314.0    0.012331  -0.000673
 1315.0    0.012397  -0.000677
 1316.0    0.012462  -0.000680
 1317.0    0.012527  -0.000684
 1318.0    0.012592  -0.000688
 1319.0    0.012658  -0.000691
 1320.0    0.012723  -0.000695
 1321.0    0.012788  -0.000699
 1322.0    0.012852  -0.000703
 1323.0    0.012917  -0.000707
 1324.0    0.012982  -0.000710
 1325.0    0.013047  -0.000714
 1326.0    0.013110  -0.000718
 1327.0    0.013173  -0.000721
 1328.0    0.013236  -0.000725
 1329.0    0.013300  -0.000728
 1330.0    0.013363  -0.000732
 1331.0    0.013426  -0.000735
 1332.0    0.013488  -0.000739
 1333.0    0.013551  -0.000742
 1334.0    0.013614  -0.000746
 1335.0    0.013676  -0.000750
 1336.0    0.013738  -0.000753
 1337.0    0.013800  -0.000757
 1338.0    0.013862  -0.000760
 1339.0    0.013923  -0.000764
 1340.0    0.013985  -0.000768
 1341.0    0.014046  -0.000771
 1342.0    0.014107  -0.000775
 1343.0    0.014167  -0.000778
 1344.0    0.014228  -0.000782
 1345.0    0.014289  -0.000785
 1346.0    0.014349  -0.000789
 1347.0    0.014409  -0.000793
 1348.0    0.014469  -0.000797
 1349.0    0.014529  -0.000800
 1350.0    0.014588  -0.000804
 1351.0    0.014647  -0.000807
 1352.0    0.014706  -0.000811
 1353.0    0.014765  -0.000814
 1354.0    0.014824  -0.000817
 1355.0    0.014883  -0.000820
 1356.0    0.014941  -0.000824
 1357.0    0.014999  -0.000828
 1358.0    0.015057  -0.000831
 1359.0    0.015115  -0.000835
 1360.0    0.015173  -0.000838
 1361.0    0.015230  -0.000842
 1362.0    0.015286  -0.000845
 1363.0    0.015343  -0.000849
 1364.0    0.015400  -0.000852
 1365.0    0.015457  -0.000856
 1366.0    0.015513  -0.000860
 1367.0    0.015569  -0.000863
 1368.0    0.015625  -0.000867
 1369.0    0.015681  -0.000870
 1370.0    0.015737  -0.000874
 1371.0    0.015792  -0.000877
 1372.0    0.015847  -0.000881
 1373.0    0.015902  -0.000884
 1374.0    0.015957  -0.000888
 1375.0    0.016012  -0.000892
 1376.0    0.016066  -0.000895
 1377.0    0.016120  -0.000899
 1378.0    0.016174  -0.000902
 1379.0    0.016228  -0.000906
 1380.0    0.016281  -0.000909
 1381.0    0.016334  -0.000913
 1382.0    0.016387  -0.000917
 1383.0    0.016440  -0.000920
 1384.0    0.016493  -0.000924
 1385.0    0.016546  -0.000928
 1386.0    0.016598  -0.000931
 1387.0    0.016650  -0.000934
 1388.0    0.016701  -0.000937
 1389.0    0.016753  -0.000941
 1390.0    0.016804  -0.000944
 1391.0    0.016855  -0.000948
 1392.0    0.016906  -0.000951
 1393.0    0.016957  -0.000955
 1394.0    0.017008  -0.000959
 1395.0    0.017059  -0.000963
 1396.0    0.017109  -0.000966
 1397.0    0.017159  -0.000970
 1398.0    0.017209  -0.000974
 1399.0    0.017259  -0.000977
 1400.0    0.017308  -0.000981
 1401.0    0.017357  -0.000985
 1402.0    0.017406  -0.000988
 1403.0    0.017455  -0.000992
 1404.0    0.017504  -0.000996
 1405.0    0.017552  -0.000999
 1406.0    0.017600  -0.001003
 1407.0    0.017648  -0.001007
 1408.0    0.017696  -0.001011
 1409.0    0.017743  -0.001014
 1410.0    0.017791  -0.001018
 1411.0    0.017838  -0.001022
 1412.0    0.017885  -0.001026
 1413.0    0.017931  -0.001030
 1414.0    0.017978  -0.001033
 1415.0    0.018025  -0.001037
 1416.0    0.018071  -0.001041
 1417.0    0.018116  -0.001045
 1418.0    0.018162  -0.001049
 1419.0    0.018208  -0.001053
 1420.0    0.018253  -0.001056
 1421.0    0.018298  -0.001060
 1422.0    0.018343  -0.001064
 1423.0    0.018388  -0.001068
 1424.0    0.018432  -0.001072
 1425.0    0.018477  -0.001076
 1426.0    0.018521  -0.001080
 1427.0    0.018564  -0.001084
 1428.0    0.018608  -0.001088
 1429.0    0.018652  -0.001092
 1430.0    0.018695  -0.001096
 1431.0    0.018738  -0.001100
 1432.0    0.018781  -0.001104
 1433.0    0.018824  -0.001108
 1434.0    0.018866  -0.001112
 1435.0    0.018909  -0.001117
 1436.0    0.018951  -0.001121
 1437.0    0.018992  -0.001125
 1438.0    0.019033  -0.001129
 1439.0    0.019075  -0.001133
 1440.0    0.019116  -0.001138
 1441.0    0.019157  -0.001142
 1442.0    0.019198  -0.001146
 1443.0    0.019238  -0.001151
 1444.0    0.019279  -0.001155
 1445.0    0.019320  -0.001159
 1446.0    0.019360  -0.001164
 1447.0    0.019399  -0.001168
 1448.0    0.019439  -0.001172
