   W         E8+(pi+_n)
 (MeV)      Re         Im
 1267.0    0.005527  -0.000300
 1268.0    0.005575  -0.000303
 1269.0    0.005623  -0.000305
 1270.0    0.005671  -0.000308
 1271.0    0.005719  -0.000310
 1272.0    0.005767  -0.000313
 1273.0    0.005815  -0.000316
 1274.0    0.005863  -0.000318
 1275.0    0.005910  -0.000321
 1276.0    0.005958  -0.000324
 1277.0    0.006005  -0.000326
 1278.0    0.006053  -0.000329
 1279.0    0.006101  -0.000332
 1280.0    0.006148  -0.000334
 1281.0    0.006195  -0.000337
 1282.0    0.006242  -0.000339
 1283.0    0.006289  -0.000342
 1284.0    0.006336  -0.000344
 1285.0    0.006384  -0.000347
 1286.0    0.006430  -0.000349
 1287.0    0.006477  -0.000352
 1288.0    0.006523  -0.000354
 1289.0    0.006570  -0.000357
 1290.0    0.006616  -0.000359
 1291.0    0.006663  -0.000362
 1292.0    0.006709  -0.000364
 1293.0    0.006755  -0.000367
 1294.0    0.006801  -0.000369
 1295.0    0.006848  -0.000372
 1296.0    0.006893  -0.000375
 1297.0    0.006939  -0.000377
 1298.0    0.006985  -0.000380
 1299.0    0.007030  -0.000382
 1300.0    0.007076  -0.000385
 1301.0    0.007121  -0.000387
 1302.0    0.007166  -0.000389
 1303.0    0.007211  -0.000392
 1304.0    0.007256  -0.000394
 1305.0    0.007301  -0.000396
 1306.0    0.007346  -0.000399
 1307.0    0.007391  -0.000401
 1308.0    0.007435  -0.000404
 1309.0    0.007480  -0.000406
 1310.0    0.007524  -0.000409
 1311.0    0.007568  -0.000411
 1312.0    0.007612  -0.000414
 1313.0    0.007656  -0.000416
 1314.0    0.007700  -0.000418
 1315.0    0.007744  -0.000421
 1316.0    0.007787  -0.000423
 1317.0    0.007831  -0.000425
 1318.0    0.007874  -0.000428
 1319.0    0.007917  -0.000430
 1320.0    0.007960  -0.000432
 1321.0    0.008003  -0.000435
 1322.0    0.008046  -0.000437
 1323.0    0.008089  -0.000440
 1324.0    0.008131  -0.000442
 1325.0    0.008174  -0.000445
 1326.0    0.008216  -0.000447
 1327.0    0.008258  -0.000449
 1328.0    0.008300  -0.000451
 1329.0    0.008341  -0.000453
 1330.0    0.008383  -0.000456
 1331.0    0.008424  -0.000458
 1332.0    0.008466  -0.000460
 1333.0    0.008507  -0.000462
 1334.0    0.008548  -0.000464
 1335.0    0.008589  -0.000467
 1336.0    0.008630  -0.000469
 1337.0    0.008670  -0.000471
 1338.0    0.008711  -0.000473
 1339.0    0.008751  -0.000475
 1340.0    0.008792  -0.000478
 1341.0    0.008831  -0.000480
 1342.0    0.008871  -0.000482
 1343.0    0.008911  -0.000484
 1344.0    0.008951  -0.000486
 1345.0    0.008990  -0.000488
 1346.0    0.009029  -0.000491
 1347.0    0.009068  -0.000493
 1348.0    0.009107  -0.000495
 1349.0    0.009146  -0.000497
 1350.0    0.009185  -0.000499
 1351.0    0.009223  -0.000501
 1352.0    0.009262  -0.000503
 1353.0    0.009300  -0.000505
 1354.0    0.009338  -0.000507
 1355.0    0.009377  -0.000510
 1356.0    0.009414  -0.000512
 1357.0    0.009452  -0.000514
 1358.0    0.009489  -0.000516
 1359.0    0.009527  -0.000518
 1360.0    0.009564  -0.000520
 1361.0    0.009601  -0.000522
 1362.0    0.009637  -0.000524
 1363.0    0.009674  -0.000526
 1364.0    0.009711  -0.000528
 1365.0    0.009748  -0.000530
 1366.0    0.009783  -0.000532
 1367.0    0.009819  -0.000534
 1368.0    0.009855  -0.000536
 1369.0    0.009891  -0.000537
 1370.0    0.009927  -0.000539
 1371.0    0.009962  -0.000541
 1372.0    0.009998  -0.000543
 1373.0    0.010033  -0.000545
 1374.0    0.010068  -0.000547
 1375.0    0.010103  -0.000549
 1376.0    0.010137  -0.000551
 1377.0    0.010172  -0.000553
 1378.0    0.010206  -0.000555
 1379.0    0.010241  -0.000556
 1380.0    0.010275  -0.000558
 1381.0    0.010309  -0.000560
 1382.0    0.010342  -0.000562
 1383.0    0.010376  -0.000564
 1384.0    0.010409  -0.000566
 1385.0    0.010443  -0.000568
 1386.0    0.010476  -0.000569
 1387.0    0.010508  -0.000571
 1388.0    0.010541  -0.000573
 1389.0    0.010574  -0.000574
 1390.0    0.010607  -0.000576
 1391.0    0.010639  -0.000578
 1392.0    0.010671  -0.000580
 1393.0    0.010703  -0.000581
 1394.0    0.010735  -0.000583
