   W         M4-(pi+_n)
 (MeV)      Re         Im
 1080.0    0.000006  -0.000000
 1081.0    0.000057  -0.000003
 1082.0    0.000108  -0.000006
 1083.0    0.000158  -0.000009
 1084.0    0.000209  -0.000011
 1085.0    0.000260  -0.000014
 1086.0    0.000378  -0.000021
 1087.0    0.000497  -0.000027
 1088.0    0.000615  -0.000034
 1089.0    0.000733  -0.000040
 1090.0    0.000852  -0.000047
 1091.0    0.001029  -0.000056
 1092.0    0.001205  -0.000066
 1093.0    0.001382  -0.000076
 1094.0    0.001559  -0.000085
 1095.0    0.001735  -0.000095
 1096.0    0.001962  -0.000107
 1097.0    0.002189  -0.000120
 1098.0    0.002416  -0.000132
 1099.0    0.002643  -0.000145
 1100.0    0.002870  -0.000157
 1101.0    0.003140  -0.000172
 1102.0    0.003409  -0.000187
 1103.0    0.003679  -0.000202
 1104.0    0.003949  -0.000217
 1105.0    0.004219  -0.000231
 1106.0    0.004526  -0.000248
 1107.0    0.004832  -0.000265
 1108.0    0.005139  -0.000282
 1109.0    0.005445  -0.000299
 1110.0    0.005752  -0.000316
 1111.0    0.006090  -0.000335
 1112.0    0.006427  -0.000353
 1113.0    0.006765  -0.000372
 1114.0    0.007102  -0.000391
 1115.0    0.007440  -0.000409
 1116.0    0.007804  -0.000429
 1117.0    0.008168  -0.000450
 1118.0    0.008532  -0.000470
 1119.0    0.008895  -0.000490
 1120.0    0.009259  -0.000510
 1121.0    0.009645  -0.000532
 1122.0    0.010030  -0.000553
 1123.0    0.010416  -0.000575
 1124.0    0.010802  -0.000596
 1125.0    0.011187  -0.000618
 1126.0    0.011591  -0.000640
 1127.0    0.011994  -0.000663
 1128.0    0.012398  -0.000685
 1129.0    0.012801  -0.000708
 1130.0    0.013205  -0.000731
 1131.0    0.013623  -0.000754
 1132.0    0.014041  -0.000778
 1133.0    0.014459  -0.000801
 1134.0    0.014877  -0.000825
 1135.0    0.015295  -0.000848
 1136.0    0.015725  -0.000873
 1137.0    0.016154  -0.000897
 1138.0    0.016584  -0.000921
 1139.0    0.017014  -0.000946
 1140.0    0.017443  -0.000970
 1141.0    0.017882  -0.000995
 1142.0    0.018320  -0.001020
 1143.0    0.018759  -0.001045
 1144.0    0.019197  -0.001070
 1145.0    0.019635  -0.001095
 1146.0    0.020080  -0.001121
 1147.0    0.020525  -0.001147
 1148.0    0.020970  -0.001173
 1149.0    0.021415  -0.001198
 1150.0    0.021860  -0.001224
 1151.0    0.022310  -0.001250
 1152.0    0.022759  -0.001276
 1153.0    0.023208  -0.001302
 1154.0    0.023658  -0.001329
 1155.0    0.024107  -0.001355
 1156.0    0.024559  -0.001382
 1157.0    0.025011  -0.001408
 1158.0    0.025463  -0.001435
 1159.0    0.025915  -0.001462
