   W         E4+(pi+_n)
 (MeV)      Re         Im
 1080.0    0.000019  -0.000001
 1081.0    0.000176  -0.000010
 1082.0    0.000333  -0.000018
 1083.0    0.000490  -0.000027
 1084.0    0.000647  -0.000035
 1085.0    0.000804  -0.000044
 1086.0    0.001155  -0.000063
 1087.0    0.001507  -0.000082
 1088.0    0.001858  -0.000101
 1089.0    0.002210  -0.000120
 1090.0    0.002561  -0.000139
 1091.0    0.003064  -0.000166
 1092.0    0.003568  -0.000194
 1093.0    0.004071  -0.000221
 1094.0    0.004574  -0.000249
 1095.0    0.005077  -0.000276
 1096.0    0.005698  -0.000310
 1097.0    0.006319  -0.000343
 1098.0    0.006939  -0.000377
 1099.0    0.007560  -0.000411
 1100.0    0.008180  -0.000444
 1101.0    0.008890  -0.000483
 1102.0    0.009599  -0.000522
 1103.0    0.010309  -0.000560
 1104.0    0.011019  -0.000599
 1105.0    0.011728  -0.000637
 1106.0    0.012504  -0.000679
 1107.0    0.013279  -0.000722
 1108.0    0.014055  -0.000764
 1109.0    0.014830  -0.000806
 1110.0    0.015606  -0.000848
 1111.0    0.016429  -0.000893
 1112.0    0.017251  -0.000937
 1113.0    0.018074  -0.000982
 1114.0    0.018897  -0.001027
 1115.0    0.019719  -0.001071
 1116.0    0.020574  -0.001118
 1117.0    0.021428  -0.001164
 1118.0    0.022282  -0.001211
 1119.0    0.023137  -0.001257
 1120.0    0.023991  -0.001304
 1121.0    0.024865  -0.001351
 1122.0    0.025739  -0.001398
 1123.0    0.026612  -0.001446
 1124.0    0.027486  -0.001493
 1125.0    0.028359  -0.001541
 1126.0    0.029242  -0.001589
 1127.0    0.030125  -0.001637
 1128.0    0.031008  -0.001685
 1129.0    0.031890  -0.001733
 1130.0    0.032773  -0.001781
 1131.0    0.033657  -0.001829
 1132.0    0.034540  -0.001877
 1133.0    0.035424  -0.001925
 1134.0    0.036308  -0.001973
 1135.0    0.037191  -0.002021
 1136.0    0.038069  -0.002068
 1137.0    0.038947  -0.002116
 1138.0    0.039825  -0.002164
 1139.0    0.040703  -0.002211
 1140.0    0.041580  -0.002259
 1141.0    0.042447  -0.002306
 1142.0    0.043314  -0.002353
 1143.0    0.044181  -0.002400
 1144.0    0.045048  -0.002447
 1145.0    0.045914  -0.002494
 1146.0    0.046766  -0.002541
 1147.0    0.047617  -0.002587
 1148.0    0.048469  -0.002633
 1149.0    0.049320  -0.002679
 1150.0    0.050172  -0.002726
 1151.0    0.051005  -0.002771
 1152.0    0.051838  -0.002816
 1153.0    0.052671  -0.002861
 1154.0    0.053503  -0.002906
 1155.0    0.054336  -0.002952
 1156.0    0.055148  -0.002996
 1157.0    0.055960  -0.003040
