kinematics for pion photoproduction at threshold

   qcm  Wcm(n+)  Elab(n+) Wcm(p0)  Elab(p0) Wcm(p-)  Elab(p-) Wcm(n0)  Elab(n0)
   67.  1096.77  171.885  1091.35  165.567  1095.48  168.851  1092.64  165.546
   68.  1097.28  172.478  1091.87  166.171  1095.99  169.442  1093.16  166.149
   69.  1097.79  173.078  1092.4   166.782  1096.5   170.041  1093.69  166.761
   70.  1098.31  173.686  1092.93  167.401  1097.02  170.648  1094.22  167.38
   71.  1098.84  174.302  1093.47  168.028  1097.55  171.262  1094.76  168.006
   72.  1099.37  174.925  1094.01  168.662  1098.08  171.883  1095.3   168.64
   73.  1099.91  175.555  1094.56  169.304  1098.62  172.512  1095.85  169.281
   74.  1100.45  176.193  1095.12  169.953  1099.16  173.149  1096.41  169.93
   75.  1101.    176.838  1095.68  170.61   1099.71  173.792  1096.97  170.587

    0.00  1079.14   151.44  1073.25   144.68  1077.84   148.45  1074.54   144.67
    1.00  1079.14   151.44  1073.25   144.69  1077.85   148.46  1074.55   144.68
    2.00  1079.15   151.46  1073.27   144.70  1077.86   148.47  1074.56   144.69
    3.00  1079.17   151.48  1073.29   144.73  1077.88   148.49  1074.58   144.71
    4.00  1079.20   151.51  1073.32   144.76  1077.91   148.53  1074.61   144.75
    5.00  1079.24   151.56  1073.35   144.81  1077.95   148.57  1074.65   144.79
    6.00  1079.28   151.61  1073.40   144.86  1077.99   148.62  1074.69   144.85
    7.00  1079.34   151.67  1073.46   144.92  1078.04   148.68  1074.75   144.91
    8.00  1079.40   151.74  1073.52   144.99  1078.11   148.75  1074.81   144.98
    9.00  1079.47   151.82  1073.59   145.08  1078.18   148.83  1074.88   145.06
   10.00  1079.55   151.91  1073.67   145.17  1078.25   148.92  1074.96   145.16
   11.00  1079.63   152.01  1073.76   145.27  1078.34   149.02  1075.05   145.26
   12.00  1079.73   152.12  1073.86   145.38  1078.43   149.13  1075.15   145.37
   13.00  1079.83   152.24  1073.96   145.50  1078.54   149.25  1075.26   145.49
   14.00  1079.94   152.36  1074.08   145.63  1078.65   149.38  1075.37   145.62
   15.00  1080.06   152.50  1074.20   145.77  1078.77   149.51  1075.49   145.76
   16.00  1080.19   152.65  1074.33   145.92  1078.89   149.66  1075.62   145.91
   17.00  1080.32   152.80  1074.47   146.08  1079.03   149.81  1075.76   146.07
   18.00  1080.46   152.97  1074.62   146.25  1079.17   149.98  1075.91   146.24
   19.00  1080.62   153.14  1074.77   146.43  1079.32   150.15  1076.06   146.41
   20.00  1080.77   153.32  1074.94   146.62  1079.48   150.33  1076.23   146.60
   21.00  1080.94   153.52  1075.11   146.81  1079.65   150.53  1076.40   146.80
   22.00  1081.12   153.72  1075.29   147.02  1079.82   150.73  1076.58   147.00
   23.00  1081.30   153.93  1075.48   147.24  1080.01   150.94  1076.77   147.22
