   W         M3-(eta_p)
 (MeV)      Re         Im
 1662.0   -0.046060  -0.085869
 1663.0   -0.045671  -0.088515
 1664.0   -0.045283  -0.091161
 1665.0   -0.044894  -0.093808
 1666.0   -0.044020  -0.096560
 1667.0   -0.043146  -0.099313
 1668.0   -0.042272  -0.102066
 1669.0   -0.041398  -0.104819
 1670.0   -0.040524  -0.107572
 1671.0   -0.039118  -0.110301
 1672.0   -0.037713  -0.113031
 1673.0   -0.036307  -0.115760
 1674.0   -0.034901  -0.118490
 1675.0   -0.033496  -0.121219
 1676.0   -0.031560  -0.123782
 1677.0   -0.029624  -0.126344
 1678.0   -0.027689  -0.128907
 1679.0   -0.025753  -0.131470
 1680.0   -0.023817  -0.134032
 1681.0   -0.021404  -0.136290
 1682.0   -0.018991  -0.138547
 1683.0   -0.016578  -0.140805
 1684.0   -0.014164  -0.143062
 1685.0   -0.011751  -0.145320
 1686.0   -0.008957  -0.147160
 1687.0   -0.006162  -0.149001
 1688.0   -0.003368  -0.150842
 1689.0   -0.000573  -0.152682
 1690.0    0.002221  -0.154523
 1691.0    0.005272  -0.155876
 1692.0    0.008323  -0.157230
 1693.0    0.011374  -0.158584
 1694.0    0.014425  -0.159937
 1695.0    0.017476  -0.161291
 1696.0    0.020651  -0.162133
 1697.0    0.023825  -0.162976
 1698.0    0.027000  -0.163819
 1699.0    0.030175  -0.164662
 1700.0    0.033349  -0.165504
 1701.0    0.036525  -0.165855
 1702.0    0.039701  -0.166205
 1703.0    0.042876  -0.166555
 1704.0    0.046052  -0.166905
 1705.0    0.049227  -0.167255
 1706.0    0.052305  -0.167163
 1707.0    0.055382  -0.167071
 1708.0    0.058459  -0.166978
 1709.0    0.061536  -0.166886
 1710.0    0.064613  -0.166794
 1711.0    0.067516  -0.166322
 1712.0    0.070418  -0.165850
 1713.0    0.073321  -0.165378
 1714.0    0.076223  -0.164906
 1715.0    0.079126  -0.164434
 1716.0    0.081812  -0.163660
 1717.0    0.084498  -0.162886
 1718.0    0.087184  -0.162112
 1719.0    0.089870  -0.161338
 1720.0    0.092557  -0.160564
 1721.0    0.095002  -0.159557
 1722.0    0.097448  -0.158551
 1723.0    0.099893  -0.157544
 1724.0    0.102339  -0.156537
 1725.0    0.104784  -0.155530
 1726.0    0.106985  -0.154354
 1727.0    0.109186  -0.153178
 1728.0    0.111387  -0.152001
 1729.0    0.113588  -0.150825
 1730.0    0.115788  -0.149649
 1731.0    0.117752  -0.148356
 1732.0    0.119716  -0.147064
 1733.0    0.121679  -0.145771
 1734.0    0.123643  -0.144479
 1735.0    0.125607  -0.143186
 1736.0    0.127349  -0.141821
 1737.0    0.129091  -0.140455
 1738.0    0.130833  -0.139090
 1739.0    0.132575  -0.137724
 1740.0    0.134317  -0.136359
 1741.0    0.135856  -0.134954
 1742.0    0.137396  -0.133549
 1743.0    0.138936  -0.132144
 1744.0    0.140475  -0.130739
 1745.0    0.142015  -0.129334
 1746.0    0.143374  -0.127915
 1747.0    0.144733  -0.126495
 1748.0    0.146091  -0.125076
 1749.0    0.147450  -0.123657
 1750.0    0.148809  -0.122237
 1751.0    0.150007  -0.120822
 1752.0    0.151206  -0.119406
 1753.0    0.152405  -0.117990
