   W         E3-(eta_p)
 (MeV)      Re         Im
 1486.0    0.000155   0.000054
 1487.0    0.000062   0.000019
 1488.0   -0.000031  -0.000016
 1489.0   -0.000124  -0.000051
 1490.0   -0.000218  -0.000086
 1491.0   -0.000311  -0.000121
 1492.0   -0.000404  -0.000156
 1493.0   -0.000497  -0.000191
 1494.0   -0.000590  -0.000226
 1495.0   -0.000684  -0.000261
 1496.0   -0.000809  -0.000306
 1497.0   -0.000933  -0.000350
 1498.0   -0.001058  -0.000395
 1499.0   -0.001183  -0.000439
 1500.0   -0.001308  -0.000484
 1501.0   -0.001462  -0.000534
 1502.0   -0.001615  -0.000584
 1503.0   -0.001769  -0.000633
 1504.0   -0.001923  -0.000683
 1505.0   -0.002076  -0.000733
 1506.0   -0.002256  -0.000787
 1507.0   -0.002435  -0.000841
 1508.0   -0.002615  -0.000895
 1509.0   -0.002795  -0.000949
 1510.0   -0.002974  -0.001003
 1511.0   -0.003179  -0.001060
 1512.0   -0.003384  -0.001117
 1513.0   -0.003589  -0.001174
 1514.0   -0.003794  -0.001231
 1515.0   -0.003999  -0.001288
 1516.0   -0.004231  -0.001346
 1517.0   -0.004462  -0.001404
 1518.0   -0.004694  -0.001462
 1519.0   -0.004925  -0.001520
 1520.0   -0.005157  -0.001578
 1521.0   -0.005415  -0.001637
 1522.0   -0.005674  -0.001697
 1523.0   -0.005933  -0.001756
 1524.0   -0.006191  -0.001815
 1525.0   -0.006450  -0.001874
 1526.0   -0.006737  -0.001932
 1527.0   -0.007025  -0.001991
 1528.0   -0.007313  -0.002050
 1529.0   -0.007600  -0.002109
 1530.0   -0.007888  -0.002167
 1531.0   -0.008206  -0.002226
 1532.0   -0.008524  -0.002285
 1533.0   -0.008842  -0.002344
 1534.0   -0.009161  -0.002403
 1535.0   -0.009479  -0.002462
 1536.0   -0.009831  -0.002521
 1537.0   -0.010183  -0.002579
 1538.0   -0.010534  -0.002638
 1539.0   -0.010886  -0.002697
 1540.0   -0.011238  -0.002755
 1541.0   -0.011627  -0.002814
 1542.0   -0.012015  -0.002873
 1543.0   -0.012404  -0.002932
 1544.0   -0.012792  -0.002991
 1545.0   -0.013181  -0.003050
 1546.0   -0.013610  -0.003109
 1547.0   -0.014039  -0.003169
 1548.0   -0.014468  -0.003229
 1549.0   -0.014897  -0.003288
 1550.0   -0.015326  -0.003348
 1551.0   -0.015799  -0.003411
 1552.0   -0.016273  -0.003473
 1553.0   -0.016746  -0.003535
 1554.0   -0.017220  -0.003598
