   W         M3+(eta_p)
 (MeV)      Re         Im
 1486.0   -0.000007   0.000090
 1487.0   -0.000004   0.000034
 1488.0   -0.000001  -0.000021
 1489.0    0.000002  -0.000077
 1490.0    0.000006  -0.000133
 1491.0    0.000009  -0.000188
 1492.0    0.000012  -0.000244
 1493.0    0.000015  -0.000299
 1494.0    0.000018  -0.000355
 1495.0    0.000022  -0.000410
 1496.0    0.000027  -0.000483
 1497.0    0.000033  -0.000556
 1498.0    0.000039  -0.000629
 1499.0    0.000045  -0.000702
 1500.0    0.000051  -0.000775
 1501.0    0.000059  -0.000861
 1502.0    0.000066  -0.000946
 1503.0    0.000074  -0.001032
 1504.0    0.000082  -0.001118
 1505.0    0.000089  -0.001203
 1506.0    0.000100  -0.001300
 1507.0    0.000110  -0.001397
 1508.0    0.000121  -0.001494
 1509.0    0.000131  -0.001590
 1510.0    0.000142  -0.001687
 1511.0    0.000156  -0.001794
 1512.0    0.000169  -0.001900
 1513.0    0.000183  -0.002007
 1514.0    0.000196  -0.002113
 1515.0    0.000210  -0.002219
 1516.0    0.000226  -0.002334
 1517.0    0.000242  -0.002448
 1518.0    0.000259  -0.002562
 1519.0    0.000275  -0.002677
 1520.0    0.000291  -0.002791
 1521.0    0.000311  -0.002912
 1522.0    0.000330  -0.003034
 1523.0    0.000350  -0.003156
 1524.0    0.000369  -0.003277
 1525.0    0.000389  -0.003399
 1526.0    0.000411  -0.003526
 1527.0    0.000433  -0.003654
 1528.0    0.000455  -0.003782
 1529.0    0.000478  -0.003909
 1530.0    0.000500  -0.004037
 1531.0    0.000526  -0.004170
 1532.0    0.000551  -0.004303
 1533.0    0.000577  -0.004437
 1534.0    0.000603  -0.004570
 1535.0    0.000629  -0.004703
 1536.0    0.000657  -0.004841
 1537.0    0.000686  -0.004979
 1538.0    0.000715  -0.005117
 1539.0    0.000744  -0.005255
 1540.0    0.000772  -0.005393
 1541.0    0.000804  -0.005535
 1542.0    0.000836  -0.005677
 1543.0    0.000868  -0.005819
 1544.0    0.000900  -0.005961
 1545.0    0.000932  -0.006103
 1546.0    0.000966  -0.006248
 1547.0    0.001000  -0.006393
 1548.0    0.001035  -0.006539
 1549.0    0.001069  -0.006684
 1550.0    0.001104  -0.006829
 1551.0    0.001142  -0.006977
 1552.0    0.001179  -0.007126
 1553.0    0.001217  -0.007274
 1554.0    0.001255  -0.007423
 1555.0    0.001293  -0.007571
 1556.0    0.001333  -0.007722
 1557.0    0.001374  -0.007872
 1558.0    0.001414  -0.008023
 1559.0    0.001455  -0.008174
 1560.0    0.001495  -0.008324
 1561.0    0.001538  -0.008477
 1562.0    0.001582  -0.008629
 1563.0    0.001625  -0.008782
 1564.0    0.001668  -0.008935
 1565.0    0.001711  -0.009087
 1566.0    0.001757  -0.009241
 1567.0    0.001803  -0.009395
 1568.0    0.001848  -0.009549
 1569.0    0.001894  -0.009703
 1570.0    0.001940  -0.009857
 1571.0    0.001988  -0.010012
 1572.0    0.002036  -0.010167
 1573.0    0.002084  -0.010322
 1574.0    0.002132  -0.010477
 1575.0    0.002180  -0.010632
 1576.0    0.002230  -0.010788
 1577.0    0.002280  -0.010943
 1578.0    0.002329  -0.011099
 1579.0    0.002379  -0.011255
 1580.0    0.002429  -0.011410
 1581.0    0.002481  -0.011566
 1582.0    0.002534  -0.011722
 1583.0    0.002586  -0.011877
 1584.0    0.002639  -0.012033
 1585.0    0.002691  -0.012189
 1586.0    0.002745  -0.012344
 1587.0    0.002799  -0.012500
 1588.0    0.002853  -0.012656
 1589.0    0.002907  -0.012811
 1590.0    0.002961  -0.012967
 1591.0    0.003016  -0.013122
 1592.0    0.003072  -0.013277
 1593.0    0.003127  -0.013432
 1594.0    0.003182  -0.013587
 1595.0    0.003238  -0.013743
 1596.0    0.003294  -0.013897
 1597.0    0.003351  -0.014051
 1598.0    0.003408  -0.014206
 1599.0    0.003464  -0.014360
 1600.0    0.003521  -0.014515
 1601.0    0.003579  -0.014668
 1602.0    0.003636  -0.014821
 1603.0    0.003694  -0.014975
 1604.0    0.003751  -0.015128
 1605.0    0.003809  -0.015281
 1606.0    0.003867  -0.015433
 1607.0    0.003925  -0.015585
 1608.0    0.003984  -0.015737
 1609.0    0.004042  -0.015890
 1610.0    0.004100  -0.016042
 1611.0    0.004159  -0.016192
 1612.0    0.004217  -0.016343
 1613.0    0.004276  -0.016493
 1614.0    0.004335  -0.016644
 1615.0    0.004393  -0.016795
 1616.0    0.004452  -0.016943
 1617.0    0.004511  -0.017092
 1618.0    0.004570  -0.017241
 1619.0    0.004628  -0.017390
 1620.0    0.004687  -0.017539
 1621.0    0.004746  -0.017686
 1622.0    0.004804  -0.017833
 1623.0    0.004863  -0.017981
 1624.0    0.004921  -0.018128
 1625.0    0.004980  -0.018275
 1626.0    0.005038  -0.018421
 1627.0    0.005096  -0.018567
 1628.0    0.005153  -0.018713
 1629.0    0.005211  -0.018859
 1630.0    0.005269  -0.019005
 1631.0    0.005327  -0.019147
 1632.0    0.005384  -0.019290
 1633.0    0.005441  -0.019432
 1634.0    0.005498  -0.019575
 1635.0    0.005555  -0.019718
 1636.0    0.005611  -0.019859
 1637.0    0.005667  -0.020000
 1638.0    0.005723  -0.020141
 1639.0    0.005779  -0.020282
 1640.0    0.005835  -0.020423
 1641.0    0.005889  -0.020563
 1642.0    0.005944  -0.020702
 1643.0    0.005998  -0.020841
 1644.0    0.006053  -0.020980
 1645.0    0.006107  -0.021119
 1646.0    0.006160  -0.021256
 1647.0    0.006213  -0.021393
 1648.0    0.006265  -0.021531
 1649.0    0.006318  -0.021668
 1650.0    0.006371  -0.021805
 1651.0    0.006421  -0.021940
 1652.0    0.006472  -0.022075
 1653.0    0.006523  -0.022211
 1654.0    0.006573  -0.022346
 1655.0    0.006624  -0.022481
 1656.0    0.006672  -0.022614
 1657.0    0.006721  -0.022748
 1658.0    0.006769  -0.022881
 1659.0    0.006817  -0.023014
 1660.0    0.006865  -0.023148
 1661.0    0.006911  -0.023279
 1662.0    0.006957  -0.023411
 1663.0    0.007002  -0.023543
 1664.0    0.007048  -0.023674
 1665.0    0.007093  -0.023806
 1666.0    0.007136  -0.023936
 1667.0    0.007179  -0.024066
 1668.0    0.007222  -0.024197
 1669.0    0.007264  -0.024327
 1670.0    0.007307  -0.024457
 1671.0    0.007347  -0.024586
 1672.0    0.007386  -0.024715
 1673.0    0.007426  -0.024843
 1674.0    0.007466  -0.024972
 1675.0    0.007505  -0.025101
 1676.0    0.007541  -0.025229
 1677.0    0.007578  -0.025356
 1678.0    0.007614  -0.025484
 1679.0    0.007650  -0.025612
 1680.0    0.007686  -0.025740
 1681.0    0.007719  -0.025867
 1682.0    0.007752  -0.025994
 1683.0    0.007785  -0.026121
 1684.0    0.007817  -0.026247
 1685.0    0.007850  -0.026374
 1686.0    0.007879  -0.026501
 1687.0    0.007908  -0.026627
 1688.0    0.007937  -0.026753
 1689.0    0.007966  -0.026880
 1690.0    0.007995  -0.027006
 1691.0    0.008020  -0.027132
 1692.0    0.008045  -0.027258
 1693.0    0.008070  -0.027385
 1694.0    0.008096  -0.027511
 1695.0    0.008121  -0.027637
 1696.0    0.008142  -0.027763
 1697.0    0.008163  -0.027889
 1698.0    0.008184  -0.028015
 1699.0    0.008205  -0.028142
 1700.0    0.008226  -0.028268
 1701.0    0.008243  -0.028394
 1702.0    0.008260  -0.028521
 1703.0    0.008277  -0.028647
 1704.0    0.008294  -0.028774
 1705.0    0.008311  -0.028900
 1706.0    0.008323  -0.029027
 1707.0    0.008334  -0.029153
 1708.0    0.008346  -0.029279
 1709.0    0.008358  -0.029406
 1710.0    0.008370  -0.029532
 1711.0    0.008379  -0.029661
 1712.0    0.008389  -0.029791
 1713.0    0.008399  -0.029920
 1714.0    0.008408  -0.030050
 1715.0    0.008418  -0.030179
 1716.0    0.008422  -0.030309
 1717.0    0.008426  -0.030438
 1718.0    0.008430  -0.030568
 1719.0    0.008434  -0.030698
 1720.0    0.008438  -0.030827
 1721.0    0.008437  -0.030959
 1722.0    0.008436  -0.031090
 1723.0    0.008436  -0.031221
 1724.0    0.008435  -0.031353
 1725.0    0.008435  -0.031484
 1726.0    0.008430  -0.031618
 1727.0    0.008425  -0.031751
 1728.0    0.008419  -0.031885
 1729.0    0.008414  -0.032018
 1730.0    0.008409  -0.032152
 1731.0    0.008399  -0.032288
 1732.0    0.008390  -0.032424
 1733.0    0.008380  -0.032560
 1734.0    0.008370  -0.032696
 1735.0    0.008361  -0.032832
 1736.0    0.008346  -0.032971
 1737.0    0.008332  -0.033110
 1738.0    0.008317  -0.033249
 1739.0    0.008303  -0.033388
 1740.0    0.008288  -0.033527
 1741.0    0.008269  -0.033669
 1742.0    0.008250  -0.033812
 1743.0    0.008231  -0.033954
 1744.0    0.008212  -0.034097
 1745.0    0.008193  -0.034239
 1746.0    0.008169  -0.034385
 1747.0    0.008145  -0.034531
 1748.0    0.008121  -0.034678
 1749.0    0.008097  -0.034824
 1750.0    0.008074  -0.034970
 1751.0    0.008045  -0.035121
 1752.0    0.008017  -0.035272
 1753.0    0.007988  -0.035422
 1754.0    0.007960  -0.035573
 1755.0    0.007931  -0.035724
 1756.0    0.007898  -0.035879
 1757.0    0.007865  -0.036035
 1758.0    0.007832  -0.036191
 1759.0    0.007799  -0.036347
 1760.0    0.007766  -0.036502
 1761.0    0.007728  -0.036664
